A                : ste                  ve                   Ġuh                  Ġwith                Ġthe                 Ġelection            Ġyear                Ġand
turn_ids         : 74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (235.149, 235.369)   (235.369, 235.589)   (236.12, 236.529)    (236.529, 236.839)   (238.345, 238.515)   (238.515, 238.677)   (238.677, 238.862)   (238.862, 239.059)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġvet                 os                   Ġand                 Ġuh                  Ġwell                Ġi                   Ġi                   Ġlived
Timings          : (235.149, 235.369)   (235.369, 235.589)   (236.12, 236.529)    (236.529, 236.839)   (238.345, 238.515)   (238.515, 238.677)   (238.677, 238.862)   (238.862, 239.059)
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4
turn_ids         : 74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (239.059, 239.119)   (239.119, 239.364)   (239.364, 239.609)   (239.609, 239.719)   (239.719, 239.769)   (239.769, 240.089)   (240.089, 240.347)   (240.761, 241.175)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġin                  Ġmass                achusetts            Ġfor                 Ġa                   Ġwhile               Ġand                 Ġuh
Timings          : (239.059, 239.119)   (239.119, 239.364)   (239.364, 239.609)   (239.609, 239.719)   (239.719, 239.769)   (239.769, 240.089)   (240.089, 240.347)   (240.761, 241.175)
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4
turn_ids         : 74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (241.175, 241.369)   (241.369, 241.579)   (241.579, 241.789)   (241.789, 241.999)   (241.999, 242.439)   (242.439, 242.649)   (242.649, 242.959)   (242.959, 243.049)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġwhen                Ġd                   uk                   akis                 Ġvetoed              Ġcertain             Ġthings              Ġthere
Timings          : (241.175, 241.369)   (241.369, 241.579)   (241.579, 241.789)   (241.789, 241.999)   (241.999, 242.439)   (242.439, 242.649)   (242.649, 242.959)   (242.959, 243.049)
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4
turn_ids         : 74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (243.049, 243.179)   (243.179, 243.239)   (243.239, 243.409)   (243.409, 243.749)   (243.749, 243.957)   (244.827, 245.124)   (245.124, 245.421)   (245.421, 246.209)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġwas                 Ġa                   Ġbig                 Ġuproar              Ġand                 Ġwasn                't                   Ġnecessarily
Timings          : (243.049, 243.179)   (243.179, 243.239)   (243.239, 243.409)   (243.409, 243.749)   (243.749, 243.957)   (244.827, 245.124)   (245.124, 245.421)   (245.421, 246.209)
Token Types      : 4                    4                    4                    4                    4                    4                    4                    4
turn_ids         : 74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491       74445205012491
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                Ġyeah                Ġbut                 Ġmass                achusetts            Ġwasn                't
Timings          : (246.209, 246.34)    (246.34, 247.072)    (247.368, 247.565)   (247.565, 247.715)   (247.715, 248.05)    (248.05, 248.385)    (248.385, 248.598)   (248.598, 248.811)
Token Types      : 0                    0                    1                    1                    1                    1                    1                    1
turn_ids         : 0                    0                    74441446916108       74441446916108       74441446916108       74441446916108       74441446916108       74441446916108
turn_end_types   : 0                    0                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġso                  Ġpopular             <eot>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (246.209, 246.34)    (246.34, 247.072)    (-1.0, -1.0)         (247.565, 247.715)   (247.715, 248.05)    (248.05, 248.385)    (248.385, 248.598)   (248.598, 248.811)
Token Types      : 4                    4                    4                    0                    0                    0                    0                    0
turn_ids         : 74445205012491       74445205012491       74445205012491       0                    0                    0                    0                    0
turn_end_types   : 1                    1                    1                    0                    0                    0                    0                    0
speaker_ids      : 1                    1                    1                    0                    0                    0                    0                    0


A                : Ġwhen                Ġd                   uk                   akis                 Ġwas                 Ġthere               Ġanyway              Ġwasn
Timings          : (249.64, 249.795)    (249.795, 249.948)   (249.948, 250.102)   (250.102, 250.255)   (250.255, 250.395)   (250.395, 250.525)   (250.525, 250.815)   (250.815, 250.99)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916108       74441446916108       74441446916108       74441446916108       74441446916108       74441446916108       74441446916108       74441446916108
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (249.64, 249.795)    (249.795, 249.948)   (249.948, 250.102)   (250.102, 250.255)   (250.255, 250.395)   (250.395, 250.525)   (250.525, 250.815)   (250.815, 250.99)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : 't                   Ġin                  Ġthat                Ġgreat               Ġshape               Ġfinancially         <eot>                <emp>
Timings          : (250.99, 251.165)    (251.165, 251.295)   (251.295, 251.455)   (251.455, 251.675)   (251.675, 251.905)   (251.905, 252.566)   (-1.0, -1.0)         (252.821, 252.911)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    0
turn_ids         : 74441446916108       74441446916108       74441446916108       74441446916108       74441446916108       74441446916108       74441446916108       0
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                Ġbut                 Ġat
Timings          : (250.99, 251.165)    (251.165, 251.295)   (251.295, 251.455)   (251.455, 251.675)   (251.675, 251.905)   (251.905, 252.566)   (252.697, 252.821)   (252.821, 252.911)
Token Types      : 0                    0                    0                    0                    0                    0                    1                    1
turn_ids         : 0                    0                    0                    0                    0                    0                    74441983787021       74441983787021
turn_end_types   : 0                    0                    0                    0                    0                    0                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                Ġu                   hh                   uh                   Ġi
Timings          : (252.911, 253.156)   (253.156, 253.243)   (253.243, 253.401)   (253.401, 253.589)   (254.278, 254.409)   (254.409, 254.54)    (254.54, 254.67)     (255.1, 255.169)
Token Types      : 0                    0                    0                    0                    1                    1                    1                    1
turn_ids         : 0                    0                    0                    0                    74441446916110       74441446916110       74441446916110       74441446916110
turn_end_types   : 0                    0                    0                    0                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġleast               Ġat                  Ġthe                 Ġend                 <eot>                <emp>                <emp>                <emp>
Timings          : (252.911, 253.156)   (253.156, 253.243)   (253.243, 253.401)   (253.401, 253.589)   (-1.0, -1.0)         (254.409, 254.54)    (254.54, 254.67)     (255.1, 255.169)
Token Types      : 1                    1                    1                    1                    1                    0                    0                    0
turn_ids         : 74441983787021       74441983787021       74441983787021       74441983787021       74441983787021       0                    0                    0
turn_end_types   : 1                    1                    1                    1                    1                    0                    0                    0
speaker_ids      : 1                    1                    1                    1                    1                    0                    0                    0


A                : Ġmean                Ġi                   Ġdon                 't                   Ġknow                Ġi                   <eot>                <emp>
Timings          : (255.169, 255.255)   (255.255, 255.316)   (255.316, 255.386)   (255.386, 255.456)   (255.456, 255.691)   (256.053, 256.29)    (-1.0, -1.0)         (256.419, 256.583)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    0
turn_ids         : 74441446916110       74441446916110       74441446916110       74441446916110       74441446916110       74441446916110       74441446916110       0
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                Ġyeah                Ġi
Timings          : (255.169, 255.255)   (255.255, 255.316)   (255.316, 255.386)   (255.386, 255.456)   (255.456, 255.691)   (256.053, 256.29)    (256.188, 256.419)   (256.419, 256.583)
Token Types      : 0                    0                    0                    0                    0                    0                    1                    1
turn_ids         : 0                    0                    0                    0                    0                    0                    74441983787023       74441983787023
turn_end_types   : 0                    0                    0                    0                    0                    0                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (256.583, 256.881)   (256.881, 257.121)   (257.121, 257.22)    (257.22, 257.451)    (257.451, 257.641)   (257.641, 257.73)    (257.73, 258.111)    (258.111, 258.181)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġi                   Ġthey                Ġwere                Ġvery                Ġgood                Ġat                  Ġfirst               Ġthey
Timings          : (256.583, 256.881)   (256.881, 257.121)   (257.121, 257.22)    (257.22, 257.451)    (257.451, 257.641)   (257.641, 257.73)    (257.73, 258.111)    (258.111, 258.181)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (258.181, 258.241)   (258.241, 258.32)    (258.32, 258.54)     (258.54, 258.69)     (258.69, 258.97)     (258.97, 259.25)     (259.25, 259.361)    (259.361, 259.776)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġwere                Ġin                  Ġvery                Ġgood                Ġfinancial           s                    Ġat                  Ġfirst
Timings          : (258.181, 258.241)   (258.241, 258.32)    (258.32, 258.54)     (258.54, 258.69)     (258.69, 258.97)     (258.97, 259.25)     (259.25, 259.361)    (259.361, 259.776)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (260.194, 260.53)    (260.53, 260.621)    (260.621, 260.725)   (260.725, 260.831)   (260.831, 261.021)   (261.021, 261.081)   (261.081, 261.16)    (261.16, 261.451)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġand                 Ġuh                  Ġthat                's                   Ġpart                Ġof                  Ġthe                 Ġreason
Timings          : (260.194, 260.53)    (260.53, 260.621)    (260.621, 260.725)   (260.725, 260.831)   (260.831, 261.021)   (261.021, 261.081)   (261.081, 261.16)    (261.16, 261.451)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (261.451, 261.611)   (261.611, 262.207)   (262.207, 262.371)   (262.371, 262.974)   (263.601, 263.76)    (263.76, 264.021)    (264.021, 264.22)    (264.22, 264.361)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġhe                  Ġbecame              Ġa                   Ġnominee             Ġis                  Ġbecause             Ġthings              Ġwent
Timings          : (261.451, 261.611)   (261.611, 262.207)   (262.207, 262.371)   (262.371, 262.974)   (263.601, 263.76)    (263.76, 264.021)    (264.021, 264.22)    (264.22, 264.361)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (264.361, 264.53)    (264.53, 265.015)    (265.64, 265.801)    (265.801, 266.081)   (266.081, 266.181)   (266.181, 266.491)   (266.491, 266.551)   (266.551, 266.78)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġso                  Ġwell                Ġand                 Ġthen                Ġof                  Ġcourse              Ġthe                 Ġbottom
Timings          : (264.361, 264.53)    (264.53, 265.015)    (265.64, 265.801)    (265.801, 266.081)   (266.081, 266.181)   (266.181, 266.491)   (266.491, 266.551)   (266.551, 266.78)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023       74441983787023
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 1                    1                    1                    1                    1                    1                    1                    1


A                : <emp>                <emp>                Ġit                  's                   Ġuh                  Ġi                   Ġmean                Ġit
Timings          : (266.78, 267.051)    (267.051, 267.158)   (270.547, 270.668)   (270.668, 270.789)   (270.789, 271.141)   (271.648, 271.81)    (271.81, 271.909)    (271.909, 272.039)
Token Types      : 0                    0                    1                    1                    1                    1                    1                    1
turn_ids         : 0                    0                    74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112
turn_end_types   : 0                    0                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : Ġfell                Ġout                 <eot>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (266.78, 267.051)    (267.051, 267.158)   (-1.0, -1.0)         (270.668, 270.789)   (270.789, 271.141)   (271.648, 271.81)    (271.81, 271.909)    (271.909, 272.039)
Token Types      : 1                    1                    1                    0                    0                    0                    0                    0
turn_ids         : 74441983787023       74441983787023       74441983787023       0                    0                    0                    0                    0
turn_end_types   : 1                    1                    1                    0                    0                    0                    0                    0
speaker_ids      : 1                    1                    1                    0                    0                    0                    0                    0


A                : 's                   Ġit                  's                   Ġtough               Ġi                   Ġmean                Ġthere               's
Timings          : (272.039, 272.169)   (272.169, 272.259)   (272.259, 272.349)   (272.349, 272.559)   (272.559, 272.589)   (272.589, 272.729)   (272.729, 272.814)   (272.814, 272.899)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (272.039, 272.169)   (272.169, 272.259)   (272.259, 272.349)   (272.349, 272.559)   (272.559, 272.589)   (272.589, 272.729)   (272.729, 272.814)   (272.814, 272.899)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġthere               's                   Ġtwo                 Ġways                Ġyou                 Ġcan                 Ġkind                Ġof
Timings          : (272.899, 272.984)   (272.984, 273.069)   (273.069, 273.169)   (273.169, 273.502)   (273.502, 273.759)   (273.759, 273.899)   (273.899, 274.059)   (274.059, 274.129)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (272.899, 272.984)   (272.984, 273.069)   (273.069, 273.169)   (273.169, 273.502)   (273.502, 273.759)   (273.759, 273.899)   (273.899, 274.059)   (274.059, 274.129)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġgo                  Ġto                  Ġget                 Ġout                 Ġof                  Ġtough               Ġfinancial           Ġsituations
Timings          : (274.129, 274.269)   (274.269, 274.389)   (274.389, 274.509)   (274.509, 274.669)   (274.669, 274.888)   (275.954, 276.119)   (276.119, 276.489)   (276.489, 276.959)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (274.129, 274.269)   (274.269, 274.389)   (274.389, 274.509)   (274.509, 274.669)   (274.669, 274.888)   (275.954, 276.119)   (276.119, 276.489)   (276.489, 276.959)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġi                   Ġguess               Ġyou                 Ġcan                 Ġlike                Ġraise               Ġtaxes               Ġand
Timings          : (276.959, 277.009)   (277.009, 277.169)   (277.169, 277.279)   (277.279, 277.481)   (277.94, 278.119)    (278.119, 278.319)   (278.319, 278.769)   (278.769, 278.869)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (276.959, 277.009)   (277.009, 277.169)   (277.169, 277.279)   (277.279, 277.481)   (277.94, 278.119)    (278.119, 278.319)   (278.319, 278.769)   (278.769, 278.869)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġthen                Ġcreate              Ġlike                Ġjob                 Ġprograms            Ġand                 Ġwhat                not
Timings          : (278.869, 279.236)   (279.582, 279.819)   (279.819, 279.939)   (279.939, 280.269)   (280.269, 280.689)   (280.689, 280.779)   (280.779, 280.98)    (280.98, 281.181)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (278.869, 279.236)   (279.582, 279.819)   (279.819, 279.939)   (279.939, 280.269)   (280.269, 280.689)   (280.689, 280.779)   (280.779, 280.98)    (280.98, 281.181)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġor                  Ġyou                 Ġcan                 Ġhope                Ġthat                Ġif                  Ġpeople              Ġkeep
Timings          : (281.981, 282.16)    (282.16, 282.3)      (282.3, 282.945)     (282.945, 283.28)    (283.28, 283.472)    (284.022, 284.24)    (284.24, 284.47)     (284.47, 284.66)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0

B                : <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>                <emp>
Timings          : (281.981, 282.16)    (282.16, 282.3)      (282.3, 282.945)     (282.945, 283.28)    (283.28, 283.472)    (284.022, 284.24)    (284.24, 284.47)     (284.47, 284.66)
Token Types      : 0                    0                    0                    0                    0                    0                    0                    0
turn_ids         : 0                    0                    0                    0                    0                    0                    0                    0
turn_end_types   : 0                    0                    0                    0                    0                    0                    0                    0
speaker_ids      : 0                    0                    0                    0                    0                    0                    0                    0


A                : Ġtheir               Ġmoney               Ġthat                Ġthey                'll                  Ġspend               Ġmore                Ġand
Timings          : (284.66, 284.78)     (284.78, 285.07)     (285.07, 285.21)     (285.21, 285.27)     (285.27, 285.33)     (285.33, 285.63)     (285.63, 285.94)     (285.94, 286.275)
Token Types      : 1                    1                    1                    1                    1                    1                    1                    1
turn_ids         : 74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112       74441446916112
turn_end_types   : 1                    1                    1                    1                    1                    1                    1                    1
