A                : ok                  ay                  Ġrand               all                 Ġuh                 Ġuh                 Ġdo                 Ġyou                Ġhave               Ġany                Ġspecial            Ġinterest           Ġin                 Ġuh                 Ġspace             
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġand                Ġuh                 Ġso                 Ġforth              <emp>               <emp>               Ġit                 Ġit                 Ġwould              Ġbe                 Ġdone               Ġit                 Ġwould              Ġbe                
Timings          : (243.306, 243.457)  (243.457, 243.547)  (243.547, 243.577)  (243.577, 243.803)  (243.803, 244.221)  (244.301, 244.462)  (244.462, 244.623)  (244.634, 244.816)  (244.816, 244.914)  (244.914, 245.062)  (245.062, 245.198)  (245.198, 245.333)  (245.333, 245.423)  (245.423, 245.589)  (245.589, 245.759) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (245.759, 246.109)  (246.109, 246.565)  (246.67, 246.849)   (246.849, 247.195)  (247.692, 248.159)  (248.159, 248.394)  (248.394, 248.629)  (248.629, 248.849)  (248.849, 249.194)  (249.194, 249.787)  (249.995, 250.136)  (250.136, 250.277)  (-1.0, -1.0)        (250.45, 250.66)    (250.66, 251.075)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82397873831959      82397873831959      82397873831959      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  

B                : Ġbeing              Ġdone               Ġfor                Ġthe                Ġuh                 Ġgl                 itz                 Ġand                Ġshow               Ġfactor             <emp>               <emp>               Ġto                 Ġget                Ġpolitician        
Timings          : (245.759, 246.109)  (246.109, 246.565)  (246.67, 246.849)   (246.849, 247.195)  (247.692, 248.159)  (248.159, 248.394)  (248.394, 248.629)  (248.629, 248.849)  (248.849, 249.194)  (249.194, 249.787)  (249.995, 250.136)  (250.136, 250.277)  (250.289, 250.45)   (250.45, 250.66)    (250.66, 251.075)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (251.075, 251.49)   (251.49, 251.9)     (251.9, 252.25)     (252.25, 252.528)   (252.923, 253.33)   (253.33, 253.43)    (253.43, 253.9)     (253.9, 254.284)    (254.593, 254.66)   (254.66, 254.74)    (254.74, 254.84)    (254.84, 255.06)    (255.06, 255.54)    (255.54, 255.82)    (255.82, 256.16)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġvotes              Ġinstead            Ġof                 Ġinstead            Ġof                 Ġfor                Ġfor                Ġyou                Ġknow               Ġwe                 Ġshould             Ġeventually         Ġsend               Ġsomeone           
Timings          : (251.075, 251.49)   (251.49, 251.9)     (251.9, 252.25)     (252.25, 252.528)   (252.923, 253.33)   (253.33, 253.43)    (253.43, 253.9)     (253.9, 254.284)    (254.593, 254.66)   (254.66, 254.74)    (254.74, 254.84)    (254.84, 255.06)    (255.06, 255.54)    (255.54, 255.82)    (255.82, 256.16)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (256.16, 256.43)    (256.43, 256.5)     (256.5, 256.85)     (256.85, 256.98)    (256.98, 257.24)    (257.24, 257.46)    (257.46, 257.84)    (257.84, 257.935)   (257.935, 258.03)   (258.03, 258.17)    (258.17, 258.31)    (258.31, 258.45)    (258.45, 258.55)    (258.55, 258.74)    (258.74, 259.079)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġpeople             Ġto                 Ġmars               Ġbut                Ġnot                Ġjust               Ġbecause            Ġit                 's                  Ġgl                 itz                 y                   Ġto                 Ġdo                 Ġso                
Timings          : (256.16, 256.43)    (256.43, 256.5)     (256.5, 256.85)     (256.85, 256.98)    (256.98, 257.24)    (257.24, 257.46)    (257.46, 257.84)    (257.84, 257.935)   (257.935, 258.03)   (258.03, 258.17)    (258.17, 258.31)    (258.31, 258.45)    (258.45, 258.55)    (258.55, 258.74)    (258.74, 259.079)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (259.339, 259.699)  (-1.0, -1.0)        (259.905, 260.095)  (260.095, 260.205)  (260.205, 260.325)  (260.325, 260.807)  (261.474, 261.655)  (261.655, 261.765)  (261.765, 262.015)  (262.015, 262.115)  (262.115, 262.585)  (262.585, 262.675)  (262.675, 262.865)  (262.865, 263.145)  (263.145, 263.211) 
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82397873831960      82397873831960      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġwe                 Ġshould             Ġdo                 Ġit                 Ġbecause            Ġfor                Ġthe                Ġfor                Ġthe                Ġreturn             Ġwe                 Ġget                Ġfor                Ġit                
Timings          : (259.339, 259.699)  (259.85, 259.905)   (259.905, 260.095)  (260.095, 260.205)  (260.205, 260.325)  (260.325, 260.807)  (261.474, 261.655)  (261.655, 261.765)  (261.765, 262.015)  (262.015, 262.115)  (262.115, 262.585)  (262.585, 262.675)  (262.675, 262.865)  (262.865, 263.145)  (263.145, 263.211) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġexactly            Ġleast              Ġnothing           
Timings          : (263.582, 263.739)  (263.739, 263.896)  (-1.0, -1.0)        (264.355, 264.631)  (265.913, 266.334)  (266.334, 266.994)  (266.994, 267.099)  (267.099, 267.204)  (267.204, 267.364)  (267.364, 267.559)  (267.559, 267.744)  (267.744, 268.168)  (268.42, 269.449)   (269.731, 269.931)  (269.931, 270.223) 
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 82397873831961      82397873831961      82397873831961      0                   0                   0                   0                   0                   0                   0                   0                   0                   82395726348304      82395726348304      82395726348304     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : <emp>               <emp>               Ġand                Ġuh                 Ġuh                 Ġunfortunately      Ġthat               's                  Ġnot                Ġwhy                Ġthings             Ġhappen             <eot>               <emp>               Ġi                 
Timings          : (263.582, 263.739)  (263.739, 263.896)  (263.863, 264.355)  (264.355, 264.631)  (265.913, 266.334)  (266.334, 266.994)  (266.994, 267.099)  (267.099, 267.204)  (267.204, 267.364)  (267.364, 267.559)  (267.559, 267.744)  (267.744, 268.168)  (-1.0, -1.0)        (269.731, 269.931)  (269.907, 270.064) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   4                  
turn_ids         : 82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      82399484444687      0                   82399484444689     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   2                  


A                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (270.364, 270.574)  (270.574, 270.904)  (270.904, 271.054)  (271.054, 271.179)  (271.179, 271.316)  (271.316, 271.454)  (272.034, 272.144)  (272.144, 272.214)  (272.214, 272.409)  (272.409, 272.604)  (272.604, 273.034)  (273.034, 273.134)  (273.134, 273.424)  (273.424, 273.804) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82395726348304      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġwould              Ġsettle             Ġfor                Ġthe                Ġgl                 itz                 Ġfor                Ġthe                Ġgl                 itz                 Ġif                 Ġthe                Ġside               Ġeffects           
Timings          : (270.064, 270.364)  (270.364, 270.574)  (270.574, 270.904)  (270.904, 271.054)  (271.054, 271.179)  (271.179, 271.316)  (271.316, 271.454)  (272.034, 272.144)  (272.144, 272.214)  (272.214, 272.409)  (272.409, 272.604)  (272.604, 273.034)  (273.034, 273.134)  (273.134, 273.424)  (273.424, 273.804) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (273.804, 273.904)  (273.904, 274.354)  (274.354, 274.514)  (274.514, 274.704)  (275.324, 275.611)  (275.825, 276.099)  (276.099, 276.291)  (277.294, 277.573)  (-1.0, -1.0)        (278.135, 278.49)   (278.49, 278.58)    (278.58, 278.76)    (278.76, 278.89)    (278.89, 279.01)    (279.01, 279.222)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82397873831963      82397873831963      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġwere               Ġuseful             Ġif                 Ġthey               Ġoh                 Ġbut                Ġuh                 <emp>               Ġthe                Ġdownside           Ġof                 Ġthat               Ġis                 Ġthat               Ġyou               
Timings          : (273.804, 273.904)  (273.904, 274.354)  (274.354, 274.514)  (274.514, 274.704)  (275.324, 275.611)  (275.825, 276.099)  (276.099, 276.291)  (277.294, 277.573)  (278.0, 278.135)    (278.135, 278.49)   (278.49, 278.58)    (278.58, 278.76)    (278.76, 278.89)    (278.89, 279.01)    (279.01, 279.222)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġnow                Ġwe                
Timings          : (279.222, 279.62)   (279.62, 279.72)    (279.72, 279.85)    (279.85, 280.03)    (280.03, 280.1)     (280.1, 280.41)     (280.41, 280.64)    (280.64, 280.78)    (280.78, 281.027)   (281.027, 281.14)   (281.14, 281.32)    (281.32, 281.458)   (281.725, 281.982)  (282.228, 282.411)  (282.411, 282.601) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82395726348306      82395726348306      82395726348306     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġafter              Ġyou                Ġdo                 Ġone                Ġof                 Ġthose              Ġpeople             Ġsay                Ġwell               Ġwe                 Ġdid                Ġit                 <eot>               Ġnow                Ġlet               
Timings          : (279.222, 279.62)   (279.62, 279.72)    (279.72, 279.85)    (279.85, 280.03)    (280.03, 280.1)     (280.1, 280.41)     (280.41, 280.64)    (280.64, 280.78)    (280.78, 281.027)   (281.027, 281.14)   (281.14, 281.32)    (281.32, 281.458)   (-1.0, -1.0)        (282.115, 282.372)  (282.372, 282.526) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444689      82399484444691      82399484444691     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : 're                 Ġdone               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (282.601, 282.791)  (282.791, 283.094)  (-1.0, -1.0)        (283.432, 283.488)  (283.488, 283.543)  (283.543, 283.835)  (284.382, 284.46)   (284.46, 284.67)    (284.67, 284.73)    (284.73, 284.83)    (284.83, 284.99)    (284.99, 285.306)   (285.306, 285.47)   (285.47, 285.68)    (285.68, 285.88)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82395726348306      82395726348306      82395726348306      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  <emp>               Ġnow                Ġwe                 're                 Ġdone               Ġno                 Ġneed               Ġto                 Ġuse                Ġthis               Ġanymore            Ġto                 Ġplay               Ġaround            
Timings          : (282.526, 282.679)  (282.791, 283.094)  (283.35, 283.432)   (283.432, 283.488)  (283.488, 283.543)  (283.543, 283.835)  (284.382, 284.46)   (284.46, 284.67)    (284.67, 284.73)    (284.73, 284.83)    (284.83, 284.99)    (284.99, 285.306)   (285.306, 285.47)   (285.47, 285.68)    (285.68, 285.88)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġthink             
Timings          : (285.88, 285.99)    (285.99, 286.15)    (286.15, 286.41)    (286.41, 286.67)    (286.67, 287.02)    (287.02, 287.115)   (287.115, 287.21)   (287.21, 287.3)     (287.3, 287.51)     (287.51, 287.64)    (287.64, 287.896)   (287.896, 288.151)  (288.325, 288.682)  (289.271, 289.425)  (289.425, 289.612) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82395726348308      82395726348308      82395726348308     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġwith               Ġthis               Ġspace              Ġstuff              Ġanymore            Ġthat               's                  Ġwhat               Ġhappened           Ġwith               Ġap                 ollo                <eot>               Ġuh                 <eint>             
Timings          : (285.88, 285.99)    (285.99, 286.15)    (286.15, 286.41)    (286.41, 286.67)    (286.67, 287.02)    (287.02, 287.115)   (287.115, 287.21)   (287.21, 287.3)     (287.3, 287.51)     (287.51, 287.64)    (287.64, 287.896)   (287.896, 288.151)  (-1.0, -1.0)        (289.311, 289.703)  (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   5                   5                  
turn_ids         : 82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82399484444691      82400558186511      82400558186511     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġyou                're                 Ġright              <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                 
Timings          : (289.612, 289.677)  (289.677, 289.742)  (289.742, 290.032)  (-1.0, -1.0)        (291.39, 291.657)   (293.44, 293.58)    (293.58, 293.72)    (293.72, 293.88)    (293.88, 294.13)    (294.13, 294.41)    (294.41, 294.47)    (294.47, 294.59)    (294.59, 294.71)    (294.71, 295.167)   (295.457, 295.689) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 82395726348308      82395726348308      82395726348308      82395726348308      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82395726348310     
turn_end_types   : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : <emp>               <emp>               <emp>               Ġbut                Ġuh                 Ġi                  'd                  Ġgive               Ġalmost             Ġanything           Ġto                 Ġget                Ġinto               Ġspace              <eot>              
Timings          : (289.612, 289.677)  (289.677, 289.742)  (289.742, 290.032)  (291.13, 291.39)    (291.39, 291.657)   (293.44, 293.58)    (293.58, 293.72)    (293.72, 293.88)    (293.88, 294.13)    (294.13, 294.41)    (294.41, 294.47)    (294.47, 294.59)    (294.59, 294.71)    (294.71, 295.167)   (-1.0, -1.0)       
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82396263219221      82396263219221      82396263219221      82396263219221      82396263219221      82396263219221      82396263219221      82396263219221      82396263219221      82396263219221      82396263219221      82396263219221     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġwould              Ġtoo                Ġi                  'd                  Ġi                  'd                  Ġuh                 Ġit                 Ġwas                Ġit                 Ġjohn               Ġden                ver                 Ġthat               Ġthat              
