A                : what                Ġdo                 Ġyou                Ġthink              Ġabout              Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82481625694232      82481625694232      82481625694232      82481625694232      82481625694232      82481625694232      82481625694232      82481625694232      82481625694232      82484846919706      82484846919706      82484846919706      82484846919706      82484846919706      82484846919706     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġokay               <yield>             <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (232.313, 232.553)  (232.553, 232.693)  (232.693, 232.923)  (232.923, 233.253)  (233.253, 233.473)  (233.473, 233.738)  (233.738, 234.003)  (-1.0, -1.0)        (234.561, 235.078)  (-1.0, -1.0)        (235.047, 235.307)  (235.307, 235.437)  (235.437, 235.577)  (235.577, 235.667) 
Token Types      : 5                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  
turn_ids         : 82486457532434      0                   0                   0                   0                   0                   0                   0                   0                   82482162565145      82482162565145      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                  


A                : Ġlittle             Ġmore               Ġrobust             Ġand                Ġdisciplined        <emp>               <emp>               Ġarea               Ġthen               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (235.667, 235.847)  (235.847, 236.037)  (236.037, 236.617)  (236.617, 236.927)  (237.037, 237.677)  (237.937, 238.338)  (238.338, 238.579)  (238.48, 239.02)    (239.02, 239.327)   (-1.0, -1.0)        (239.399, 239.659)  (239.659, 239.927)  (239.927, 240.008)  (240.008, 240.089)  (240.089, 240.374) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                  
turn_ids         : 82484846919706      82484846919706      82484846919706      82484846919706      82484846919706      82484846919706      82484846919706      82484846919706      82484846919706      82484846919706      0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  <emp>               Ġi                  Ġkind               Ġof                 Ġyeah               Ġi                  've                 Ġheard             
Timings          : (235.667, 235.847)  (235.847, 236.037)  (236.037, 236.617)  (236.617, 236.927)  (237.037, 237.677)  (237.937, 238.338)  (238.338, 238.579)  (238.48, 239.02)    (239.023, 239.149)  (239.149, 239.399)  (239.399, 239.659)  (239.659, 239.927)  (239.927, 240.008)  (240.008, 240.089)  (240.089, 240.374) 
Token Types      : 0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619     
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (240.374, 240.649)  (240.649, 240.889)  (240.889, 241.089)  (241.089, 241.139)  (241.139, 241.189)  (241.189, 241.409)  (241.409, 241.609)  (241.948, 242.089)  (242.089, 242.179)  (242.179, 242.269)  (242.269, 242.449)  (242.449, 242.759)  (242.759, 242.909)  (242.909, 243.357)  (243.481, 243.906) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82484846919708     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġthings             Ġabout              Ġthat               Ġi                  've                 Ġheard              Ġthat               Ġthey               Ġdon                't                  Ġmess               Ġaround             Ġvery               Ġmuch               <emp>              
Timings          : (240.374, 240.649)  (240.649, 240.889)  (240.889, 241.089)  (241.089, 241.139)  (241.139, 241.189)  (241.189, 241.409)  (241.409, 241.609)  (241.948, 242.089)  (242.089, 242.179)  (242.179, 242.269)  (242.269, 242.449)  (242.449, 242.759)  (242.759, 242.909)  (242.909, 243.357)  (243.481, 243.906) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619      82485383790619     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġum                 Ġthey               Ġthey               Ġdon                't                  Ġget                Ġrepealed           Ġas                 Ġeasily             Ġas                 Ġthey               Ġdo                 <emp>               <emp>              
Timings          : (243.892, 244.363)  (244.576, 244.937)  (244.937, 245.243)  (245.564, 245.787)  (245.787, 245.902)  (245.902, 246.017)  (246.017, 246.177)  (246.177, 246.697)  (246.697, 246.837)  (246.837, 247.327)  (247.327, 247.487)  (247.487, 247.657)  (247.657, 248.098)  (248.41, 248.583)   (248.583, 248.755) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyeah               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (243.892, 244.363)  (-1.0, -1.0)        (244.937, 245.243)  (245.564, 245.787)  (245.787, 245.902)  (245.902, 246.017)  (246.017, 246.177)  (246.177, 246.697)  (246.697, 246.837)  (246.837, 247.327)  (247.327, 247.487)  (247.487, 247.657)  (247.657, 248.098)  (248.41, 248.583)   (248.583, 248.755) 
Token Types      : 4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 82485383790619      82485383790619      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82484310048788      82484310048788     
turn_end_types   : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġlike               Ġin                 Ġthe                Ġguy                Ġin                 Ġcal                if                  ornia               Ġgot                Ġthird              Ġyou                Ġknow               Ġtwice              Ġbefore             Ġhe                
Timings          : (248.802, 249.212)  (249.212, 249.352)  (249.352, 249.462)  (249.462, 249.692)  (249.692, 249.842)  (249.842, 250.065)  (250.065, 250.289)  (250.289, 250.512)  (250.512, 250.784)  (251.458, 251.692)  (251.692, 251.822)  (251.822, 252.012)  (252.012, 252.462)  (252.462, 253.171)  (253.571, 253.732) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (249.212, 249.352)  (249.352, 249.462)  (249.462, 249.692)  (249.692, 249.842)  (249.842, 250.065)  (250.065, 250.289)  (250.289, 250.512)  (250.512, 250.784)  (251.458, 251.692)  (251.692, 251.822)  (251.822, 252.012)  (252.012, 252.462)  (252.462, 253.171)  (253.571, 253.732) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82484310048788      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwent               Ġto                 Ġthe                Ġgas                Ġchamber            Ġand                Ġthen               Ġthey               Ġsaid               Ġokay               Ġno                 Ġyou                Ġdon                't                  Ġhave              
Timings          : (253.732, 254.242)  (254.242, 254.342)  (254.342, 254.432)  (254.432, 254.712)  (254.712, 255.002)  (255.002, 255.192)  (255.192, 255.508)  (255.979, 256.142)  (256.142, 256.462)  (256.462, 256.79)   (256.79, 257.28)    (257.28, 257.422)   (257.422, 257.487)  (257.487, 257.552)  (257.552, 257.642) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (253.732, 254.242)  (254.242, 254.342)  (254.342, 254.432)  (254.432, 254.712)  (254.712, 255.002)  (255.002, 255.192)  (255.192, 255.508)  (255.979, 256.142)  (256.142, 256.462)  (256.462, 256.79)   (256.79, 257.28)    (257.28, 257.422)   (257.422, 257.487)  (257.487, 257.552)  (257.552, 257.642) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġgo                 Ġand                Ġthen               Ġthey               Ġtook               Ġhim                Ġback               Ġi                  Ġmean               Ġit                 Ġjust               Ġseems              <yield>             <emp>              
Timings          : (257.642, 257.722)  (257.722, 257.852)  (257.852, 258.002)  (258.002, 258.112)  (258.112, 258.222)  (258.222, 258.432)  (258.432, 258.572)  (258.572, 259.012)  (259.012, 259.052)  (259.052, 259.282)  (259.282, 259.412)  (259.412, 259.592)  (259.592, 259.971)  (-1.0, -1.0)        (259.896, 259.986) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                  
turn_ids         : 82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      82484846919708      0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġj                  eez                 Ġthat              
Timings          : (257.642, 257.722)  (257.722, 257.852)  (257.852, 258.002)  (258.002, 258.112)  (258.112, 258.222)  (258.222, 258.432)  (258.432, 258.572)  (258.572, 259.012)  (259.012, 259.052)  (259.052, 259.282)  (259.282, 259.412)  (259.412, 259.592)  (259.526, 259.711)  (259.711, 259.896)  (259.896, 259.986) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82485383790621      82485383790621      82485383790621     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġit                 Ġjust               Ġseemed             Ġa                  Ġlittle             Ġinconsistent       Ġand                Ġthen              
Timings          : (259.986, 260.076)  (260.076, 260.135)  (260.135, 260.285)  (260.285, 260.355)  (260.355, 260.655)  (260.655, 260.956)  (261.054, 261.404)  (261.404, 261.534)  (261.534, 261.714)  (261.714, 262.004)  (262.004, 262.074)  (262.074, 262.556)  (263.078, 264.127)  (264.127, 264.221)  (264.221, 264.351) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : 's                  Ġa                  Ġlot                Ġof                 Ġrepe               als                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (259.986, 260.076)  (260.076, 260.135)  (260.135, 260.285)  (260.285, 260.355)  (260.355, 260.655)  (260.655, 260.956)  (-1.0, -1.0)        (261.404, 261.534)  (261.534, 261.714)  (261.714, 262.004)  (262.004, 262.074)  (262.074, 262.556)  (263.078, 264.127)  (264.127, 264.221)  (264.221, 264.351) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82485383790621      82485383790621      82485383790621      82485383790621      82485383790621      82485383790621      82485383790621      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġhad                Ġlike               Ġwho                Ġyou                Ġhave               Ġthese              Ġpeople             Ġwho                Ġare                Ġserial             Ġkillers            Ġthat               Ġdidn               't                 
Timings          : (264.351, 264.494)  (264.494, 264.764)  (264.764, 265.184)  (265.184, 265.274)  (265.274, 265.674)  (265.674, 266.034)  (267.347, 267.547)  (267.547, 267.967)  (267.967, 268.077)  (268.077, 268.197)  (268.197, 268.587)  (268.587, 269.087)  (269.087, 269.257)  (269.257, 269.357)  (269.357, 269.457) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (264.351, 264.494)  (264.494, 264.764)  (264.764, 265.184)  (265.184, 265.274)  (265.274, 265.674)  (265.674, 266.034)  (267.347, 267.547)  (267.547, 267.967)  (267.967, 268.077)  (268.077, 268.197)  (268.197, 268.587)  (268.587, 269.087)  (269.087, 269.257)  (269.257, 269.357)  (269.357, 269.457) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġeven               Ġget                Ġthe                Ġdeath              Ġsentence           Ġback               Ġwhenever           <emp>               Ġyou                Ġknow               <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (269.457, 269.647)  (269.647, 269.787)  (269.787, 269.867)  (269.867, 270.127)  (270.127, 270.727)  (270.727, 271.167)  (271.167, 272.787)  (272.022, 272.227)  (272.787, 272.868)  (272.868, 273.044)  (-1.0, -1.0)        (274.004, 274.174)  (274.174, 274.254)  (274.254, 274.335)  (274.335, 274.586) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      82481625694238      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               Ġyeah               Ġi                  Ġdon                't                  Ġknow              
Timings          : (269.457, 269.647)  (269.647, 269.787)  (269.787, 269.867)  (269.867, 270.127)  (270.127, 270.727)  (270.727, 271.167)  (271.817, 272.022)  (272.022, 272.227)  (-1.0, -1.0)        (272.868, 273.044)  (273.734, 274.004)  (274.004, 274.174)  (274.174, 274.254)  (274.254, 274.335)  (274.335, 274.586) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82484310048790      82484310048790      82484310048790      0                   82482162565151      82482162565151      82482162565151      82482162565151      82482162565151     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (274.853, 275.105)  (275.105, 275.22)   (275.22, 275.335)   (275.335, 275.555)  (275.555, 275.615)  (275.615, 275.815)  (275.815, 276.025)  (276.025, 276.264)  (276.264, 276.674)  (276.674, 276.764)  (276.764, 276.905)  (276.905, 277.354)  (277.354, 277.595)  (278.186, 278.604)  (278.604, 278.715) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġi                  'm                  Ġtrying             Ġto                 Ġthink              Ġabout              Ġother              Ġcrimes             Ġthat               Ġwould              Ġwarrant            Ġit                 Ġuh                 Ġi                 
Timings          : (274.853, 275.105)  (275.105, 275.22)   (275.22, 275.335)   (275.335, 275.555)  (275.555, 275.615)  (275.615, 275.815)  (275.815, 276.025)  (276.025, 276.264)  (276.264, 276.674)  (276.674, 276.764)  (276.764, 276.905)  (276.905, 277.354)  (277.354, 277.595)  (278.186, 278.604)  (278.604, 278.715) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (278.715, 279.177)  (279.177, 279.272)  (279.272, 279.405)  (279.405, 279.615)  (279.615, 279.69)   (279.69, 279.764)   (279.764, 279.824)  (279.824, 280.224)  (280.224, 280.395)  (280.395, 280.565)  (280.565, 281.074)  (281.074, 281.174)  (281.174, 281.504)  (281.504, 281.784)  (282.548, 282.715) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġguess              Ġwhat               Ġis                 Ġit                 Ġwhat               's                  Ġthe                Ġpolicy             Ġnow                Ġwith               Ġtreason            Ġdo                 Ġthey               Ġuh                 Ġdo                
Timings          : (278.715, 279.177)  (279.177, 279.272)  (279.272, 279.405)  (279.405, 279.615)  (279.615, 279.69)   (279.69, 279.764)   (279.764, 279.824)  (279.824, 280.224)  (280.224, 280.395)  (280.395, 280.565)  (280.565, 281.074)  (281.074, 281.174)  (281.174, 281.504)  (281.504, 281.784)  (282.548, 282.715) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151      82482162565151     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
