A                : ok                  ay                  Ġum                 Ġi                  'm                  Ġi                  'm                  Ġnot                Ġto                 Ġfamiliar           Ġwith               Ġthe                Ġtopic              Ġbecause            Ġuh                
Timings          : (227.942, 228.371)  (228.94, 229.257)   (229.257, 229.573)  (230.942, 231.187)  (231.187, 231.258)  (231.258, 231.329)  (231.329, 232.074)  (232.469, 232.59)   (232.59, 232.712)   (232.712, 232.832)  (232.832, 233.079)  (233.079, 233.486)  (233.486, 233.602)  (233.602, 233.976)  (234.937, 235.304) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 's                  Ġjust               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>              
Timings          : (235.304, 235.447)  (235.447, 235.59)   (235.59, 235.777)   (-1.0, -1.0)        (235.927, 236.111)  (236.916, 236.999)  (236.999, 237.269)  (237.269, 237.489)  (237.489, 237.569)  (237.569, 237.739)  (237.739, 238.221)  (238.394, 238.648)  (238.648, 238.902)  (-1.0, -1.0)        (239.421, 239.752) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                  
turn_ids         : 82550345170960      82550345170960      82550345170960      82550345170960      0                   0                   0                   0                   0                   0                   0                   82552492654605      82552492654605      82552492654605      0                  
turn_end_types   : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                  

B                : <emp>               Ġwell               <emp>               Ġi                  Ġuh                 Ġthey               Ġsure               Ġneed               Ġto                 Ġdo                 Ġsomething          <emp>               <emp>               Ġwith               Ġuh                
Timings          : (235.304, 235.447)  (235.454, 235.768)  (235.59, 235.777)   (235.768, 235.927)  (235.927, 236.111)  (236.916, 236.999)  (236.999, 237.269)  (237.269, 237.489)  (237.489, 237.569)  (237.569, 237.739)  (237.739, 238.221)  (238.394, 238.648)  (238.648, 238.902)  (239.174, 239.421)  (239.421, 239.752) 
Token Types      : 0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġdo                
Timings          : (241.262, 241.34)   (241.34, 241.559)   (241.559, 241.87)   (241.87, 242.329)   (242.329, 242.49)   (242.49, 242.65)    (242.65, 242.919)   (242.919, 243.133)  (244.484, 244.608)  (244.608, 244.882)  (244.882, 244.972)  (244.972, 245.282)  (245.282, 245.442)  (245.442, 245.721)  (247.025, 247.116) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82550345170962     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġyou                Ġknow               Ġearly              Ġrelease            Ġthere              's                  Ġa                  Ġuh                 Ġas                 Ġfar                Ġas                 Ġletting            Ġthem               Ġout                <eot>              
Timings          : (241.262, 241.34)   (241.34, 241.559)   (241.559, 241.87)   (241.87, 242.329)   (242.329, 242.49)   (242.49, 242.65)    (242.65, 242.919)   (242.919, 243.133)  (244.484, 244.608)  (244.608, 244.882)  (244.882, 244.972)  (244.972, 245.282)  (245.282, 245.442)  (245.442, 245.721)  (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345      82554103267345     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġyou                Ġfeel               Ġthat               Ġthat               's                  Ġworth              <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (247.116, 247.225)  (247.225, 247.435)  (247.435, 247.575)  (247.575, 247.725)  (247.725, 247.875)  (247.875, 248.391)  (-1.0, -1.0)        (248.538, 248.688)  (248.688, 249.338)  (249.338, 249.438)  (249.438, 249.768)  (249.768, 250.408)  (250.408, 250.502)  (250.502, 250.728)  (250.728, 250.867) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82550345170962      82550345170962      82550345170962      82550345170962      82550345170962      82550345170962      82550345170962      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwhen               Ġyou                Ġhave               <emp>               Ġfive               Ġpercent            Ġof                 Ġyour               Ġcapacity           Ġis                 Ġstill              Ġavailable          Ġi                  Ġthink              Ġthey              
Timings          : (247.15, 247.311)   (247.311, 247.478)  (247.478, 247.738)  (247.575, 247.725)  (247.738, 248.048)  (248.048, 248.468)  (248.468, 248.538)  (248.538, 248.688)  (248.688, 249.338)  (249.338, 249.438)  (249.438, 249.768)  (249.768, 250.408)  (250.408, 250.502)  (250.502, 250.728)  (250.728, 250.867) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (250.867, 251.007)  (251.007, 251.26)   (251.373, 251.491)  (251.491, 251.608)  (251.608, 251.934)  (252.71, 252.764)   (252.764, 252.818)  (252.818, 253.081)  (253.51, 253.724)   (253.954, 254.088)  (254.088, 254.668)  (254.668, 254.768)  (254.768, 255.318)  (255.318, 255.728)  (255.728, 255.848) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 're                 Ġuh                 Ġthey               're                 Ġjust               Ġthey               're                 Ġjust               Ġconcerned          Ġtoo                Ġconcerned          Ġwith               Ġprisoners          Ġrights             Ġand               
Timings          : (250.867, 251.007)  (251.007, 251.26)   (251.373, 251.491)  (251.491, 251.608)  (251.608, 251.934)  (252.71, 252.764)   (252.764, 252.818)  (252.818, 253.081)  (253.51, 253.724)   (253.954, 254.088)  (254.088, 254.668)  (254.668, 254.768)  (254.768, 255.318)  (255.318, 255.728)  (255.728, 255.848) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               Ġright              <emp>               <emp>               Ġi                  Ġthey               Ġhad               
Timings          : (255.848, 256.038)  (256.038, 256.278)  (256.278, 256.868)  (256.707, 257.68)   (-1.0, -1.0)        (257.246, 257.518)  (257.518, 257.878)  (257.878, 257.958)  (257.958, 258.175)  (258.714, 259.289)  (259.717, 259.801)  (259.801, 260.052)  (260.035, 260.247)  (260.247, 260.417)  (260.417, 260.556) 
Token Types      : 0                   0                   0                   3                   3                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82552492654607      82552492654607      0                   0                   0                   0                   82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġnot                Ġenough             Ġconcern            Ġfor                Ġvictim             's                  Ġrights             Ġyou                Ġknow               <eot>               Ġi                  Ġmean               Ġuh                 <eint>              <emp>              
Timings          : (255.848, 256.038)  (256.038, 256.278)  (256.278, 256.868)  (256.868, 256.974)  (256.974, 257.246)  (257.246, 257.518)  (257.518, 257.878)  (257.878, 257.958)  (257.958, 258.175)  (-1.0, -1.0)        (259.717, 259.801)  (259.801, 260.052)  (260.052, 260.477)  (-1.0, -1.0)        (260.417, 260.556) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   5                   5                   5                   5                   0                  
turn_ids         : 82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82554103267347      82555177009167      82555177009167      82555177009167      82555177009167      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġa                  Ġuh                 Ġa                  Ġdocumentary        Ġthat               Ġon                 Ġthat               Ġon                 Ġuh                 Ġdo                 Ġyou                Ġever               Ġwatch              Ġforty              Ġeight             
Timings          : (260.556, 260.721)  (260.721, 261.071)  (261.331, 261.495)  (261.495, 262.131)  (262.131, 262.319)  (262.319, 262.487)  (262.487, 262.711)  (262.711, 262.989)  (262.989, 263.415)  (263.415, 263.473)  (263.473, 263.544)  (263.544, 263.607)  (263.607, 263.827)  (263.827, 264.147)  (264.147, 264.277) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (260.556, 260.721)  (260.721, 261.071)  (261.331, 261.495)  (261.495, 262.131)  (262.131, 262.319)  (262.319, 262.487)  (262.487, 262.711)  (262.711, 262.989)  (262.989, 263.415)  (263.415, 263.473)  (263.473, 263.544)  (263.544, 263.607)  (263.607, 263.827)  (263.827, 264.147)  (264.147, 264.277) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhours              <emp>               Ġthey               Ġhad                Ġsomething          Ġvery               Ġsimilar            Ġto                 Ġthat               Ġand                Ġuh                 Ġand                Ġthat               's                  Ġreal              
Timings          : (264.277, 264.746)  (264.925, 265.197)  (265.492, 265.558)  (265.558, 265.756)  (265.756, 266.056)  (266.056, 266.246)  (266.246, 266.666)  (266.666, 266.866)  (266.866, 267.209)  (267.808, 268.028)  (268.028, 268.46)   (269.878, 269.977)  (269.977, 270.098)  (270.098, 270.218)  (270.218, 270.338) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (264.277, 264.746)  (264.925, 265.197)  (-1.0, -1.0)        (265.558, 265.756)  (265.756, 266.056)  (266.056, 266.246)  (266.246, 266.666)  (266.666, 266.866)  (266.866, 267.209)  (267.808, 268.028)  (268.028, 268.46)   (269.878, 269.977)  (269.977, 270.098)  (270.098, 270.218)  (270.218, 270.338) 
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82553029525518      82553029525518      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġscary              Ġtoo                Ġyou                Ġknow               Ġi                  Ġmean               Ġto                 Ġto                 Ġreally             Ġthink              Ġabout              Ġit                 Ġreally             Ġis                 <eot>              
Timings          : (270.338, 270.738)  (270.738, 271.258)  (271.258, 271.348)  (271.348, 271.528)  (271.528, 271.638)  (271.638, 271.953)  (273.424, 273.578)  (273.578, 273.768)  (273.768, 273.988)  (273.988, 274.188)  (274.188, 274.605)  (274.918, 274.986)  (274.986, 275.239)  (275.239, 275.678)  (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964      82550345170964     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell              
Timings          : (270.338, 270.738)  (270.738, 271.258)  (271.258, 271.348)  (271.348, 271.528)  (271.528, 271.638)  (271.638, 271.953)  (273.424, 273.578)  (273.578, 273.768)  (273.768, 273.988)  (273.988, 274.188)  (274.188, 274.605)  (274.918, 274.986)  (274.986, 275.239)  (275.239, 275.678)  (276.06, 276.283)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82550882041877     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (276.283, 276.379)  (276.379, 276.475)  (276.475, 276.659)  (277.145, 277.255)  (277.255, 277.365)  (277.365, 277.425)  (277.425, 277.775)  (277.775, 277.975)  (277.975, 278.445)  (278.445, 278.825)  (278.825, 279.145)  (279.145, 279.465)  (279.465, 279.707)  (280.892, 281.048)  (281.048, 281.7)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthere              's                  Ġa                  Ġthere              's                  Ġa                  Ġbill               Ġbeen               Ġpassed             Ġlast               Ġyear               Ġthat               Ġuh                 Ġwould              Ġallow             
Timings          : (276.283, 276.379)  (276.379, 276.475)  (276.475, 276.659)  (277.145, 277.255)  (277.255, 277.365)  (277.365, 277.425)  (277.425, 277.775)  (277.775, 277.975)  (277.975, 278.445)  (278.445, 278.825)  (278.825, 279.145)  (279.145, 279.465)  (279.465, 279.707)  (280.892, 281.048)  (281.048, 281.7)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (282.69, 282.773)   (282.773, 282.838)  (282.838, 282.902)  (282.902, 283.032)  (283.032, 283.629)  (283.87, 284.292)   (284.292, 284.492)  (284.492, 284.872)  (284.872, 285.132)  (285.132, 285.292)  (285.292, 285.386)  (285.386, 285.48)   (285.48, 286.0)     (286.0, 286.102)    (286.102, 286.382) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġdon                't                  Ġknow               Ġexactly            Ġwhere              Ġthese              Ġbeds               Ġare                Ġbut                Ġthere              's                  Ġsome               Ġi                  Ġguess             
Timings          : (282.69, 282.773)   (282.773, 282.838)  (282.838, 282.902)  (282.902, 283.032)  (283.032, 283.629)  (283.87, 284.292)   (284.292, 284.492)  (284.492, 284.872)  (284.872, 285.132)  (285.132, 285.292)  (285.292, 285.386)  (285.386, 285.48)   (285.48, 286.0)     (286.0, 286.102)    (286.102, 286.382) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (286.382, 286.615)  (287.214, 287.612)  (287.612, 287.782)  (287.782, 288.002)  (288.002, 288.552)  (288.552, 288.862)  (288.862, 289.002)  (289.002, 289.252)  (289.252, 289.523)  (290.196, 290.386)  (290.463, 290.669)  (290.669, 290.857)  (290.857, 291.37)   (291.37, 291.599)   (291.599, 291.772) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               Ġtap                Ġin                 Ġlike               Ġhospital           Ġbeds               Ġand                Ġall                Ġand                Ġwhat               Ġthe                Ġuh                 Ġintent             Ġis                 Ġto                
Timings          : (286.382, 286.615)  (287.214, 287.612)  (287.612, 287.782)  (287.782, 288.002)  (288.002, 288.552)  (288.552, 288.862)  (288.862, 289.002)  (289.002, 289.252)  (289.252, 289.523)  (290.196, 290.386)  (290.463, 290.669)  (290.669, 290.857)  (290.857, 291.37)   (291.37, 291.599)   (291.599, 291.772) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877      82550882041877     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (291.772, 291.992)  (291.992, 292.322)  (292.322, 292.532)  (292.532, 292.732)  (292.732, 292.882)  (292.882, 292.992)  (292.992, 293.442)  (293.442, 293.942)  (293.942, 294.222)  (294.222, 294.352)  (294.352, 294.672)  (294.672, 294.942)  (294.942, 295.152)  (295.152, 295.352)  (295.352, 295.482) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
