A                : why                 Ġdon                't                  Ġyou                Ġgo                 Ġahead              Ġand                Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   80388366008333      80388366008333      80388366008333      0                   0                   0                   0                   0                   80386218524683      80386218524683     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (233.028, 233.196)  (233.645, 233.76)   (233.76, 233.874)   (233.874, 234.044)  (234.044, 234.094)  (234.094, 234.404)  (234.404, 234.895)  (236.149, 236.358)  (236.358, 236.707)  (236.707, 236.816)  (236.816, 236.958)  (236.958, 237.228)  (237.228, 237.338)  (237.338, 237.508)  (237.508, 237.618) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġthat               's                  Ġnot                Ġa                  Ġbad                Ġsystem             Ġbut                Ġi                  Ġi                  Ġdo                 Ġthink              Ġit                 Ġneed               Ġto                
Timings          : (233.028, 233.196)  (233.645, 233.76)   (233.76, 233.874)   (233.874, 234.044)  (234.044, 234.094)  (234.094, 234.404)  (234.404, 234.895)  (236.149, 236.358)  (236.358, 236.707)  (236.707, 236.816)  (236.816, 236.958)  (236.958, 237.228)  (237.228, 237.338)  (237.338, 237.508)  (237.508, 237.618) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (237.618, 237.748)  (237.748, 238.228)  (238.228, 238.418)  (238.418, 238.488)  (238.488, 238.748)  (238.748, 239.077)  (239.288, 239.468)  (239.396, 239.647)  (-1.0, -1.0)        (240.138, 240.408)  (240.408, 240.728)  (240.728, 241.008)  (241.008, 241.488)  (241.488, 241.654)  (241.654, 241.965) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80387829137415      80387829137415      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġbe                 Ġshaken             Ġup                 Ġa                  Ġlittle             Ġbit                Ġbut                <emp>               Ġthe                Ġthing              Ġis                 Ġtoo                Ġmaybe              Ġthey               Ġneed              
Timings          : (237.618, 237.748)  (237.748, 238.228)  (238.228, 238.418)  (238.418, 238.488)  (238.488, 238.748)  (238.748, 239.077)  (239.288, 239.468)  (239.396, 239.647)  (240.058, 240.138)  (240.138, 240.408)  (240.408, 240.728)  (240.728, 241.008)  (241.008, 241.488)  (241.488, 241.654)  (241.654, 241.965) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (242.188, 242.648)  (242.648, 242.708)  (242.708, 243.168)  (244.264, 244.429)  (244.429, 244.501)  (244.501, 244.572)  (244.572, 244.672)  (244.672, 245.002)  (245.002, 245.102)  (245.102, 245.192)  (245.192, 245.752)  (245.752, 246.462)  (246.982, 247.189)  (-1.0, -1.0)        (247.708, 247.918) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80387829137416      80387829137416      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                  

B                : Ġmore               Ġof                 Ġuh                 Ġi                  Ġdon                't                  Ġknow               Ġmore               Ġof                 Ġa                  Ġexpert             Ġtypes              Ġto                 Ġto                 Ġbe                
Timings          : (242.188, 242.648)  (242.648, 242.708)  (242.708, 243.168)  (244.264, 244.429)  (244.429, 244.501)  (244.501, 244.572)  (244.572, 244.672)  (244.672, 245.002)  (245.002, 245.102)  (245.102, 245.192)  (245.192, 245.752)  (245.752, 246.462)  (247.021, 247.4)    (247.543, 247.708)  (247.708, 247.918) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (247.918, 248.148)  (248.148, 248.348)  (248.348, 248.408)  (248.408, 248.598)  (248.598, 248.978)  (248.978, 249.598)  (249.598, 250.236)  (250.782, 251.078)  (251.078, 251.358)  (251.358, 251.508)  (251.508, 251.768)  (251.768, 252.128)  (252.438, 252.548)  (252.548, 252.959)  (253.095, 253.191) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġon                 Ġsome               Ġof                 Ġthese              Ġjury               Ġcases              Ġbecause            Ġmost               Ġtime               Ġyou                Ġjust               Ġpick               Ġyou                Ġknow               Ġjo                
Timings          : (247.918, 248.148)  (248.148, 248.348)  (248.348, 248.408)  (248.408, 248.598)  (248.598, 248.978)  (248.978, 249.598)  (249.598, 250.236)  (250.782, 251.078)  (251.078, 251.358)  (251.358, 251.508)  (251.508, 251.768)  (251.768, 252.128)  (252.438, 252.548)  (252.548, 252.959)  (253.095, 253.191) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>              
Timings          : (253.191, 253.288)  (253.288, 253.658)  (253.658, 253.718)  (253.718, 254.348)  (255.221, 255.803)  (255.803, 256.244)  (256.244, 256.431)  (256.431, 257.011)  (257.011, 257.091)  (257.091, 257.81)   (257.863, 258.058)  (-1.0, -1.0)        (258.276, 258.531)  (258.531, 258.841)  (258.841, 259.091) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80387829137417      80387829137417      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                  

B                : e                   Ġblow               Ġor                 Ġwhoever            Ġand                Ġa                  Ġgood               Ġcitizen            Ġor                 Ġwhoever            <emp>               Ġand                Ġand                Ġcall               Ġthem              
Timings          : (253.191, 253.288)  (253.288, 253.658)  (253.658, 253.718)  (253.718, 254.348)  (255.221, 255.803)  (255.803, 256.244)  (256.244, 256.431)  (256.431, 257.011)  (257.011, 257.091)  (257.091, 257.81)   (257.863, 258.058)  (258.021, 258.276)  (258.276, 258.531)  (258.531, 258.841)  (258.841, 259.091) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683      80386218524683     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġand                Ġlawyers            Ġblow               Ġsand               Ġin                 Ġtheir              Ġeyes               <eot>               Ġi                  Ġwould              Ġlike               Ġto                 Ġsee                Ġmost              
Timings          : (259.091, 259.491)  (259.715, 259.885)  (259.885, 260.185)  (260.185, 260.375)  (260.375, 260.665)  (260.665, 260.725)  (260.725, 260.905)  (260.905, 261.149)  (-1.0, -1.0)        (262.432, 262.572)  (262.572, 262.722)  (262.722, 262.902)  (262.902, 262.962)  (262.962, 263.202)  (263.202, 263.562) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   80385681653772      80385681653772      80385681653772      80385681653772      80385681653772      80385681653772      80385681653772      80385681653772      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġin                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġexactly            <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (259.091, 259.491)  (-1.0, -1.0)        (259.885, 260.185)  (260.185, 260.375)  (260.375, 260.665)  (260.665, 260.725)  (260.725, 260.905)  (260.905, 261.149)  (-1.0, -1.0)        (261.601, 262.569)  (-1.0, -1.0)        (262.722, 262.902)  (262.902, 262.962)  (262.962, 263.202)  (263.202, 263.562) 
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  
turn_ids         : 80386218524683      80386218524683      0                   0                   0                   0                   0                   0                   0                   80386218524685      80386218524685      0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                  


A                : Ġcivil              Ġcases              Ġtried              Ġbefore             Ġa                  Ġpanel              Ġof                 Ġexperts            Ġinstead            Ġof                 Ġordinary           Ġj                  uries               <yield>             Ġinsurance         
Timings          : (263.562, 263.812)  (263.812, 264.252)  (264.252, 264.592)  (264.592, 265.037)  (265.252, 265.367)  (265.367, 265.642)  (265.642, 265.762)  (265.762, 266.242)  (266.242, 266.512)  (266.512, 266.782)  (266.782, 267.132)  (267.132, 267.329)  (267.329, 267.527)  (-1.0, -1.0)        (268.775, 269.225) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653774      80385681653776     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġright              Ġexactly            <eot>              
Timings          : (263.562, 263.812)  (263.812, 264.252)  (264.252, 264.592)  (264.592, 265.037)  (265.252, 265.367)  (265.367, 265.642)  (265.642, 265.762)  (265.762, 266.242)  (266.242, 266.512)  (266.512, 266.782)  (266.782, 267.132)  (267.191, 267.421)  (267.421, 267.901)  (268.031, 268.781)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80389439750159      80389439750159      80389439750159      80389439750159     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : Ġcases              Ġand                Ġthings             Ġlike               Ġthat               <emp>               Ġwhere              Ġand                Ġum                 Ġthere              'd                  Ġbe                 Ġmore               Ġhonest             Ġsettlements       
Timings          : (269.225, 269.565)  (269.565, 269.695)  (269.695, 269.895)  (269.895, 270.065)  (270.065, 270.379)  (270.681, 271.128)  (271.355, 271.605)  (273.027, 273.247)  (273.247, 273.455)  (273.722, 273.79)   (273.79, 273.857)   (273.857, 273.987)  (273.987, 274.287)  (274.287, 274.647)  (274.647, 275.087) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (269.225, 269.565)  (269.565, 269.695)  (269.695, 269.895)  (269.895, 270.065)  (270.065, 270.379)  (270.681, 271.128)  (-1.0, -1.0)        (273.027, 273.247)  (273.247, 273.455)  (273.722, 273.79)   (273.79, 273.857)   (273.857, 273.987)  (273.987, 274.287)  (274.287, 274.647)  (274.647, 275.087) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   80388366008337      80388366008337      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġinstead            Ġof                 Ġthis               Ġum                 Ġuh                 Ġtug                ging                Ġof                 Ġpeople             's                  Ġheart              Ġstrings            Ġand                <emp>               Ġum                
Timings          : (275.087, 275.397)  (275.397, 275.497)  (275.497, 275.767)  (275.767, 276.024)  (276.973, 277.154)  (277.154, 277.314)  (277.314, 277.473)  (277.473, 277.543)  (277.543, 277.718)  (277.718, 277.893)  (277.893, 278.093)  (278.093, 278.506)  (278.506, 278.746)  (279.195, 279.486)  (279.564, 280.023) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (275.087, 275.397)  (275.397, 275.497)  (275.497, 275.767)  (275.767, 276.024)  (276.973, 277.154)  (277.154, 277.314)  (277.314, 277.473)  (277.473, 277.543)  (277.543, 277.718)  (277.718, 277.893)  (277.893, 278.093)  (278.093, 278.506)  (278.506, 278.746)  (279.195, 279.486)  (279.486, 279.776) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80388366008338      80388366008338     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġmaking             Ġthem               Ġcry                Ġand                Ġfeel               Ġlike               Ġthey               're                 Ġdoing              Ġsomebody           Ġgood               Ġby                 Ġgiving             Ġthem               <yield>            
Timings          : (280.023, 280.263)  (280.263, 280.363)  (280.363, 280.673)  (280.673, 280.793)  (280.793, 280.983)  (280.983, 281.143)  (281.143, 281.193)  (281.193, 281.243)  (281.243, 281.443)  (281.443, 281.773)  (281.773, 282.003)  (282.003, 282.289)  (282.809, 283.023)  (283.023, 283.216)  (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776      80385681653776     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġputting            Ġputting           
Timings          : (-1.0, -1.0)        (280.263, 280.363)  (280.363, 280.673)  (280.673, 280.793)  (280.793, 280.983)  (280.983, 281.143)  (281.143, 281.193)  (281.193, 281.243)  (281.243, 281.443)  (281.443, 281.773)  (281.773, 282.003)  (282.003, 282.289)  (282.809, 283.023)  (282.966, 283.255)  (283.255, 283.515) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                  
turn_ids         : 80388366008338      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80389439750161      80389439750161     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġor                 Ġgiving             Ġthem               Ġtwo                Ġmillion            Ġdollars            Ġto                 Ġmake               Ġup                 Ġfor               
Timings          : (283.515, 283.715)  (283.715, 283.815)  (283.815, 284.255)  (284.255, 284.375)  (284.375, 285.015)  (284.962, 285.202)  (285.202, 285.422)  (285.422, 285.512)  (285.512, 285.682)  (285.682, 285.962)  (285.962, 286.282)  (286.282, 286.382)  (286.382, 286.562)  (286.562, 286.712)  (286.712, 286.822) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   80385681653778      80385681653778      80385681653778      80385681653778      80385681653778      80385681653778      80385681653778      80385681653778      80385681653778      80385681653778     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġon                 Ġa                  Ġact                Ġor                 Ġwhatever           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (283.515, 283.715)  (283.715, 283.815)  (283.815, 284.255)  (284.255, 284.375)  (284.375, 285.015)  (-1.0, -1.0)        (285.202, 285.422)  (285.422, 285.512)  (285.512, 285.682)  (285.682, 285.962)  (285.962, 286.282)  (286.282, 286.382)  (286.382, 286.562)  (286.562, 286.712)  (286.712, 286.822) 
Token Types      : 4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80389439750161      80389439750161      80389439750161      80389439750161      80389439750161      80389439750161      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġpain               Ġand                Ġsuffering          <eot>               <emp>               <emp>               so                  <eint>              Ġin                 Ġi                  Ġthink              Ġin                 Ġin                 Ġcriminal          
Timings          : (286.822, 286.902)  (286.902, 287.132)  (287.132, 287.252)  (287.252, 287.774)  (-1.0, -1.0)        (288.249, 288.609)  (289.86, 290.703)   (290.97, 291.247)   (-1.0, -1.0)        (291.967, 292.103)  (292.656, 292.793)  (292.793, 293.004)  (293.349, 293.741)  (293.741, 293.925)  (293.925, 294.247) 
Token Types      : 1                   1                   1                   1                   1                   0                   0                   5                   5                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653778      80385681653778      80385681653778      80385681653778      80385681653778      0                   0                   80389976621070      80389976621070      80385681653780      80385681653780      80385681653780      80385681653780      80385681653780      80385681653780     
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
