A                : ok                  ay                  Ġgo                 Ġahead              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (241.541, 241.651)  (242.201, 242.381)  (242.381, 242.981)  (242.981, 243.296)  (243.296, 243.611)  (243.611, 243.781)  (243.781, 243.981)  (243.981, 244.061)  (244.061, 244.271)  (244.271, 244.401)  (244.691, 244.941)  (244.941, 245.161)  (245.161, 245.544)  (246.039, 246.319)  (246.319, 246.539) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthings             Ġand                Ġsay                Ġyou                Ġknow               Ġthe                Ġenvironment        Ġwise               Ġthis               Ġis                 Ġwhere              Ġwe                 're                 Ġliving             Ġbut               
Timings          : (246.539, 246.839)  (246.839, 246.929)  (246.929, 247.278)  (247.896, 247.979)  (247.979, 248.229)  (248.229, 248.329)  (248.329, 248.979)  (248.979, 249.709)  (250.089, 250.279)  (250.279, 250.399)  (250.399, 250.669)  (250.669, 250.744)  (250.744, 250.819)  (250.819, 251.299)  (251.299, 251.469) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (246.539, 246.839)  (246.839, 246.929)  (246.929, 247.278)  (247.896, 247.979)  (247.979, 248.229)  (248.229, 248.329)  (248.329, 248.979)  (248.979, 249.709)  (250.089, 250.279)  (250.279, 250.399)  (250.399, 250.669)  (250.669, 250.744)  (250.744, 250.819)  (250.819, 251.299)  (251.299, 251.469) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhat               Ġwhat               Ġeffects            Ġit                 Ġand                Ġhow                Ġcan                Ġwe                 Ġimprove            Ġit                 Ġand                Ġthings             Ġlike               Ġthat               Ġand               
Timings          : (251.469, 251.639)  (251.969, 252.109)  (252.109, 252.589)  (252.589, 252.679)  (252.679, 252.789)  (252.789, 252.989)  (252.989, 253.249)  (253.249, 253.359)  (253.359, 253.779)  (253.779, 253.899)  (253.949, 254.039)  (254.039, 254.269)  (254.269, 254.449)  (254.449, 254.649)  (254.649, 254.813) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (251.469, 251.639)  (251.969, 252.109)  (252.109, 252.589)  (252.589, 252.679)  (252.679, 252.789)  (252.789, 252.989)  (252.989, 253.249)  (253.249, 253.359)  (253.359, 253.779)  (253.779, 253.899)  (253.949, 254.039)  (254.039, 254.269)  (254.269, 254.449)  (254.449, 254.649)  (254.649, 254.813) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġi                  Ġthink              Ġin                 Ġspace              Ġum                 Ġi                  Ġdon                't                  Ġknow               Ġhow                Ġmany               Ġpeople             Ġcould              Ġlive              
Timings          : (254.813, 254.886)  (255.146, 255.323)  (255.323, 255.439)  (255.439, 255.549)  (255.549, 256.094)  (256.258, 256.729)  (257.445, 257.615)  (257.615, 257.7)    (257.7, 257.785)    (257.785, 257.975)  (257.975, 258.135)  (258.135, 258.295)  (258.295, 258.605)  (258.605, 258.895)  (258.895, 259.055) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (254.813, 254.886)  (255.146, 255.323)  (255.323, 255.439)  (255.439, 255.549)  (255.549, 256.094)  (256.258, 256.729)  (257.445, 257.615)  (257.615, 257.7)    (257.7, 257.785)    (257.785, 257.975)  (257.975, 258.135)  (258.135, 258.295)  (258.295, 258.605)  (258.605, 258.895)  (258.895, 259.055) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġup                 Ġin                 Ġspace              Ġuh                 Ġfor                Ġany                Ġlength             Ġof                 Ġtime               Ġi                  Ġmean               Ġi                  Ġjust               Ġthe                Ġway               
Timings          : (259.055, 259.275)  (259.275, 259.383)  (259.511, 260.015)  (260.015, 260.235)  (260.235, 260.405)  (260.405, 260.685)  (260.685, 261.025)  (261.025, 261.145)  (261.145, 261.599)  (261.599, 261.75)   (261.75, 261.993)   (261.993, 262.122)  (263.183, 263.623)  (263.623, 263.733)  (263.733, 264.093) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (259.055, 259.275)  (259.275, 259.383)  (259.511, 260.015)  (260.015, 260.235)  (260.235, 260.405)  (260.405, 260.685)  (260.685, 261.025)  (261.025, 261.145)  (261.145, 261.599)  (261.599, 261.75)   (261.75, 261.993)   (261.993, 262.122)  (263.183, 263.623)  (263.623, 263.733)  (263.733, 264.093) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġwe                 're                 Ġaffected           Ġby                 Ġwhen               Ġit                 's                  Ġcloudy             Ġout                Ġand                Ġit                 's                  Ġcloudy             Ġfor               
Timings          : (264.093, 264.343)  (264.343, 264.448)  (264.448, 264.553)  (264.553, 265.083)  (265.083, 265.383)  (265.383, 265.533)  (265.533, 265.608)  (265.608, 265.683)  (265.683, 266.273)  (266.273, 266.503)  (267.123, 267.573)  (267.573, 267.678)  (267.678, 267.783)  (267.783, 268.153)  (268.153, 268.332) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (264.093, 264.343)  (264.343, 264.448)  (264.448, 264.553)  (264.553, 265.083)  (265.083, 265.383)  (265.383, 265.533)  (265.533, 265.608)  (265.608, 265.683)  (265.683, 266.273)  (266.273, 266.503)  (267.123, 267.573)  (267.573, 267.678)  (267.678, 267.783)  (267.783, 268.153)  (268.153, 268.332) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdays               Ġand                Ġwe                 Ġdon                't                  Ġsee                Ġthe                Ġsun                Ġand                Ġthe                Ġpeople             Ġtheir              Ġmood               s                   Ġare               
Timings          : (268.332, 268.656)  (268.656, 268.763)  (268.763, 268.843)  (268.843, 268.948)  (268.948, 269.053)  (269.133, 269.243)  (269.243, 269.514)  (269.514, 269.822)  (270.21, 270.55)    (270.55, 270.61)    (270.61, 271.23)    (271.23, 271.34)    (271.34, 271.676)   (271.676, 272.012)  (272.321, 272.56)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (268.332, 268.656)  (268.656, 268.763)  (268.763, 268.843)  (268.843, 268.948)  (268.948, 269.053)  (269.133, 269.243)  (269.243, 269.514)  (269.514, 269.822)  (270.21, 270.55)    (270.55, 270.61)    (270.61, 271.23)    (271.23, 271.34)    (271.34, 271.676)   (271.676, 272.012)  (272.321, 272.56)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġextreme            Ġyou                Ġknow               Ġit                 's                  Ġlike               Ġgod                Ġif                 Ġi                  Ġdon                't                  Ġget                Ġto                 Ġsee                Ġthe               
Timings          : (272.56, 273.43)    (273.43, 273.54)    (273.54, 273.76)    (273.76, 273.865)   (273.865, 273.97)   (273.97, 274.309)   (274.723, 274.94)   (274.94, 275.06)    (275.06, 275.144)   (275.144, 275.233)  (275.233, 275.321)  (275.321, 275.51)   (275.51, 275.59)    (275.59, 275.81)    (275.81, 275.91)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (272.56, 273.43)    (273.43, 273.54)    (273.516, 273.866)  (-1.0, -1.0)        (273.865, 273.97)   (273.97, 274.309)   (274.723, 274.94)   (274.94, 275.06)    (275.06, 275.144)   (275.144, 275.233)  (275.233, 275.321)  (275.321, 275.51)   (275.51, 275.59)    (275.59, 275.81)    (275.81, 275.91)   
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   82845087301639      82845087301639      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsun                Ġi                  'm                  Ġgonna              Ġbe                 Ġin                 Ġthis               Ġbad                Ġmood               Ġall                Ġthis               Ġentire             Ġtime               Ġi                  Ġmean              
Timings          : (275.91, 276.33)    (276.33, 276.405)   (276.405, 276.48)   (276.48, 276.67)    (276.67, 276.83)    (276.83, 277.0)     (277.0, 277.21)     (277.21, 277.51)    (277.51, 277.73)    (277.73, 277.89)    (277.89, 278.1)     (278.1, 278.46)     (278.46, 278.81)    (278.81, 278.89)    (278.89, 279.104)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (275.91, 276.33)    (276.33, 276.405)   (276.405, 276.48)   (276.48, 276.67)    (276.67, 276.83)    (276.83, 277.0)     (277.0, 277.21)     (277.21, 277.51)    (277.51, 277.73)    (277.73, 277.89)    (277.89, 278.1)     (278.1, 278.46)     (278.46, 278.81)    (278.81, 278.89)    (278.89, 279.104)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthis               Ġis                 Ġhow                Ġi                  Ġsee                Ġpeople             Ġreacting           Ġyou                Ġknow               Ġwhen               Ġis                 Ġthe                Ġsun                Ġgonna              Ġcome              
Timings          : (279.428, 279.571)  (279.571, 279.695)  (279.695, 279.87)   (279.87, 279.98)    (279.98, 280.31)    (280.31, 280.71)    (280.71, 281.48)    (281.48, 281.54)    (281.54, 281.67)    (281.67, 281.86)    (281.86, 281.97)    (281.97, 282.05)    (282.05, 282.38)    (282.38, 282.57)    (282.57, 282.78)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (279.428, 279.571)  (279.571, 279.695)  (279.695, 279.87)   (279.87, 279.98)    (279.98, 280.31)    (280.31, 280.71)    (280.71, 281.48)    (281.48, 281.54)    (281.54, 281.67)    (281.67, 281.86)    (281.86, 281.97)    (281.97, 282.05)    (282.05, 282.38)    (282.38, 282.57)    (282.57, 282.78)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġout                Ġso                 Ġi                  Ġwonder             Ġhow                Ġyou                Ġknow               Ġsomebody           Ġliving             Ġup                 Ġin                 Ġspace              Ġis                 Ġgoing              Ġto                
Timings          : (282.78, 283.02)    (283.396, 283.486)  (283.486, 283.566)  (283.566, 283.926)  (283.926, 284.246)  (284.822, 284.906)  (284.906, 284.996)  (284.996, 285.336)  (285.336, 285.666)  (285.666, 285.796)  (285.796, 285.886)  (285.996, 286.436)  (286.436, 286.586)  (286.586, 286.876)  (286.876, 286.996) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (282.78, 283.02)    (283.396, 283.486)  (283.486, 283.566)  (283.566, 283.926)  (283.926, 284.246)  (284.822, 284.906)  (284.906, 284.996)  (284.996, 285.336)  (285.336, 285.666)  (285.666, 285.796)  (285.796, 285.886)  (285.996, 286.436)  (286.436, 286.586)  (286.586, 286.876)  (286.876, 286.996) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbe                 Ġable               Ġto                 Ġtolerate           Ġnever              Ġseeing             Ġthe                Ġsun                Ġyou                Ġknow               Ġin                 Ġthe                Ġaspect             Ġthat               Ġwe                
Timings          : (286.996, 287.086)  (287.086, 287.326)  (287.326, 287.416)  (287.416, 287.906)  (287.906, 288.251)  (288.251, 288.676)  (288.676, 288.816)  (288.816, 289.296)  (289.883, 289.993)  (289.993, 290.103)  (290.103, 290.213)  (290.213, 290.293)  (290.293, 290.723)  (290.723, 290.833)  (290.833, 291.093) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082      82842402947082     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (286.996, 287.086)  (287.086, 287.326)  (287.326, 287.416)  (287.416, 287.906)  (287.906, 288.251)  (288.251, 288.676)  (288.676, 288.816)  (288.816, 289.296)  (289.883, 289.993)  (289.993, 290.103)  (290.103, 290.213)  (290.213, 290.293)  (290.293, 290.723)  (290.723, 290.833)  (290.833, 291.093) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
