A                : now                 Ġum                 Ġwe                 're                 Ġdriving            Ġa                  Ġnineteen           Ġeighty             Ġfive               Ġuh                 Ġbu                 ick                 Ġpark               Ġavenue             Ġthat              
turn_ids         : 81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      81592030593037      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġlittle             Ġbit                Ġmore               Ġwhere              Ġyou                Ġhave               Ġneed               Ġthe                Ġair                Ġconditioning       Ġmore               Ġthan               Ġwe                 Ġdo                 Ġup                
Timings          : (239.717, 239.957)  (239.957, 240.107)  (240.107, 240.577)  (240.937, 241.062)  (241.062, 241.237)  (241.237, 241.347)  (241.347, 241.607)  (241.607, 241.687)  (241.687, 241.857)  (241.857, 242.337)  (242.337, 242.517)  (242.517, 242.667)  (242.667, 242.777)  (242.777, 242.997)  (242.997, 243.177) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654      81588272496654     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (239.717, 239.957)  (239.957, 240.107)  (240.107, 240.577)  (240.937, 241.062)  (241.062, 241.237)  (241.237, 241.347)  (241.347, 241.607)  (241.607, 241.687)  (241.687, 241.857)  (241.857, 242.337)  (242.337, 242.517)  (242.517, 242.667)  (242.667, 242.777)  (242.777, 242.997)  (242.997, 243.177) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhere               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (243.177, 243.558)  (-1.0, -1.0)        (243.712, 244.042)  (244.042, 244.152)  (244.152, 244.242)  (244.242, 244.332)  (244.332, 244.622)  (244.622, 244.742)  (244.742, 245.092)  (245.092, 245.302)  (245.302, 245.452)  (245.452, 245.832)  (245.832, 245.992)  (245.992, 246.148)  (246.148, 246.349) 
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81588272496654      81588272496654      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġyou                Ġbet                Ġthey               Ġdon                't                  Ġsell               Ġany                Ġcars               Ġdown               Ġhere               Ġwithout            Ġit                 Ġyou                Ġknow              
Timings          : (243.177, 243.558)  (243.571, 243.712)  (243.712, 244.042)  (244.042, 244.152)  (244.152, 244.242)  (244.242, 244.332)  (244.332, 244.622)  (244.622, 244.742)  (244.742, 245.092)  (245.092, 245.302)  (245.302, 245.452)  (245.452, 245.832)  (245.832, 245.992)  (245.992, 246.148)  (246.148, 246.349) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   81588809367567      81588809367567      81588809367567      81588809367567      81588809367567      81588809367567      81588809367567      81588809367567      81588809367567      81588809367567      81588809367567      81588809367567      81588809367567      81588809367567     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġyeah               Ġsee                Ġup                 Ġhere               Ġit                 's                  Ġit                 's                  Ġdefinitely         Ġdefinitely         Ġan                 Ġoption             Ġtype               Ġthing              Ġbecause           
Timings          : (246.857, 247.136)  (247.136, 247.347)  (247.347, 247.537)  (247.537, 247.847)  (247.847, 247.977)  (247.977, 248.107)  (248.107, 248.227)  (248.227, 248.347)  (248.347, 248.558)  (248.558, 248.939)  (248.939, 249.037)  (249.037, 249.607)  (249.84, 250.087)   (250.087, 250.317)  (250.317, 250.757) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (247.136, 247.347)  (247.347, 247.537)  (247.537, 247.847)  (247.847, 247.977)  (247.977, 248.107)  (248.107, 248.227)  (248.227, 248.347)  (248.347, 248.558)  (248.558, 248.939)  (248.939, 249.037)  (249.037, 249.607)  (249.84, 250.087)   (250.087, 250.317)  (250.317, 250.757) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81588809367567      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwe                 Ġonly               Ġhave               Ġabout              Ġthree              Ġmonths             Ġof                 Ġreally             Ġhot                Ġweather            <emp>               <emp>               Ġeverything         Ġelse               Ġis                
Timings          : (250.757, 250.907)  (250.907, 251.137)  (251.137, 251.497)  (251.497, 251.949)  (251.949, 252.337)  (252.337, 252.667)  (252.667, 252.827)  (252.827, 253.087)  (253.087, 253.397)  (253.397, 253.824)  (254.118, 254.303)  (254.303, 254.488)  (254.547, 254.883)  (254.883, 255.173)  (255.173, 255.292) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (250.757, 250.907)  (250.907, 251.137)  (251.137, 251.497)  (251.497, 251.949)  (251.949, 252.337)  (252.337, 252.667)  (252.667, 252.827)  (252.827, 253.087)  (253.087, 253.397)  (253.397, 253.824)  (254.118, 254.303)  (254.303, 254.488)  (-1.0, -1.0)        (254.883, 255.173)  (255.173, 255.292) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81590956851216      81590956851216      81590956851216      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                  


A                : Ġfairly             Ġmoderate           Ġthen               Ġwe                 Ġhave               Ġthe                Ġworld              Ġfamous             Ġro                 chester             Ġslash              Ġbuffalo            Ġwinters            Ġso                 Ġa                 
Timings          : (255.292, 255.633)  (255.633, 256.043)  (256.043, 256.163)  (256.163, 256.253)  (256.253, 256.483)  (256.483, 256.552)  (256.552, 256.922)  (256.922, 257.354)  (257.606, 257.904)  (257.904, 258.203)  (258.203, 258.612)  (258.612, 259.103)  (259.103, 259.78)   (260.738, 261.255)  (261.255, 261.372) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (255.292, 255.633)  (255.633, 256.043)  (256.043, 256.163)  (256.163, 256.253)  (256.253, 256.483)  (256.483, 256.552)  (256.552, 256.922)  (256.922, 257.354)  (257.606, 257.904)  (257.904, 258.203)  (258.203, 258.612)  (258.612, 259.103)  (259.103, 259.78)   (260.738, 261.255)  (261.255, 261.372) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsun                Ġroof               Ġis                 Ġreally             Ġa                  Ġsnow               Ġroof               Ġyou                Ġknow               Ġo                  oh                  Ġlook               Ġsnow               <eot>               Ġi                 
Timings          : (261.372, 261.722)  (261.722, 261.932)  (261.932, 261.992)  (261.992, 262.351)  (262.351, 262.434)  (262.434, 262.932)  (262.932, 263.276)  (263.276, 263.378)  (263.378, 263.566)  (263.566, 263.666)  (263.666, 263.766)  (263.766, 264.032)  (264.032, 264.376)  (-1.0, -1.0)        (265.248, 265.389) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   4                  
turn_ids         : 81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81588272496656      81591493722130     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġgreat             
Timings          : (261.372, 261.722)  (261.722, 261.932)  (261.932, 261.992)  (261.992, 262.351)  (262.351, 262.434)  (262.434, 262.932)  (262.932, 263.276)  (263.276, 263.378)  (263.378, 263.566)  (263.566, 263.666)  (263.666, 263.766)  (263.766, 264.032)  (264.032, 264.376)  (264.719, 265.115)  (265.115, 265.537) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81588809367569      81588809367569     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġmean               Ġi                  Ġthink              Ġwhat               Ġelse               Ġyou                're                 Ġgoing              Ġto                 Ġsee                Ġyou                Ġknow               <emp>               <emp>               <emp>              
Timings          : (265.389, 265.904)  (265.904, 266.059)  (266.059, 266.303)  (266.303, 266.443)  (266.443, 266.633)  (266.633, 266.678)  (266.678, 266.723)  (266.723, 266.843)  (266.843, 266.933)  (266.933, 267.243)  (267.243, 267.413)  (267.413, 267.632)  (267.761, 267.96)   (267.96, 268.158)   (268.158, 268.357) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                 
Timings          : (-1.0, -1.0)        (265.904, 266.059)  (266.059, 266.303)  (266.303, 266.443)  (266.443, 266.633)  (266.633, 266.678)  (266.678, 266.723)  (266.723, 266.843)  (266.843, 266.933)  (266.933, 267.243)  (267.243, 267.413)  (267.413, 267.632)  (267.761, 267.96)   (267.96, 268.158)   (268.158, 268.357) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 81588809367569      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81590956851218      81590956851218      81590956851218     
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : Ġlooking            Ġup                 Ġat                 Ġyour               Ġdoom               Ġas                 Ġthe                Ġsnow               Ġcomes              Ġp                  umm                 eling               Ġdown               Ġbut                <eot>              
Timings          : (269.193, 269.533)  (269.533, 269.663)  (269.663, 269.763)  (269.763, 269.923)  (269.923, 270.393)  (270.393, 270.563)  (270.563, 270.663)  (270.663, 270.933)  (270.933, 271.243)  (271.243, 271.42)   (271.42, 271.596)   (271.596, 271.773)  (271.773, 272.193)  (272.193, 272.336)  (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130      81591493722130     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġno                
Timings          : (-1.0, -1.0)        (269.533, 269.663)  (269.663, 269.763)  (269.763, 269.923)  (269.923, 270.393)  (270.393, 270.563)  (270.563, 270.663)  (270.663, 270.933)  (270.933, 271.243)  (271.243, 271.42)   (271.42, 271.596)   (271.596, 271.773)  (271.773, 272.193)  (272.238, 272.445)  (272.445, 272.903) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 81590956851218      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81588809367571      81588809367571     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġwell               Ġthat               's                  Ġthe                Ġother              Ġthing              Ġis                 Ġa                  Ġcar                Ġneeds              Ġto                 Ġbe                 Ġable               Ġto                 Ġhandle            
Timings          : (273.356, 273.583)  (273.583, 273.717)  (273.717, 273.851)  (273.851, 273.983)  (273.983, 274.173)  (274.173, 274.443)  (274.443, 274.593)  (274.593, 274.673)  (274.673, 274.973)  (274.973, 275.243)  (275.243, 275.488)  (275.488, 275.673)  (275.673, 275.843)  (275.843, 275.923)  (275.923, 276.323) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (273.583, 273.717)  (273.717, 273.851)  (273.851, 273.983)  (273.983, 274.173)  (274.173, 274.443)  (274.443, 274.593)  (274.593, 274.673)  (274.673, 274.973)  (274.973, 275.243)  (275.243, 275.488)  (275.488, 275.673)  (275.673, 275.843)  (275.843, 275.923)  (275.923, 276.323) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81588809367571      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġsalt               Ġup                 Ġhere               Ġthat               Ġthey               Ġpour               Ġon                 Ġthe                Ġroads              <eot>               <emp>               <emp>               Ġand                Ġthat              
Timings          : (276.323, 276.403)  (276.403, 276.883)  (276.883, 277.133)  (277.133, 277.393)  (277.393, 277.563)  (277.563, 277.703)  (277.703, 278.223)  (278.223, 278.393)  (278.393, 278.473)  (278.473, 279.03)   (-1.0, -1.0)        (279.201, 279.314)  (279.314, 279.819)  (279.796, 279.94)   (279.94, 280.05)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   4                   4                  
turn_ids         : 81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      81588272496660      0                   0                   81591493722134      81591493722134     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġthat               's                  Ġright              <emp>               <emp>              
Timings          : (276.323, 276.403)  (276.403, 276.883)  (276.883, 277.133)  (277.133, 277.393)  (277.393, 277.563)  (277.563, 277.703)  (277.703, 278.223)  (278.223, 278.393)  (278.393, 278.473)  (278.473, 279.03)   (279.088, 279.201)  (279.201, 279.314)  (279.314, 279.819)  (279.796, 279.94)   (279.94, 280.05)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81588809367573      81588809367573      81588809367573      81588809367573      81588809367573     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : 's                  Ġwhat               Ġkills              Ġcars               Ġup                 Ġhere               Ġis                 Ġyou                Ġknow               Ġthe                Ġsalt               Ġrust               s                   Ġthem               Ġout               
Timings          : (280.05, 280.16)    (280.16, 280.3)     (280.3, 280.64)     (280.64, 281.11)    (281.11, 281.31)    (281.31, 281.57)    (281.57, 281.81)    (281.81, 281.88)    (281.88, 282.0)     (282.0, 282.08)     (282.08, 282.49)    (282.49, 282.675)   (282.675, 282.86)   (282.86, 283.04)    (283.04, 283.36)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġright              <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (280.075, 280.321)  (-1.0, -1.0)        (280.3, 280.64)     (280.64, 281.11)    (281.11, 281.31)    (281.31, 281.57)    (281.57, 281.81)    (281.81, 281.88)    (281.88, 282.0)     (282.0, 282.08)     (282.08, 282.49)    (282.49, 282.675)   (282.675, 282.86)   (282.86, 283.04)    (283.04, 283.36)   
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81588809367573      81588809367573      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġthen               Ġthey               Ġdie                Ġyears              Ġbefore             Ġyou                Ġyou                Ġknow               Ġa                  Ġcar                Ġfrom               Ġcal                if                  ornia              
Timings          : (283.36, 283.51)    (283.51, 283.61)    (283.61, 283.74)    (283.74, 284.07)    (284.07, 284.62)    (284.62, 285.178)   (285.547, 285.721)  (285.721, 285.939)  (285.939, 286.11)   (286.11, 286.2)     (286.2, 286.46)     (286.46, 286.71)    (286.71, 286.956)   (286.956, 287.203)  (287.203, 287.45)  
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134      81591493722134     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
