A                : ok                  ay                  Ġuh                 Ġwe                 Ġkeep               Ġa                  Ġmonthly            Ġbudget             Ġi                  Ġjust               Ġrecently           Ġstopped            Ġworking            Ġso                 Ġi                 


A                : Ġyeah               Ġit                 Ġis                 <emp>               Ġit                 Ġis                 Ġyeah               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (226.244, 226.958)  (226.958, 227.028)  (227.028, 227.438)  (228.214, 228.884)  (228.968, 229.178)  (229.178, 229.663)  (229.971, 230.467)  (-1.0, -1.0)        (230.264, 230.314)  (230.314, 230.524)  (230.524, 230.654)  (230.654, 230.774)  (230.774, 230.924)  (230.924, 231.214)  (231.214, 231.384) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81760071188498      81760071188498      81760071188498      81760071188498      81760071188498      81760071188498      81760071188498      81760071188498      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <eot>               <emp>               <emp>               Ġbut                Ġyou                Ġknow               Ġif                 Ġthey               're                 Ġgonna              Ġbe                 Ġin                 Ġday                Ġcare               Ġthen              
Timings          : (-1.0, -1.0)        (226.958, 227.028)  (227.028, 227.438)  (228.214, 228.884)  (228.884, 229.104)  (229.104, 229.442)  (230.052, 230.214)  (230.214, 230.264)  (230.264, 230.314)  (230.314, 230.524)  (230.524, 230.654)  (230.654, 230.774)  (230.774, 230.924)  (230.924, 231.214)  (231.214, 231.384) 
Token Types      : 1                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81760608059409      0                   0                   81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883     
turn_end_types   : 1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>              
Timings          : (231.384, 231.494)  (231.494, 231.804)  (231.804, 231.944)  (231.944, 232.224)  (232.574, 232.704)  (232.704, 233.454)  (233.454, 233.644)  (233.644, 233.874)  (233.874, 234.174)  (234.174, 234.524)  (234.524, 235.002)  (234.919, 235.231)  (235.231, 235.544)  (-1.0, -1.0)        (236.447, 236.507) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81762218672152      81762218672152      81762218672152      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                  

B                : Ġthey               Ġneed               Ġto                 Ġhave               Ġsome               Ġactivities         Ġother              Ġthan               Ġjust               Ġbeing              Ġthere              <emp>               <emp>               Ġhow                Ġdo                
Timings          : (231.384, 231.494)  (231.494, 231.804)  (231.804, 231.944)  (231.944, 232.224)  (232.574, 232.704)  (232.704, 233.454)  (233.454, 233.644)  (233.644, 233.874)  (233.874, 234.174)  (234.174, 234.524)  (234.524, 235.002)  (234.919, 235.231)  (235.231, 235.544)  (236.121, 236.447)  (236.447, 236.507) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      81763829284883     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġi                  Ġhave               Ġtwo                Ġone                Ġis                 Ġfour               Ġand                Ġa                  Ġhalf               Ġand                Ġthe               
Timings          : (236.507, 236.597)  (236.597, 236.727)  (236.727, 236.927)  (236.927, 237.525)  (237.536, 237.616)  (237.616, 237.806)  (237.806, 238.216)  (238.216, 238.466)  (238.466, 238.676)  (238.676, 239.086)  (239.086, 239.176)  (239.176, 239.216)  (239.216, 239.606)  (239.606, 239.706)  (239.706, 239.766) 
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81760071188500     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyou                Ġhave               Ġtwo                Ġchildren           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (236.507, 236.597)  (236.597, 236.727)  (236.727, 236.927)  (236.927, 237.525)  (-1.0, -1.0)        (237.616, 237.806)  (237.806, 238.216)  (238.216, 238.466)  (238.466, 238.676)  (238.676, 239.086)  (239.086, 239.176)  (239.176, 239.216)  (239.216, 239.606)  (239.606, 239.706)  (239.706, 239.766) 
Token Types      : 4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81763829284883      81763829284883      81763829284883      81763829284883      81763829284883      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġother              Ġone                's                  Ġtwo                Ġand                Ġa                  Ġhalf               <eot>               Ġso                 <eint>              <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (239.766, 239.886)  (239.886, 240.016)  (240.016, 240.146)  (240.146, 240.356)  (240.356, 240.456)  (240.456, 240.496)  (240.496, 241.074)  (-1.0, -1.0)        (241.891, 242.133)  (-1.0, -1.0)        (242.188, 242.788)  (242.788, 243.312)  (243.291, 243.683)  (-1.0, -1.0)        (244.822, 244.938) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   5                   5                   0                   0                   3                   3                   0                  
turn_ids         : 81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81760071188500      81764366155806      81764366155806      0                   0                   81762218672154      81762218672154      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthey               're                 Ġexpensive          Ġtoo                Ġuh                 Ġjust               Ġthe               
Timings          : (239.766, 239.886)  (239.886, 240.016)  (240.016, 240.146)  (240.146, 240.356)  (240.356, 240.456)  (240.456, 240.496)  (240.496, 241.074)  (241.738, 241.938)  (241.938, 242.063)  (242.063, 242.188)  (242.188, 242.788)  (242.788, 243.312)  (243.312, 243.743)  (244.537, 244.822)  (244.822, 244.938) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <emp>               <emp>               Ġthat               <emp>               <emp>               Ġyeah               Ġi                  Ġjust               Ġcame              
Timings          : (245.209, 245.483)  (245.483, 245.758)  (245.758, 245.868)  (245.868, 245.988)  (245.988, 246.608)  (246.711, 247.121)  (246.818, 246.928)  (246.928, 247.038)  (247.121, 247.381)  (247.218, 247.348)  (247.348, 247.882)  (248.017, 248.475)  (248.475, 248.643)  (248.643, 248.873)  (248.873, 249.061) 
Token Types      : 0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġout                growing             Ġof                 Ġtheir              Ġclothes            Ġso                 Ġi                  'm                  Ġsure               Ġthe                Ġbudget             <yield>             <emp>               <emp>               <emp>              
Timings          : (245.209, 245.483)  (245.483, 245.758)  (245.758, 245.868)  (245.868, 245.988)  (245.988, 246.608)  (246.608, 246.818)  (246.818, 246.928)  (246.928, 247.038)  (247.038, 247.218)  (247.218, 247.348)  (247.348, 247.882)  (-1.0, -1.0)        (248.475, 248.643)  (248.643, 248.873)  (248.873, 249.061) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      81760608059413      0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġback               Ġto                 Ġfind               Ġjeans              Ġfor                Ġthe                Ġlittle             Ġone                Ġand                Ġit                 Ġdoes               Ġadd                Ġup                 Ġyeah               Ġbut               
Timings          : (249.061, 249.281)  (249.281, 249.381)  (249.381, 249.682)  (249.682, 250.223)  (250.223, 250.531)  (250.531, 250.601)  (250.601, 250.871)  (250.871, 251.161)  (251.161, 251.391)  (252.001, 252.151)  (252.151, 252.531)  (252.531, 252.951)  (252.951, 253.271)  (253.271, 253.742)  (254.452, 254.841) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974      81763292413974     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (249.061, 249.281)  (249.281, 249.381)  (249.381, 249.682)  (249.682, 250.223)  (250.223, 250.531)  (250.531, 250.601)  (250.601, 250.871)  (250.871, 251.161)  (251.161, 251.391)  (252.001, 252.151)  (252.151, 252.531)  (252.531, 252.951)  (252.951, 253.271)  (253.271, 253.742)  (254.358, 254.829) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81762755543056     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : Ġum                 <eot>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (254.841, 255.326)  (-1.0, -1.0)        (256.636, 257.076)  (257.076, 257.436)  (258.307, 258.873)  (-1.0, -1.0)        (259.246, 259.736)  (259.736, 259.866)  (259.866, 260.232)  (260.417, 260.576)  (260.845, 261.282)  (261.964, 262.195)  (262.195, 262.326)  (262.326, 262.535)  (262.535, 262.746) 
Token Types      : 4                   4                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81763292413974      81763292413974      0                   0                   81762218672156      81762218672156      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <ebc>               Ġand                Ġmedical            Ġbill               Ġalthough           Ġthe                Ġinsurance          Ġwe                 Ġhad                Ġwas                Ġgood               Ġuh                 Ġwhen               Ġth                 omas               
Timings          : (-1.0, -1.0)        (256.416, 256.636)  (256.636, 257.076)  (257.076, 257.436)  (258.586, 259.036)  (259.036, 259.246)  (259.246, 259.736)  (259.736, 259.866)  (259.866, 260.232)  (260.417, 260.576)  (260.845, 261.282)  (261.964, 262.195)  (262.195, 262.326)  (262.326, 262.535)  (262.535, 262.746) 
Token Types      : 3                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81762755543056      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (262.746, 262.926)  (262.926, 263.418)  (263.776, 263.896)  (263.896, 264.155)  (264.155, 264.276)  (264.276, 264.355)  (264.355, 264.706)  (264.706, 264.855)  (264.855, 264.926)  (264.926, 265.065)  (265.065, 265.366)  (265.366, 265.526)  (265.646, 266.191)  (267.068, 267.288)  (267.288, 267.498) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwas                Ġyounger            Ġa                  Ġlot                Ġof                 Ġthe                Ġstuff              Ġhad                Ġto                 Ġbe                 Ġpaid               Ġup                 Ġfront              Ġand                Ġthen              
Timings          : (262.746, 262.926)  (262.926, 263.418)  (263.776, 263.896)  (263.896, 264.155)  (264.155, 264.276)  (264.276, 264.355)  (264.355, 264.706)  (264.706, 264.855)  (264.855, 264.926)  (264.926, 265.065)  (265.065, 265.366)  (265.366, 265.526)  (265.646, 266.191)  (267.068, 267.288)  (267.288, 267.498) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (267.498, 267.618)  (267.618, 267.788)  (267.788, 268.113)  (268.113, 268.438)  (268.438, 268.528)  (268.528, 268.638)  (268.638, 268.828)  (268.828, 269.218)  (269.218, 269.368)  (269.368, 269.448)  (269.448, 269.528)  (269.528, 269.668)  (269.668, 269.718)  (269.718, 269.978)  (269.978, 270.038) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġwere               Ġreimb              ursed               Ġso                 Ġit                 Ġwas                Ġnice               Ġwhen               Ġyou                'd                  Ġget                Ġa                  Ġcouple             Ġof                
Timings          : (267.498, 267.618)  (267.618, 267.788)  (267.788, 268.113)  (268.113, 268.438)  (268.438, 268.528)  (268.528, 268.638)  (268.638, 268.828)  (268.828, 269.218)  (269.218, 269.368)  (269.368, 269.448)  (269.448, 269.528)  (269.528, 269.668)  (269.668, 269.718)  (269.718, 269.978)  (269.978, 270.038) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (270.038, 270.298)  (270.298, 270.588)  (270.588, 270.968)  (270.968, 271.16)   (271.16, 271.356)   (271.677, 272.548)  (272.548, 272.738)  (272.738, 272.808)  (272.808, 272.868)  (272.868, 273.458)  (273.458, 273.558)  (273.558, 273.708)  (273.708, 273.788)  (273.788, 274.008)  (274.008, 274.158) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhundred            Ġdollar             Ġcheck              Ġfrom               Ġthe                Ġinsurance          Ġbut                Ġin                 Ġthe                Ġmeantime           Ġyou                Ġhad                Ġto                 Ġput                Ġout               
Timings          : (270.038, 270.298)  (270.298, 270.588)  (270.588, 270.968)  (270.968, 271.16)   (271.16, 271.356)   (271.677, 272.548)  (272.548, 272.738)  (272.738, 272.808)  (272.808, 272.868)  (272.868, 273.458)  (273.458, 273.558)  (273.558, 273.708)  (273.708, 273.788)  (273.788, 274.008)  (274.008, 274.158) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415      81760608059415     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġyeah               Ġyeah               Ġwell               Ġthat               Ġthat               's                  Ġthat               's                  Ġhard               <emp>               <emp>               Ġbut               
Timings          : (274.158, 274.228)  (274.228, 274.528)  (274.528, 274.962)  (275.091, 275.768)  (276.5, 277.059)    (277.978, 278.478)  (278.892, 279.101)  (279.741, 279.98)   (279.98, 280.219)   (280.219, 280.338)  (280.338, 280.458)  (280.458, 280.949)  (281.211, 281.507)  (281.507, 281.688)  (281.639, 281.778) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġthe                Ġmoney              Ġfirst              <eot>               <emp>               <emp>               Ġbut                <eint>              <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġit                 Ġis                
Timings          : (274.158, 274.228)  (274.228, 274.528)  (274.528, 274.962)  (-1.0, -1.0)        (276.5, 277.059)    (277.978, 278.478)  (278.316, 279.238)  (-1.0, -1.0)        (279.98, 280.219)   (280.219, 280.338)  (280.338, 280.458)  (280.458, 280.949)  (281.211, 281.507)  (281.507, 281.688)  (281.688, 282.074) 
Token Types      : 1                   1                   1                   1                   0                   0                   5                   5                   0                   0                   0                   0                   5                   5                   5                  
turn_ids         : 81760608059415      81760608059415      81760608059415      81760608059415      0                   0                   81764903026707      81764903026707      0                   0                   0                   0                   81764903026708      81764903026708      81764903026708     
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   2                   2                   0                   0                   0                   0                   2                   2                   2                  


A                : Ġi                  'm                  Ġenjoying           Ġmy                 Ġstay               Ġhome               Ġfor                Ġthe                Ġlittle             Ġtime               Ġthat               Ġi                  Ġcan                <eot>               <emp>              
Timings          : (281.778, 281.868)  (281.868, 281.958)  (281.958, 282.368)  (282.368, 282.508)  (282.508, 282.848)  (282.848, 283.353)  (283.353, 283.968)  (283.968, 284.058)  (284.058, 284.298)  (284.298, 284.588)  (284.588, 284.698)  (284.698, 284.83)   (284.83, 285.205)   (-1.0, -1.0)        (285.893, 286.152) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      81760071188504      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġi                 
Timings          : (-1.0, -1.0)        (281.868, 281.958)  (281.958, 282.368)  (282.368, 282.508)  (282.508, 282.848)  (282.848, 283.353)  (283.353, 283.968)  (283.968, 284.058)  (284.058, 284.298)  (284.298, 284.588)  (284.588, 284.698)  (284.698, 284.83)   (284.83, 285.205)   (285.542, 285.893)  (285.893, 286.152) 
Token Types      : 5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
