A                : do                  Ġyou                Ġhave               Ġany                Ġthoughts           Ġon                 Ġcompany            Ġbenefits           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (225.527, 225.587)  (225.587, 225.977)  (225.977, 226.413)  (226.835, 226.927)  (226.927, 227.137)  (227.137, 227.297)  (227.297, 227.877)  (227.877, 228.027)  (228.027, 228.077)  (228.077, 228.443)  (228.443, 228.805)  (229.291, 229.587)  (229.587, 229.797)  (229.797, 229.847)  (229.847, 229.977) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdivorced           Ġi                  Ġwas                Ġallowed            Ġthat               Ġeighteen           Ġmonths             Ġof                 Ġinsurance          Ġon                 Ġmy                 Ġex                 husband             's                  Ġplan              
Timings          : (229.977, 230.387)  (230.387, 230.417)  (230.417, 230.507)  (230.507, 230.807)  (230.807, 230.977)  (230.977, 231.347)  (231.347, 231.766)  (231.766, 231.957)  (231.957, 232.497)  (232.497, 232.617)  (232.617, 232.677)  (232.677, 232.894)  (232.894, 233.11)   (233.11, 233.327)   (233.327, 233.85)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (229.977, 230.387)  (230.387, 230.417)  (230.417, 230.507)  (230.507, 230.807)  (230.807, 230.977)  (230.977, 231.347)  (231.347, 231.766)  (231.766, 231.957)  (231.957, 232.497)  (232.497, 232.617)  (232.617, 232.677)  (232.677, 232.894)  (232.894, 233.11)   (233.11, 233.327)   (233.327, 233.85)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <emp>               <emp>               Ġand                Ġi                  Ġwas                Ġallowed            Ġto                 Ġpay                Ġfor                Ġmyself             Ġat                 Ġtheir              Ġlower              Ġrate               Ġand               
Timings          : (234.014, 234.109)  (234.109, 234.204)  (234.227, 234.345)  (234.345, 234.497)  (234.497, 234.647)  (234.647, 235.027)  (235.027, 235.147)  (235.147, 235.567)  (235.567, 235.727)  (235.727, 236.518)  (237.046, 237.235)  (237.383, 237.585)  (237.585, 237.965)  (237.965, 238.22)   (238.57, 238.816)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (234.014, 234.109)  (234.109, 234.204)  (234.204, 234.299)  (-1.0, -1.0)        (234.497, 234.647)  (234.647, 235.027)  (235.027, 235.147)  (235.147, 235.567)  (235.567, 235.727)  (235.727, 236.518)  (237.046, 237.235)  (237.383, 237.585)  (237.585, 237.965)  (237.965, 238.22)   (238.57, 238.816)  
Token Types      : 3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82656108740628      82656108740628      82656108740628      82656108740628      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġdon                't                  Ġsee                Ġwhat               Ġthe                Ġschool             Ġdistrict           Ġwould              Ġhave               Ġto                 Ġlose               Ġby                 Ġletting            Ġus                
Timings          : (238.816, 238.936)  (238.936, 239.036)  (239.036, 239.135)  (239.135, 239.475)  (239.475, 239.684)  (239.846, 239.915)  (239.915, 240.186)  (240.186, 240.536)  (240.536, 240.656)  (240.656, 240.846)  (240.846, 240.995)  (240.995, 241.345)  (241.345, 241.456)  (241.456, 241.745)  (241.745, 241.855) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (238.816, 238.936)  (238.936, 239.036)  (239.036, 239.135)  (239.135, 239.475)  (239.475, 239.684)  (239.846, 239.915)  (239.915, 240.186)  (240.186, 240.536)  (240.536, 240.656)  (240.656, 240.846)  (240.846, 240.995)  (240.995, 241.345)  (241.345, 241.456)  (241.456, 241.745)  (241.745, 241.855) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġpay                Ġfor                Ġourselves          <emp>               <emp>               <emp>               Ġbut                <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (241.855, 242.156)  (242.156, 242.385)  (242.385, 242.935)  (242.982, 243.209)  (243.209, 243.459)  (243.459, 243.609)  (243.665, 243.73)   (-1.0, -1.0)        (244.824, 244.983)  (244.983, 245.123)  (245.123, 245.453)  (245.453, 245.513)  (245.513, 245.743)  (245.743, 245.803)  (245.803, 245.863) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      82653424386086      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġis                 Ġuh                 Ġlet                's                  Ġsee                Ġare                Ġthey               Ġpaying             Ġa                  Ġpart               Ġof                 Ġthe               
Timings          : (241.855, 242.156)  (242.156, 242.385)  (242.385, 242.935)  (242.982, 243.209)  (243.209, 243.459)  (243.459, 243.609)  (243.609, 243.759)  (243.759, 244.063)  (244.824, 244.983)  (244.983, 245.123)  (245.123, 245.453)  (245.453, 245.513)  (245.513, 245.743)  (245.743, 245.803)  (245.803, 245.863) 
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   82657182482471      82657182482471      82657182482471      82657182482471      82657182482471      82657182482471      82657182482471      82657182482471      82657182482471      82657182482471      82657182482471      82657182482471     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġwell               Ġi                  Ġthey               're                 Ġpaying             Ġall                Ġthe                Ġpremium            Ġfor                Ġtheir              Ġfull               time                Ġteachers           <eot>              
Timings          : (245.863, 246.359)  (247.235, 247.404)  (247.404, 247.605)  (247.605, 247.733)  (247.733, 247.861)  (247.861, 248.384)  (248.384, 248.601)  (248.601, 248.671)  (248.671, 249.191)  (249.191, 249.411)  (249.411, 249.551)  (249.551, 249.781)  (249.781, 250.011)  (250.011, 250.695)  (-1.0, -1.0)       
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82653424386088      82653424386088      82653424386088      82653424386088      82653424386088      82653424386088      82653424386088      82653424386088      82653424386088      82653424386088      82653424386088      82653424386088      82653424386088      82653424386088     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġpremium            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġthey              
Timings          : (245.863, 246.359)  (-1.0, -1.0)        (247.404, 247.605)  (247.605, 247.733)  (247.733, 247.861)  (247.861, 248.384)  (248.384, 248.601)  (248.601, 248.671)  (248.671, 249.191)  (249.191, 249.411)  (249.411, 249.551)  (249.551, 249.781)  (249.781, 250.011)  (250.618, 250.707)  (250.707, 250.869) 
Token Types      : 4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 82657182482471      82657182482471      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82653961257001      82653961257001     
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               Ġyeah               Ġyeah               <emp>               Ġthat               's                  Ġpart               Ġof                 Ġtheir              <emp>               Ġsalary             <yield>             <emp>               <emp>               <emp>              
Timings          : (250.869, 251.147)  (251.766, 252.197)  (252.197, 252.385)  (252.318, 252.428)  (252.385, 252.505)  (252.505, 252.625)  (252.625, 252.975)  (252.975, 253.065)  (253.065, 253.285)  (253.108, 253.368)  (253.285, 253.893)  (-1.0, -1.0)        (253.905, 254.078)  (254.078, 254.218)  (254.218, 254.468) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 0                   82653424386090      82653424386090      82653424386090      82653424386090      82653424386090      82653424386090      82653424386090      82653424386090      82653424386090      82653424386090      82653424386090      0                   0                   0                  
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : Ġare                <eot>               Ġand                Ġhave               Ġyou                <emp>               Ġoffered            <emp>               Ġto                 Ġcome               Ġin                 Ġand                Ġhave               Ġyou                Ġoffered           
Timings          : (250.869, 251.147)  (-1.0, -1.0)        (252.225, 252.318)  (252.318, 252.428)  (252.428, 252.638)  (252.505, 252.625)  (252.638, 253.048)  (252.975, 253.065)  (253.048, 253.108)  (253.108, 253.368)  (253.368, 253.518)  (253.518, 253.672)  (253.905, 254.078)  (254.078, 254.218)  (254.218, 254.468) 
Token Types      : 1                   1                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82653961257001      82653961257001      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (254.468, 254.528)  (254.528, 254.748)  (254.748, 254.868)  (254.868, 255.008)  (255.008, 255.358)  (255.358, 255.519)  (255.519, 255.668)  (255.668, 256.187)  (256.638, 256.993)  (-1.0, -1.0)        (257.357, 257.447)  (257.447, 257.697)  (257.697, 257.797)  (257.797, 257.897)  (257.897, 258.087) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82655571869721      82655571869721      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġcome               Ġin                 Ġand                Ġpay                Ġthe                Ġwhole              Ġpremium            <emp>               Ġand                Ġthey               Ġstill              Ġwon                't                  Ġlet               
Timings          : (254.468, 254.528)  (254.528, 254.748)  (254.748, 254.868)  (254.868, 255.008)  (255.008, 255.358)  (255.358, 255.519)  (255.519, 255.668)  (255.668, 256.187)  (256.638, 256.993)  (257.268, 257.357)  (257.357, 257.447)  (257.447, 257.697)  (257.697, 257.797)  (257.797, 257.897)  (257.897, 258.087) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475      82657182482475     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġno                 Ġno                 Ġit                 's                  Ġjust               Ġnot                Ġpolicy             <yield>             <emp>               Ġyeah               Ġthat               Ġjust               Ġdoesn              't                 
Timings          : (258.087, 258.231)  (258.314, 258.773)  (258.98, 259.177)   (259.177, 259.288)  (259.288, 259.397)  (259.397, 259.628)  (259.628, 260.03)   (260.03, 260.707)   (-1.0, -1.0)        (260.405, 260.978)  (261.586, 261.781)  (261.781, 261.931)  (261.931, 262.111)  (262.111, 262.241)  (262.241, 262.371) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82653424386092      82653424386092      82653424386092      82653424386092      82653424386092      82653424386092      82653424386092      82653424386092      0                   82653424386094      82653424386094      82653424386094      82653424386094      82653424386094     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                  

B                : Ġyou                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġthat               's                  Ġcrazy              <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (258.087, 258.231)  (-1.0, -1.0)        (258.98, 259.177)   (259.177, 259.288)  (259.288, 259.397)  (259.397, 259.628)  (259.628, 260.03)   (260.105, 260.255)  (260.255, 260.405)  (260.405, 260.978)  (-1.0, -1.0)        (261.781, 261.931)  (261.931, 262.111)  (262.111, 262.241)  (262.241, 262.371) 
Token Types      : 4                   4                   0                   0                   0                   0                   0                   4                   4                   4                   4                   0                   0                   0                   0                  
turn_ids         : 82657182482475      82657182482475      0                   0                   0                   0                   0                   82657182482477      82657182482477      82657182482477      82657182482477      0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġseem               Ġto                 Ġmake               Ġany                Ġsense              <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġam                 Ġrem               
Timings          : (262.371, 262.531)  (262.531, 262.631)  (262.631, 262.841)  (262.841, 263.023)  (263.023, 263.494)  (-1.0, -1.0)        (263.524, 263.584)  (263.584, 263.684)  (263.684, 263.824)  (263.824, 264.064)  (264.064, 264.608)  (264.805, 265.035)  (265.035, 265.115)  (265.115, 265.355)  (265.355, 265.538) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 82653424386094      82653424386094      82653424386094      82653424386094      82653424386094      82653424386094      0                   0                   0                   0                   0                   82653424386096      82653424386096      82653424386096      82653424386096     
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġso                 Ġwhat               Ġdo                 Ġyou                Ġdo                 Ġabout              Ġinsurance          <eot>               <emp>               <emp>               <emp>              
Timings          : (262.371, 262.531)  (262.531, 262.631)  (262.631, 262.841)  (262.841, 263.023)  (263.236, 263.364)  (263.364, 263.524)  (263.524, 263.584)  (263.584, 263.684)  (263.684, 263.824)  (263.824, 264.064)  (264.064, 264.608)  (-1.0, -1.0)        (265.035, 265.115)  (265.115, 265.355)  (265.355, 265.538) 
Token Types      : 0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82657182482479      82657182482479      82657182482479      82657182482479      82657182482479      82657182482479      82657182482479      82657182482479      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : ar                  ried                Ġnow                Ġand                Ġmy                 Ġhusband            Ġum                 Ġquit               Ġhis                Ġjob                Ġto                 Ġtry                Ġsome               Ġconsulting         Ġhe                
Timings          : (265.538, 265.722)  (265.722, 265.905)  (265.905, 266.391)  (266.391, 267.325)  (267.325, 267.505)  (267.505, 268.201)  (268.201, 268.71)   (268.906, 269.125)  (269.125, 269.345)  (269.345, 269.685)  (269.685, 269.825)  (269.825, 270.055)  (270.055, 270.245)  (270.245, 270.845)  (270.845, 270.925) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (265.538, 265.722)  (265.722, 265.905)  (265.905, 266.391)  (266.391, 267.325)  (267.325, 267.505)  (267.505, 268.201)  (268.201, 268.71)   (268.906, 269.125)  (269.125, 269.345)  (269.345, 269.685)  (269.685, 269.825)  (269.825, 270.055)  (270.055, 270.245)  (270.245, 270.845)  (270.845, 270.925) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġan                 Ġengineer           Ġand                Ġwhat               Ġhe                 Ġdid                Ġwas                Ġhe                 Ġjoined             Ġyou                Ġknow               Ġif                 Ġyou                Ġjoin              
Timings          : (270.925, 271.005)  (271.005, 271.105)  (271.105, 271.633)  (272.342, 272.692)  (272.692, 272.935)  (272.935, 273.052)  (273.052, 273.342)  (273.342, 273.762)  (273.762, 273.932)  (273.932, 274.173)  (274.173, 274.272)  (274.272, 274.514)  (274.514, 274.632)  (274.632, 274.722)  (274.722, 275.002) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096      82653424386096     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (270.925, 271.005)  (271.005, 271.105)  (271.105, 271.633)  (272.342, 272.692)  (272.692, 272.935)  (272.935, 273.052)  (273.052, 273.342)  (273.342, 273.762)  (273.762, 273.932)  (273.932, 274.173)  (274.173, 274.272)  (274.272, 274.514)  (274.514, 274.632)  (274.632, 274.722)  (274.722, 275.002) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġgroup              Ġsometimes          Ġit                 's                  Ġa                  Ġlittle             Ġless               Ġhe                 Ġjoined             Ġthe                Ġengineer           's                  Ġsociety            Ġor                
Timings          : (275.002, 275.072)  (275.072, 275.382)  (275.382, 275.842)  (275.842, 275.912)  (275.912, 275.982)  (275.982, 276.032)  (276.032, 276.362)  (276.362, 276.722)  (276.722, 276.852)  (276.852, 277.182)  (277.182, 277.242)  (277.242, 277.532)  (277.532, 277.822)  (277.822, 278.592)  (278.592, 278.732) 
