A                : um                  Ġin                 Ġtex                as                  Ġthey               Ġdo                 Ġhave               Ġthe                Ġum                 Ġcapital            Ġpunishment         Ġand                Ġum                 Ġi                  Ġi                 
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (230.996, 231.376)  (231.376, 231.476)  (231.476, 231.984)  (232.734, 233.036)  (233.036, 233.106)  (233.106, 233.676)  (234.362, 234.7)    (-1.0, -1.0)        (234.796, 234.986)  (234.986, 235.39)   (235.39, 235.505)   (235.505, 235.65)   (235.65, 235.796)   (235.796, 236.025)  (236.025, 236.195) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83428665982995      83428665982995      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnow                Ġi                  Ġmight              Ġface               Ġthe                Ġpunishment         Ġthat               's                  Ġnot                Ġreal               Ġit                 Ġdoesn              't                  Ġhave               Ġany               
Timings          : (230.996, 231.376)  (231.376, 231.476)  (231.476, 231.984)  (232.734, 233.036)  (233.036, 233.106)  (233.106, 233.676)  (234.613, 234.704)  (234.704, 234.796)  (234.796, 234.986)  (234.986, 235.39)   (235.39, 235.505)   (235.505, 235.65)   (235.65, 235.796)   (235.796, 236.025)  (236.025, 236.195) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      83427055370253     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġmy                 Ġsister             Ġand                Ġi                  Ġwere               Ġwondering          Ġabout              Ġthis               Ġrecently           Ġbecause            Ġa                 
Timings          : (236.195, 236.445)  (236.445, 236.865)  (236.865, 237.016)  (237.016, 237.228)  (238.786, 238.911)  (238.911, 239.166)  (239.166, 239.266)  (239.266, 239.336)  (239.336, 239.486)  (239.486, 239.836)  (239.836, 240.056)  (240.056, 240.246)  (240.246, 240.696)  (240.696, 241.006)  (241.006, 241.139) 
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġreal               Ġimpact             Ġon                 Ġthem               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (236.195, 236.445)  (236.445, 236.865)  (236.865, 237.016)  (237.016, 237.228)  (-1.0, -1.0)        (238.911, 239.166)  (239.166, 239.266)  (239.266, 239.336)  (239.336, 239.486)  (239.486, 239.836)  (239.836, 240.056)  (240.056, 240.246)  (240.246, 240.696)  (240.696, 241.006)  (241.006, 241.139) 
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83427055370253      83427055370253      83427055370253      83427055370253      83427055370253      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġan                 Ġold                Ġfriend             Ġof                 Ġours               Ġin                 Ġcal                if                  ornia               Ġthis               Ġjust               Ġhappened           Ġabout              Ġa                  Ġweek              
Timings          : (241.139, 241.28)   (241.28, 241.476)   (241.476, 241.756)  (241.756, 241.876)  (241.876, 242.101)  (242.346, 242.496)  (242.496, 242.736)  (242.736, 242.975)  (242.975, 243.215)  (243.332, 243.476)  (243.476, 243.616)  (243.616, 243.916)  (243.916, 244.106)  (244.106, 244.166)  (244.166, 244.396) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (241.139, 241.28)   (241.28, 241.476)   (241.476, 241.756)  (241.756, 241.876)  (241.876, 242.101)  (242.346, 242.496)  (242.496, 242.736)  (242.736, 242.975)  (242.975, 243.215)  (243.332, 243.476)  (243.476, 243.616)  (243.616, 243.916)  (243.916, 244.106)  (244.106, 244.166)  (244.166, 244.396) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġago                <emp>               <emp>               Ġum                 Ġher                Ġhusband            Ġjust               Ġkilled             Ġher                Ġand                Ġwe                 're                 Ġwondering          Ġif                 Ġthat              
Timings          : (244.396, 244.748)  (245.0, 245.121)    (245.121, 245.243)  (245.32, 245.718)   (246.555, 246.686)  (246.686, 247.096)  (247.096, 247.336)  (247.336, 247.676)  (247.676, 247.888)  (248.46, 248.656)   (248.656, 248.726)  (248.726, 248.796)  (248.796, 249.64)   (250.135, 250.386)  (250.386, 250.606) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (244.396, 244.748)  (245.0, 245.121)    (245.121, 245.243)  (-1.0, -1.0)        (246.555, 246.686)  (246.686, 247.096)  (247.096, 247.336)  (247.336, 247.676)  (247.676, 247.888)  (248.46, 248.656)   (248.656, 248.726)  (248.726, 248.796)  (248.796, 249.64)   (250.135, 250.386)  (250.386, 250.606) 
Token Types      : 0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   83429202853897      83429202853897      83429202853897      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhas                Ġan                 Ġeffect             Ġif                 Ġthat               Ġif                 Ġsomething          Ġdoes               Ġcapital            Ġpunishment         Ġyou                Ġknow               Ġdoes               Ġit                 Ġhappen            
Timings          : (250.606, 250.896)  (250.896, 250.996)  (250.996, 251.579)  (252.372, 252.579)  (252.579, 252.875)  (253.304, 253.479)  (253.479, 254.257)  (254.925, 255.099)  (255.099, 255.609)  (255.609, 256.429)  (257.682, 257.733)  (257.733, 257.823)  (257.823, 257.993)  (257.993, 258.073)  (258.073, 258.393) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (250.606, 250.896)  (250.896, 250.996)  (250.996, 251.579)  (252.372, 252.579)  (252.579, 252.875)  (253.304, 253.479)  (253.479, 254.257)  (254.925, 255.099)  (255.099, 255.609)  (255.609, 256.429)  (257.682, 257.733)  (257.733, 257.823)  (257.823, 257.993)  (257.993, 258.073)  (258.073, 258.393) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwith               Ġthat               Ġwithin             Ġthat               Ġuh                 Ġi                  Ġdon                't                  Ġknow               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (258.393, 258.483)  (258.483, 258.715)  (258.899, 259.163)  (259.163, 259.533)  (259.533, 259.768)  (260.969, 261.071)  (261.071, 261.148)  (261.148, 261.226)  (261.226, 261.586)  (-1.0, -1.0)        (262.592, 262.807)  (262.807, 262.922)  (262.922, 263.142)  (263.142, 263.282)  (263.282, 263.492) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      83426518499342      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 Ġyou                Ġyou                Ġmean               Ġwould              Ġhe                
Timings          : (258.393, 258.483)  (258.483, 258.715)  (258.899, 259.163)  (259.163, 259.533)  (259.533, 259.768)  (260.969, 261.071)  (261.071, 261.148)  (261.148, 261.226)  (261.226, 261.586)  (262.032, 262.592)  (262.592, 262.807)  (262.807, 262.922)  (262.922, 263.142)  (263.142, 263.282)  (263.282, 263.492) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (263.492, 263.94)   (264.622, 264.762)  (264.762, 264.842)  (264.842, 265.052)  (265.052, 265.182)  (265.182, 265.465)  (265.464, 265.881)  (-1.0, -1.0)        (268.186, 268.564)  (268.564, 268.924)  (268.924, 268.994)  (268.994, 269.054)  (269.054, 269.834)  (269.834, 269.964)  (269.964, 270.585) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83428665982997      83428665982997      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbe                 Ġput                Ġto                 Ġdeath              Ġfor                Ġthat               <emp>               Ġum                 Ġlargely            Ġdepends            Ġon                 Ġthe                Ġcircumstances      Ġand                Ġgenerally         
Timings          : (263.492, 263.94)   (264.622, 264.762)  (264.762, 264.842)  (264.842, 265.052)  (265.052, 265.182)  (265.182, 265.465)  (265.464, 265.881)  (266.727, 267.173)  (268.186, 268.564)  (268.564, 268.924)  (268.924, 268.994)  (268.994, 269.054)  (269.054, 269.834)  (269.834, 269.964)  (269.964, 270.585) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (271.292, 271.374)  (271.374, 271.504)  (271.504, 271.654)  (271.654, 271.834)  (271.834, 271.944)  (271.944, 272.444)  (272.444, 272.728)  (272.728, 273.013)  (273.294, 273.369)  (273.369, 273.444)  (273.444, 273.684)  (273.684, 273.764)  (273.764, 274.3)    (274.951, 275.344)  (275.344, 275.754) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġknow               Ġfrom               Ġwhat               Ġi                  Ġunderstand         Ġit                 's                  Ġit                 's                  Ġonly               Ġthe                Ġmost               Ġbrutal             Ġtypes             
Timings          : (271.292, 271.374)  (271.374, 271.504)  (271.504, 271.654)  (271.654, 271.834)  (271.834, 271.944)  (271.944, 272.444)  (272.444, 272.728)  (272.728, 273.013)  (273.294, 273.369)  (273.369, 273.444)  (273.444, 273.684)  (273.684, 273.764)  (273.764, 274.3)    (274.951, 275.344)  (275.344, 275.754) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġthink              Ġyou                're                 Ġright              <yield>            
Timings          : (275.754, 275.904)  (275.904, 276.424)  (276.424, 276.804)  (276.804, 276.924)  (276.924, 276.984)  (276.984, 277.044)  (277.044, 277.594)  (277.594, 277.694)  (277.694, 277.885)  (277.989, 278.129)  (278.129, 278.341)  (278.341, 278.396)  (278.396, 278.451)  (278.451, 278.907)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83426518499344      83426518499344      83426518499344      83426518499344      83426518499344      83426518499344     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġof                 Ġthings             Ġusually            Ġwhere              Ġit                 's                  Ġmultiple           Ġyou                Ġknow               <eot>               <emp>               <emp>               Ġif                 <emp>               Ġif                
Timings          : (275.754, 275.904)  (275.904, 276.424)  (276.424, 276.804)  (276.804, 276.924)  (276.924, 276.984)  (276.984, 277.044)  (277.044, 277.594)  (277.594, 277.694)  (277.694, 277.885)  (-1.0, -1.0)        (278.129, 278.341)  (278.341, 278.396)  (278.404, 278.546)  (278.451, 278.907)  (278.9, 279.01)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   4                   4                   4                  
turn_ids         : 83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      83427055370255      0                   0                   83430276595729      83430276595729      83430276595729     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (279.01, 279.121)   (279.121, 279.31)   (279.31, 279.6)     (279.6, 279.951)    (279.951, 280.46)   (280.46, 280.56)    (280.56, 280.69)    (280.69, 280.97)    (280.97, 281.091)   (281.091, 281.26)   (281.26, 281.611)   (281.611, 281.72)   (281.72, 281.81)    (281.81, 282.47)    (282.47, 282.98)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               Ġcan                Ġsay                Ġthings             Ġlike               Ġyou                Ġknow               Ġwell               Ġhe                 Ġwas                Ġjust               Ġyou                Ġknow               Ġtemporarily        Ġinsane            
Timings          : (279.01, 279.121)   (279.121, 279.31)   (279.31, 279.6)     (279.6, 279.951)    (279.951, 280.46)   (280.46, 280.56)    (280.56, 280.69)    (280.69, 280.97)    (280.97, 281.091)   (281.091, 281.26)   (281.26, 281.611)   (281.611, 281.72)   (281.72, 281.81)    (281.81, 282.47)    (282.47, 282.98)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (282.98, 283.301)   (283.301, 283.502)  (283.898, 284.1)    (284.1, 284.63)     (284.63, 284.853)   (284.853, 285.075)  (285.075, 285.297)  (285.416, 285.628)  (285.628, 285.84)   (-1.0, -1.0)        (286.248, 286.497)  (286.878, 286.998)  (286.998, 287.118)  (287.118, 287.223)  (287.223, 287.328) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83428665982999      83428665982999      83428665982999      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġbecause            Ġof                 Ġsome               Ġdomestic           Ġsqu                ab                  ble                 Ġthen               <emp>               Ġyou                Ġknow               Ġthey               'll                 Ġthey               'll                
Timings          : (282.98, 283.301)   (283.301, 283.502)  (283.898, 284.1)    (284.1, 284.63)     (284.63, 284.853)   (284.853, 285.075)  (285.075, 285.297)  (285.297, 285.562)  (285.628, 285.84)   (286.122, 286.248)  (286.248, 286.497)  (286.878, 286.998)  (286.998, 287.118)  (287.118, 287.223)  (287.223, 287.328) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729      83430276595729     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (287.328, 287.518)  (287.518, 287.733)  (288.468, 288.588)  (288.588, 288.772)  (288.772, 289.158)  (289.158, 289.648)  (289.648, 289.983)  (289.983, 290.168)  (290.168, 290.668)  (290.668, 290.9)    (290.9, 291.138)    (291.138, 291.658)  (291.658, 291.758)  (291.758, 292.098)  (292.098, 292.278) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġgive               Ġhim                Ġyou                Ġknow               Ġtwenty             Ġyears              Ġwith               Ġwith               Ġparole             Ġin                 Ġin                 Ġtwelve             Ġor                 Ġsomething          Ġlike              
