A                : well                Ġwhat               's                  Ġyour               Ġopinion            Ġon                 Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   83068425601038      83068425601038      0                   0                   0                   0                   0                   0                   83066278117393      83066278117393      83066278117393      83066278117393      83066278117393     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġuh                 Ġperhaps            Ġthe                Ġpeople             Ġin                 Ġthe                Ġmiddle             Ġeast               Ġhave               Ġkind               Ġof                 Ġa                  Ġgood              
Timings          : (243.209, 243.367)  (243.367, 243.822)  (244.237, 244.609)  (244.823, 245.167)  (245.167, 245.237)  (245.237, 245.577)  (245.577, 245.657)  (245.657, 245.727)  (245.727, 245.947)  (245.947, 246.197)  (246.197, 246.447)  (246.703, 246.867)  (246.867, 246.927)  (246.927, 246.977)  (246.977, 247.147) 
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482     
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġi                  Ġagree              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (243.209, 243.367)  (243.367, 243.822)  (-1.0, -1.0)        (244.823, 245.167)  (245.167, 245.237)  (245.237, 245.577)  (245.577, 245.657)  (245.657, 245.727)  (245.727, 245.947)  (245.947, 246.197)  (246.197, 246.447)  (246.703, 246.867)  (246.867, 246.927)  (246.927, 246.977)  (246.977, 247.147) 
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83066278117393      83066278117393      83066278117393      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġidea               Ġyou                Ġknow               Ġif                 Ġyou                Ġsteal              Ġsomething          Ġthey               Ġcut                Ġoff                Ġyour               Ġhand               Ġand                Ġand                Ġthe               
Timings          : (247.147, 247.547)  (247.547, 247.717)  (247.717, 247.787)  (247.787, 247.877)  (247.877, 247.957)  (247.957, 248.237)  (248.237, 248.617)  (248.617, 248.717)  (248.717, 248.887)  (248.887, 249.047)  (249.047, 249.137)  (249.137, 249.527)  (249.527, 249.818)  (250.203, 250.711)  (251.027, 251.137) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (247.147, 247.547)  (247.547, 247.717)  (247.717, 247.787)  (247.787, 247.877)  (247.877, 247.957)  (247.957, 248.237)  (248.237, 248.617)  (248.617, 248.717)  (248.717, 248.887)  (248.929, 249.154)  (249.047, 249.137)  (249.137, 249.527)  (249.606, 249.927)  (-1.0, -1.0)        (251.027, 251.137) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83068425601040      83068425601040      83068425601040      83068425601040      83068425601040      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   0                  


A                : Ġpunishment         Ġfits               Ġthe                Ġcrime              <emp>               Ġbut                <emp>               Ġuh                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (251.137, 251.647)  (251.647, 251.847)  (251.847, 251.928)  (251.928, 252.403)  (252.671, 252.78)   (252.747, 253.271)  (252.889, 252.998)  (253.271, 253.5)    (-1.0, -1.0)        (255.363, 255.572)  (255.572, 255.642)  (255.642, 255.882)  (255.882, 256.012)  (256.012, 256.142)  (256.142, 256.449) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      83065741246482      0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               uh                  h                   uh                  <eint>              Ġyeah               Ġyeah               Ġi                  Ġthink              Ġthat               's                  Ġuh                
Timings          : (251.137, 251.647)  (251.647, 251.847)  (251.847, 251.928)  (251.928, 252.403)  (252.671, 252.78)   (252.78, 252.889)   (252.889, 252.998)  (-1.0, -1.0)        (253.924, 254.222)  (255.363, 255.572)  (255.572, 255.642)  (255.642, 255.882)  (255.882, 256.012)  (256.012, 256.142)  (256.142, 256.449) 
Token Types      : 0                   0                   0                   0                   5                   5                   5                   5                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   83070573084689      83070573084689      83070573084689      83070573084689      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (257.598, 257.846)  (257.846, 257.896)  (257.896, 258.096)  (258.096, 258.665)  (259.028, 259.171)  (259.171, 259.366)  (259.366, 259.634)  (260.014, 260.165)  (260.165, 260.316)  (260.316, 260.436)  (260.436, 260.496)  (260.496, 260.806)  (260.806, 260.866)  (260.866, 261.166)  (261.856, 262.016) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnot                Ġa                  Ġbad                Ġidea               Ġof                 Ġcourse             Ġthere              Ġthere              'd                  Ġbe                 Ġa                  Ġlot                Ġof                 Ġpeople             Ġthat              
Timings          : (257.598, 257.846)  (257.846, 257.896)  (257.896, 258.096)  (258.096, 258.665)  (259.028, 259.171)  (259.171, 259.366)  (259.366, 259.634)  (260.014, 260.165)  (260.165, 260.316)  (260.316, 260.436)  (260.436, 260.496)  (260.496, 260.806)  (260.806, 260.866)  (260.866, 261.166)  (261.856, 262.016) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (262.016, 262.226)  (262.226, 262.436)  (262.436, 262.909)  (263.207, 263.341)  (263.341, 263.476)  (263.476, 263.966)  (263.966, 264.156)  (264.156, 264.606)  (264.606, 264.736)  (264.736, 264.826)  (264.826, 265.196)  (265.196, 265.476)  (266.033, 266.186)  (266.186, 266.296)  (266.296, 266.436) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcouldn             't                  Ġuh                 Ġcouldn             't                  Ġfunction           Ġfor                Ġawhile             Ġyou                Ġknow               Ġuntil              Ġthey               Ġgot                Ġit                 Ġthrough           
Timings          : (262.016, 262.226)  (262.226, 262.436)  (262.436, 262.909)  (263.207, 263.341)  (263.341, 263.476)  (263.476, 263.966)  (263.966, 264.156)  (264.156, 264.606)  (264.606, 264.736)  (264.736, 264.826)  (264.826, 265.196)  (265.196, 265.476)  (266.033, 266.186)  (266.186, 266.296)  (266.296, 266.436) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthis               Ġis                 Ġvery              
Timings          : (266.436, 266.596)  (266.596, 267.026)  (267.026, 267.229)  (267.47, 267.596)   (267.596, 267.746)  (267.746, 267.936)  (267.936, 268.086)  (268.086, 268.246)  (268.246, 268.306)  (268.306, 268.436)  (268.436, 269.046)  (268.853, 269.263)  (269.263, 269.422)  (269.422, 269.582)  (269.582, 269.832) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83065741246484      83065741246484      83065741246484      83065741246484     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : Ġtheir              Ġheads              Ġthat               Ġyou                Ġknow               Ġthat               Ġwas                Ġgoing              Ġto                 Ġbe                 Ġenforced           <eot>               <emp>               <emp>               <emp>              
Timings          : (266.436, 266.596)  (266.596, 267.026)  (267.026, 267.229)  (267.47, 267.596)   (267.596, 267.746)  (267.746, 267.936)  (267.936, 268.086)  (268.086, 268.246)  (268.246, 268.306)  (268.306, 268.436)  (268.436, 269.046)  (-1.0, -1.0)        (269.263, 269.422)  (269.422, 269.582)  (269.582, 269.832) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      83066278117395      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġtrue               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (269.832, 271.29)   (-1.0, -1.0)        (272.248, 272.293)  (272.293, 272.423)  (272.423, 272.613)  (272.613, 272.933)  (272.933, 273.123)  (273.123, 273.233)  (273.233, 273.393)  (273.393, 273.883)  (273.883, 274.013)  (274.013, 274.063)  (274.063, 274.373)  (274.373, 274.463)  (274.463, 274.563) 
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83065741246484      83065741246484      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġyou                'd                  Ġhave               Ġto                 Ġphase              Ġthat               Ġone                Ġin                 Ġslowly             Ġor                 Ġi                  Ġthink              Ġor                 Ġyou               
Timings          : (269.832, 271.29)   (272.203, 272.248)  (272.248, 272.293)  (272.293, 272.423)  (272.423, 272.613)  (272.613, 272.933)  (272.933, 273.123)  (273.123, 273.233)  (273.233, 273.393)  (273.393, 273.883)  (273.883, 274.013)  (274.013, 274.063)  (274.063, 274.373)  (274.373, 274.463)  (274.463, 274.563) 
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   83066278117397      83066278117397      83066278117397      83066278117397      83066278117397      83066278117397      83066278117397      83066278117397      83066278117397      83066278117397      83066278117397      83066278117397      83066278117397      83066278117397     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġuse                Ġsomeone            <emp>               Ġas                 Ġan                 Ġexample            Ġand                Ġsee                Ġhow                Ġit                 Ġworked             <yield>            
Timings          : (274.563, 274.713)  (274.713, 275.102)  (-1.0, -1.0)        (276.103, 276.279)  (276.279, 276.559)  (276.403, 276.557)  (276.559, 276.679)  (276.679, 276.789)  (276.789, 277.249)  (277.249, 277.359)  (277.359, 277.499)  (277.499, 277.629)  (277.629, 277.709)  (277.709, 278.072)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83065741246486      83065741246486      83065741246486      83065741246486      83065741246486      83065741246486      83065741246486      83065741246486      83065741246486      83065741246486      83065741246486      83065741246486     
turn_end_types   : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġwould              Ġhave               <eot>               Ġa                  Ġbunch              Ġof                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (274.563, 274.713)  (274.713, 275.102)  (-1.0, -1.0)        (276.185, 276.247)  (276.247, 276.403)  (276.403, 276.557)  (-1.0, -1.0)        (276.679, 276.789)  (276.789, 277.249)  (277.249, 277.359)  (277.359, 277.499)  (277.499, 277.629)  (277.629, 277.709)  (277.709, 278.072)  (278.07, 278.467)  
Token Types      : 1                   1                   1                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 83066278117397      83066278117397      83066278117397      83070573084692      83070573084692      83070573084692      83070573084692      0                   0                   0                   0                   0                   0                   0                   83068425601043     
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                 
Timings          : (-1.0, -1.0)        (279.567, 279.727)  (279.727, 279.877)  (279.877, 279.967)  (279.967, 280.107)  (280.107, 280.177)  (280.177, 280.397)  (280.397, 280.507)  (280.507, 280.587)  (280.587, 280.667)  (280.667, 280.847)  (280.847, 280.907)  (280.907, 281.272)  (282.013, 282.271)  (282.271, 282.502) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83065741246488      83065741246488     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : <ebc>               Ġbut                Ġthen               Ġyou                Ġgot                Ġto                 Ġpick               Ġwho                Ġit                 's                  Ġgoing              Ġto                 Ġbe                 <eot>               <emp>              
Timings          : (-1.0, -1.0)        (279.567, 279.727)  (279.727, 279.877)  (279.877, 279.967)  (279.967, 280.107)  (280.107, 280.177)  (280.177, 280.397)  (280.397, 280.507)  (280.507, 280.587)  (280.587, 280.667)  (280.667, 280.847)  (280.847, 280.907)  (280.907, 281.272)  (-1.0, -1.0)        (282.271, 282.502) 
Token Types      : 3                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 83068425601043      83066278117399      83066278117399      83066278117399      83066278117399      83066278117399      83066278117399      83066278117399      83066278117399      83066278117399      83066278117399      83066278117399      83066278117399      83066278117399      0                  
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġi                  Ġwas                Ġa                  Ġlittle             Ġconcerned          Ġi                  Ġwas                Ġgoing              Ġto                 Ġget                Ġsomeone            Ġon                 Ġthe                Ġphone              Ġthat              
Timings          : (282.502, 282.701)  (282.701, 282.841)  (282.841, 282.871)  (282.871, 283.041)  (283.041, 283.471)  (283.471, 283.531)  (283.531, 283.681)  (283.681, 283.851)  (283.851, 283.921)  (283.921, 284.061)  (284.061, 284.351)  (284.351, 284.604)  (284.604, 284.871)  (284.871, 285.171)  (285.171, 285.321) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (282.502, 282.701)  (282.701, 282.841)  (282.841, 282.871)  (282.871, 283.041)  (283.041, 283.471)  (283.471, 283.531)  (283.531, 283.681)  (283.681, 283.851)  (283.851, 283.921)  (283.921, 284.061)  (284.061, 284.351)  (284.351, 284.604)  (284.604, 284.871)  (284.871, 285.171)  (285.171, 285.321) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwas                Ġtotally            Ġagainst            Ġcapital            Ġpunishment         Ġand                Ġin                 Ġany                Ġconversation       Ġthat               Ġi                  've                 Ġhad                Ġthrough            Ġthis              
Timings          : (285.321, 285.636)  (285.915, 286.461)  (286.461, 286.841)  (286.841, 287.171)  (287.171, 287.831)  (287.831, 288.053)  (288.347, 288.461)  (288.461, 288.641)  (288.641, 289.341)  (289.341, 289.461)  (289.461, 289.511)  (289.511, 289.561)  (289.561, 290.076)  (290.223, 290.361)  (290.361, 290.541) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (285.321, 285.636)  (285.915, 286.461)  (286.461, 286.841)  (286.841, 287.171)  (287.171, 287.831)  (287.831, 288.053)  (288.347, 288.461)  (288.461, 288.641)  (288.641, 289.341)  (289.341, 289.461)  (289.461, 289.511)  (289.511, 289.561)  (289.561, 290.076)  (290.223, 290.361)  (290.361, 290.541) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġti                 Ġthing              Ġyou                Ġknow               Ġi                  've                 Ġnever              Ġmet                Ġanybody            Ġthat               Ġi                  Ġgot                Ġinto               Ġa                  Ġscreaming         
Timings          : (290.541, 290.911)  (290.911, 291.281)  (291.281, 291.401)  (291.401, 291.613)  (291.858, 291.949)  (291.949, 292.041)  (292.041, 292.301)  (292.301, 292.481)  (292.481, 292.911)  (292.911, 293.109)  (293.328, 293.411)  (293.411, 293.601)  (293.601, 293.821)  (293.821, 293.871)  (293.871, 294.321) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488      83065741246488     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
