A                : well                Ġi                  Ġhaven              't                  Ġhad                Ġan                 Ġawful              Ġlot                Ġof                 Ġuh                 Ġincidents          Ġin                 Ġregarding          Ġchild              Ġcare              
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 Ġeven               Ġthat               Ġthat               Ġreally             Ġi                 
Timings          : (247.094, 247.434)  (247.434, 247.494)  (247.494, 247.734)  (247.734, 247.864)  (247.864, 247.994)  (247.994, 248.134)  (248.134, 248.364)  (248.364, 248.731)  (249.386, 249.494)  (249.514, 249.73)   (249.73, 249.976)   (249.976, 250.264)  (251.167, 251.336)  (251.336, 251.738)  (251.738, 251.982) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (251.982, 252.095)  (252.557, 252.644)  (252.644, 252.725)  (252.725, 252.807)  (252.995, 253.101)  (253.101, 253.207)  (253.207, 253.447)  (253.447, 253.677)  (253.677, 253.897)  (253.897, 253.982)  (253.982, 254.067)  (254.067, 254.267)  (254.267, 254.387)  (254.387, 254.487)  (254.487, 254.867) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthink              Ġi                  Ġdon                't                  Ġit                 's                  Ġbeen               Ġawhile             Ġsince              Ġi                  've                 Ġlooked             Ġat                 Ġmy                 Ġyoungest          
Timings          : (251.982, 252.095)  (252.557, 252.644)  (252.644, 252.725)  (252.725, 252.807)  (252.995, 253.101)  (253.101, 253.207)  (253.207, 253.447)  (253.447, 253.677)  (253.677, 253.897)  (253.897, 253.982)  (253.982, 254.067)  (254.067, 254.267)  (254.267, 254.387)  (254.387, 254.487)  (254.487, 254.867) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (254.867, 255.117)  (255.117, 255.166)  (255.26, 255.52)    (255.666, 255.817)  (255.817, 255.864)  (255.864, 255.911)  (256.042, 256.167)  (256.167, 256.227)  (256.227, 256.427)  (256.427, 256.647)  (256.647, 256.877)  (256.877, 256.957)  (256.957, 257.037)  (257.037, 257.237)  (257.237, 257.592) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġchild              Ġis                 Ġeight              Ġso                 Ġit                 's                  Ġbeen               Ġa                  Ġlittle             Ġwhile              Ġsince              Ġi                  've                 Ġlooked             Ġinto              
Timings          : (254.867, 255.117)  (255.117, 255.166)  (255.26, 255.52)    (255.666, 255.817)  (255.817, 255.864)  (255.864, 255.911)  (256.042, 256.167)  (256.167, 256.227)  (256.227, 256.427)  (256.427, 256.647)  (256.647, 256.877)  (256.877, 256.957)  (256.957, 257.037)  (257.037, 257.237)  (257.237, 257.592) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (258.221, 258.527)  (258.527, 258.717)  (258.717, 258.987)  (258.987, 259.397)  (259.397, 259.573)  (259.573, 259.739)  (259.739, 260.048)  (260.154, 260.257)  (260.257, 260.487)  (260.647, 260.767)  (260.767, 261.037)  (261.037, 261.246)  (261.427, 261.587)  (261.587, 262.235)  (262.567, 262.757) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġactually           Ġday                Ġcare               Ġcenters            Ġbut                Ġthey               Ġare                Ġyou                Ġknow               Ġthe                Ġgood               Ġones               Ġdo                 Ġcost               Ġmaybe             
Timings          : (258.221, 258.527)  (258.527, 258.717)  (258.717, 258.987)  (258.987, 259.397)  (259.397, 259.573)  (259.573, 259.739)  (259.739, 260.048)  (260.154, 260.257)  (260.257, 260.487)  (260.647, 260.767)  (260.767, 261.037)  (261.037, 261.246)  (261.427, 261.587)  (261.587, 262.235)  (262.567, 262.757) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġmean               Ġwe                 Ġused               Ġto                 Ġpay                Ġpay                Ġfifty              Ġcents              Ġan                
Timings          : (262.757, 263.177)  (263.177, 263.567)  (263.567, 263.637)  (263.637, 263.937)  (263.937, 264.142)  (264.227, 264.301)  (264.301, 264.466)  (264.466, 264.586)  (264.586, 264.746)  (264.746, 264.816)  (264.816, 265.016)  (265.016, 265.246)  (265.246, 265.586)  (265.586, 265.826)  (265.826, 265.926) 
Token Types      : 0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġsixty              Ġdollars            Ġa                  Ġweek               Ġsince              Ġand                <emp>               Ġso                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (262.757, 263.177)  (263.177, 263.567)  (263.567, 263.637)  (263.637, 263.937)  (263.937, 264.142)  (264.242, 264.487)  (264.301, 264.466)  (264.487, 264.667)  (-1.0, -1.0)        (264.746, 264.816)  (264.816, 265.016)  (265.016, 265.246)  (265.246, 265.586)  (265.586, 265.826)  (265.826, 265.926) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      83773873979403      0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġhour               Ġto                 Ġbabys              it                  Ġbut                <emp>               Ġmine               Ġmine               Ġare                Ġtwenty             Ġtwo                Ġtwenty             Ġthree              Ġand                Ġtwenty            
Timings          : (265.926, 266.076)  (266.076, 266.166)  (266.166, 266.446)  (266.446, 266.726)  (266.726, 266.961)  (266.875, 267.001)  (266.961, 267.219)  (267.219, 267.478)  (267.478, 267.609)  (267.609, 267.886)  (267.886, 268.186)  (268.186, 268.476)  (268.476, 268.696)  (268.696, 268.806)  (268.806, 269.066) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (265.926, 266.076)  (266.076, 266.166)  (266.166, 266.446)  (266.446, 266.726)  (266.748, 266.875)  (266.875, 267.001)  (-1.0, -1.0)        (267.219, 267.478)  (267.478, 267.609)  (267.609, 267.886)  (267.886, 268.186)  (268.186, 268.476)  (268.476, 268.696)  (268.696, 268.806)  (268.806, 269.066) 
Token Types      : 0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   83772800237578      83772800237578      83772800237578      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġseven              Ġso                 <emp>               <emp>               Ġyou                Ġknow               Ġthat               Ġi                  Ġguess              Ġbabys              itters              Ġnow                Ġare                Ġup                 Ġat                
Timings          : (269.066, 269.496)  (269.496, 269.744)  (269.696, 269.892)  (269.892, 270.089)  (270.281, 270.375)  (270.375, 270.526)  (270.526, 270.723)  (271.172, 271.303)  (271.303, 271.586)  (271.586, 271.951)  (271.951, 272.316)  (272.316, 272.506)  (272.506, 272.709)  (272.709, 272.833)  (272.833, 273.066) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (269.066, 269.496)  (269.496, 269.744)  (269.696, 269.892)  (269.892, 270.089)  (-1.0, -1.0)        (270.375, 270.526)  (270.526, 270.723)  (271.172, 271.303)  (271.303, 271.586)  (271.586, 271.951)  (271.951, 272.316)  (272.316, 272.506)  (272.506, 272.709)  (272.709, 272.833)  (272.833, 273.066) 
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83772800237579      83772800237579      83772800237579      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhat               Ġfive               Ġdollars            Ġan                 Ġhour               <eot>               <emp>               Ġoh                 Ġmy                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (273.066, 273.226)  (273.226, 273.486)  (273.486, 273.806)  (273.806, 273.916)  (273.916, 274.13)   (-1.0, -1.0)        (274.788, 274.978)  (275.446, 275.729)  (275.729, 276.114)  (-1.0, -1.0)        (276.629, 276.757)  (276.757, 276.988)  (277.237, 277.337)  (277.337, 277.437)  (277.437, 277.607) 
Token Types      : 4                   4                   4                   4                   4                   4                   0                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      83773337108492      0                   83770115883022      83770115883022      83770115883022      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġsomething          Ġlike               <eot>               <emp>               Ġwell               Ġyou                Ġknow               Ġbut                Ġyou                Ġmade              
Timings          : (273.066, 273.226)  (273.226, 273.486)  (273.486, 273.806)  (273.806, 273.916)  (273.916, 274.13)   (274.428, 274.788)  (274.788, 274.978)  (-1.0, -1.0)        (275.729, 276.114)  (276.426, 276.629)  (276.629, 276.757)  (276.757, 276.988)  (277.237, 277.337)  (277.337, 277.437)  (277.437, 277.607) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   83770652753933      83770652753933      83770652753933      0                   83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (277.607, 277.667)  (277.667, 278.027)  (278.027, 278.287)  (278.287, 278.437)  (278.437, 278.53)   (278.661, 278.897)  (278.897, 279.017)  (279.017, 279.387)  (279.387, 279.447)  (279.447, 279.697)  (279.697, 279.727)  (279.727, 279.887)  (279.887, 280.017)  (280.017, 280.259)  (280.406, 280.527) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġcomment            Ġearlier            Ġwhy                Ġwould              Ġsomeone            Ġbe                 Ġinterested         Ġin                 Ġchildren           Ġi                  Ġmean               Ġit                 Ġhas                Ġbeen              
Timings          : (277.607, 277.667)  (277.667, 278.027)  (278.027, 278.287)  (278.287, 278.437)  (278.437, 278.53)   (278.661, 278.897)  (278.897, 279.017)  (279.017, 279.387)  (279.387, 279.447)  (279.447, 279.697)  (279.697, 279.727)  (279.727, 279.887)  (279.887, 280.017)  (280.017, 280.259)  (280.406, 280.527) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (280.527, 280.641)  (280.641, 281.048)  (281.048, 281.453)  (281.837, 281.987)  (281.987, 282.117)  (282.117, 282.287)  (282.287, 282.427)  (282.427, 282.607)  (282.607, 282.851)  (282.945, 283.787)  (283.787, 284.033)  (284.462, 285.147)  (285.147, 285.275)  (285.275, 285.389)  (285.389, 285.583) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġreal               Ġum                 Ġthere              Ġthere              Ġhave               Ġbeen               Ġsome               Ġgood               Ġentrepreneurial    Ġtype               Ġexperiences        Ġand                Ġi                  Ġthink             
Timings          : (280.527, 280.641)  (280.641, 281.048)  (281.048, 281.453)  (281.837, 281.987)  (281.987, 282.117)  (282.117, 282.287)  (282.287, 282.427)  (282.427, 282.607)  (282.607, 282.851)  (282.945, 283.787)  (283.787, 284.033)  (284.462, 285.147)  (285.147, 285.275)  (285.275, 285.389)  (285.389, 285.583) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (286.536, 286.638)  (286.638, 286.818)  (286.818, 286.938)  (286.938, 287.178)  (287.178, 287.668)  (287.668, 287.708)  (287.708, 288.048)  (288.048, 288.528)  (288.528, 288.885)  (288.885, 289.098)  (289.402, 289.474)  (289.474, 289.598)  (289.598, 289.718)  (289.718, 289.788)  (289.788, 290.098) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġthink              Ġthey               Ġhave               Ġcaptured           Ġa                  Ġcertain            Ġmarket             Ġagain              Ġbut                Ġbut                Ġthen               Ġthere              Ġare                Ġbabys             
Timings          : (286.536, 286.638)  (286.638, 286.818)  (286.818, 286.938)  (286.938, 287.178)  (287.178, 287.668)  (287.668, 287.708)  (287.708, 288.048)  (288.048, 288.528)  (288.528, 288.885)  (288.885, 289.098)  (289.402, 289.474)  (289.474, 289.598)  (289.598, 289.718)  (289.718, 289.788)  (289.788, 290.098) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (290.098, 290.408)  (290.408, 290.922)  (291.216, 291.428)  (291.428, 291.478)  (291.478, 291.788)  (291.788, 292.098)  (292.098, 292.238)  (292.238, 292.328)  (292.328, 292.388)  (292.388, 292.781)  (292.781, 292.875)  (292.875, 292.968)  (292.968, 293.118)  (293.118, 293.268)  (293.268, 293.628) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : itting              Ġgroups             Ġas                 Ġa                  Ġpediatric          ian                 Ġone                Ġof                 Ġthe                Ġthings             Ġwe                 've                 Ġbeen               Ġreal               Ġconcerned         
Timings          : (290.098, 290.408)  (290.408, 290.922)  (291.216, 291.428)  (291.428, 291.478)  (291.478, 291.788)  (291.788, 292.098)  (292.098, 292.238)  (292.238, 292.328)  (292.328, 292.388)  (292.388, 292.781)  (292.781, 292.875)  (292.875, 292.968)  (292.968, 293.118)  (293.118, 293.268)  (293.268, 293.628) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935      83770652753935     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (293.628, 293.828)  (293.828, 293.938)  (293.938, 294.018)  (294.018, 294.738)  (294.738, 294.878)  (294.878, 294.948)  (295.022, 295.204)  (295.204, 295.385)  (-1.0, -1.0)        (295.758, 295.848)  (295.848, 296.048)  (296.048, 296.408)  (296.408, 296.855)  (297.374, 297.461)  (297.461, 298.048) 
