A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġi                  Ġcan                't                  Ġgive               Ġuh                 Ġtoo                Ġgood               Ġa                  Ġperspective        Ġuh                
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġknow               Ġthat               Ġmuch               Ġguidance           Ġthey               're                 Ġgoing              Ġto                 Ġget                Ġinto               Ġtrouble            Ġand                Ġyou                Ġknow               Ġnow               
Timings          : (230.445, 230.749)  (230.749, 230.929)  (230.929, 231.159)  (231.159, 231.629)  (231.629, 231.674)  (231.674, 231.719)  (231.719, 231.869)  (231.869, 231.939)  (231.939, 232.119)  (232.119, 232.239)  (232.239, 232.749)  (232.749, 232.895)  (234.145, 234.286)  (234.286, 234.393)  (234.393, 234.605) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (230.445, 230.749)  (230.749, 230.929)  (230.929, 231.159)  (231.159, 231.629)  (231.629, 231.674)  (231.674, 231.719)  (231.719, 231.869)  (231.869, 231.939)  (231.939, 232.119)  (232.119, 232.239)  (232.239, 232.749)  (232.749, 232.895)  (234.145, 234.286)  (234.286, 234.393)  (234.393, 234.605) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgood               Ġstable             Ġfamily             Ġstructure          Ġuh                 Ġkeep               Ġthem               Ġstraight           Ġor                 Ġyou                Ġknow               Ġfather             Ġfigure             Ġto                 Ġlook              
Timings          : (234.88, 235.075)   (235.465, 235.835)  (235.835, 236.195)  (236.195, 236.735)  (236.735, 236.838)  (237.048, 237.118)  (237.201, 237.265)  (237.265, 237.675)  (237.675, 237.861)  (238.556, 238.609)  (238.609, 238.706)  (238.827, 239.035)  (239.035, 239.325)  (239.325, 239.455)  (239.455, 239.655) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      83649856798742     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               <eint>              <emp>               <emp>              
Timings          : (234.88, 235.075)   (235.465, 235.835)  (235.835, 236.195)  (236.195, 236.735)  (236.735, 236.838)  (237.048, 237.118)  (237.201, 237.265)  (237.265, 237.675)  (237.675, 237.861)  (238.556, 238.609)  (238.609, 238.706)  (238.738, 239.033)  (-1.0, -1.0)        (239.325, 239.455)  (239.455, 239.655) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83654688636944      83654688636944      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                  


A                : Ġup                 Ġto                 Ġor                 Ġanything           <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                
Timings          : (239.655, 239.845)  (239.845, 240.015)  (240.015, 240.175)  (240.175, 240.59)   (-1.0, -1.0)        (241.262, 241.428)  (241.428, 241.551)  (241.551, 241.856)  (241.856, 242.683)  (242.75, 242.958)   (242.958, 243.063)  (244.17, 244.685)   (244.685, 244.817)  (244.817, 245.124)  (245.365, 245.57)  
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 83649856798742      83649856798742      83649856798742      83649856798742      83649856798742      0                   0                   0                   0                   0                   0                   0                   0                   0                   83652004282387     
turn_end_types   : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġthey               Ġget                Ġso                 Ġmuch               Ġinformation        Ġfrom               Ġthe                Ġtv                 Ġyou                Ġknow               <emp>              
Timings          : (239.655, 239.845)  (239.845, 240.015)  (240.015, 240.175)  (240.175, 240.59)   (241.141, 241.262)  (241.262, 241.428)  (241.428, 241.551)  (241.551, 241.856)  (241.856, 242.683)  (242.75, 242.958)   (242.958, 243.063)  (244.17, 244.685)   (244.685, 244.817)  (244.817, 245.124)  (245.365, 245.57)  
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (245.57, 245.774)   (-1.0, -1.0)        (247.309, 247.573)  (250.132, 250.691)  (252.055, 252.115)  (252.115, 252.278)  (252.877, 253.152)  (253.152, 253.303)  (253.303, 253.44)   (254.298, 255.01)   (256.633, 256.742)  (256.742, 256.988)  (256.988, 257.498)  (257.498, 257.678)  (257.678, 257.858) 
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83652004282387      83652004282387      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġand                Ġuh                 Ġmakes              Ġi                  Ġthink              Ġpart               Ġof                 Ġthe                Ġparents            Ġyou                Ġknow               Ġparty              Ġand                Ġso                
Timings          : (245.57, 245.774)   (247.064, 247.309)  (247.309, 247.573)  (250.132, 250.691)  (252.055, 252.115)  (252.115, 252.278)  (252.877, 253.152)  (253.152, 253.303)  (253.303, 253.44)   (254.298, 255.01)   (256.633, 256.742)  (256.742, 256.988)  (256.988, 257.498)  (257.498, 257.678)  (257.678, 257.858) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (257.858, 258.248)  (258.248, 258.478)  (258.478, 259.048)  (259.048, 259.168)  (259.168, 259.258)  (259.258, 259.648)  (259.648, 259.788)  (259.788, 259.987)  (259.987, 260.172)  (261.54, 261.632)   (261.632, 261.86)   (262.124, 262.456)  (262.456, 262.586)  (263.918, 264.215)  (264.215, 264.402) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġforth              Ġand                Ġstands             Ġin                 Ġthe                Ġfact               Ġthat               Ġthey               Ġwere               Ġyou                Ġknow               Ġable               Ġto                 Ġteach              Ġthem              
Timings          : (257.858, 258.248)  (258.248, 258.478)  (258.478, 259.048)  (259.048, 259.168)  (259.168, 259.258)  (259.258, 259.648)  (259.648, 259.788)  (259.788, 259.987)  (259.987, 260.172)  (261.54, 261.632)   (261.632, 261.86)   (262.124, 262.456)  (262.456, 262.586)  (263.918, 264.215)  (264.215, 264.402) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (264.402, 264.682)  (265.482, 265.692)  (265.692, 265.782)  (265.782, 266.152)  (266.152, 266.562)  (266.562, 266.671)  (266.84, 267.022)   (267.022, 267.282)  (267.282, 267.456)  (267.682, 267.972)  (267.972, 268.352)  (268.352, 268.66)   (269.251, 269.482)  (269.482, 269.652)  (269.652, 269.712) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġtell               Ġthem               Ġabout              Ġthings             Ġthat               Ġand                Ġnow                Ġthe                Ġkids               Ġprobably           Ġknow               Ġmore               Ġthan               Ġthe               
Timings          : (264.402, 264.682)  (265.482, 265.692)  (265.692, 265.782)  (265.782, 266.152)  (266.152, 266.562)  (266.562, 266.671)  (266.84, 267.022)   (267.022, 267.282)  (267.282, 267.456)  (267.682, 267.972)  (267.972, 268.352)  (268.352, 268.66)   (269.251, 269.482)  (269.482, 269.652)  (269.652, 269.712) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġabout              Ġsomet              h                   ings                Ġbut                Ġi                  Ġdon                't                 
Timings          : (269.712, 270.222)  (270.222, 270.282)  (270.282, 270.342)  (270.342, 270.502)  (270.502, 270.572)  (270.572, 271.024)  (273.599, 273.983)  (273.983, 274.24)   (274.24, 274.44)    (274.44, 274.64)    (274.64, 274.84)    (274.84, 274.98)    (274.98, 275.098)   (275.098, 275.201)  (275.201, 275.305) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744     
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġparents            Ġin                 Ġa                  Ġlot                Ġof                 Ġcases              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (269.712, 270.222)  (270.222, 270.282)  (270.282, 270.342)  (270.342, 270.502)  (270.502, 270.572)  (270.572, 271.024)  (-1.0, -1.0)        (273.983, 274.24)   (274.24, 274.44)    (274.44, 274.64)    (274.64, 274.84)    (274.84, 274.98)    (274.98, 275.098)   (275.098, 275.201)  (275.201, 275.305) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      83650393669655      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġfor                Ġthe                Ġmore               Ġimportant          Ġthings             Ġabout              Ġlife               Ġi                  Ġthink              Ġuh                 Ġa                  Ġlot                Ġof                
Timings          : (275.593, 275.689)  (275.689, 275.927)  (276.76, 276.877)   (276.877, 276.987)  (276.987, 277.167)  (277.167, 277.607)  (277.607, 277.847)  (277.847, 278.147)  (278.147, 278.457)  (278.457, 278.527)  (278.527, 278.957)  (278.957, 279.117)  (279.117, 279.167)  (279.167, 279.337)  (279.337, 279.407) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (275.593, 275.689)  (275.765, 276.107)  (-1.0, -1.0)        (276.877, 276.987)  (276.987, 277.167)  (277.167, 277.607)  (277.607, 277.847)  (277.847, 278.147)  (278.147, 278.457)  (278.457, 278.527)  (278.527, 278.957)  (278.957, 279.117)  (279.117, 279.167)  (279.167, 279.337)  (279.337, 279.407) 
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   83652541153295      83652541153295      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġkids               Ġare                Ġmissing            <emp>               Ġuh                 <yield>             <emp>               <emp>               Ġthey               're                 Ġthey               're                 Ġout                Ġfor                Ġthe               
Timings          : (279.407, 279.677)  (279.677, 279.757)  (279.757, 280.149)  (280.211, 280.514)  (280.483, 280.637)  (-1.0, -1.0)        (280.777, 280.916)  (280.916, 281.204)  (283.073, 283.201)  (283.201, 283.328)  (283.627, 283.721)  (283.721, 283.815)  (283.815, 284.0)    (284.0, 284.129)    (284.129, 284.371) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      83649856798744      0                   0                   83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746     
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġright              <emp>               Ġthat               's                  Ġtrue               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (279.407, 279.677)  (279.677, 279.757)  (279.757, 280.149)  (280.211, 280.514)  (280.483, 280.637)  (280.638, 280.777)  (280.777, 280.916)  (280.916, 281.204)  (-1.0, -1.0)        (283.201, 283.328)  (283.627, 283.721)  (283.721, 283.815)  (283.815, 284.0)    (284.0, 284.129)    (284.129, 284.371) 
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   83653614895129      83653614895129      83653614895129      83653614895129      83653614895129      83653614895129      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġquick              Ġbuck               Ġmentality          Ġyou                Ġknow               Ġwho                Ġthey               Ġgets               Ġdefined            Ġby                 Ġwhat               Ġkind               Ġof                 Ġtennis            
Timings          : (284.5, 284.677)    (284.677, 285.009)  (285.009, 285.349)  (285.349, 286.044)  (286.861, 286.973)  (286.973, 287.367)  (287.81, 287.942)   (287.942, 288.317)  (288.317, 288.577)  (288.577, 288.977)  (288.977, 289.077)  (289.077, 289.247)  (289.247, 289.427)  (289.427, 289.487)  (289.487, 289.777) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (284.5, 284.677)    (284.677, 285.009)  (285.009, 285.349)  (285.349, 286.044)  (286.861, 286.973)  (286.973, 287.367)  (287.81, 287.942)   (287.942, 288.317)  (288.317, 288.577)  (288.577, 288.977)  (288.977, 289.077)  (289.077, 289.247)  (289.247, 289.427)  (289.427, 289.487)  (289.487, 289.777) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġshoes              Ġthey               Ġwear               Ġand                Ġuh                 Ġyou                Ġknow               Ġthey               Ġthey               Ġdon                't                  Ġhave               Ġreally             Ġkind               Ġof                
Timings          : (289.777, 290.057)  (290.057, 290.186)  (290.186, 290.456)  (291.271, 291.713)  (291.713, 291.901)  (292.581, 292.731)  (292.731, 292.891)  (292.891, 293.068)  (293.158, 293.231)  (293.231, 293.336)  (293.336, 293.441)  (293.441, 293.744)  (294.561, 294.781)  (294.781, 294.993)  (294.993, 295.099) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746      83649856798746     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (289.777, 290.057)  (290.057, 290.186)  (290.186, 290.456)  (291.271, 291.713)  (291.713, 291.901)  (292.581, 292.731)  (292.731, 292.891)  (292.891, 293.068)  (293.158, 293.231)  (293.231, 293.336)  (293.336, 293.441)  (293.441, 293.744)  (294.561, 294.781)  (294.781, 294.993)  (294.993, 295.099) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdeep                              Ġpersonal                          Ġvalues                            Ġanymore                           Ġyou                               Ġknow                              Ġwhat                              <eot>                             
Timings          : (295.265, 295.433)                 (295.433, 295.903)                 (295.903, 296.403)                 (296.403, 296.916)                 (297.138, 297.223)                 (297.223, 297.403)                 (297.403, 297.612)                 (-1.0, -1.0)                      
Token Types      : 1                                  1                                  1                                  1                                  1                                  1                                  1                                  1                                 
turn_ids         : 83649856798746                     83649856798746                     83649856798746                     83649856798746                     83649856798746                     83649856798746                     83649856798746                     83649856798746                    
turn_end_types   : 1                                  1                                  1                                  1                                  1                                  1                                  1                                  1                                 
speaker_ids      : 1                                  1                                  1                                  1                                  1                                  1                                  1                                  1                                 
