A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġmy                 Ġpersonal           Ġperception         Ġof                 Ġgovernment         Ġand                Ġuh                 Ġthe                Ġway                Ġthings            
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (240.454, 240.613)  (240.613, 241.344)  (241.344, 241.413)  (241.413, 241.803)  (241.803, 241.973)  (241.973, 242.124)  (242.124, 242.413)  (242.413, 242.764)  (242.764, 242.934)  (242.934, 243.094)  (243.094, 243.314)  (243.314, 243.593)  (244.331, 244.824)  (244.824, 244.943)  (244.943, 245.064) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġdiscern            Ġthe                Ġborder             Ġwhat               Ġhas                Ġbecome             Ġmuddy              Ġas                 Ġto                 Ġwhat               Ġis                 Ġethical            Ġand                Ġwhat              
Timings          : (240.454, 240.613)  (240.613, 241.344)  (241.344, 241.413)  (241.413, 241.803)  (241.803, 241.973)  (241.973, 242.124)  (242.124, 242.413)  (242.413, 242.764)  (242.764, 242.934)  (242.934, 243.094)  (243.094, 243.314)  (243.314, 243.593)  (244.331, 244.824)  (244.824, 244.943)  (244.943, 245.064) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               ex                  actly               <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (245.064, 245.193)  (245.193, 245.404)  (245.404, 245.822)  (246.003, 246.243)  (246.146, 246.431)  (246.431, 246.716)  (-1.0, -1.0)        (247.324, 247.404)  (247.404, 247.824)  (247.824, 247.923)  (247.923, 248.331)  (248.99, 249.18)    (249.18, 249.35)    (249.35, 249.45)    (249.45, 249.65)   
Token Types      : 0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   81953344716807      81953344716807      81953344716807      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġis                 Ġnot                Ġethical            Ġand                Ġthen               Ġsomeone            Ġblows              Ġthe                Ġwhistle            Ġand                Ġsays               Ġoh                 Ġthis               Ġis                 Ġnot               
Timings          : (245.064, 245.193)  (245.193, 245.404)  (245.404, 245.822)  (246.003, 246.243)  (246.243, 246.553)  (246.553, 247.014)  (247.014, 247.324)  (247.324, 247.404)  (247.404, 247.824)  (247.824, 247.923)  (247.923, 248.331)  (248.99, 249.18)    (249.18, 249.35)    (249.35, 249.45)    (249.45, 249.65)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġwell               Ġthat               's                  Ġexactly            Ġwhat               Ġhappens            Ġin                
Timings          : (249.65, 250.08)    (250.08, 250.18)    (250.18, 250.4)     (250.4, 250.49)     (250.49, 250.68)    (250.68, 250.8)     (250.8, 251.198)    (251.413, 251.543)  (252.943, 253.183)  (253.183, 253.288)  (253.288, 253.393)  (253.393, 253.933)  (253.933, 254.113)  (254.113, 254.523)  (254.523, 254.653) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġethical            Ġand                Ġyes                Ġi                  Ġdid                Ġit                 Ġtoo                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (249.65, 250.08)    (250.08, 250.18)    (250.18, 250.4)     (250.4, 250.49)     (250.49, 250.68)    (250.68, 250.8)     (250.8, 251.198)    (-1.0, -1.0)        (252.943, 253.183)  (253.183, 253.288)  (253.288, 253.393)  (253.393, 253.933)  (253.933, 254.113)  (254.113, 254.523)  (254.523, 254.653) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      81949586620425      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgovernment         Ġall                Ġthe                Ġtime               Ġhey                Ġblow               Ġthe                Ġwhistle            Ġon                 Ġeach               Ġother              Ġoh                 Ġi                  Ġhear               Ġthat              
Timings          : (254.653, 255.093)  (255.303, 255.503)  (255.503, 255.593)  (255.593, 256.053)  (256.053, 256.153)  (256.153, 256.403)  (256.403, 256.493)  (256.493, 256.843)  (256.843, 256.997)  (256.997, 257.246)  (257.246, 257.593)  (257.593, 257.883)  (257.883, 257.953)  (257.953, 258.273)  (258.273, 258.443) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (254.653, 255.093)  (255.303, 255.503)  (255.503, 255.593)  (255.593, 256.053)  (256.053, 256.153)  (256.153, 256.403)  (256.403, 256.493)  (256.493, 256.843)  (256.843, 256.997)  (256.997, 257.246)  (257.246, 257.593)  (257.593, 257.883)  (257.883, 257.953)  (257.953, 258.273)  (258.273, 258.443) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                're                 Ġdoing              Ġthis               Ġi                  've                 Ġdone               Ġit                 Ġbut                Ġoh                 Ġboy                Ġand                Ġit                 's                  Ġnot               
Timings          : (258.443, 258.498)  (258.498, 258.553)  (258.553, 258.863)  (258.863, 259.208)  (259.705, 259.814)  (259.814, 259.923)  (259.923, 260.123)  (260.123, 260.283)  (260.283, 260.473)  (260.473, 260.713)  (260.713, 260.963)  (261.183, 261.303)  (261.303, 261.438)  (261.438, 261.573)  (261.573, 261.823) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (258.443, 258.498)  (258.498, 258.553)  (258.553, 258.863)  (258.863, 259.208)  (259.705, 259.814)  (259.814, 259.923)  (259.923, 260.123)  (260.123, 260.283)  (260.283, 260.473)  (260.473, 260.713)  (260.713, 260.963)  (261.183, 261.303)  (261.303, 261.438)  (261.438, 261.573)  (261.573, 261.823) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgoing              Ġto                 Ġget                Ġout                Ġexactly            Ġyeah               Ġexactly            Ġexactly            Ġit                 's                  Ġuh                 <eot>               <emp>               Ġthere              's                 
Timings          : (261.823, 261.943)  (261.943, 262.003)  (262.003, 262.203)  (262.203, 262.477)  (262.94, 263.143)   (263.363, 263.684)  (263.684, 263.904)  (264.22, 264.883)   (264.883, 265.078)  (265.078, 265.273)  (265.273, 265.573)  (-1.0, -1.0)        (266.011, 266.231)  (266.182, 266.283)  (266.283, 266.383) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   4                   4                  
turn_ids         : 81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      81949049749514      0                   81952270974988      81952270974988     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġwe                 Ġjust               <emp>              
Timings          : (261.823, 261.943)  (261.943, 262.003)  (262.003, 262.203)  (262.203, 262.477)  (262.94, 263.143)   (263.363, 263.684)  (263.684, 263.904)  (264.22, 264.883)   (264.883, 265.078)  (265.078, 265.273)  (265.273, 265.573)  (265.871, 266.011)  (266.011, 266.231)  (266.231, 266.381)  (266.283, 266.383) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81949586620427      81949586620427      81949586620427      81949586620427     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : Ġno                 <emp>               Ġsecrets            Ġin                 Ġthe                Ġgovernment         Ġuh                 Ġi                  Ġdon                't                  Ġthink              Ġanymore            <yield>             <emp>               <emp>              
Timings          : (266.383, 266.633)  (266.571, 266.641)  (266.633, 267.223)  (267.223, 267.402)  (267.402, 267.473)  (267.473, 268.007)  (268.489, 268.815)  (268.815, 269.015)  (269.015, 269.094)  (269.094, 269.172)  (269.172, 269.372)  (269.372, 269.832)  (-1.0, -1.0)        (270.603, 270.667)  (270.667, 270.947) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                  
turn_ids         : 81952270974988      81952270974988      81952270974988      81952270974988      81952270974988      81952270974988      81952270974988      81952270974988      81952270974988      81952270974988      81952270974988      81952270974988      81952270974988      0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : Ġhad                Ġa                  <yield>             <emp>               <emp>               <emp>               Ġuh                 <eint>              <emp>               <emp>               <emp>               <emp>               Ġright              Ġthe                Ġmayor             
Timings          : (266.381, 266.571)  (266.571, 266.641)  (-1.0, -1.0)        (267.223, 267.402)  (267.402, 267.473)  (267.473, 268.007)  (268.547, 268.927)  (-1.0, -1.0)        (269.015, 269.094)  (269.094, 269.172)  (269.172, 269.372)  (269.372, 269.832)  (270.017, 270.285)  (270.603, 270.667)  (270.667, 270.947) 
Token Types      : 1                   1                   1                   0                   0                   0                   5                   5                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 81949586620427      81949586620427      81949586620427      0                   0                   0                   81953881587722      81953881587722      0                   0                   0                   0                   81949586620429      81949586620429      81949586620429     
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   2                   2                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>              
Timings          : (270.947, 271.027)  (271.027, 271.277)  (271.277, 271.527)  (271.527, 271.797)  (271.797, 272.25)   (272.714, 272.945)  (272.945, 273.177)  (273.504, 273.701)  (273.669, 273.766)  (273.766, 273.862)  (273.862, 273.959)  (-1.0, -1.0)        (274.847, 274.957)  (274.957, 275.537)  (275.537, 275.907) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   81951197233161      81951197233161      81951197233161      81951197233161      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                  

B                : Ġof                 Ġd                  allas               Ġis                 Ġuh                 Ġbart               lett                Ġste                ve                  <emp>               Ġbart               lett                Ġhe                 Ġalso               Ġuh                
Timings          : (270.947, 271.027)  (271.027, 271.277)  (271.277, 271.527)  (271.527, 271.797)  (271.797, 272.25)   (272.714, 272.945)  (272.945, 273.177)  (273.504, 273.701)  (273.701, 273.897)  (273.766, 273.862)  (273.897, 274.097)  (274.097, 274.297)  (274.847, 274.957)  (274.957, 275.537)  (275.537, 275.907) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                 
Timings          : (275.907, 276.287)  (276.287, 276.537)  (276.537, 277.327)  (277.643, 277.746)  (277.746, 277.849)  (277.849, 277.953)  (-1.0, -1.0)        (278.689, 279.048)  (279.048, 279.317)  (279.803, 279.94)   (279.94, 280.1)     (280.1, 280.62)     (280.976, 281.062)  (281.062, 281.149)  (281.149, 281.236) 
Token Types      : 0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 0                   0                   0                   81951197233162      81951197233162      81951197233162      81951197233162      0                   0                   0                   0                   0                   81951197233163      81951197233163      81951197233163     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġwas                Ġa                  Ġcongressman        <emp>               <emp>               <emp>               Ġuh                 Ġto                 Ġthe                Ġuh                 Ġto                 Ġcongress           <emp>               <emp>               <emp>              
Timings          : (275.907, 276.287)  (276.287, 276.537)  (276.537, 277.327)  (277.643, 277.746)  (277.746, 277.849)  (277.849, 277.953)  (278.258, 278.689)  (278.689, 279.048)  (279.048, 279.317)  (279.803, 279.94)   (279.94, 280.1)     (280.1, 280.62)     (280.976, 281.062)  (281.062, 281.149)  (281.149, 281.236) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġsure               <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (281.41, 281.47)    (281.47, 281.58)    (281.58, 281.73)    (281.73, 281.81)    (281.81, 282.01)    (282.01, 282.45)    (282.45, 282.67)    (282.67, 283.22)    (283.445, 283.775)  (-1.0, -1.0)        (284.463, 284.693)  (284.693, 284.953)  (284.953, 285.133)  (285.133, 285.633) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  
turn_ids         : 81951197233163      0                   0                   0                   0                   0                   0                   0                   0                   81949049749518      81949049749518      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : Ġand                Ġhe                 Ġhad                Ġbeen               Ġin                 Ġthat               Ġposition           Ġfor                Ġyears              <eot>               Ġand                Ġuh                 Ġhe                 Ġwas                Ġelected           
Timings          : (281.31, 281.41)    (281.41, 281.47)    (281.47, 281.58)    (281.58, 281.73)    (281.73, 281.81)    (281.81, 282.01)    (282.01, 282.45)    (282.45, 282.67)    (282.67, 283.22)    (-1.0, -1.0)        (284.083, 284.463)  (284.463, 284.693)  (284.693, 284.953)  (284.953, 285.133)  (285.133, 285.633) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620429      81949586620431      81949586620431      81949586620431      81949586620431      81949586620431     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>              
Timings          : (285.633, 285.893)  (285.893, 285.983)  (285.983, 286.223)  (286.223, 286.463)  (286.871, 286.97)   (286.97, 287.069)   (287.069, 287.168)  (-1.0, -1.0)        (288.307, 288.41)   (288.41, 288.513)   (288.513, 288.617)  (-1.0, -1.0)        (289.621, 289.711)  (289.711, 289.791)  (289.791, 290.001) 
Token Types      : 0                   0                   0                   0                   3                   3                   3                   3                   3                   3                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   81951197233165      81951197233165      81951197233165      81951197233165      81951197233166      81951197233166      81951197233166      81951197233166      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : Ġmayor              Ġof                 Ġd                  allas               <emp>               <emp>               Ġoverwhelmingly     <emp>               <emp>               <emp>               <emp>               Ġhowever            Ġif                 Ġthe                Ġvote              
Timings          : (285.633, 285.893)  (285.893, 285.983)  (285.983, 286.223)  (286.223, 286.463)  (286.871, 286.97)   (286.97, 287.069)   (287.023, 287.913)  (-1.0, -1.0)        (288.307, 288.41)   (288.41, 288.513)   (288.513, 288.617)  (289.177, 289.621)  (289.621, 289.711)  (289.711, 289.791)  (289.791, 290.001) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81949586620431      81949586620431      81949586620431      81949586620431      81949586620431      81949586620431      81949586620431      0                   81949586620431      81949586620431      81949586620431      81949586620431      81949586620431      81949586620431      81949586620431     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (290.001, 290.141)  (290.141, 290.441)  (290.441, 290.821)  (290.821, 290.951)  (290.951, 291.121)  (291.121, 291.391)  (291.391, 291.601)  (291.601, 292.051)  (292.051, 292.391)  (292.391, 292.471)  (292.471, 292.601)  (292.601, 292.861)  (292.861, 292.991)  (292.991, 293.241)  (294.386, 294.606) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
