A                : have                Ġyou                Ġany                Ġthoughts           <eot>               <emp>               <emp>               <emp>               Ġokay               Ġwell               Ġum                 Ġi                  'll                 Ġtell               Ġyou               
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               Ġover               react               <emp>               Ġwhen               Ġyou                Ġsay                Ġthat               Ġthe                Ġfact               Ġthat               Ġit                 's                  Ġjust               Ġgood              
Timings          : (231.021, 231.111)  (231.111, 231.504)  (231.504, 231.896)  (231.993, 232.129)  (232.156, 232.301)  (232.301, 232.391)  (232.391, 232.641)  (232.641, 232.881)  (232.881, 232.951)  (232.951, 233.271)  (233.271, 233.401)  (233.401, 233.481)  (233.481, 233.561)  (233.561, 233.771)  (233.771, 234.061) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (234.061, 234.681)  (234.681, 235.021)  (235.021, 235.511)  (235.511, 235.581)  (235.581, 235.847)  (235.847, 235.988)  (235.988, 236.13)   (236.33, 237.081)   (237.081, 237.741)  (237.741, 237.841)  (237.841, 237.901)  (237.901, 238.211)  (238.211, 238.57)   (238.682, 238.827)  (238.827, 238.971) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82741471215630      82741471215630     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġmedical            Ġsafe               Ġpractice           Ġyou                Ġknow               Ġdon                't                  Ġexpose             Ġyourself           Ġin                 Ġthe                Ġfirst              Ġplace              <emp>               <emp>              
Timings          : (234.061, 234.681)  (234.681, 235.021)  (235.021, 235.511)  (235.511, 235.581)  (235.581, 235.847)  (235.847, 235.988)  (235.988, 236.13)   (236.33, 237.081)   (237.081, 237.741)  (237.741, 237.841)  (237.841, 237.901)  (237.901, 238.211)  (238.211, 238.57)   (238.682, 238.827)  (238.827, 238.971) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (239.758, 240.174)  (240.174, 240.309)  (240.309, 240.444)  (240.444, 241.085)  (241.308, 241.624)  (241.624, 241.866)  (241.866, 242.171)  (242.171, 242.274)  (242.274, 242.384)  (242.384, 242.604)  (242.604, 243.484)  (243.484, 243.644)  (243.644, 244.154)  (244.154, 244.424) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82741471215630      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġthe                Ġit                 's                  Ġbecause            Ġthe                Ġthe                Ġthe                Ġyou                Ġknow               Ġthis               Ġadministration     Ġwas                Ġaround             Ġwhen              
Timings          : (239.565, 239.758)  (239.758, 240.174)  (240.174, 240.309)  (240.309, 240.444)  (240.444, 241.085)  (241.308, 241.624)  (241.624, 241.866)  (241.866, 242.171)  (242.171, 242.274)  (242.274, 242.384)  (242.384, 242.604)  (242.604, 243.484)  (243.484, 243.644)  (243.644, 244.154)  (244.154, 244.424) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (244.424, 244.664)  (244.664, 244.904)  (244.904, 245.044)  (245.044, 245.114)  (245.114, 245.504)  (245.504, 245.854)  (245.854, 245.974)  (245.974, 246.494)  (246.494, 246.794)  (246.794, 247.033)  (247.033, 247.349)  (247.349, 247.434)  (247.434, 248.164)  (248.164, 248.284)  (248.284, 248.524) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġre                 agan                Ġwhen               Ġthe                Ġdisease            Ġfirst              Ġwas                Ġdiscovered         Ġhere               Ġand                Ġall                Ġthe                Ġsocial             Ġyou                Ġknow              
Timings          : (244.424, 244.664)  (244.664, 244.904)  (244.904, 245.044)  (245.044, 245.114)  (245.114, 245.504)  (245.504, 245.854)  (245.854, 245.974)  (245.974, 246.494)  (246.494, 246.794)  (246.794, 247.033)  (247.033, 247.349)  (247.349, 247.434)  (247.434, 248.164)  (248.164, 248.284)  (248.284, 248.524) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (248.777, 249.634)  (249.634, 249.774)  (249.774, 249.864)  (249.864, 249.999)  (249.999, 250.134)  (250.134, 250.774)  (250.774, 251.254)  (251.254, 251.384)  (251.384, 251.524)  (251.524, 251.624)  (251.624, 251.954)  (251.954, 252.314)  (252.314, 252.424)  (252.424, 252.874)  (252.874, 253.014) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġimplications       Ġof                 Ġthe                Ġre                 agan                Ġadministration     Ġignoring           Ġit                 Ġwhen               Ġit                 Ġfirst              Ġbecame             Ġan                 Ġissue              Ġand               
Timings          : (248.777, 249.634)  (249.634, 249.774)  (249.774, 249.864)  (249.864, 249.999)  (249.999, 250.134)  (250.134, 250.774)  (250.774, 251.254)  (251.254, 251.384)  (251.384, 251.524)  (251.524, 251.624)  (251.624, 251.954)  (251.954, 252.314)  (252.314, 252.424)  (252.424, 252.874)  (252.874, 253.014) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (253.2, 253.365)    (253.365, 253.53)   (-1.0, -1.0)        (253.699, 253.792)  (253.792, 253.884)  (253.884, 254.064)  (254.064, 254.504)  (254.504, 254.794)  (254.794, 255.095)  (254.965, 255.457)  (-1.0, -1.0)        (255.818, 255.923)  (255.923, 256.028)  (256.028, 256.168)  (256.168, 256.263) 
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 82741471215631      82741471215631      82741471215631      0                   0                   0                   0                   0                   0                   82741471215632      82741471215632      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġsee                Ġthat               's                  Ġall                Ġcarrying           Ġover               Ġnow                <emp>               Ġand                Ġthat               's                  Ġwhy                Ġyou               
Timings          : (253.2, 253.365)    (253.365, 253.53)   (253.572, 253.699)  (253.699, 253.792)  (253.792, 253.884)  (253.884, 254.064)  (254.064, 254.504)  (254.504, 254.794)  (254.794, 255.095)  (254.965, 255.457)  (255.702, 255.818)  (255.818, 255.923)  (255.923, 256.028)  (256.028, 256.168)  (256.168, 256.263) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885      82739860602885     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġokay               Ġthat               Ġthat               Ġmakes              Ġa                  Ġlittle             Ġbit                Ġof                 Ġsense              Ġuh                 Ġi                  Ġi                 
Timings          : (256.263, 256.358)  (256.358, 256.728)  (256.728, 257.078)  (257.254, 257.613)  (257.848, 257.999)  (257.999, 258.15)   (258.15, 258.337)   (258.337, 258.41)   (258.41, 258.6)     (258.6, 258.73)     (258.73, 258.8)     (258.8, 259.18)     (259.18, 259.42)    (259.721, 260.017)  (260.017, 260.14)  
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : 're                 Ġseeing             Ġthat               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (256.263, 256.358)  (256.358, 256.728)  (256.728, 257.078)  (-1.0, -1.0)        (257.848, 257.999)  (257.999, 258.15)   (258.15, 258.337)   (258.337, 258.41)   (258.41, 258.6)     (258.6, 258.73)     (258.73, 258.8)     (258.8, 259.18)     (259.18, 259.42)    (259.721, 260.017)  (260.017, 260.14)  
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82739860602885      82739860602885      82739860602885      82739860602885      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhadn               't                  Ġi                  Ġwas                Ġnot                Ġaware              Ġthat               Ġthat               Ġwas                Ġuh                 Ġsuch               Ġa                  Ġa                  Ġwithin             Ġthe               
Timings          : (260.14, 260.565)   (260.565, 260.99)   (260.99, 261.05)    (261.05, 261.19)    (261.19, 261.37)    (261.37, 261.65)    (261.65, 261.81)    (261.81, 261.97)    (261.97, 262.2)     (262.2, 262.7)      (262.7, 263.05)     (263.05, 263.279)   (263.452, 263.86)   (263.86, 264.22)    (264.22, 264.452)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (260.14, 260.565)   (260.565, 260.99)   (260.99, 261.05)    (261.05, 261.19)    (261.19, 261.37)    (261.37, 261.65)    (261.65, 261.81)    (261.81, 261.97)    (261.97, 262.2)     (262.2, 262.7)      (262.7, 263.05)     (263.05, 263.279)   (263.452, 263.86)   (263.86, 264.22)    (264.22, 264.452)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġn                  ih                  Ġthat               Ġuh                 Ġthat               Ġwas                Ġthat               Ġmuch               Ġuh                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (264.625, 264.928)  (264.928, 265.23)   (265.23, 265.39)    (265.39, 265.764)   (265.764, 265.911)  (265.911, 265.998)  (265.998, 266.126)  (266.126, 266.499)  (267.214, 267.572)  (-1.0, -1.0)        (269.628, 269.796)  (269.796, 270.046)  (270.046, 270.456)  (270.456, 270.606)  (270.606, 270.996) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      82739323731974      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġthere              Ġis                 Ġbecause            Ġwhat               Ġhappened          
Timings          : (264.625, 264.928)  (264.928, 265.23)   (265.23, 265.39)    (265.39, 265.764)   (265.764, 265.911)  (265.911, 265.998)  (265.998, 266.126)  (266.126, 266.499)  (267.214, 267.572)  (269.412, 269.628)  (269.628, 269.796)  (269.796, 270.046)  (270.046, 270.456)  (270.456, 270.606)  (270.606, 270.996) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (270.996, 271.136)  (271.136, 271.216)  (271.216, 271.486)  (271.486, 271.566)  (271.566, 271.766)  (271.766, 272.136)  (272.136, 272.266)  (272.266, 272.616)  (272.616, 272.976)  (272.976, 273.046)  (273.046, 273.626)  (273.626, 273.967)  (273.967, 274.308)  (274.547, 274.705)  (274.705, 274.863) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82741471215634      82741471215634     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġis                 Ġa                  Ġlot                Ġof                 Ġthese              Ġpeople             Ġand                Ġstaff              Ġmembers            Ġare                Ġpolitical          Ġappoint            ees                 <emp>               <emp>              
Timings          : (270.996, 271.136)  (271.136, 271.216)  (271.216, 271.486)  (271.486, 271.566)  (271.566, 271.766)  (271.766, 272.136)  (272.136, 272.266)  (272.266, 272.616)  (272.616, 272.976)  (272.976, 273.046)  (273.046, 273.626)  (273.626, 273.967)  (273.967, 274.308)  (274.547, 274.705)  (274.705, 274.863) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (275.163, 275.263)  (275.263, 275.693)  (275.693, 276.393)  (276.393, 276.523)  (276.523, 276.773)  (276.773, 277.373)  (277.373, 277.767)  (278.041, 278.335)  (278.335, 279.063)  (279.063, 279.153)  (279.153, 279.473)  (279.473, 279.913)  (279.913, 280.439)  (280.859, 281.062) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82741471215634      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfrom               Ġthe                Ġsouth              Ġespecially         Ġwho                Ġcome               Ġalong              Ġwith               Ġa                  Ġvariety            Ġof                 Ġdifferent          Ġreligious          Ġbeliefs            Ġsome              
Timings          : (274.956, 275.163)  (275.163, 275.263)  (275.263, 275.693)  (275.693, 276.393)  (276.393, 276.523)  (276.523, 276.773)  (276.773, 277.373)  (277.373, 277.767)  (278.041, 278.335)  (278.335, 279.063)  (279.063, 279.153)  (279.153, 279.473)  (279.473, 279.913)  (279.913, 280.439)  (280.859, 281.062) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (281.062, 281.203)  (281.203, 281.413)  (281.413, 281.693)  (281.693, 281.973)  (281.973, 282.258)  (282.258, 282.543)  (282.543, 283.033)  (283.467, 283.769)  (283.948, 284.241)  (284.241, 284.581)  (284.581, 284.721)  (284.721, 285.151)  (285.151, 285.361)  (285.361, 285.501)  (285.501, 286.366) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġwhich              Ġheld               Ġvery               Ġferv               ent                 Ġbeliefs            Ġand                Ġwill               Ġtake               Ġtheir              Ġbeliefs            Ġinto               Ġthe                Ġworkplace         
Timings          : (281.062, 281.203)  (281.203, 281.413)  (281.413, 281.693)  (281.693, 281.973)  (281.973, 282.258)  (282.258, 282.543)  (282.543, 283.033)  (283.467, 283.769)  (283.948, 284.241)  (284.241, 284.581)  (284.581, 284.721)  (284.721, 285.151)  (285.151, 285.361)  (285.361, 285.501)  (285.501, 286.366) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887      82739860602887     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
