A                : uh                  Ġwith               Ġregard             Ġto                 Ġuh                 Ġto                 Ġjury               Ġtrials             Ġi                  Ġyou                Ġknow               Ġi                  Ġi                  Ġreally             Ġfeel              
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                  


A                : Ġme                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (229.696, 229.876)  (-1.0, -1.0)        (230.779, 230.962)  (230.962, 231.098)  (231.098, 231.232)  (231.232, 231.613)  (231.613, 231.732)  (231.732, 231.842)  (231.842, 232.042)  (232.042, 232.232)  (232.232, 232.333)  (232.333, 232.415)  (232.415, 232.498)  (232.498, 232.65)   (232.65, 232.952)  
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 84010634051600      84010634051600      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġthat               's                  Ġthat               's                  Ġexactly            Ġhow                Ġi                  Ġfeel               Ġtoo                Ġi                  Ġwouldn             't                  Ġhave               Ġuh                
Timings          : (229.696, 229.876)  (230.595, 230.779)  (230.779, 230.962)  (230.962, 231.098)  (231.098, 231.232)  (231.232, 231.613)  (231.613, 231.732)  (231.732, 231.842)  (231.842, 232.042)  (232.042, 232.232)  (232.232, 232.333)  (232.333, 232.415)  (232.415, 232.498)  (232.498, 232.65)   (232.65, 232.952)  
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (233.671, 233.833)  (233.833, 233.913)  (233.913, 233.992)  (233.992, 234.083)  (234.083, 234.352)  (234.352, 234.482)  (234.482, 234.803)  (234.803, 234.962)  (234.962, 235.322)  (235.322, 235.702)  (235.702, 235.902)  (235.902, 235.982)  (235.982, 236.212)  (236.212, 236.333)  (236.333, 236.693) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               Ġwouldn             't                  Ġhave               Ġstopped            Ġmy                 Ġcar                Ġfor                Ġany                Ġanything           Ġhad                Ġi                  Ġseen               Ġthem               Ġcoming            
Timings          : (233.671, 233.833)  (233.833, 233.913)  (233.913, 233.992)  (233.992, 234.083)  (234.083, 234.352)  (234.352, 234.482)  (234.482, 234.803)  (234.803, 234.962)  (234.962, 235.322)  (235.322, 235.702)  (235.702, 235.902)  (235.902, 235.982)  (235.982, 236.212)  (236.212, 236.333)  (236.333, 236.693) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (236.693, 236.852)  (237.4, 237.473)    (237.473, 237.643)  (237.643, 237.822)  (237.822, 238.312)  (238.312, 238.633)  (238.633, 238.723)  (238.723, 238.945)  (239.017, 239.1)    (239.1, 239.182)    (239.182, 239.331)  (239.61, 239.681)   (239.681, 239.753)  (239.753, 240.033)  (240.033, 240.412) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġi                  Ġwas                Ġjust               Ġwondering          Ġsince              Ġyou                Ġwere               Ġyou                're                 Ġin                 Ġyou                're                 Ġback               Ġeast              
Timings          : (236.693, 236.852)  (237.4, 237.473)    (237.473, 237.643)  (237.643, 237.822)  (237.822, 238.312)  (238.312, 238.633)  (238.633, 238.723)  (238.723, 238.945)  (239.017, 239.1)    (239.1, 239.182)    (239.182, 239.331)  (239.61, 239.681)   (239.681, 239.753)  (239.753, 240.033)  (240.033, 240.412) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (240.492, 240.766)  (242.18, 242.255)   (242.255, 242.336)  (242.336, 242.516)  (242.516, 242.836)  (242.836, 243.046)  (243.046, 243.381)  (243.885, 243.986)  (243.986, 244.286)  (244.286, 244.664)  (244.732, 245.086)  (245.086, 245.246)  (245.246, 245.426)  (245.426, 245.556)  (245.556, 245.666) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġum                 Ġand                Ġa                  Ġlittle             Ġcloser             Ġto                 Ġthe                Ġthe                Ġbigger             Ġcities             Ġprobably           Ġthan               Ġwe                 Ġare                Ġin                
Timings          : (240.492, 240.766)  (242.18, 242.255)   (242.255, 242.336)  (242.336, 242.516)  (242.516, 242.836)  (242.836, 243.046)  (243.046, 243.381)  (243.885, 243.986)  (243.986, 244.286)  (244.286, 244.664)  (244.732, 245.086)  (245.086, 245.246)  (245.246, 245.426)  (245.426, 245.556)  (245.556, 245.666) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513      84011170922513     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġright              Ġi                  'm                  Ġinside             Ġthe                Ġbelt               way                 Ġyou                Ġknow               Ġhow                Ġcapital            Ġgang              
Timings          : (245.666, 245.846)  (245.846, 246.026)  (246.026, 246.274)  (246.615, 246.775)  (246.775, 246.89)   (246.89, 247.005)   (247.005, 247.405)  (247.405, 247.475)  (247.475, 247.74)   (247.74, 248.005)   (248.936, 249.046)  (249.046, 249.186)  (249.186, 249.356)  (249.356, 249.836)  (249.836, 250.156) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġid                 aho                 Ġhere               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 <ebc>               <emp>               <emp>               <emp>              
Timings          : (245.666, 245.846)  (245.846, 246.026)  (246.026, 246.274)  (-1.0, -1.0)        (246.775, 246.89)   (246.89, 247.005)   (247.005, 247.405)  (247.405, 247.475)  (247.475, 247.74)   (247.74, 248.005)   (248.396, 249.03)   (-1.0, -1.0)        (249.186, 249.356)  (249.356, 249.836)  (249.836, 250.156) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 84011170922513      84011170922513      84011170922513      84011170922513      0                   0                   0                   0                   0                   0                   84013318406158      84013318406158      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġthey               Ġalways             Ġsay                Ġwell               Ġinside             Ġthe                Ġbelt               way                 Ġthey               Ġthink              Ġthus               Ġand                Ġso                 Ġand                Ġi                 
Timings          : (250.156, 250.286)  (250.286, 250.536)  (250.536, 250.901)  (251.075, 251.316)  (251.553, 251.916)  (251.916, 251.986)  (251.986, 252.271)  (252.271, 252.556)  (252.91, 253.056)   (253.056, 253.326)  (253.326, 253.536)  (253.536, 253.666)  (253.666, 253.856)  (253.856, 253.956)  (253.956, 253.986) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (250.156, 250.286)  (250.286, 250.536)  (250.536, 250.901)  (251.075, 251.316)  (251.553, 251.916)  (251.916, 251.986)  (251.986, 252.271)  (252.271, 252.556)  (252.91, 253.056)   (253.056, 253.326)  (253.326, 253.536)  (253.536, 253.666)  (253.666, 253.856)  (253.856, 253.956)  (253.956, 253.986) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsay                Ġwell               Ġwait               Ġa                  Ġminute             Ġi                  'm                  Ġinside             Ġthe                Ġbelt               way                 Ġand                Ġi                  Ġdon                't                 
Timings          : (253.986, 254.186)  (254.186, 254.376)  (254.376, 254.516)  (254.516, 254.566)  (254.566, 254.866)  (254.866, 254.941)  (254.941, 255.016)  (255.016, 255.366)  (255.366, 255.426)  (255.426, 255.616)  (255.616, 255.806)  (255.806, 255.936)  (255.936, 256.032)  (256.032, 256.122)  (256.122, 256.212) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602      84010634051602     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (253.986, 254.186)  (254.186, 254.376)  (254.376, 254.516)  (254.516, 254.566)  (254.566, 254.866)  (254.866, 254.941)  (254.941, 255.016)  (255.016, 255.366)  (255.366, 255.426)  (255.426, 255.616)  (255.616, 255.806)  (255.806, 255.936)  (255.936, 256.032)  (256.032, 256.122)  (256.122, 256.212) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthink              Ġlike               Ġthat               <eot>               <emp>               i                   'm                  Ġa                  Ġgovernment         Ġemployee           <eint>              <emp>               <emp>               <emp>               <emp>              
Timings          : (256.212, 256.422)  (256.422, 256.594)  (256.594, 256.819)  (-1.0, -1.0)        (257.305, 257.61)   (258.034, 258.097)  (258.097, 258.16)   (258.16, 258.23)    (258.23, 258.63)    (258.63, 259.244)   (-1.0, -1.0)        (260.063, 260.244)  (260.244, 260.537)  (260.537, 260.817)  (260.817, 261.427) 
Token Types      : 1                   1                   1                   1                   0                   5                   5                   5                   5                   5                   5                   0                   0                   0                   0                  
turn_ids         : 84010634051602      84010634051602      84010634051602      84010634051602      0                   84014929018890      84014929018890      84014929018890      84014929018890      84014929018890      84014929018890      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġum                 hum                 <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġin                 Ġwhat               Ġuh                 Ġsection           
Timings          : (256.212, 256.422)  (256.422, 256.594)  (256.594, 256.819)  (256.999, 257.305)  (257.305, 257.61)   (258.034, 258.097)  (258.097, 258.16)   (258.16, 258.23)    (258.23, 258.63)    (258.63, 259.244)   (259.354, 260.063)  (260.063, 260.244)  (260.244, 260.537)  (260.537, 260.817)  (260.817, 261.427) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      84011170922515     
turn_end_types   : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġi                  'm                  Ġwith               Ġthe                Ġf                  bi                  <eot>               <emp>               <emp>               <emp>               <emp>               Ġyes               
Timings          : (261.427, 261.507)  (261.507, 261.597)  (261.597, 261.997)  (261.976, 262.067)  (262.067, 262.159)  (262.159, 262.349)  (262.349, 262.409)  (262.409, 262.702)  (262.702, 262.995)  (-1.0, -1.0)        (264.126, 264.268)  (264.268, 264.383)  (264.383, 264.498)  (264.498, 265.159)  (265.613, 265.97)  
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   84013855277076      84013855277076      84013855277076      84013855277076      84013855277076      84013855277076      84013855277076      0                   0                   0                   0                   84010634051606     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                  

B                : Ġof                 Ġthe                Ġgovernment         Ġdo                 Ġyou                Ġwork               <yield>             <emp>               <emp>               Ġoh                 Ġoh                 Ġthat               's                  Ġinteresting        <eot>              
Timings          : (261.427, 261.507)  (261.507, 261.597)  (261.597, 261.997)  (261.997, 262.087)  (262.087, 262.147)  (262.147, 262.348)  (-1.0, -1.0)        (262.409, 262.702)  (262.702, 262.995)  (263.397, 264.126)  (264.126, 264.268)  (264.268, 264.383)  (264.383, 264.498)  (264.498, 265.159)  (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      84011170922515      0                   0                   84011170922517      84011170922517      84011170922517      84011170922517      84011170922517      84011170922517     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : Ġand                Ġand                Ġso                 Ġum                 Ġuh                 Ġand                Ġand                Ġthe                Ġreason             Ġi                  'm                  Ġdoing              Ġthis               Ġwhole              Ġthing             
Timings          : (265.97, 266.195)   (266.195, 266.455)  (266.455, 266.775)  (266.775, 267.003)  (267.438, 267.728)  (267.728, 267.978)  (267.978, 268.178)  (268.178, 268.248)  (268.248, 268.608)  (268.608, 268.703)  (268.703, 268.798)  (268.798, 269.198)  (269.198, 269.398)  (269.398, 269.678)  (269.678, 269.958) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (265.97, 266.195)   (266.195, 266.455)  (266.455, 266.775)  (266.775, 267.003)  (267.438, 267.728)  (267.728, 267.978)  (267.978, 268.178)  (268.178, 268.248)  (268.248, 268.608)  (268.608, 268.703)  (268.703, 268.798)  (268.798, 269.198)  (269.198, 269.398)  (269.398, 269.678)  (269.678, 269.958) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġis                 Ġbecause            Ġyou                Ġknow               Ġr                  ick                 Ġwho                Ġis                 Ġanother            Ġgovernment         Ġemployee           Ġwanted             Ġa                  Ġspeech             Ġsegments          
Timings          : (269.958, 270.088)  (270.088, 270.633)  (271.043, 271.088)  (271.088, 271.318)  (271.318, 271.468)  (271.468, 271.617)  (271.764, 271.878)  (271.878, 271.958)  (271.958, 272.208)  (272.208, 272.558)  (272.558, 273.058)  (273.608, 274.01)   (274.093, 274.198)  (274.198, 274.538)  (274.538, 274.988) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (269.958, 270.088)  (270.088, 270.633)  (271.043, 271.088)  (271.088, 271.318)  (271.318, 271.468)  (271.468, 271.617)  (271.764, 271.878)  (271.878, 271.958)  (271.958, 272.208)  (272.208, 272.558)  (272.558, 273.058)  (273.608, 274.01)   (274.093, 274.198)  (274.198, 274.538)  (274.538, 274.988) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġmy                 Ġspeech             Ġthat               <emp>               <emp>               Ġuh                 Ġwere               Ġdone               Ġa                  Ġyear               Ġago                Ġand                Ġhe                 Ġwanted            
Timings          : (274.988, 275.058)  (275.058, 275.228)  (275.228, 275.825)  (276.311, 276.628)  (276.417, 276.522)  (276.522, 276.626)  (276.628, 276.728)  (276.728, 276.948)  (276.948, 277.379)  (277.48, 277.558)   (277.558, 277.788)  (277.788, 278.088)  (278.088, 278.178)  (278.178, 278.238)  (278.238, 278.578) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606      84010634051606     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (274.988, 275.058)  (275.058, 275.228)  (275.228, 275.825)  (276.313, 276.417)  (276.417, 276.522)  (276.522, 276.626)  (-1.0, -1.0)        (276.728, 276.948)  (276.948, 277.379)  (277.48, 277.558)   (277.558, 277.788)  (277.788, 278.088)  (278.088, 278.178)  (278.178, 278.238)  (278.238, 278.578) 
