A                : ok                  ay                  Ġwell               Ġi                  'll                 Ġjust               Ġbriefly            Ġum                 Ġi                  Ġworked             Ġin                 Ġa                  Ġnursing            Ġhome               Ġso                
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġlaws               Ġnow                Ġthat               Ġkind               Ġof                 Ġprotect            Ġthat               Ġnursing            Ġhomes              Ġeither             Ġhave               Ġto                 Ġkeep               Ġthe                Ġmentally          
Timings          : (218.431, 218.891)  (218.891, 219.191)  (219.191, 219.481)  (219.481, 219.671)  (219.671, 219.751)  (219.751, 220.551)  (220.551, 220.931)  (220.931, 221.241)  (221.241, 221.64)   (221.64, 221.881)   (221.881, 222.161)  (222.161, 222.296)  (222.296, 222.651)  (222.651, 222.711)  (222.711, 223.261) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (218.431, 218.891)  (218.891, 219.191)  (219.191, 219.481)  (219.481, 219.671)  (219.671, 219.751)  (219.751, 220.551)  (220.551, 220.931)  (220.931, 221.241)  (221.241, 221.64)   (221.64, 221.881)   (221.881, 222.161)  (222.161, 222.296)  (222.296, 222.651)  (222.651, 222.711)  (222.711, 223.261) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġill                Ġtotally            Ġaway               Ġfrom               Ġthese              Ġpeople             Ġand                Ġnot                Ġin                 Ġthe                Ġsame               Ġtype               Ġof                 Ġfacilities         Ġeven              
Timings          : (223.261, 223.481)  (223.481, 224.021)  (224.021, 224.612)  (224.951, 225.141)  (225.141, 225.311)  (225.391, 225.911)  (226.621, 226.819)  (226.819, 227.069)  (227.069, 227.209)  (227.209, 227.289)  (227.289, 227.859)  (227.859, 228.189)  (228.189, 228.269)  (228.269, 228.949)  (228.949, 229.209) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (223.261, 223.481)  (223.481, 224.021)  (224.021, 224.612)  (224.951, 225.141)  (225.141, 225.311)  (225.391, 225.911)  (226.621, 226.819)  (226.819, 227.069)  (227.069, 227.209)  (227.209, 227.289)  (227.289, 227.859)  (227.859, 228.189)  (228.189, 228.269)  (228.269, 228.949)  (228.949, 229.209) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthough             Ġthey               're                 Ġaging              Ġmentally           Ġill                Ġthey               Ġare                Ġstill              Ġmentally           Ġill                Ġand                Ġa                  Ġlot                Ġof                
Timings          : (229.209, 229.399)  (229.399, 229.517)  (229.517, 229.634)  (229.675, 230.309)  (230.309, 230.859)  (230.909, 231.289)  (231.669, 231.839)  (231.839, 231.939)  (231.939, 232.319)  (232.319, 232.869)  (232.869, 233.129)  (233.129, 233.239)  (233.239, 233.309)  (233.309, 233.589)  (233.589, 233.709) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (229.209, 229.399)  (229.399, 229.517)  (229.517, 229.634)  (229.675, 230.309)  (230.309, 230.859)  (230.909, 231.289)  (231.669, 231.839)  (231.839, 231.939)  (231.939, 232.319)  (232.319, 232.869)  (232.869, 233.129)  (233.129, 233.239)  (233.239, 233.309)  (233.309, 233.589)  (233.589, 233.709) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthese              Ġolder              Ġpeople             Ġhave               Ġtheir              Ġyou                Ġknow               Ġthey               're                 Ġnot                Ġinsane             Ġor                 Ġanything           Ġlike               Ġthat              
Timings          : (233.709, 233.939)  (234.009, 234.259)  (234.259, 234.709)  (235.239, 235.509)  (235.509, 235.729)  (236.039, 236.139)  (236.139, 236.489)  (237.3, 237.356)    (237.356, 237.413)  (237.413, 237.623)  (237.623, 238.273)  (238.273, 238.373)  (238.373, 238.693)  (238.693, 238.913)  (238.913, 239.173) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (233.709, 233.939)  (234.009, 234.259)  (234.259, 234.709)  (235.239, 235.509)  (235.509, 235.729)  (236.039, 236.139)  (236.139, 236.489)  (237.3, 237.356)    (237.356, 237.413)  (237.413, 237.623)  (237.623, 238.273)  (238.273, 238.373)  (238.373, 238.693)  (238.693, 238.913)  (238.913, 239.173) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthey               Ġdon                't                  Ġhave               Ġthese              Ġtendencies         Ġto                 Ġto                 Ġlash               Ġout                <yield>             Ġbut                Ġseeing             Ġthat               Ġkind              
Timings          : (239.173, 239.243)  (239.243, 239.343)  (239.343, 239.443)  (239.443, 239.693)  (239.693, 239.939)  (239.987, 240.773)  (240.773, 241.202)  (241.304, 241.423)  (241.423, 241.755)  (241.848, 242.065)  (-1.0, -1.0)        (242.781, 243.107)  (243.597, 243.989)  (243.989, 244.279)  (244.279, 244.519) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793348      79973364793350      79973364793350      79973364793350      79973364793350     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġbe                 Ġviolent            <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (239.173, 239.243)  (239.243, 239.343)  (239.343, 239.443)  (239.443, 239.693)  (239.693, 239.939)  (239.987, 240.773)  (240.773, 241.202)  (241.304, 241.423)  (241.447, 241.628)  (241.628, 242.268)  (-1.0, -1.0)        (242.781, 243.107)  (243.597, 243.989)  (243.989, 244.279)  (244.279, 244.519) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   79977122889733      79977122889733      79977122889733      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġof                 Ġmade               Ġme                 Ġthink              Ġtwice              Ġabout              Ġj                  eez                 Ġi                  Ġwouldn             't                  Ġput                Ġmy                 Ġmother             Ġfather            
Timings          : (244.519, 244.629)  (244.629, 244.899)  (244.899, 245.079)  (245.079, 245.429)  (245.429, 245.859)  (245.859, 246.231)  (246.415, 246.692)  (246.692, 246.969)  (247.222, 247.309)  (247.309, 247.419)  (247.419, 247.529)  (247.529, 247.689)  (247.689, 247.998)  (248.232, 248.649)  (248.649, 249.099) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (244.519, 244.629)  (244.629, 244.899)  (244.899, 245.079)  (245.079, 245.429)  (245.429, 245.859)  (245.859, 246.231)  (246.415, 246.692)  (246.692, 246.969)  (247.222, 247.309)  (247.309, 247.419)  (247.419, 247.529)  (247.529, 247.689)  (247.689, 247.998)  (248.232, 248.649)  (248.649, 249.099) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġthat               Ġnursing            Ġhome               Ġat                 Ġall                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (249.099, 249.229)  (249.229, 249.449)  (249.449, 249.799)  (249.799, 249.999)  (249.999, 250.109)  (250.109, 250.489)  (-1.0, -1.0)        (250.873, 251.043)  (251.043, 251.143)  (251.143, 251.257)  (251.295, 251.473)  (251.473, 251.693)  (251.693, 251.783)  (251.783, 251.833)  (251.833, 252.053) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      79973364793350      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwas                Ġthis               Ġin                 Ġa                  Ġbig                Ġtown               Ġor                 Ġa                  Ġlittle            
Timings          : (249.099, 249.229)  (249.229, 249.449)  (249.449, 249.799)  (249.799, 249.999)  (249.999, 250.109)  (250.109, 250.489)  (250.698, 250.873)  (250.873, 251.043)  (251.043, 251.143)  (251.143, 251.257)  (251.295, 251.473)  (251.473, 251.693)  (251.693, 251.783)  (251.783, 251.833)  (251.833, 252.053) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   79973901664263      79973901664263      79973901664263      79973901664263      79973901664263      79973901664263      79973901664263      79973901664263      79973901664263     
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġa                  Ġsmall              Ġtown               <eot>               <emp>               Ġyeah               Ġyeah               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (252.21, 252.388)   (252.388, 252.708)  (252.708, 252.998)  (-1.0, -1.0)        (253.447, 253.877)  (253.959, 254.525)  (254.525, 254.9)    (-1.0, -1.0)        (254.952, 255.141)  (255.141, 255.221)  (255.221, 255.542)  (255.542, 255.792)  (255.792, 256.091)  (256.091, 256.461)  (257.2, 257.291)   
Token Types      : 4                   4                   4                   4                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79976586018824      79976586018824      79976586018824      79976586018824      0                   79973364793354      79973364793354      79973364793354      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtown               <yield>             <emp>               Ġoh                 Ġreally             <eot>               Ġit                 Ġseem               Ġlike               Ġthe                Ġsmall              Ġtown               Ġnursing            Ġhomes              Ġi                 
Timings          : (252.053, 252.413)  (-1.0, -1.0)        (252.708, 252.998)  (253.287, 253.447)  (253.447, 253.877)  (-1.0, -1.0)        (254.595, 254.751)  (254.751, 254.952)  (254.952, 255.141)  (255.141, 255.221)  (255.221, 255.542)  (255.542, 255.792)  (255.792, 256.091)  (256.091, 256.461)  (257.2, 257.291)   
Token Types      : 1                   1                   0                   1                   1                   1                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79973901664263      79973901664263      0                   79973901664265      79973901664265      79973901664265      79977122889739      79977122889739      79977122889739      79977122889739      79977122889739      79977122889739      79977122889739      79977122889739      79977122889739     
turn_end_types   : 2                   2                   0                   1                   1                   1                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġi                  Ġdon                't                  Ġknow               <eint>              <emp>               <emp>               <emp>               Ġi                  Ġdon                't                  Ġknow               Ġi                  Ġi                  Ġkind              
Timings          : (257.286, 257.366)  (257.366, 257.461)  (257.461, 257.556)  (257.556, 257.802)  (-1.0, -1.0)        (257.73, 257.87)    (257.87, 258.31)    (258.31, 258.99)    (259.714, 259.808)  (259.808, 259.893)  (259.893, 259.978)  (259.978, 260.188)  (260.188, 260.608)  (260.608, 260.718)  (260.718, 260.988) 
Token Types      : 5                   5                   5                   5                   5                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79977659760651      79977659760651      79977659760651      79977659760651      79977659760651      0                   0                   0                   79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġthere              's                  Ġa                  Ġlot                Ġmore               Ġpersonal           Ġattention          <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (257.286, 257.366)  (257.35, 257.445)   (257.445, 257.54)   (257.54, 257.58)    (257.58, 257.73)    (257.73, 257.87)    (257.87, 258.31)    (258.31, 258.99)    (-1.0, -1.0)        (259.808, 259.893)  (259.893, 259.978)  (259.978, 260.188)  (260.188, 260.608)  (260.608, 260.718)  (260.718, 260.988) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79977122889739      79977122889739      79977122889739      79977122889739      79977122889739      79977122889739      79977122889739      79977122889739      79977122889739      0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġlook               Ġat                 Ġit                 Ġthis               Ġway                Ġi                  Ġthink              Ġif                 Ġyou                Ġhave               Ġa                  Ġbig                Ġcity               Ġarea              
Timings          : (260.988, 261.068)  (261.068, 261.208)  (261.208, 261.318)  (261.318, 261.428)  (261.428, 261.608)  (261.608, 261.778)  (261.778, 261.868)  (261.868, 262.224)  (263.428, 263.628)  (263.628, 263.868)  (263.868, 264.098)  (264.098, 264.168)  (264.168, 264.368)  (264.418, 264.998)  (264.998, 265.368) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (260.988, 261.068)  (261.068, 261.208)  (261.208, 261.318)  (261.318, 261.428)  (261.428, 261.608)  (261.608, 261.778)  (261.778, 261.868)  (261.868, 262.224)  (263.428, 263.628)  (263.628, 263.868)  (263.868, 264.098)  (264.098, 264.168)  (264.168, 264.368)  (264.418, 264.998)  (264.998, 265.368) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġthink              Ġthere              's                  Ġmore               Ġpeople             Ġto                 Ġkeep               Ġwatch              Ġon                 Ġit                 <eot>               <emp>               <emp>               Ġand               
Timings          : (265.368, 265.438)  (265.438, 265.658)  (265.698, 265.898)  (265.898, 266.098)  (266.098, 266.398)  (266.398, 266.758)  (266.758, 266.898)  (266.898, 267.148)  (267.198, 267.598)  (267.598, 267.788)  (267.788, 267.938)  (-1.0, -1.0)        (268.295, 268.422)  (268.422, 268.549)  (269.012, 269.571) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   4                  
turn_ids         : 79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      79973364793356      0                   0                   79976586018830     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  Ġyou               
Timings          : (265.368, 265.438)  (265.438, 265.658)  (265.698, 265.898)  (265.898, 266.098)  (266.098, 266.398)  (266.398, 266.758)  (266.758, 266.898)  (266.898, 267.148)  (267.198, 267.598)  (267.598, 267.788)  (267.788, 267.938)  (268.169, 268.295)  (268.295, 268.422)  (268.422, 268.549)  (269.079, 269.269) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79973901664269      79973901664269      79973901664269      79973901664269     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġyeah               Ġyeah               Ġand                Ġyou                Ġhave               Ġmore               Ġcompetition        Ġand                Ġi                  Ġthink              Ġnursing            Ġhomes             
Timings          : (269.269, 269.409)  (269.409, 269.599)  (269.599, 270.259)  (270.271, 270.692)  (270.78, 271.08)    (271.08, 271.53)    (271.71, 271.86)    (271.86, 272.12)    (272.12, 272.27)    (272.27, 273.06)    (273.06, 273.18)    (273.18, 273.26)    (273.26, 273.49)    (273.49, 273.82)    (273.82, 274.13)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830      79976586018830     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġhave               Ġmore               Ġoptions            <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
