A                : my                  Ġfeelings           Ġon                 Ġcrime              Ġbeing              Ġup                 Ġhere               Ġin                 Ġro                 chester             Ġwe                 're                 Ġin                 Ġwestern            Ġnew               
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81330574458898      81330574458898      81330574458898      81330574458898      81330574458898      81330574458898      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġi                  Ġbet                Ġthat               's                  Ġjust               Ġa                  Ġmad                house               Ġi                 
Timings          : (232.261, 232.41)   (232.41, 232.559)   (232.559, 232.921)  (232.921, 233.781)  (233.781, 233.974)  (234.251, 234.41)   (234.41, 234.54)    (234.54, 234.78)    (234.78, 234.92)    (234.92, 235.06)    (235.06, 235.23)    (235.23, 235.29)    (235.29, 235.565)   (235.565, 235.84)   (235.84, 235.89)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   81331111329811      81331111329811      81331111329811      81331111329811      81331111329811      81331111329811      81331111329811      81331111329811      81331111329811      81331111329811     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġi                  Ġwould              Ġnever              Ġlive               Ġthere              Ġin                 Ġa                  Ġmillion            Ġyears              Ġwith               Ġall                Ġthe               
Timings          : (235.89, 235.995)   (235.995, 236.1)    (236.1, 236.49)     (236.976, 237.095)  (237.095, 237.245)  (237.245, 237.505)  (237.505, 237.815)  (237.815, 238.125)  (238.125, 238.325)  (238.325, 238.385)  (238.385, 238.815)  (238.815, 239.215)  (239.215, 239.345)  (239.345, 239.475)  (239.475, 239.545) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġcan                't                  Ġimagine            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (235.89, 235.995)   (235.995, 236.1)    (236.1, 236.49)     (-1.0, -1.0)        (237.095, 237.245)  (237.245, 237.505)  (237.505, 237.815)  (237.815, 238.125)  (238.125, 238.325)  (238.325, 238.385)  (238.385, 238.815)  (238.815, 239.215)  (239.215, 239.345)  (239.345, 239.475)  (239.475, 239.545) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81331111329811      81331111329811      81331111329811      81331111329811      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġcrime              Ġthat               Ġgoes               Ġon                 Ġanytime            Ġanyone             Ġvisits             Ġthere              Ġthey               Ġalways             Ġcome               Ġback               Ġat                 Ġleast              Ġone               
Timings          : (239.545, 240.055)  (240.055, 240.165)  (240.165, 240.411)  (240.411, 240.615)  (240.615, 241.015)  (241.015, 241.315)  (241.315, 241.645)  (241.645, 241.865)  (241.865, 242.005)  (242.005, 242.205)  (242.205, 242.405)  (242.405, 242.565)  (242.565, 242.645)  (242.645, 242.875)  (242.875, 243.035) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (239.545, 240.055)  (240.055, 240.165)  (240.165, 240.411)  (240.411, 240.615)  (240.615, 241.015)  (241.015, 241.315)  (241.315, 241.645)  (241.645, 241.865)  (241.865, 242.005)  (242.005, 242.205)  (242.205, 242.405)  (242.405, 242.565)  (242.565, 242.645)  (242.645, 242.875)  (242.875, 243.035) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġthe                Ġgroup              Ġhas                Ġbeen               Ġat                 Ġleast              Ġmug                ged                 Ġonce               <eot>               <emp>               <emp>               <emp>               Ġi                 
Timings          : (243.035, 243.125)  (243.125, 243.195)  (243.195, 243.485)  (243.485, 243.635)  (243.635, 243.975)  (243.975, 244.145)  (244.145, 244.425)  (244.425, 244.625)  (244.625, 244.825)  (244.825, 245.376)  (-1.0, -1.0)        (245.572, 245.743)  (245.743, 246.283)  (246.445, 246.929)  (247.114, 247.255) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   4                  
turn_ids         : 81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      81330574458900      0                   0                   0                   81333795684374     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġthat               's                  Ġincredible         Ġyeah               Ġuh                
Timings          : (243.035, 243.125)  (243.125, 243.195)  (243.195, 243.485)  (243.485, 243.635)  (243.635, 243.975)  (243.975, 244.145)  (244.145, 244.425)  (244.425, 244.625)  (244.625, 244.825)  (244.825, 245.376)  (245.402, 245.572)  (245.572, 245.743)  (245.743, 246.283)  (246.445, 246.929)  (247.04, 247.335)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81331111329813      81331111329813      81331111329813      81331111329813      81331111329813     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : 'm                  Ġin                 Ġwhere              Ġwe                 Ġare                Ġhere               Ġum                 Ġi                  Ġyou                Ġknow               Ġthe                Ġbiggest            Ġcrimes             Ġseem               Ġto                
Timings          : (247.255, 247.397)  (247.397, 247.567)  (247.567, 247.687)  (247.687, 247.927)  (247.927, 248.137)  (248.137, 248.646)  (248.849, 249.278)  (249.911, 250.027)  (250.027, 250.247)  (250.247, 250.357)  (250.357, 250.447)  (250.447, 250.867)  (250.867, 251.779)  (252.051, 252.427)  (252.427, 252.507) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (247.397, 247.567)  (247.567, 247.687)  (247.687, 247.927)  (247.927, 248.137)  (248.137, 248.646)  (248.849, 249.278)  (249.911, 250.027)  (250.027, 250.247)  (250.247, 250.357)  (250.357, 250.447)  (250.447, 250.867)  (250.867, 251.779)  (252.051, 252.427)  (252.427, 252.507) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81331111329813      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbe                 Ġyou                Ġknow               Ġtheft              Ġand                Ġdrug               Ġrelated            Ġstuff              Ġlately             Ġum                 Ġin                 Ġthe                Ġinner              Ġcity               Ġsection           
Timings          : (252.507, 252.887)  (252.887, 253.047)  (253.047, 253.217)  (253.217, 253.777)  (253.777, 253.977)  (253.977, 254.267)  (254.267, 254.717)  (254.717, 255.237)  (255.237, 255.757)  (255.757, 256.121)  (256.121, 256.287)  (256.287, 256.347)  (256.347, 256.617)  (256.617, 256.997)  (256.997, 257.447) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               Ġright             
Timings          : (252.507, 252.887)  (252.887, 253.047)  (253.047, 253.217)  (253.217, 253.777)  (253.777, 253.977)  (253.977, 254.267)  (254.267, 254.717)  (254.717, 255.237)  (255.506, 255.832)  (-1.0, -1.0)        (256.121, 256.287)  (256.287, 256.347)  (256.347, 256.617)  (256.617, 256.997)  (257.225, 257.538) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   81333258813453      81333258813453      0                   0                   0                   0                   81333258813454     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   2                  


A                : Ġof                 Ġro                 chester             Ġbecause            Ġof                 Ġthe                Ġpoverty            Ġlevel              Ġbut                Ġuh                 Ġyou                Ġknow               Ġviolent            Ġcrime              Ġin                
Timings          : (257.447, 257.477)  (257.477, 257.76)   (257.76, 258.042)   (258.557, 258.707)  (258.707, 258.797)  (258.797, 258.857)  (258.857, 259.437)  (259.437, 259.847)  (259.847, 260.167)  (260.167, 260.316)  (260.847, 260.907)  (260.907, 260.997)  (260.997, 261.587)  (261.587, 262.164)  (263.142, 263.363) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (257.477, 257.76)   (257.76, 258.042)   (258.557, 258.707)  (258.707, 258.797)  (258.797, 258.857)  (258.857, 259.437)  (259.437, 259.847)  (259.847, 260.167)  (260.167, 260.316)  (260.847, 260.907)  (260.907, 260.997)  (260.997, 261.587)  (261.587, 262.164)  (263.142, 263.363) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81333258813454      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġin                 Ġthe                Ġsuburb             Ġthat               Ġi                  'm                  Ġin                 Ġbright             on                  Ġuh                 Ġi                  Ġwe                 Ġhad                Ġone                Ġnotorious         
Timings          : (263.363, 263.533)  (263.533, 263.713)  (263.713, 264.163)  (264.163, 264.303)  (264.303, 264.423)  (264.423, 264.543)  (264.543, 264.933)  (264.933, 265.203)  (265.203, 265.473)  (265.473, 265.773)  (265.773, 265.943)  (265.943, 266.213)  (266.213, 266.423)  (266.423, 266.663)  (266.663, 267.223) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (263.363, 263.533)  (263.533, 263.713)  (263.713, 264.163)  (264.163, 264.303)  (264.303, 264.423)  (264.423, 264.543)  (264.543, 264.933)  (264.933, 265.203)  (265.203, 265.473)  (265.473, 265.773)  (265.773, 265.943)  (265.943, 266.213)  (266.213, 266.423)  (266.423, 266.663)  (266.663, 267.223) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġcrime              Ġit                 Ġwas                Ġthis               Ġaxe                Ġmurder             Ġand                Ġit                 's                  Ġyou                Ġknow               Ġin                 Ġthe                Ġlocal              Ġcommunity         
Timings          : (267.223, 267.493)  (267.493, 267.573)  (267.573, 267.733)  (267.733, 267.959)  (267.959, 268.363)  (268.363, 268.771)  (269.529, 269.7)    (269.7, 269.865)    (269.865, 270.03)   (270.03, 270.17)    (270.17, 270.35)    (270.35, 270.43)    (270.43, 270.49)    (270.49, 270.86)    (270.86, 271.39)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (267.223, 267.493)  (267.493, 267.573)  (267.573, 267.733)  (267.733, 267.959)  (267.959, 268.363)  (268.363, 268.771)  (269.529, 269.7)    (269.7, 269.865)    (269.865, 270.03)   (270.03, 270.17)    (270.17, 270.35)    (270.35, 270.43)    (270.43, 270.49)    (270.49, 270.86)    (270.86, 271.39)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 's                  Ġa                  Ġlocal              Ġlore               Ġnow                Ġbecause            Ġwe                 Ġall                Ġknew               Ġthe                Ġhusband            Ġdid                Ġit                 Ġbut               
Timings          : (271.39, 271.445)   (271.445, 271.5)    (271.5, 271.55)     (271.55, 272.05)    (272.05, 272.37)    (272.37, 272.6)     (272.6, 272.93)     (272.93, 273.07)    (273.07, 273.24)    (273.24, 273.37)    (273.37, 273.49)    (273.49, 274.02)    (274.02, 274.22)    (274.22, 274.46)    (274.46, 274.68)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (271.39, 271.445)   (271.445, 271.5)    (271.5, 271.55)     (271.55, 272.05)    (272.05, 272.37)    (272.37, 272.6)     (272.6, 272.93)     (272.93, 273.07)    (273.07, 273.24)    (273.24, 273.37)    (273.37, 273.49)    (273.49, 274.02)    (274.02, 274.22)    (274.22, 274.46)    (274.46, 274.68)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthey               Ġnever              Ġfound              Ġenough             Ġevidence           Ġto                 Ġconvict            Ġthe                Ġguy                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (274.68, 274.77)    (274.77, 275.04)    (275.04, 275.3)     (275.3, 275.53)     (275.53, 276.02)    (276.02, 276.13)    (276.13, 276.58)    (276.58, 276.707)   (276.707, 277.095)  (-1.0, -1.0)        (278.538, 278.695)  (278.695, 278.926)  (278.926, 278.959)  (278.959, 278.992)  (278.992, 279.026) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                  
turn_ids         : 81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      81333795684374      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġtell               Ġyou                Ġj                  ere                 's                 
Timings          : (274.68, 274.77)    (274.77, 275.04)    (275.04, 275.3)     (275.3, 275.53)     (275.53, 276.02)    (276.02, 276.13)    (276.13, 276.58)    (276.58, 276.707)   (276.707, 277.095)  (278.435, 278.538)  (278.538, 278.695)  (278.695, 278.926)  (278.926, 278.959)  (278.959, 278.992)  (278.992, 279.026) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (279.026, 279.059)  (279.059, 279.092)  (279.092, 279.125)  (279.125, 279.315)  (279.315, 279.595)  (279.595, 279.706)  (279.706, 279.986)  (279.986, 280.065)  (280.065, 280.266)  (280.266, 280.486)  (280.486, 280.725)  (280.725, 281.016)  (281.016, 281.355)  (281.355, 281.516)  (281.516, 282.125) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : /                   there               's                  Ġjust               Ġmore               Ġand                Ġmore               Ġof                 Ġit                 Ġas                 Ġas                 Ġevery              Ġyear               Ġit                 Ġprogresses        
Timings          : (279.026, 279.059)  (279.059, 279.092)  (279.092, 279.125)  (279.125, 279.315)  (279.315, 279.595)  (279.595, 279.706)  (279.706, 279.986)  (279.986, 280.065)  (280.065, 280.266)  (280.266, 280.486)  (280.486, 280.725)  (280.725, 281.016)  (281.016, 281.355)  (281.355, 281.516)  (281.516, 282.125) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815      81331111329815     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
