A                : ste                 ve                  Ġuh                 Ġwith               Ġthe                Ġelection           Ġyear               Ġand                Ġwhat               not                 Ġcoming             Ġup                 Ġdo                 Ġyou                Ġthink
turn_ids         : 0                   74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġpopular            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (246.34, 247.072)   (-1.0, -1.0)        (247.565, 247.715)  (247.715, 248.05)   (248.05, 248.385)   (248.385, 248.598)  (248.598, 248.811)  (249.64, 249.795)   (249.795, 249.948)  (249.948, 250.102)  (250.102, 250.255)  (250.255, 250.395)  (250.395, 250.525)  (250.525, 250.815)  (250.815, 250.99)
Token Types      : 4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 74445205012491      74445205012491      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0


A                : 't                  Ġin                 Ġthat               Ġgreat              Ġshape              Ġfinancially        <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh
Timings          : (250.99, 251.165)   (251.165, 251.295)  (251.295, 251.455)  (251.455, 251.675)  (251.675, 251.905)  (251.905, 252.566)  (-1.0, -1.0)        (252.821, 252.911)  (252.911, 253.156)  (253.156, 253.243)  (253.243, 253.401)  (253.401, 253.589)  (254.278, 254.409)  (254.409, 254.54)   (254.54, 254.67)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1
turn_ids         : 74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      74441446916108      0                   0                   0                   0                   0                   74441446916110      74441446916110      74441446916110
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġbut                Ġat                 Ġleast              Ġat                 Ġthe                Ġend                <eot>               <emp>               <emp>
Timings          : (250.99, 251.165)   (251.165, 251.295)  (251.295, 251.455)  (251.455, 251.675)  (251.675, 251.905)  (251.905, 252.566)  (252.697, 252.821)  (252.821, 252.911)  (252.911, 253.156)  (253.156, 253.243)  (253.243, 253.401)  (253.401, 253.589)  (-1.0, -1.0)        (254.409, 254.54)   (254.54, 254.67)
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   74441983787021      74441983787021      74441983787021      74441983787021      74441983787021      74441983787021      74441983787021      0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0


A                : Ġi                  Ġmean               Ġi                  Ġdon                't                  Ġknow               Ġi                  <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (255.1, 255.169)    (255.169, 255.255)  (255.255, 255.316)  (255.316, 255.386)  (255.386, 255.456)  (255.456, 255.691)  (256.053, 256.29)   (-1.0, -1.0)        (256.419, 256.583)  (256.583, 256.881)  (256.881, 257.121)  (257.121, 257.22)   (257.22, 257.451)   (257.451, 257.641)  (257.641, 257.73)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 74441446916110      74441446916110      74441446916110      74441446916110      74441446916110      74441446916110      74441446916110      74441446916110      0                   0                   0                   0                   0                   0                   0
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġi                  Ġthey               Ġwere               Ġvery               Ġgood               Ġat
Timings          : (255.1, 255.169)    (255.169, 255.255)  (255.255, 255.316)  (255.316, 255.386)  (255.386, 255.456)  (255.456, 255.691)  (256.053, 256.29)   (256.188, 256.419)  (256.419, 256.583)  (256.583, 256.881)  (256.881, 257.121)  (257.121, 257.22)   (257.22, 257.451)   (257.451, 257.641)  (257.641, 257.73)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (257.73, 258.111)   (258.111, 258.181)  (258.181, 258.241)  (258.241, 258.32)   (258.32, 258.54)    (258.54, 258.69)    (258.69, 258.97)    (258.97, 259.25)    (259.25, 259.361)   (259.361, 259.776)  (260.194, 260.53)   (260.53, 260.621)   (260.621, 260.725)  (260.725, 260.831)  (260.831, 261.021)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġfirst              Ġthey               Ġwere               Ġin                 Ġvery               Ġgood               Ġfinancial          s                   Ġat                 Ġfirst              Ġand                Ġuh                 Ġthat               's                  Ġpart
Timings          : (257.73, 258.111)   (258.111, 258.181)  (258.181, 258.241)  (258.241, 258.32)   (258.32, 258.54)    (258.54, 258.69)    (258.69, 258.97)    (258.97, 259.25)    (259.25, 259.361)   (259.361, 259.776)  (260.194, 260.53)   (260.53, 260.621)   (260.621, 260.725)  (260.725, 260.831)  (260.831, 261.021)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (261.021, 261.081)  (261.081, 261.16)   (261.16, 261.451)   (261.451, 261.611)  (261.611, 262.207)  (262.207, 262.371)  (262.371, 262.974)  (263.601, 263.76)   (263.76, 264.021)   (264.021, 264.22)   (264.22, 264.361)   (264.361, 264.53)   (264.53, 265.015)   (265.64, 265.801)   (265.801, 266.081)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġof                 Ġthe                Ġreason             Ġhe                 Ġbecame             Ġa                  Ġnominee            Ġis                 Ġbecause            Ġthings             Ġwent               Ġso                 Ġwell               Ġand                Ġthen
Timings          : (261.021, 261.081)  (261.081, 261.16)   (261.16, 261.451)   (261.451, 261.611)  (261.611, 262.207)  (262.207, 262.371)  (262.371, 262.974)  (263.601, 263.76)   (263.76, 264.021)   (264.021, 264.22)   (264.22, 264.361)   (264.361, 264.53)   (264.53, 265.015)   (265.64, 265.801)   (265.801, 266.081)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġit                 's                  Ġuh                 Ġi                  Ġmean               Ġit                 's                  Ġit                 's
Timings          : (266.081, 266.181)  (266.181, 266.491)  (266.491, 266.551)  (266.551, 266.78)   (266.78, 267.051)   (267.051, 267.158)  (270.547, 270.668)  (270.668, 270.789)  (270.789, 271.141)  (271.648, 271.81)   (271.81, 271.909)   (271.909, 272.039)  (272.039, 272.169)  (272.169, 272.259)  (272.259, 272.349)
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 0                   0                   0                   0                   0                   0                   74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġof                 Ġcourse             Ġthe                Ġbottom             Ġfell               Ġout                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (266.081, 266.181)  (266.181, 266.491)  (266.491, 266.551)  (266.551, 266.78)   (266.78, 267.051)   (267.051, 267.158)  (-1.0, -1.0)        (270.668, 270.789)  (270.789, 271.141)  (271.648, 271.81)   (271.81, 271.909)   (271.909, 272.039)  (272.039, 272.169)  (272.169, 272.259)  (272.259, 272.349)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      74441983787023      0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0


A                : Ġtough              Ġi                  Ġmean               Ġthere              's                  Ġthere              's                  Ġtwo                Ġways               Ġyou                Ġcan                Ġkind               Ġof                 Ġgo                 Ġto
Timings          : (272.349, 272.559)  (272.559, 272.589)  (272.589, 272.729)  (272.729, 272.814)  (272.814, 272.899)  (272.899, 272.984)  (272.984, 273.069)  (273.069, 273.169)  (273.169, 273.502)  (273.502, 273.759)  (273.759, 273.899)  (273.899, 274.059)  (274.059, 274.129)  (274.129, 274.269)  (274.269, 274.389)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (272.349, 272.559)  (272.559, 272.589)  (272.589, 272.729)  (272.729, 272.814)  (272.814, 272.899)  (272.899, 272.984)  (272.984, 273.069)  (273.069, 273.169)  (273.169, 273.502)  (273.502, 273.759)  (273.759, 273.899)  (273.899, 274.059)  (274.059, 274.129)  (274.129, 274.269)  (274.269, 274.389)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0


A                : Ġget                Ġout                Ġof                 Ġtough              Ġfinancial          Ġsituations         Ġi                  Ġguess              Ġyou                Ġcan                Ġlike               Ġraise              Ġtaxes              Ġand                Ġthen
Timings          : (274.389, 274.509)  (274.509, 274.669)  (274.669, 274.888)  (275.954, 276.119)  (276.119, 276.489)  (276.489, 276.959)  (276.959, 277.009)  (277.009, 277.169)  (277.169, 277.279)  (277.279, 277.481)  (277.94, 278.119)   (278.119, 278.319)  (278.319, 278.769)  (278.769, 278.869)  (278.869, 279.236)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (274.389, 274.509)  (274.509, 274.669)  (274.669, 274.888)  (275.954, 276.119)  (276.119, 276.489)  (276.489, 276.959)  (276.959, 277.009)  (277.009, 277.169)  (277.169, 277.279)  (277.279, 277.481)  (277.94, 278.119)   (278.119, 278.319)  (278.319, 278.769)  (278.769, 278.869)  (278.869, 279.236)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0


A                : Ġcreate             Ġlike               Ġjob                Ġprograms           Ġand                Ġwhat               not                 Ġor                 Ġyou                Ġcan                Ġhope               Ġthat               Ġif                 Ġpeople             Ġkeep
Timings          : (279.582, 279.819)  (279.819, 279.939)  (279.939, 280.269)  (280.269, 280.689)  (280.689, 280.779)  (280.779, 280.98)   (280.98, 281.181)   (281.981, 282.16)   (282.16, 282.3)     (282.3, 282.945)    (282.945, 283.28)   (283.28, 283.472)   (284.022, 284.24)   (284.24, 284.47)    (284.47, 284.66)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (279.582, 279.819)  (279.819, 279.939)  (279.939, 280.269)  (280.269, 280.689)  (280.689, 280.779)  (280.779, 280.98)   (280.98, 281.181)   (281.981, 282.16)   (282.16, 282.3)     (282.3, 282.945)    (282.945, 283.28)   (283.28, 283.472)   (284.022, 284.24)   (284.24, 284.47)    (284.47, 284.66)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0


A                : Ġtheir              Ġmoney              Ġthat               Ġthey               'll                 Ġspend              Ġmore               Ġand                Ġcreate             Ġjobs               Ġand                Ġand                Ġwhat               not                 <eot>
Timings          : (284.66, 284.78)    (284.78, 285.07)    (285.07, 285.21)    (285.21, 285.27)    (285.27, 285.33)    (285.33, 285.63)    (285.63, 285.94)    (285.94, 286.275)   (287.28, 287.55)    (287.55, 288.03)    (288.03, 288.432)   (288.997, 289.396)  (289.694, 289.887)  (289.887, 290.079)  (-1.0, -1.0)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112      74441446916112
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġand
Timings          : (284.66, 284.78)    (284.78, 285.07)    (285.07, 285.21)    (285.21, 285.27)    (285.27, 285.33)    (285.33, 285.63)    (285.63, 285.94)    (285.94, 286.275)   (287.28, 287.55)    (287.55, 288.03)    (288.03, 288.432)   (288.997, 289.396)  (289.694, 289.887)  (289.887, 290.079)  (290.258, 290.442)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   74441983787025
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (290.442, 290.652)  (290.652, 290.712)  (290.712, 291.182)  (291.46, 291.747)   (291.747, 291.862)  (291.862, 291.977)  (291.977, 292.242)  (292.242, 292.337)  (292.337, 292.432)  (292.432, 292.462)  (292.462, 292.692)  (292.692, 293.259)  (293.985, 294.285)  (294.519, 294.732)  (294.732, 295.162)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġspare              Ġthe                Ġeconomy            Ġyeah               Ġit                 's                  Ġreally             Ġit                 's                  Ġa                  Ġhard               Ġbalance            Ġit                 Ġit                 Ġdefinitely
Timings          : (290.442, 290.652)  (290.652, 290.712)  (290.712, 291.182)  (291.46, 291.747)   (291.747, 291.862)  (291.862, 291.977)  (291.977, 292.242)  (292.242, 292.337)  (292.337, 292.432)  (292.432, 292.462)  (292.462, 292.692)  (292.692, 293.259)  (293.985, 294.285)  (294.519, 294.732)  (294.732, 295.162)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>
Timings          : (295.162, 295.432)  (295.643, 295.882)  (295.882, 296.242)  (296.242, 296.402)  (296.402, 296.792)  (296.792, 297.002)  (297.002, 297.182)  (297.182, 297.272)  (297.272, 297.422)  (297.422, 297.452)  (297.452, 297.732)  (297.732, 298.185)  (298.592, 298.956)  (299.246, 299.332)  (299.332, 299.442)
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0

B                : Ġis                 Ġeven               Ġnot                Ġfor                Ġgovernment         Ġeven               Ġjust               Ġsay                Ġfor                Ġa                  Ġsmall              Ġbusiness           Ġum                 Ġi                  Ġknow
Timings          : (295.162, 295.432)  (295.643, 295.882)  (295.882, 296.242)  (296.242, 296.402)  (296.402, 296.792)  (296.792, 297.002)  (297.002, 297.182)  (297.182, 297.272)  (297.272, 297.422)  (297.422, 297.452)  (297.452, 297.732)  (297.732, 298.185)  (298.592, 298.956)  (299.246, 299.332)  (299.332, 299.442)
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
turn_ids         : 74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025      74441983787025
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1


A                : <emp>                                                                                                  <emp>
Timings          : (299.442, 299.603)                                                                                     (-1.0, -1.0)
Token Types      : 0                                                                                                      0
turn_ids         : 0                                                                                                      0
turn_end_types   : 0                                                                                                      0
speaker_ids      : 0                                                                                                      0

B                : Ġsome                                                                                                  <eot>
Timings          : (299.442, 299.603)                                                                                     (-1.0, -1.0)
Token Types      : 1                                                                                                      1
turn_ids         : 74441983787025                                                                                         74441983787025
turn_end_types   : 1                                                                                                      1
speaker_ids      : 1                                                                                                      1


------------------------------------
