A                : ok                  ay                  Ġi                  'm                  Ġhere               Ġhow                Ġdo                 Ġyou                Ġfeel               Ġabout              Ġthe                Ġpublic             Ġschools            <eot>               <emp>              
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġparents            Ġdo                 Ġnot                Ġcare               Ġenough             Ġto                 Ġtake               Ġan                 Ġinterest           Ġin                 Ġwhether            Ġthe                Ġhomework           Ġis                 Ġdone              
Timings          : (240.943, 241.453)  (241.453, 241.563)  (241.563, 241.813)  (241.813, 242.073)  (242.073, 242.473)  (242.473, 242.613)  (242.613, 242.903)  (242.903, 242.983)  (242.983, 243.483)  (243.483, 243.653)  (243.653, 243.883)  (243.883, 244.023)  (244.023, 244.473)  (244.473, 244.603)  (244.603, 245.063) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219      82914880520219     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġright              <ebc>               <emp>               Ġsee                Ġi                  Ġgrew               Ġup                 Ġin                 Ġne                 braska              <emp>               Ġand                Ġthe                Ġschool             Ġthat              
Timings          : (245.246, 245.607)  (-1.0, -1.0)        (246.076, 246.327)  (246.691, 246.827)  (246.827, 246.929)  (246.929, 247.219)  (247.219, 247.53)   (247.53, 247.929)   (247.929, 248.316)  (248.316, 248.702)  (249.048, 249.218)  (249.237, 249.562)  (249.562, 249.622)  (249.622, 250.223)  (250.223, 250.342) 
Token Types      : 3                   3                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82913269907482      82913269907482      0                   82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836     
turn_end_types   : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġyou                Ġknow               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (245.246, 245.607)  (245.931, 246.076)  (246.076, 246.327)  (-1.0, -1.0)        (246.827, 246.929)  (246.929, 247.219)  (247.219, 247.53)   (247.53, 247.929)   (247.929, 248.316)  (248.316, 248.702)  (249.048, 249.218)  (249.218, 249.387)  (-1.0, -1.0)        (249.622, 250.223)  (250.223, 250.342) 
Token Types      : 4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 82914880520219      82914880520219      82914880520219      82914880520219      0                   0                   0                   0                   0                   0                   82913806778384      82913806778384      82913806778384      0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                  


A                : Ġi                  Ġwent               Ġto                 Ġthere              Ġwas                Ġfantastic          Ġit                 Ġi                  Ġi                  Ġreally             Ġconsider           Ġmyself             Ġvery               Ġvery               Ġlucky             
Timings          : (250.342, 250.508)  (250.508, 250.769)  (251.402, 251.712)  (251.712, 252.072)  (252.072, 252.253)  (252.253, 253.062)  (253.062, 253.266)  (253.684, 253.977)  (253.977, 254.152)  (254.152, 254.443)  (254.443, 254.842)  (254.842, 255.292)  (255.292, 255.583)  (255.583, 255.822)  (255.822, 256.265) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (250.342, 250.508)  (250.508, 250.769)  (251.402, 251.712)  (251.712, 252.072)  (252.072, 252.253)  (252.253, 253.062)  (253.062, 253.266)  (253.684, 253.977)  (253.977, 254.152)  (254.152, 254.443)  (254.443, 254.842)  (254.842, 255.292)  (255.292, 255.583)  (255.583, 255.822)  (255.822, 256.265) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġum                 Ġwe                 Ġhad                Ġa                  Ġschool             Ġthat               Ġhad                Ġclasses            Ġprobably           Ġabout              Ġthe                Ġsame               Ġsize               Ġyou                're                
Timings          : (256.67, 257.292)   (257.292, 257.452)  (257.452, 257.815)  (257.815, 257.995)  (257.995, 258.412)  (258.412, 258.562)  (258.562, 258.762)  (258.762, 259.222)  (259.222, 259.552)  (259.552, 259.772)  (259.772, 259.872)  (259.872, 260.152)  (260.152, 260.422)  (260.422, 260.487)  (260.487, 260.552) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (256.67, 257.292)   (257.292, 257.452)  (257.452, 257.815)  (257.815, 257.995)  (257.995, 258.412)  (258.412, 258.562)  (258.562, 258.762)  (258.762, 259.222)  (259.222, 259.552)  (259.552, 259.772)  (259.772, 259.872)  (259.872, 260.152)  (260.152, 260.422)  (260.422, 260.487)  (260.487, 260.552) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġtalking            Ġtwenty             Ġseven              Ġthirty             Ġkids               Ġto                 Ġclass              Ġto                 Ġa                  Ġclass              Ġbut                <yield>             <emp>               <emp>               <emp>              
Timings          : (260.552, 261.002)  (261.002, 261.262)  (261.262, 261.682)  (261.682, 262.007)  (262.139, 262.382)  (262.382, 262.522)  (262.522, 262.682)  (262.682, 262.852)  (262.852, 262.92)   (262.92, 263.417)   (264.257, 264.598)  (-1.0, -1.0)        (264.684, 265.084)  (265.084, 265.294)  (265.294, 265.85)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      82911122423836      0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               Ġbut                Ġyour               Ġteacher            Ġhad                Ġcontrol           
Timings          : (260.552, 261.002)  (261.002, 261.262)  (261.262, 261.682)  (261.682, 262.007)  (262.139, 262.382)  (262.382, 262.522)  (262.522, 262.682)  (262.645, 262.921)  (-1.0, -1.0)        (262.92, 263.417)   (264.396, 264.517)  (264.517, 264.684)  (264.684, 265.084)  (265.084, 265.294)  (265.294, 265.85)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82913806778385      82913806778385      0                   82914880520221      82914880520221      82914880520221      82914880520221      82914880520221     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   2                   2                   2                   2                   2                  


A                : Ġyeah               Ġwe                 Ġz                  ipped               Ġright              Ġalong              Ġyou                Ġknow               Ġi                  Ġi                  Ġwas                Ġi                  Ġwas                Ġdoing              Ġmathematics       
Timings          : (266.014, 266.254)  (266.254, 266.474)  (266.474, 266.609)  (266.609, 266.744)  (266.744, 266.914)  (266.914, 267.469)  (267.469, 267.664)  (267.664, 267.844)  (267.844, 267.999)  (268.436, 268.619)  (268.619, 268.849)  (268.849, 268.994)  (268.994, 269.184)  (269.184, 269.444)  (269.444, 270.324) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (266.254, 266.474)  (266.474, 266.609)  (266.609, 266.744)  (266.744, 266.914)  (266.914, 267.469)  (267.469, 267.664)  (267.664, 267.844)  (267.844, 267.999)  (268.473, 268.641)  (268.641, 268.809)  (-1.0, -1.0)        (268.994, 269.184)  (269.184, 269.444)  (269.444, 270.324) 
Token Types      : 4                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                  
turn_ids         : 82914880520221      0                   0                   0                   0                   0                   0                   0                   0                   82913806778387      82913806778387      82913806778387      0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                  


A                : Ġfractions          Ġand                Ġdivision           Ġand                Ġmultiplication     Ġby                 Ġthe                Ġthird              Ġgrade              Ġeasily             <emp>               Ġum                 <yield>             <emp>               <emp>              
Timings          : (270.324, 270.914)  (270.914, 271.114)  (271.114, 271.474)  (271.474, 271.734)  (271.734, 272.444)  (272.444, 272.564)  (272.564, 272.654)  (272.654, 272.974)  (272.974, 273.214)  (273.214, 273.7)    (274.084, 274.365)  (274.393, 274.869)  (-1.0, -1.0)        (274.648, 274.935)  (274.935, 275.025) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      82911122423838      0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġi                  Ġbelieve            Ġi                 
Timings          : (270.324, 270.914)  (270.914, 271.114)  (271.114, 271.474)  (271.474, 271.734)  (271.734, 272.444)  (272.444, 272.564)  (272.564, 272.654)  (272.654, 272.974)  (272.974, 273.214)  (273.214, 273.7)    (274.084, 274.365)  (274.365, 274.467)  (274.467, 274.648)  (274.648, 274.935)  (274.935, 275.025) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82914880520223      82914880520223      82914880520223      82914880520223      82914880520223     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġum                 hum                 Ġbut                Ġyou                're                 Ġright              Ġyou                Ġknow               Ġwith               Ġall                Ġthis               Ġdon                't                 
Timings          : (275.025, 275.365)  (275.365, 275.719)  (275.802, 276.004)  (276.004, 276.207)  (276.942, 277.308)  (277.308, 277.425)  (277.425, 277.543)  (277.543, 277.999)  (277.999, 278.193)  (278.193, 278.477)  (278.744, 278.908)  (278.908, 279.093)  (279.093, 279.543)  (279.923, 280.023)  (280.023, 280.123) 
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840     
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġwas                Ġtoo                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (275.025, 275.365)  (275.365, 275.719)  (-1.0, -1.0)        (276.004, 276.207)  (276.942, 277.308)  (277.308, 277.425)  (277.425, 277.543)  (277.543, 277.999)  (277.999, 278.193)  (278.193, 278.477)  (278.744, 278.908)  (278.908, 279.093)  (279.093, 279.543)  (279.923, 280.023)  (280.023, 280.123) 
Token Types      : 4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82914880520223      82914880520223      82914880520223      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhurt               Ġthe                Ġkids               Ġand                Ġdon                't                  Ġabuse              Ġtheir              Ġrights             Ġyou                've                 Ġalso               <emp>               Ġtaken              Ġsomething         
Timings          : (280.123, 280.313)  (280.313, 280.383)  (280.383, 280.783)  (280.783, 280.983)  (280.983, 281.083)  (281.083, 281.183)  (281.183, 281.543)  (281.543, 281.713)  (281.713, 282.21)   (282.527, 282.61)   (282.61, 282.693)   (282.693, 283.023)  (282.836, 283.008)  (283.023, 283.443)  (283.443, 283.753) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>              
Timings          : (280.123, 280.313)  (280.313, 280.383)  (280.383, 280.783)  (280.783, 280.983)  (280.983, 281.083)  (281.083, 281.183)  (281.183, 281.543)  (281.543, 281.713)  (281.713, 282.21)   (282.527, 282.61)   (282.61, 282.693)   (282.663, 282.836)  (282.836, 283.008)  (283.008, 283.181)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82913806778389      82913806778389      82913806778389      82913806778389     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : Ġaway               Ġfrom               Ġthe                Ġdiscipline         Ġi                  Ġthink              <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (283.753, 284.033)  (284.033, 284.203)  (284.203, 284.318)  (284.318, 284.821)  (285.673, 285.822)  (285.822, 286.242)  (-1.0, -1.0)        (286.99, 287.24)    (287.24, 287.47)    (287.47, 287.77)    (287.77, 287.93)    (287.93, 287.98)    (287.98, 288.51)    (288.51, 288.59)    (288.59, 288.85)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      82911122423840      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 Ġwell               Ġit                 Ġit                 Ġreally             Ġis                 Ġa                  Ġconcern            Ġof                 Ġmine              
Timings          : (283.753, 284.033)  (284.033, 284.203)  (284.203, 284.318)  (284.318, 284.821)  (285.673, 285.822)  (285.79, 286.148)   (286.837, 286.99)   (286.99, 287.24)    (287.24, 287.47)    (287.47, 287.77)    (287.77, 287.93)    (287.93, 287.98)    (287.98, 288.51)    (288.51, 288.59)    (288.59, 288.85)   
Token Types      : 0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225     
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (288.85, 289.266)   (289.996, 290.29)   (290.29, 290.41)    (290.41, 290.62)    (290.62, 291.07)    (291.07, 291.228)   (291.872, 292.125)  (292.125, 292.33)   (292.33, 292.51)    (292.51, 292.64)    (292.64, 292.75)    (292.75, 293.13)    (293.13, 293.521)   (293.521, 293.75)   (293.902, 294.115) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82915417391140     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġbecause            Ġif                 Ġwe                 Ġcould              Ġafford             Ġit                 Ġmy                 Ġson                Ġwould              Ġbe                 Ġin                 Ġprivate            Ġschool             Ġwe                 Ġjust              
Timings          : (288.85, 289.266)   (289.996, 290.29)   (290.29, 290.41)    (290.41, 290.62)    (290.62, 291.07)    (291.07, 291.228)   (291.872, 292.125)  (292.125, 292.33)   (292.33, 292.51)    (292.51, 292.64)    (292.64, 292.75)    (292.75, 293.13)    (293.13, 293.521)   (293.521, 293.75)   (293.75, 294.08)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225      82914880520225     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <eint>              <emp>               <emp>               Ġright              Ġi                  Ġwas                Ġgonna              Ġask                Ġyou                Ġif                 Ġthere              Ġthat               Ġwas                Ġan                 Ġoption            
Timings          : (-1.0, -1.0)        (294.4, 294.86)     (294.86, 295.009)   (295.087, 295.372)  (295.372, 295.432)  (295.432, 295.573)  (295.573, 295.733)  (295.733, 296.003)  (296.003, 296.293)  (296.293, 296.462)  (296.462, 296.693)  (296.693, 296.862)  (296.862, 296.973)  (296.973, 297.082)  (297.082, 297.509) 
Token Types      : 5                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82915417391140      0                   0                   82911122423842      82911122423842      82911122423842      82911122423842      82911122423842      82911122423842      82911122423842      82911122423842      82911122423842      82911122423842      82911122423842      82911122423842     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġcannot             Ġafford             Ġit                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (294.08, 294.4)     (294.4, 294.86)     (294.86, 295.009)   (-1.0, -1.0)        (295.372, 295.432)  (295.432, 295.573)  (295.573, 295.733)  (295.733, 296.003)  (296.003, 296.293)  (296.293, 296.462)  (296.462, 296.693)  (296.693, 296.862)  (296.862, 296.973)  (296.973, 297.082)  (297.082, 297.509) 
Token Types      : 4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82914880520225      82914880520225      82914880520225      82914880520225      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <eot>                                                                         <emp>                                                                         <emp>                                                                        
