A                : been                Ġon                 Ġthe                Ġline               Ġfor                Ġawhile             Ġi                  Ġalmost             Ġforgot             Ġwhat               Ġthe                Ġtopic              Ġwas                <eot>               <emp>              
turn_ids         : 82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġso                 Ġdo                 Ġyou               
Timings          : (249.624, 249.864)  (249.864, 249.964)  (249.964, 250.114)  (250.114, 250.294)  (250.294, 250.644)  (250.896, 251.004)  (251.004, 251.164)  (251.164, 251.514)  (251.514, 252.134)  (252.134, 252.224)  (252.224, 252.574)  (252.574, 253.064)  (253.595, 253.805)  (253.805, 253.885)  (253.885, 254.005) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82017769226262      82017769226262      82017769226262     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġneed               Ġit                 Ġwith               Ġall                Ġthe                Ġyou                Ġknow               Ġtrain              Ġaccidents          Ġand                Ġeverything         Ġelse               <eot>               <emp>               <emp>              
Timings          : (249.624, 249.864)  (249.864, 249.964)  (249.964, 250.114)  (250.114, 250.294)  (250.294, 250.644)  (250.896, 251.004)  (251.004, 251.164)  (251.164, 251.514)  (251.514, 252.134)  (252.134, 252.224)  (252.224, 252.574)  (252.574, 253.064)  (-1.0, -1.0)        (253.805, 253.885)  (253.885, 254.005) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      82018306097173      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġthink              Ġthey               'll                 Ġkind               Ġof                 Ġpush               Ġinto               Ġthe                Ġteaching           Ġfield              Ġeventually         Ġi                  Ġkind               Ġof                 Ġthink             
Timings          : (254.005, 254.255)  (254.255, 254.305)  (254.305, 254.355)  (254.355, 254.595)  (254.595, 254.665)  (254.665, 254.935)  (254.935, 255.225)  (255.225, 255.305)  (255.305, 255.775)  (255.775, 256.045)  (256.045, 256.743)  (257.082, 257.215)  (257.215, 257.455)  (257.455, 257.545)  (257.545, 257.765) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262      82017769226262     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġuh                 <eint>              <emp>              
Timings          : (254.005, 254.255)  (254.255, 254.305)  (254.305, 254.355)  (254.355, 254.595)  (254.595, 254.665)  (254.665, 254.935)  (254.935, 255.225)  (255.225, 255.305)  (255.305, 255.775)  (255.775, 256.045)  (256.045, 256.743)  (257.082, 257.215)  (257.281, 257.484)  (-1.0, -1.0)        (257.545, 257.765) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82022601064465      82022601064465      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                  


A                : Ġthey               Ġwill               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (257.765, 257.885)  (257.885, 258.453)  (-1.0, -1.0)        (258.72, 258.96)    (258.96, 259.09)    (259.09, 259.34)    (259.34, 259.76)    (259.76, 260.42)    (260.42, 261.003)   (261.455, 261.59)   (261.59, 261.904)   (262.355, 262.478)  (262.478, 262.6)    (262.6, 262.81)     (262.81, 262.96)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82017769226262      82017769226262      82017769226262      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġi                  Ġthink              Ġthey               Ġwill               Ġtoo                Ġbecause            Ġuh                 Ġyou                Ġknow               Ġit                 's                  Ġjust               Ġgoing             
Timings          : (257.765, 257.885)  (257.885, 258.453)  (258.505, 258.72)   (258.72, 258.96)    (258.96, 259.09)    (259.09, 259.34)    (259.34, 259.76)    (259.76, 260.42)    (260.42, 261.003)   (261.455, 261.59)   (261.59, 261.904)   (262.355, 262.478)  (262.478, 262.6)    (262.6, 262.81)     (262.81, 262.96)   
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175     
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (262.96, 263.03)    (263.03, 263.543)   (264.013, 264.355)  (-1.0, -1.0)        (264.854, 264.929)  (264.929, 265.004)  (265.004, 265.444)  (265.444, 265.741)  (265.906, 266.124)  (266.124, 266.254)  (266.254, 266.384)  (266.384, 266.574)  (266.574, 266.774)  (266.774, 266.884)  (266.884, 266.984) 
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   82019916709918      82019916709918      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġfollow             <emp>               Ġi                  Ġdon                't                  Ġknow               Ġi                  Ġwe                 Ġhaven              't                  Ġhad                Ġany                Ġof                 Ġit                
Timings          : (262.96, 263.03)    (263.03, 263.543)   (264.013, 264.355)  (264.742, 264.854)  (264.854, 264.929)  (264.929, 265.004)  (265.004, 265.444)  (265.444, 265.741)  (265.906, 266.124)  (266.124, 266.254)  (266.254, 266.384)  (266.384, 266.574)  (266.574, 266.774)  (266.774, 266.884)  (266.884, 266.984) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               Ġwe                 Ġhaven              't                  Ġeither             <eint>              <emp>               <emp>               <emp>              
Timings          : (266.984, 267.094)  (267.094, 267.274)  (267.274, 267.554)  (267.554, 268.137)  (268.879, 269.422)  (269.249, 269.626)  (-1.0, -1.0)        (270.668, 270.801)  (270.801, 271.018)  (271.018, 271.235)  (271.235, 271.696)  (-1.0, -1.0)        (272.263, 272.464)  (272.464, 272.666)  (272.666, 272.868) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   5                   5                   5                   5                   5                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82019916709919      82019916709919      82022064193572      82022064193572      82022064193572      82022064193572      82022064193572      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : Ġin                 Ġour                Ġschool             Ġsystem             Ġso                 Ġuh                 <emp>               <emp>               Ġyou                Ġknow               <emp>               Ġhopefully          Ġwe                 Ġwon                't                 
Timings          : (266.984, 267.094)  (267.094, 267.274)  (267.274, 267.554)  (267.554, 268.137)  (268.879, 269.422)  (269.422, 270.096)  (-1.0, -1.0)        (270.668, 270.801)  (270.743, 270.943)  (270.943, 271.141)  (271.235, 271.696)  (271.803, 272.263)  (272.263, 272.464)  (272.464, 272.666)  (272.666, 272.868) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      0                   82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175      82018306097175     
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġoh                 Ġyeah               Ġbut                Ġi                  Ġi                  Ġi                  Ġjust               Ġkind               Ġof                 Ġthink              Ġit                 's                  Ġheading            Ġthat               Ġway               
Timings          : (273.269, 273.33)   (273.33, 273.762)   (273.762, 273.904)  (273.904, 274.06)   (274.06, 274.305)   (274.305, 274.489)  (274.489, 274.654)  (274.654, 274.944)  (274.944, 275.034)  (275.034, 275.204)  (275.204, 275.324)  (275.324, 275.444)  (275.444, 275.744)  (275.744, 275.944)  (275.944, 276.204) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (273.33, 273.762)   (273.762, 273.904)  (273.904, 274.06)   (274.06, 274.305)   (274.305, 274.489)  (274.489, 274.654)  (274.654, 274.944)  (274.944, 275.034)  (275.034, 275.204)  (275.204, 275.324)  (275.324, 275.444)  (275.444, 275.744)  (275.744, 275.944)  (275.944, 276.204) 
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82018306097175      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthough             Ġyou                Ġknow               Ġit                 's                  Ġjust               Ġbecause            Ġit                 's                  Ġjust               Ġhitting            Ġto                 Ġclose              Ġto                 Ġhome              
Timings          : (276.204, 276.454)  (276.454, 276.654)  (276.654, 276.954)  (276.954, 277.074)  (277.074, 277.194)  (277.194, 277.331)  (278.374, 278.83)   (278.973, 279.083)  (279.083, 279.194)  (279.194, 279.384)  (279.384, 279.624)  (279.624, 279.814)  (279.814, 280.114)  (280.114, 280.254)  (280.254, 280.504) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (276.204, 276.454)  (276.454, 276.654)  (276.654, 276.954)  (276.954, 277.074)  (277.074, 277.194)  (277.194, 277.331)  (278.374, 278.83)   (278.973, 279.083)  (279.083, 279.194)  (279.194, 279.384)  (279.384, 279.624)  (279.624, 279.814)  (279.814, 280.114)  (280.114, 280.254)  (280.254, 280.504) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwith               Ġthe                Ġkids               Ġand                Ġstuff              Ġand                Ġi                  Ġjust               <emp>               Ġi                  Ġjust               Ġkind               Ġof                 Ġthink              Ġit                
Timings          : (280.504, 280.634)  (280.634, 280.751)  (280.751, 281.119)  (281.119, 281.234)  (281.234, 281.664)  (281.664, 281.784)  (281.784, 281.883)  (281.883, 282.021)  (282.472, 282.932)  (282.9, 283.056)    (283.056, 283.246)  (283.246, 283.436)  (283.436, 283.536)  (283.536, 283.686)  (283.686, 283.766) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (280.504, 280.634)  (280.634, 280.751)  (280.751, 281.119)  (281.119, 281.234)  (281.234, 281.664)  (281.664, 281.784)  (281.784, 281.883)  (281.883, 282.021)  (282.472, 282.932)  (-1.0, -1.0)        (283.056, 283.246)  (283.246, 283.436)  (283.436, 283.536)  (283.536, 283.686)  (283.686, 283.766) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82020453580817      82020453580817      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                  


A                : 's                  Ġgoing              Ġto                 Ġeventually         Ġhead               Ġthat               Ġway                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (283.766, 283.846)  (283.846, 284.024)  (284.024, 284.137)  (284.137, 284.626)  (284.626, 284.876)  (284.876, 285.07)   (285.07, 285.529)   (-1.0, -1.0)        (285.873, 285.963)  (285.963, 286.463)  (286.463, 286.523)  (286.523, 286.583)  (286.583, 286.793)  (286.793, 286.913)  (286.913, 287.103) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      82017769226264      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġand                Ġeventually         Ġit                 's                  Ġgoing              Ġto                 Ġbe                
Timings          : (283.766, 283.846)  (283.846, 284.024)  (284.024, 284.137)  (284.137, 284.626)  (284.626, 284.876)  (284.876, 285.07)   (285.07, 285.529)   (285.652, 285.873)  (285.873, 285.963)  (285.963, 286.463)  (286.463, 286.523)  (286.523, 286.583)  (286.583, 286.793)  (286.793, 286.913)  (286.913, 287.103) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (287.103, 287.383)  (287.383, 287.663)  (287.663, 287.859)  (287.859, 288.085)  (288.368, 288.453)  (288.453, 288.633)  (288.633, 288.759)  (288.911, 289.809)  (-1.0, -1.0)        (289.296, 289.433)  (289.433, 289.493)  (289.493, 289.633)  (289.633, 289.773)  (289.773, 290.343)  (290.343, 290.423) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82019916709921      82019916709921      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġnot                Ġonly               Ġthe                Ġteachers           Ġyou                Ġknow               Ġthe                Ġkids               Ġare                Ġgoing              Ġto                 Ġbe                 Ġunder              Ġscrutiny           Ġit                
Timings          : (287.103, 287.383)  (287.383, 287.663)  (287.663, 287.859)  (287.859, 288.085)  (288.368, 288.453)  (288.453, 288.633)  (288.633, 288.759)  (288.759, 289.063)  (289.063, 289.296)  (289.296, 289.433)  (289.433, 289.493)  (289.493, 289.633)  (289.633, 289.773)  (289.773, 290.343)  (290.343, 290.423) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (290.423, 290.503)  (290.503, 290.663)  (290.663, 290.723)  (290.723, 290.833)  (290.833, 291.019)  (291.019, 291.724)  (291.876, 292.257)  (-1.0, -1.0)        (292.538, 292.628)  (292.628, 292.718)  (292.718, 292.878)  (292.878, 293.138)  (293.138, 293.248)  (293.248, 293.758)  (293.758, 293.908) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82019916709922      82019916709922      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġgoing              Ġto                 Ġbe                 Ġthe                Ġteachers           <emp>               Ġand                Ġif                 Ġthey               Ġcan                Ġtest               Ġthe                Ġteachers           Ġthat              
Timings          : (290.423, 290.503)  (290.503, 290.663)  (290.663, 290.723)  (290.723, 290.833)  (290.833, 291.019)  (291.019, 291.724)  (291.876, 292.257)  (292.429, 292.538)  (292.538, 292.628)  (292.628, 292.718)  (292.718, 292.878)  (292.878, 293.138)  (293.138, 293.248)  (293.248, 293.758)  (293.758, 293.908) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177      82018306097177     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (293.908, 294.108)  (294.108, 294.238)  (294.238, 294.308)  (294.308, 294.548)  (294.548, 294.768)  (294.768, 294.858)  (294.858, 295.168)  (295.168, 295.228)  (295.228, 295.742)  (295.836, 296.151)  (-1.0, -1.0)        (296.781, 296.981)  (296.981, 297.17)   (297.17, 297.36)    (297.36, 297.511)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82019916709923      82019916709923      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  
