A                : uh                  Ġi                  Ġdon                't                  Ġknow               Ġdo                 Ġyou                Ġwant               Ġto                 Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>              
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthere              Ġmay                Ġor                 Ġmay                Ġnot                Ġbe                 Ġlonger             Ġwaits              Ġthan               Ġhere               Ġfor                Ġsome               Ġelect              ive                 Ġsurgeries         
Timings          : (216.331, 216.535)  (216.535, 216.725)  (216.725, 216.805)  (216.805, 216.975)  (216.975, 217.255)  (217.255, 217.751)  (217.94, 218.425)   (218.425, 218.895)  (218.895, 219.035)  (219.035, 219.325)  (219.325, 219.505)  (219.505, 219.785)  (219.785, 220.098)  (220.098, 220.411)  (220.908, 221.613) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (221.554, 221.791)  (221.791, 222.028)  (-1.0, -1.0)        (222.89, 223.425)   (225.243, 225.441)  (225.441, 225.77)   (225.77, 225.91)    (225.91, 226.036)   (226.511, 226.708)  (226.708, 227.18)   (227.771, 228.03)   (228.03, 228.24)    (228.24, 228.37)    (228.37, 228.5)     (228.5, 229.04)    
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83016349122568      83016349122568      83016349122568      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                <emp>               Ġbut                Ġuh                 Ġin                 Ġterms              Ġof                 Ġthe                Ġper                Ġperson             Ġhealth             Ġcare               Ġthat               Ġthey               Ġspend             
Timings          : (221.613, 221.812)  (221.791, 222.028)  (222.46, 222.89)    (222.89, 223.425)   (225.243, 225.441)  (225.441, 225.77)   (225.77, 225.91)    (225.91, 226.036)   (226.511, 226.708)  (226.708, 227.18)   (227.771, 228.03)   (228.03, 228.24)    (228.24, 228.37)    (228.37, 228.5)     (228.5, 229.04)    
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (229.04, 229.19)    (229.19, 229.34)    (229.34, 229.587)   (229.587, 229.833)  (230.21, 230.4)     (230.4, 230.49)     (230.49, 230.74)    (230.74, 230.82)    (230.82, 231.15)    (231.15, 231.31)    (231.31, 231.827)   (232.509, 232.961)  (233.857, 234.045)  (234.045, 234.105)  (234.105, 234.485) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 's                  Ġit                 's                  Ġon                 Ġthe                Ġorder              Ġof                 Ġhalf               Ġas                 Ġmuch               Ġuh                 Ġas                 Ġthe                Ġas                
Timings          : (229.04, 229.19)    (229.19, 229.34)    (229.34, 229.587)   (229.587, 229.833)  (230.21, 230.4)     (230.4, 230.49)     (230.49, 230.74)    (230.74, 230.82)    (230.82, 231.15)    (231.15, 231.31)    (231.31, 231.827)   (232.509, 232.961)  (233.857, 234.045)  (234.045, 234.105)  (234.105, 234.485) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (234.485, 234.555)  (234.555, 234.715)  (234.715, 235.065)  (235.065, 235.375)  (235.375, 235.435)  (235.435, 235.495)  (235.495, 235.705)  (235.705, 235.965)  (235.965, 236.025)  (236.025, 236.215)  (236.215, 236.375)  (236.375, 236.565)  (237.115, 237.325)  (237.325, 237.675)  (237.675, 238.297) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġper                Ġcapita             Ġaverage            Ġin                 Ġthe                Ġunited             Ġstates             Ġi                  Ġthink              Ġand                Ġand                Ġvery               Ġnearly             Ġcomparable        
Timings          : (234.485, 234.555)  (234.555, 234.715)  (234.715, 235.065)  (235.065, 235.375)  (235.375, 235.435)  (235.435, 235.495)  (235.495, 235.705)  (235.705, 235.965)  (235.965, 236.025)  (236.025, 236.215)  (236.215, 236.375)  (236.375, 236.565)  (237.115, 237.325)  (237.325, 237.675)  (237.675, 238.297) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (238.929, 239.387)  (239.387, 239.534)  (239.534, 239.738)  (240.3, 240.371)    (240.371, 240.683)  (241.665, 241.816)  (241.816, 241.966)  (242.255, 242.38)   (242.38, 242.505)   (242.505, 242.845)  (242.845, 243.095)  (243.095, 243.485)  (243.485, 243.695)  (244.495, 244.765)  (244.765, 245.165) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġservice            Ġand                Ġi                  Ġyou                Ġknow               Ġi                  'm                  Ġi                  'm                  Ġwilling            Ġto                 Ġaccept             Ġsome               Ġsome               Ġlimits            
Timings          : (238.929, 239.387)  (239.387, 239.534)  (239.534, 239.738)  (240.3, 240.371)    (240.371, 240.683)  (241.665, 241.816)  (241.816, 241.966)  (242.255, 242.38)   (242.38, 242.505)   (242.505, 242.845)  (242.845, 243.095)  (243.095, 243.485)  (243.485, 243.695)  (244.495, 244.765)  (244.765, 245.165) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (245.165, 245.295)  (245.295, 245.685)  (245.685, 245.983)  (247.531, 247.633)  (247.633, 247.788)  (247.788, 247.839)  (247.839, 247.889)  (247.889, 248.158)  (248.158, 248.428)  (248.428, 248.548)  (248.548, 248.863)  (249.217, 249.598)  (249.598, 249.898)  (249.898, 250.238)  (250.238, 250.409) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġin                 Ġterms              Ġof                 Ġi                  Ġthink              Ġit                 's                  Ġo                  regon               Ġthat               Ġjust               Ġgone               Ġthrough            Ġa                  Ġuh                
Timings          : (245.165, 245.295)  (245.295, 245.685)  (245.685, 245.983)  (247.531, 247.633)  (247.633, 247.788)  (247.788, 247.839)  (247.839, 247.889)  (247.889, 248.158)  (248.158, 248.428)  (248.428, 248.548)  (248.548, 248.863)  (249.217, 249.598)  (249.598, 249.898)  (249.898, 250.238)  (250.238, 250.409) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (251.173, 251.469)  (251.469, 251.538)  (251.538, 251.932)  (252.286, 252.803)  (253.09, 253.309)   (253.309, 253.768)  (253.768, 254.178)  (254.506, 254.749)  (254.749, 254.993)  (-1.0, -1.0)        (255.289, 255.592)  (256.068, 256.324)  (256.324, 256.508)  (256.707, 257.108)  (257.108, 257.358) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83016349122569      83016349122569      83016349122569      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġpassed             Ġa                  Ġstate              Ġuh                 Ġhealth             Ġinsurance          Ġscheme             <emp>               <emp>               Ġwhere              Ġthey               Ġhad                Ġa                  Ġcommission         Ġdraw              
Timings          : (251.173, 251.469)  (251.469, 251.538)  (251.538, 251.932)  (252.286, 252.803)  (253.09, 253.309)   (253.309, 253.768)  (253.768, 254.178)  (254.506, 254.749)  (254.749, 254.993)  (254.919, 255.289)  (255.289, 255.592)  (256.068, 256.324)  (256.324, 256.508)  (256.707, 257.108)  (257.108, 257.358) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (257.358, 257.458)  (257.458, 257.565)  (257.682, 258.301)  (258.301, 258.775)  (259.722, 259.797)  (259.797, 259.879)  (259.879, 260.139)  (260.139, 260.629)  (260.629, 260.759)  (260.759, 261.339)  (261.339, 262.059)  (262.059, 262.577)  (262.577, 263.119)  (263.119, 263.4)    (264.236, 264.539) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġup                 Ġa                  Ġvery               Ġuh                 Ġyou                Ġknow               Ġvery               Ġdetailed           Ġand                Ġstringent          Ġpriority           Ġlist               Ġof                 Ġwhat               Ġuh                
Timings          : (257.358, 257.458)  (257.458, 257.565)  (257.682, 258.301)  (258.301, 258.775)  (259.722, 259.797)  (259.797, 259.879)  (259.879, 260.139)  (260.139, 260.629)  (260.629, 260.759)  (260.759, 261.339)  (261.339, 262.059)  (262.059, 262.577)  (262.577, 263.119)  (263.119, 263.4)    (264.236, 264.539) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (264.539, 264.884)  (265.08, 265.354)   (265.464, 265.918)  (266.838, 267.408)  (267.408, 268.289)  (268.289, 269.061)  (269.249, 269.428)  (269.428, 269.607)  (-1.0, -1.0)        (269.899, 270.399)  (270.399, 270.559)  (270.559, 271.271)  (271.676, 271.85)   (271.85, 272.346)   (272.346, 272.842) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83016349122570      83016349122570      83016349122570      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġof                 Ġthe                Ġuh                 Ġdifferent          Ġprocedures         Ġand                <emp>               Ġthe                Ġand                Ġtheir              Ġcosts              Ġand                Ġpriorit            ized               
Timings          : (264.539, 264.884)  (265.08, 265.354)   (265.464, 265.918)  (266.838, 267.408)  (267.408, 268.289)  (268.289, 269.061)  (269.321, 269.809)  (269.428, 269.607)  (269.809, 269.899)  (269.899, 270.399)  (270.399, 270.559)  (270.559, 271.271)  (271.676, 271.85)   (271.85, 272.346)   (272.346, 272.842) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (272.842, 272.972)  (272.972, 273.352)  (273.352, 273.552)  (273.552, 273.852)  (273.852, 274.012)  (274.012, 274.092)  (274.092, 274.452)  (274.452, 275.142)  (275.142, 275.312)  (275.312, 275.577)  (275.89, 276.082)   (276.082, 276.262)  (276.262, 276.442)  (276.442, 276.532)  (276.532, 276.752) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġin                 Ġterms              Ġof                 Ġthe                Ġof                 Ġthe                Ġcost               Ġeffectiveness      Ġand                Ġthen               Ġjust               Ġwent               Ġdown               Ġthe                Ġlist              
Timings          : (272.842, 272.972)  (272.972, 273.352)  (273.352, 273.552)  (273.552, 273.852)  (273.852, 274.012)  (274.012, 274.092)  (274.092, 274.452)  (274.452, 275.142)  (275.142, 275.312)  (275.312, 275.577)  (275.89, 276.082)   (276.082, 276.262)  (276.262, 276.442)  (276.442, 276.532)  (276.532, 276.752) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (276.752, 276.842)  (276.842, 277.046)  (277.046, 277.502)  (277.502, 277.657)  (277.657, 277.812)  (277.812, 277.892)  (277.892, 278.332)  (278.332, 278.622)  (278.622, 278.815)  (278.815, 278.952)  (279.373, 279.502)  (279.502, 279.557)  (279.557, 279.612)  (279.612, 279.922)  (279.922, 280.162) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġsaid               Ġokay               Ġhere               's                  Ġthe                Ġcutoff             Ġpoint              Ġuh                 Ġif                 Ġif                 Ġyou                're                 Ġbelow              Ġthis              
Timings          : (276.752, 276.842)  (276.842, 277.046)  (277.046, 277.502)  (277.502, 277.657)  (277.657, 277.812)  (277.812, 277.892)  (277.892, 278.332)  (278.332, 278.622)  (278.622, 278.815)  (278.815, 278.952)  (279.373, 279.502)  (279.502, 279.557)  (279.557, 279.612)  (279.612, 279.922)  (279.922, 280.162) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (280.162, 280.65)   (280.65, 280.808)   (280.808, 281.085)  (281.085, 281.328)  (281.863, 282.353)  (282.647, 282.989)  (282.989, 283.064)  (283.064, 283.162)  (283.162, 283.362)  (283.362, 283.747)  (284.942, 285.198)  (285.198, 285.887)  (286.184, 286.699)  (286.699, 287.019)  (287.019, 287.539) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġpoint              Ġthen               Ġit                 Ġthe                Ġthe                Ġodds               Ġof                 Ġit                 Ġdoing              Ġyou                Ġany                Ġgood               Ġversus             Ġthe                Ġcosts             
Timings          : (280.162, 280.65)   (280.65, 280.808)   (280.808, 281.085)  (281.085, 281.328)  (281.863, 282.353)  (282.647, 282.989)  (282.989, 283.064)  (283.064, 283.162)  (283.162, 283.362)  (283.362, 283.747)  (284.942, 285.198)  (285.198, 285.887)  (286.184, 286.699)  (286.699, 287.019)  (287.019, 287.539) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301      83017959735301     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (287.539, 287.599)  (287.599, 287.839)  (287.839, 288.029)  (288.029, 288.299)  (288.299, 288.409)  (288.409, 288.653)  (289.361, 289.885)  (290.017, 290.65)   (290.65, 291.051)   (291.051, 291.278)  (291.278, 291.505)  (291.801, 292.366)  (292.366, 292.581)  (292.581, 292.732)  (292.732, 292.883) 
