A                : ok                  ay                  Ġuh                 Ġso                 Ġyour               Ġyou                Ġyou                Ġi                  Ġguess              Ġuh                 Ġyou                're                 Ġprobably           Ġin                 Ġthe               
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (239.1, 239.2)      (239.2, 239.74)     (240.283, 240.55)   (240.55, 240.66)    (240.66, 240.796)   (240.934, 241.149)  (241.538, 241.667)  (241.667, 241.765)  (241.765, 241.88)   (241.88, 241.995)   (241.995, 242.165)  (242.305, 242.425)  (242.425, 242.52)   (242.52, 242.615)   (242.615, 242.755) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġschool             Ġbecause            Ġshe                Ġwas                Ġsick               Ġnow                Ġwhy                Ġdidn               't                  Ġhe                 Ġwhy                Ġdidn               't                  Ġshe               
Timings          : (239.1, 239.2)      (239.2, 239.74)     (240.283, 240.55)   (240.55, 240.66)    (240.66, 240.796)   (240.934, 241.149)  (241.538, 241.667)  (241.667, 241.765)  (241.765, 241.88)   (241.88, 241.995)   (241.995, 242.165)  (242.305, 242.425)  (242.425, 242.52)   (242.52, 242.615)   (242.615, 242.755) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (242.755, 243.055)  (243.055, 243.225)  (243.225, 243.535)  (244.255, 244.398)  (244.398, 244.53)   (244.53, 244.785)   (245.165, 245.285)  (245.285, 245.38)   (245.38, 245.475)   (245.475, 245.585)  (245.585, 245.825)  (245.825, 246.255)  (246.255, 246.385)  (246.385, 246.565)  (246.565, 246.685) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġkeep               Ġhim                Ġhome               Ġwith               Ġher                Ġno                 Ġshe                Ġdidn               't                  Ġdo                 Ġthat               Ġso                 Ġit                 Ġgot                Ġto                
Timings          : (242.755, 243.055)  (243.055, 243.225)  (243.225, 243.535)  (244.255, 244.398)  (244.398, 244.53)   (244.53, 244.785)   (245.165, 245.285)  (245.285, 245.38)   (245.38, 245.475)   (245.475, 245.585)  (245.585, 245.825)  (245.825, 246.255)  (246.255, 246.385)  (246.385, 246.565)  (246.565, 246.685) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (246.685, 246.745)  (246.745, 246.975)  (246.975, 247.135)  (247.135, 247.264)  (247.415, 247.52)   (247.52, 247.625)   (247.625, 247.855)  (247.855, 247.935)  (247.935, 248.085)  (248.085, 248.235)  (248.235, 248.425)  (248.425, 248.655)  (248.655, 249.135)  (249.135, 249.285)  (249.285, 249.555) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġpoint              Ġwhere              Ġhe                 Ġhe                 's                  Ġsupposed           Ġto                 Ġget                Ġout                Ġof                 Ġuh                 Ġkindergarten       Ġlike               Ġabout             
Timings          : (246.685, 246.745)  (246.745, 246.975)  (246.975, 247.135)  (247.135, 247.264)  (247.415, 247.52)   (247.52, 247.625)   (247.625, 247.855)  (247.855, 247.935)  (247.935, 248.085)  (248.085, 248.235)  (248.235, 248.425)  (248.425, 248.655)  (248.655, 249.135)  (249.135, 249.285)  (249.285, 249.555) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (249.555, 249.675)  (249.675, 250.141)  (250.903, 251.054)  (251.054, 251.175)  (251.175, 251.375)  (251.375, 251.495)  (251.495, 251.765)  (251.765, 252.245)  (252.375, 252.495)  (252.495, 252.745)  (252.925, 253.085)  (253.085, 253.275)  (253.275, 253.565)  (253.565, 253.695)  (253.695, 253.825) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtwo                Ġthirty             Ġand                Ġi                  Ġhad                Ġto                 Ġleave              Ġwork               Ġit                 Ġwas                Ġit                 Ġwas                Ġfive               Ġo                  '                  
Timings          : (249.555, 249.675)  (249.675, 250.141)  (250.903, 251.054)  (251.054, 251.175)  (251.175, 251.375)  (251.375, 251.495)  (251.495, 251.765)  (251.765, 252.245)  (252.375, 252.495)  (252.495, 252.745)  (252.925, 253.085)  (253.085, 253.275)  (253.275, 253.565)  (253.565, 253.695)  (253.695, 253.825) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (253.825, 253.955)  (254.455, 254.525)  (254.525, 254.585)  (254.585, 254.935)  (254.935, 255.025)  (255.025, 255.055)  (255.055, 255.415)  (255.415, 255.585)  (255.945, 256.055)  (256.055, 256.215)  (256.215, 256.505)  (256.505, 256.665)  (256.665, 256.871)  (256.871, 257.258)  (258.064, 258.17)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : clock               Ġin                 Ġthe                Ġevening            Ġand                Ġi                  Ġfound              Ġout                Ġhe                 Ġwas                Ġstill              Ġthere              Ġat                 Ġschool             Ġand               
Timings          : (253.825, 253.955)  (254.455, 254.525)  (254.525, 254.585)  (254.585, 254.935)  (254.935, 255.025)  (255.025, 255.055)  (255.055, 255.415)  (255.415, 255.585)  (255.945, 256.055)  (256.055, 256.215)  (256.215, 256.505)  (256.505, 256.665)  (256.665, 256.871)  (256.871, 257.258)  (258.064, 258.17)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (258.17, 258.259)   (258.259, 258.405)  (258.405, 258.722)  (258.722, 258.782)  (258.782, 258.872)  (258.872, 258.942)  (258.942, 259.132)  (259.132, 259.302)  (259.302, 259.472)  (259.472, 259.602)  (259.602, 259.662)  (259.662, 259.882)  (259.882, 260.012)  (260.012, 260.28)   (260.642, 260.766) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               Ġwere               Ġcalling            Ġme                 Ġand                Ġthey               Ġsays               Ġsomebody           's                  Ġgot                Ġto                 Ġpick               Ġhim                Ġup                 Ġand               
Timings          : (258.17, 258.259)   (258.259, 258.405)  (258.405, 258.722)  (258.722, 258.782)  (258.782, 258.872)  (258.872, 258.942)  (258.942, 259.132)  (259.132, 259.302)  (259.302, 259.472)  (259.472, 259.602)  (259.602, 259.662)  (259.662, 259.882)  (259.882, 260.012)  (260.012, 260.28)   (260.642, 260.766) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (260.766, 260.842)  (260.842, 261.182)  (261.182, 261.512)  (261.512, 261.672)  (261.672, 261.852)  (261.852, 262.042)  (262.042, 262.282)  (262.282, 262.522)  (262.522, 262.782)  (262.782, 262.987)  (263.389, 263.525)  (263.525, 263.683)  (263.683, 263.853)  (263.853, 264.033)  (264.033, 264.173) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġkept               Ġthinking           Ġthat               Ġshe                Ġwas                Ġgonna              Ġget                Ġpicked             Ġup                 Ġshe                Ġwas                Ġgonna              Ġpick               Ġhim               
Timings          : (260.766, 260.842)  (260.842, 261.182)  (261.182, 261.512)  (261.512, 261.672)  (261.672, 261.852)  (261.852, 262.042)  (262.042, 262.282)  (262.282, 262.522)  (262.522, 262.782)  (262.782, 262.987)  (263.389, 263.525)  (263.525, 263.683)  (263.683, 263.853)  (263.853, 264.033)  (264.033, 264.173) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (264.173, 264.373)  (264.373, 264.513)  (264.513, 264.723)  (264.723, 264.953)  (264.953, 265.193)  (265.193, 265.253)  (265.253, 265.323)  (265.323, 265.463)  (265.463, 265.693)  (265.693, 265.833)  (265.833, 266.163)  (266.163, 266.343)  (266.343, 266.483)  (266.483, 266.543)  (266.543, 266.934) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġup                 Ġbecause            Ġshe                Ġonly               Ġlives              Ġin                 Ġyou                Ġknow               Ġlike               Ġtwo                Ġblocks             Ġaway               Ġfrom               Ġthe                Ġschool            
Timings          : (264.173, 264.373)  (264.373, 264.513)  (264.513, 264.723)  (264.723, 264.953)  (264.953, 265.193)  (265.193, 265.253)  (265.253, 265.323)  (265.323, 265.463)  (265.463, 265.693)  (265.693, 265.833)  (265.833, 266.163)  (266.163, 266.343)  (266.343, 266.483)  (266.483, 266.543)  (266.543, 266.934) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (267.337, 267.4)    (267.4, 267.475)    (267.475, 267.687)  (267.687, 267.732)  (267.732, 267.845)  (267.845, 268.003)  (268.003, 268.353)  (268.353, 268.473)  (268.473, 268.633)  (268.633, 268.773)  (268.773, 268.943)  (268.943, 269.083)  (269.083, 269.403)  (269.403, 269.503)  (269.503, 269.563) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġwas                Ġtrying             Ġto                 Ġget                Ġmy                 Ġhusband            Ġto                 Ġcome               Ġand                Ġpick               Ġhim                Ġup                 Ġand                Ġall               
Timings          : (267.337, 267.4)    (267.4, 267.475)    (267.475, 267.687)  (267.687, 267.732)  (267.732, 267.845)  (267.845, 268.003)  (268.003, 268.353)  (268.353, 268.473)  (268.473, 268.633)  (268.633, 268.773)  (268.773, 268.943)  (268.943, 269.083)  (269.083, 269.403)  (269.403, 269.503)  (269.503, 269.563) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (269.563, 269.703)  (269.703, 269.843)  (269.843, 269.923)  (269.923, 270.463)  (270.463, 270.593)  (270.593, 270.693)  (270.693, 270.803)  (270.803, 270.893)  (270.893, 271.173)  (271.173, 271.263)  (271.263, 271.483)  (271.483, 271.903)  (271.903, 272.09)   (272.09, 272.293)   (272.293, 272.496) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġkind               Ġof                 Ġstuff              Ġand                Ġhe                 Ġhad                Ġa                  Ġhundred            Ġand                Ġfour               Ġfever              Ġthey               Ġcouldn             't                 
Timings          : (269.563, 269.703)  (269.703, 269.843)  (269.843, 269.923)  (269.923, 270.463)  (270.463, 270.593)  (270.593, 270.693)  (270.693, 270.803)  (270.803, 270.893)  (270.893, 271.173)  (271.173, 271.263)  (271.263, 271.483)  (271.483, 271.903)  (271.903, 272.09)   (272.09, 272.293)   (272.293, 272.496) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (272.889, 273.07)   (273.07, 273.153)   (273.153, 273.288)  (273.288, 273.418)  (273.418, 274.038)  (274.038, 274.418)  (274.505, 274.586)  (274.586, 274.668)  (274.668, 274.838)  (274.838, 275.108)  (275.108, 275.198)  (275.198, 275.338)  (275.338, 275.598)  (275.598, 275.698)  (275.698, 276.048) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġto                 Ġgive               Ġhim                Ġanything           Ġbecause            Ġthey               're                 Ġnot                Ġallowed            Ġto                 Ġat                 Ġschool             Ġand                Ġeverything        
Timings          : (272.889, 273.07)   (273.07, 273.153)   (273.153, 273.288)  (273.288, 273.418)  (273.418, 274.038)  (274.038, 274.418)  (274.505, 274.586)  (274.586, 274.668)  (274.668, 274.838)  (274.838, 275.108)  (275.108, 275.198)  (275.198, 275.338)  (275.338, 275.598)  (275.598, 275.698)  (275.698, 276.048) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119      83787832623119     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (275.933, 276.315)  (-1.0, -1.0)        (276.338, 276.568)  (276.568, 277.324)  (277.452, 277.561)  (277.678, 277.863)  (278.165, 278.308)  (278.308, 278.508)  (278.508, 278.738)  (278.738, 278.838)  (278.838, 278.888)  (278.888, 279.238)  (279.238, 279.438)  (279.438, 279.558)  (279.558, 279.608) 
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83789443235863      83789443235863      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
