A                : all                 Ġright              Ġhave               Ġyou                Ġever               Ġbeen               Ġto                 Ġa                  Ġfamily             Ġreunion            <eot>               <emp>               <emp>               <emp>               <emp>              

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (210.913, 211.363)  (211.363, 211.543)  (211.543, 211.811)  (211.811, 212.163)  (212.163, 212.223)  (212.223, 212.426)  (212.426, 212.63)   (212.63, 212.833)   (212.833, 213.164)  (213.164, 213.323)  (214.43, 214.673)   (214.673, 215.037)  (215.037, 215.4)    (216.398, 216.735)  (216.735, 216.915) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġunited             Ġstates             Ġthese              Ġdays               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (216.915, 217.236)  (217.236, 217.635)  (217.635, 217.985)  (217.985, 218.155)  (218.155, 218.479)  (-1.0, -1.0)        (218.54, 218.624)   (218.624, 218.708)  (219.028, 219.238)  (219.238, 219.368)  (219.368, 219.59)   (219.748, 220.014)  (220.014, 220.208)  (220.208, 220.389)  (220.389, 220.658) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      80626199822354      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  Ġwell               Ġyou                Ġknow               Ġwith               Ġas                 Ġmany               Ġpeople            
Timings          : (216.915, 217.236)  (217.236, 217.635)  (217.635, 217.985)  (217.985, 218.155)  (218.155, 218.479)  (218.456, 218.54)   (218.54, 218.624)   (218.624, 218.708)  (219.028, 219.238)  (219.238, 219.368)  (219.368, 219.59)   (219.748, 220.014)  (220.014, 220.208)  (220.208, 220.389)  (220.389, 220.658) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġyeah               Ġi                 
Timings          : (220.658, 220.749)  (220.749, 220.868)  (220.868, 221.059)  (221.059, 221.148)  (221.148, 221.238)  (221.238, 221.378)  (221.378, 221.538)  (221.538, 221.598)  (221.598, 221.949)  (221.949, 222.262)  (223.021, 223.335)  (223.335, 223.538)  (224.008, 224.279)  (224.279, 224.665)  (224.665, 224.891) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80626199822356      80626199822356      80626199822356     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġas                 Ġwe                 Ġhave               Ġwe                 're                 Ġall                Ġover               Ġthe                Ġus                 Ġtoo                Ġbut                Ġuh                 <eot>               <emp>               <emp>              
Timings          : (220.658, 220.749)  (220.749, 220.868)  (220.868, 221.059)  (221.059, 221.148)  (221.148, 221.238)  (221.238, 221.378)  (221.378, 221.538)  (221.538, 221.598)  (221.598, 221.949)  (221.949, 222.262)  (223.021, 223.335)  (223.335, 223.538)  (-1.0, -1.0)        (224.279, 224.665)  (224.665, 224.891) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      80626736693267      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġi                  Ġknow               Ġthat               Ġthere              's                  Ġa                  Ġdifference         Ġbut                Ġi                  Ġhaven              't                  Ġquite              Ġeven               Ġeven               Ġlocally           
Timings          : (225.374, 225.54)   (225.54, 225.691)   (225.691, 225.831)  (225.831, 225.936)  (225.936, 226.04)   (226.04, 226.111)   (226.111, 226.611)  (226.611, 226.79)   (226.79, 226.94)    (227.336, 227.473)  (227.473, 227.611)  (227.611, 227.811)  (228.504, 228.682)  (228.682, 228.941)  (228.941, 229.475) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (225.374, 225.54)   (225.54, 225.691)   (225.691, 225.831)  (225.831, 225.936)  (225.936, 226.04)   (226.04, 226.111)   (226.111, 226.611)  (226.611, 226.79)   (226.79, 226.94)    (227.336, 227.473)  (227.473, 227.611)  (227.611, 227.811)  (228.504, 228.682)  (228.682, 228.941)  (228.941, 229.475) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġi                  Ġi                  Ġguess              Ġi                  've                 Ġgot                Ġa                  Ġbrother            Ġthat               Ġlives              Ġuh                 Ġabout              Ġa                  Ġfive              
Timings          : (229.749, 230.164)  (230.793, 230.945)  (230.945, 231.167)  (231.167, 231.587)  (231.587, 231.693)  (231.693, 231.798)  (231.798, 231.938)  (231.938, 231.967)  (231.967, 232.307)  (232.307, 232.495)  (232.495, 232.958)  (232.958, 233.219)  (233.464, 233.587)  (233.587, 233.617)  (233.617, 233.898) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (229.749, 230.164)  (230.793, 230.945)  (230.945, 231.167)  (231.167, 231.587)  (231.587, 231.693)  (231.693, 231.798)  (231.798, 231.938)  (231.938, 231.967)  (231.967, 232.307)  (232.307, 232.495)  (232.495, 232.958)  (232.958, 233.219)  (233.464, 233.587)  (233.587, 233.617)  (233.617, 233.898) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhour               Ġdrive              Ġfrom               Ġhere               Ġand                Ġi                  Ġhaven              't                  Ġseen               Ġhim                Ġfor                Ġtwenty             Ġyears              Ġso                 Ġthat              
Timings          : (233.898, 234.057)  (234.057, 234.337)  (234.337, 234.488)  (234.488, 234.637)  (234.637, 234.738)  (234.738, 234.818)  (234.818, 234.932)  (234.932, 235.048)  (235.048, 235.288)  (235.288, 235.458)  (235.458, 235.708)  (236.726, 237.0)    (237.0, 237.31)     (237.31, 237.56)    (237.56, 237.79)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (233.898, 234.057)  (234.057, 234.337)  (234.337, 234.488)  (234.488, 234.637)  (234.637, 234.738)  (234.738, 234.818)  (234.818, 234.932)  (234.932, 235.048)  (235.048, 235.288)  (235.288, 235.458)  (235.458, 235.708)  (236.726, 237.0)    (237.0, 237.31)     (237.31, 237.56)    (237.56, 237.79)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġtells              Ġyou                Ġsomething          Ġabout              Ġmy                 <yield>             Ġbut                <emp>               Ġit                 's                  <eint>              <emp>               <emp>               <emp>               Ġr                 
Timings          : (237.79, 238.03)    (238.03, 238.14)    (238.14, 238.52)    (238.52, 238.846)   (238.846, 239.02)   (-1.0, -1.0)        (240.732, 240.848)  (240.777, 240.877)  (240.848, 241.001)  (241.001, 241.153)  (-1.0, -1.0)        (241.247, 241.497)  (241.497, 241.707)  (241.707, 242.064)  (242.268, 242.552) 
Token Types      : 1                   1                   1                   1                   1                   1                   5                   5                   5                   5                   5                   0                   0                   0                   5                  
turn_ids         : 80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80626199822356      80630494789650      80630494789650      80630494789650      80630494789650      80630494789650      0                   0                   0                   80630494789651     
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                  

B                : <emp>               <emp>               <emp>               Ġoh                 <emp>               Ġmy                 Ġwhat               Ġdid                Ġyou                Ġsay                Ġyour               Ġfirst              Ġname               Ġwas                <emp>              
Timings          : (237.79, 238.03)    (238.03, 238.14)    (238.14, 238.52)    (238.564, 239.042)  (238.846, 239.02)   (239.042, 239.555)  (240.712, 240.777)  (240.777, 240.877)  (240.877, 240.977)  (240.977, 241.127)  (241.127, 241.247)  (241.247, 241.497)  (241.497, 241.707)  (241.707, 242.064)  (242.268, 242.552) 
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : alph                <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 Ġno                 Ġi                  Ġshouldn           
Timings          : (242.552, 242.837)  (-1.0, -1.0)        (243.141, 243.442)  (244.096, 244.215)  (244.215, 244.315)  (244.315, 244.415)  (244.415, 244.59)   (244.59, 244.765)   (244.765, 244.995)  (244.995, 245.235)  (245.235, 245.673)  (245.756, 246.169)  (246.169, 246.423)  (246.423, 246.513)  (246.513, 246.773) 
Token Types      : 5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 80630494789651      80630494789651      0                   0                   0                   0                   0                   0                   0                   0                   0                   80626199822358      80626199822358      80626199822358      80626199822358     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : <emp>               Ġr                  alph                Ġuh                 Ġr                  alph                Ġshouldn            't                  Ġact                Ġlike               Ġthat               <eot>               <emp>               <emp>               <emp>              
Timings          : (242.552, 242.837)  (242.84, 243.141)   (243.141, 243.442)  (244.096, 244.215)  (244.215, 244.315)  (244.315, 244.415)  (244.415, 244.59)   (244.59, 244.765)   (244.765, 244.995)  (244.995, 245.235)  (245.235, 245.673)  (-1.0, -1.0)        (246.169, 246.423)  (246.423, 246.513)  (246.513, 246.773) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                  
turn_ids         : 80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      80629957918741      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : 't                  Ġi                  'm                  Ġuh                 Ġi                  Ġhave               Ġto                 Ġadmit              Ġthat               Ġit                 's                  Ġbut                Ġwhen               Ġi                  Ġhear              
Timings          : (246.773, 247.033)  (247.033, 247.198)  (247.198, 247.363)  (247.363, 247.64)   (247.64, 247.779)   (247.779, 247.913)  (247.913, 248.043)  (248.043, 248.343)  (248.343, 248.463)  (248.463, 248.584)  (248.584, 248.704)  (249.85, 249.998)   (250.18, 250.322)   (250.322, 250.473)  (250.473, 250.641) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (246.773, 247.033)  (247.033, 247.198)  (247.198, 247.363)  (247.363, 247.64)   (247.64, 247.779)   (247.779, 247.913)  (247.913, 248.043)  (248.043, 248.343)  (248.343, 248.463)  (248.463, 248.584)  (248.584, 248.704)  (249.85, 249.998)   (250.18, 250.322)   (250.322, 250.473)  (250.473, 250.641) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthese              Ġuh                 Ġwell               Ġof                 Ġcourse             Ġi                  Ġwas                Ġthe                Ġlast               Ġof                 Ġeight              Ġsee                <eot>               <emp>               Ġthe               
Timings          : (250.641, 251.011)  (251.011, 251.171)  (251.171, 251.261)  (251.261, 251.331)  (251.331, 251.571)  (251.571, 251.671)  (251.671, 251.841)  (251.841, 251.901)  (251.901, 252.231)  (252.231, 252.351)  (252.351, 252.732)  (252.732, 253.064)  (-1.0, -1.0)        (253.814, 254.262)  (254.451, 254.565) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                  
turn_ids         : 80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      80626199822358      0                   80626199822360     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġokay               <eot>              
Timings          : (250.641, 251.011)  (251.011, 251.171)  (251.171, 251.261)  (251.261, 251.331)  (251.331, 251.571)  (251.571, 251.671)  (251.671, 251.841)  (251.841, 251.901)  (251.901, 252.231)  (252.231, 252.351)  (252.351, 252.732)  (252.732, 253.064)  (253.603, 253.814)  (253.814, 254.262)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80626736693271      80626736693271      80626736693271     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : Ġvery               Ġlast               Ġof                 Ġeight              Ġand                Ġmy                 Ġparents            Ġwere               Ġboth               Ġmarried            Ġbefore             Ġand                Ġand                Ġuh                 Ġso                
Timings          : (254.565, 254.795)  (254.795, 255.085)  (255.085, 255.175)  (255.175, 255.425)  (255.425, 255.515)  (255.515, 255.645)  (255.645, 255.995)  (255.995, 256.055)  (256.055, 256.295)  (256.295, 256.545)  (256.545, 256.905)  (256.905, 257.385)  (257.385, 257.675)  (257.675, 257.865)  (258.806, 258.978) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (254.565, 254.795)  (254.795, 255.085)  (255.085, 255.175)  (255.175, 255.425)  (255.425, 255.515)  (255.515, 255.645)  (255.645, 255.995)  (255.995, 256.055)  (256.055, 256.295)  (256.295, 256.545)  (256.545, 256.905)  (256.905, 257.385)  (257.385, 257.675)  (257.675, 257.865)  (258.806, 258.978) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġonly               Ġhave               Ġhalf               Ġbrothers           Ġand                Ġhalf               Ġsisters            Ġso                 Ġthat               's                  Ġi                  Ġguess              Ġthat               's                 
Timings          : (258.978, 259.038)  (259.038, 259.247)  (259.247, 259.448)  (259.448, 259.707)  (259.707, 260.068)  (260.068, 260.435)  (260.699, 260.938)  (260.938, 261.471)  (262.07, 262.358)   (262.358, 262.58)   (262.58, 262.803)   (262.98, 263.078)   (263.078, 263.247)  (263.247, 263.337)  (263.337, 263.427) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360      80626199822360     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (258.978, 259.038)  (259.038, 259.247)  (259.247, 259.448)  (259.448, 259.707)  (259.707, 260.068)  (260.068, 260.435)  (260.699, 260.938)  (260.938, 261.471)  (262.07, 262.358)   (262.358, 262.58)   (262.58, 262.803)   (262.98, 263.078)   (263.078, 263.247)  (263.247, 263.337)  (263.337, 263.427) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġpart               Ġof                 Ġit                 Ġthey               Ġwere               Ġall                Ġgrown              Ġby                 Ġthe                Ġtime               Ġi                  Ġcame               Ġalong              <emp>               <emp>              
Timings          : (263.427, 263.668)  (263.668, 263.747)  (263.747, 263.848)  (263.848, 263.927)  (263.927, 264.038)  (264.038, 264.188)  (264.188, 264.508)  (264.508, 264.617)  (264.617, 264.677)  (264.677, 264.938)  (264.938, 265.1)    (265.869, 266.027)  (266.027, 266.327)  (266.534, 266.612)  (266.612, 266.747) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
