A                : what                Ġwhat               Ġwhat               Ġsort               Ġof                 Ġcompany            Ġdo                 Ġyou                Ġwork               Ġfor                Ġdo                 Ġyou                Ġwork               Ġfor                Ġa                 
Timings          : (243.093, 243.433)  (243.131, 243.181)  (243.433, 243.713)  (243.713, 243.883)  (243.883, 244.143)  (244.143, 244.243)  (244.243, 244.343)  (244.343, 244.493)  (244.493, 244.913)  (244.913, 245.203)  (245.203, 245.603)  (246.172, 246.452)  (246.452, 246.732)  (246.732, 246.892)  (246.892, 247.202) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (247.202, 247.392)  (247.392, 247.812)  (247.812, 247.942)  (247.942, 248.212)  (248.212, 248.402)  (248.402, 248.472)  (248.472, 248.982)  (248.982, 249.352)  (249.352, 249.512)  (249.512, 249.722)  (249.722, 249.912)  (249.912, 250.252)  (250.252, 250.862)  (251.158, 251.298)  (251.298, 251.438) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79511655809043      79511655809043     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġit                 Ġwould              Ġat                 Ġleast              Ġgive               Ġthe                Ġperson             Ġtime               Ġto                 Ġlook               Ġfor                Ġanother            Ġjob                Ġbecause            <emp>              
Timings          : (247.202, 247.392)  (247.392, 247.812)  (247.812, 247.942)  (247.942, 248.212)  (248.212, 248.402)  (248.402, 248.472)  (248.472, 248.982)  (248.982, 249.352)  (249.352, 249.512)  (249.512, 249.722)  (249.722, 249.912)  (249.912, 250.252)  (250.252, 250.862)  (250.942, 251.532)  (251.298, 251.438) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (251.632, 251.942)  (251.942, 252.232)  (252.662, 252.752)  (252.752, 252.812)  (252.812, 252.982)  (252.982, 253.192)  (253.192, 253.482)  (253.482, 254.162)  (254.162, 254.442)  (254.672, 254.822)  (254.822, 255.172)  (256.047, 256.507)  (256.507, 257.157)  (257.487, 257.897) 
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79511655809043      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthey               Ġknow               Ġthat               Ġyou                Ġknow               Ġthat               Ġthere              Ġare                Ġproblems           Ġand                Ġyou                Ġknow               Ġthere              Ġare                Ġreason            
Timings          : (251.532, 251.632)  (251.632, 251.942)  (251.942, 252.232)  (252.662, 252.752)  (252.752, 252.812)  (252.812, 252.982)  (252.982, 253.192)  (253.192, 253.482)  (253.482, 254.162)  (254.162, 254.442)  (254.672, 254.822)  (254.822, 255.172)  (256.047, 256.507)  (256.507, 257.157)  (257.487, 257.897) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (257.897, 258.067)  (258.067, 258.357)  (258.357, 258.507)  (258.507, 258.867)  (258.867, 259.387)  (259.396, 259.596)  (-1.0, -1.0)        (260.017, 260.337)  (260.337, 260.687)  (260.687, 260.787)  (260.787, 261.007)  (261.007, 261.117)  (261.117, 261.327)  (261.327, 261.417)  (261.417, 261.647) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   79511655809044      79511655809044      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġlook               Ġfor                Ġanother            Ġjob                Ġinstead            Ġof                 Ġjust               Ġdumping            Ġit                 Ġon                 Ġthem               Ġall                Ġat                 Ġone               
Timings          : (257.897, 258.067)  (258.067, 258.357)  (258.357, 258.507)  (258.507, 258.867)  (258.867, 259.387)  (259.487, 259.907)  (259.907, 260.017)  (260.017, 260.337)  (260.337, 260.687)  (260.687, 260.787)  (260.787, 261.007)  (261.007, 261.117)  (261.117, 261.327)  (261.327, 261.417)  (261.417, 261.647) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (261.647, 262.187)  (262.409, 262.604)  (262.604, 262.799)  (-1.0, -1.0)        (263.391, 263.621)  (263.621, 263.831)  (263.831, 264.041)  (264.041, 264.291)  (264.291, 264.441)  (264.441, 264.591)  (264.591, 264.771)  (264.771, 265.381)  (265.521, 265.691)  (265.691, 265.901)  (266.309, 266.529) 
Token Types      : 0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   79511655809045      79511655809045      79511655809045      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79509508325390     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġtime               <emp>               <emp>               Ġyou                Ġknow               Ġthat               's                  Ġjust               Ġthat               's                  Ġmy                 Ġviews              Ġyou                Ġknow               <eot>              
Timings          : (261.647, 262.187)  (262.409, 262.604)  (262.604, 262.799)  (263.271, 263.391)  (263.391, 263.621)  (263.621, 263.831)  (263.831, 264.041)  (264.041, 264.291)  (264.291, 264.441)  (264.441, 264.591)  (264.591, 264.771)  (264.771, 265.381)  (265.521, 265.691)  (265.691, 265.901)  (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773      79513266421773     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġi                  've                 Ġheard              Ġof                 Ġa                  Ġcouple             Ġof                 Ġcompanies          Ġthat               Ġhave               Ġdone               Ġthat               Ġi                  Ġthink              Ġuh                
Timings          : (267.009, 267.084)  (267.084, 267.159)  (267.159, 267.399)  (267.399, 267.479)  (267.479, 267.569)  (267.569, 267.859)  (267.859, 267.969)  (267.969, 268.519)  (268.519, 268.639)  (268.639, 268.789)  (268.789, 268.999)  (268.999, 269.349)  (269.349, 269.389)  (269.389, 269.699)  (269.699, 270.069) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (267.009, 267.084)  (267.084, 267.159)  (267.159, 267.399)  (267.399, 267.479)  (267.479, 267.569)  (267.569, 267.859)  (267.859, 267.969)  (267.969, 268.519)  (268.519, 268.639)  (268.639, 268.789)  (268.789, 268.999)  (268.999, 269.349)  (269.349, 269.389)  (269.389, 269.699)  (269.699, 270.069) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġback               Ġabout              Ġa                  Ġfew                Ġyears              Ġago                Ġwhen               Ġthings             Ġwere               Ġtough              Ġhe                 w                   lett                Ġpack               ard                
Timings          : (270.149, 270.489)  (270.489, 270.719)  (270.719, 270.749)  (270.769, 271.029)  (271.029, 271.349)  (271.349, 271.669)  (271.669, 271.929)  (272.289, 272.589)  (272.589, 272.679)  (272.679, 273.069)  (273.069, 273.179)  (273.179, 273.289)  (273.289, 273.399)  (273.399, 273.619)  (273.619, 273.839) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (270.149, 270.489)  (270.489, 270.719)  (270.719, 270.749)  (270.769, 271.029)  (271.029, 271.349)  (271.349, 271.669)  (271.669, 271.929)  (272.289, 272.589)  (272.589, 272.679)  (272.679, 273.069)  (273.069, 273.179)  (273.179, 273.289)  (273.289, 273.399)  (273.399, 273.619)  (273.619, 273.839) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġdid                Ġthat               Ġfor                Ġawhile             Ġthey               Ġwent               Ġto                 Ġa                  Ġuh                 Ġuh                 Ġa                  Ġfour               Ġand                Ġa                  Ġhalf              
Timings          : (273.869, 274.059)  (274.069, 274.349)  (274.349, 274.569)  (274.569, 274.999)  (274.999, 275.099)  (275.099, 275.349)  (275.349, 275.559)  (275.619, 276.069)  (276.069, 276.129)  (277.104, 277.524)  (278.243, 278.303)  (278.303, 278.573)  (278.573, 278.673)  (278.673, 278.743)  (278.743, 279.043) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (273.869, 274.059)  (274.069, 274.349)  (274.349, 274.569)  (274.569, 274.999)  (274.999, 275.099)  (275.099, 275.349)  (275.349, 275.559)  (275.619, 276.069)  (276.069, 276.129)  (277.104, 277.524)  (278.243, 278.303)  (278.303, 278.573)  (278.573, 278.673)  (278.673, 278.743)  (278.743, 279.043) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġday                Ġwork               Ġweek               Ġrather             Ġthan               Ġcut                Ġyeah               Ġjust               Ġcut                Ġeverybody          Ġback               Ġten                Ġpercent            <emp>               Ġand               
Timings          : (279.043, 279.223)  (279.223, 279.563)  (279.563, 279.793)  (280.393, 280.653)  (280.933, 281.153)  (281.193, 281.473)  (281.533, 281.653)  (282.073, 282.353)  (282.353, 282.573)  (282.573, 282.983)  (282.983, 283.243)  (283.243, 283.463)  (283.463, 283.973)  (284.194, 284.824)  (284.807, 285.237) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>              
Timings          : (279.043, 279.223)  (279.223, 279.563)  (279.563, 279.793)  (280.17, 280.73)    (-1.0, -1.0)        (281.193, 281.473)  (281.533, 281.653)  (282.073, 282.353)  (282.353, 282.573)  (282.573, 282.983)  (282.983, 283.243)  (283.243, 283.463)  (283.463, 283.973)  (284.194, 284.824)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   79512192679946      79512192679946      0                   0                   0                   0                   0                   0                   0                   0                   79512192679947      79512192679947     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġuh                 Ġhave               Ġgave               Ġeverybody          Ġa                  Ġhalf               Ġday                Ġa                  Ġweek               Ġoff                Ġand                Ġi                  Ġthink              Ġyou                Ġcan               
Timings          : (285.287, 285.417)  (285.417, 285.677)  (285.767, 285.997)  (285.997, 286.517)  (286.517, 286.627)  (286.627, 286.717)  (286.717, 286.897)  (286.897, 286.957)  (286.957, 287.217)  (287.217, 287.537)  (288.479, 288.569)  (288.569, 288.599)  (288.599, 288.829)  (288.829, 288.919)  (288.919, 289.069) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>              
Timings          : (285.287, 285.417)  (285.417, 285.677)  (285.767, 285.997)  (285.997, 286.517)  (286.517, 286.627)  (286.627, 286.717)  (286.717, 286.897)  (286.897, 286.957)  (286.957, 287.217)  (287.217, 287.537)  (287.95, 288.55)    (-1.0, -1.0)        (288.599, 288.829)  (288.829, 288.919)  (288.919, 289.069) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79512192679948      79512192679948      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : Ġdo                 Ġthat               Ġfor                Ġa                  Ġlittle             Ġwhile              Ġbut                Ġi                  'm                  <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (289.069, 289.259)  (289.259, 289.629)  (289.629, 289.769)  (289.769, 289.829)  (289.829, 290.309)  (290.309, 290.779)  (291.019, 291.289)  (291.289, 291.464)  (291.464, 291.639)  (-1.0, -1.0)        (291.886, 291.956)  (291.956, 292.396)  (292.486, 292.926)  (292.926, 293.076)  (293.076, 293.276) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      79509508325390      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġat                 Ġleast              Ġthat               Ġwould              Ġgive              
Timings          : (289.069, 289.259)  (289.259, 289.629)  (289.629, 289.769)  (289.769, 289.829)  (289.829, 290.309)  (290.309, 290.779)  (291.019, 291.289)  (291.289, 291.464)  (291.464, 291.639)  (291.556, 291.886)  (291.886, 291.956)  (291.956, 292.396)  (292.486, 292.926)  (292.926, 293.076)  (293.076, 293.276) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (293.276, 293.366)  (293.366, 293.816)  (293.816, 293.936)  (293.936, 294.336)  (294.336, 294.506)  (294.506, 295.006)  (294.926, 295.316)  (-1.0, -1.0)        (295.633, 295.993)  (296.053, 296.633)  (296.633, 296.703)  (296.703, 296.953)  (296.953, 297.073)  (297.073, 297.533)  (297.533, 297.613) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   79511655809047      79511655809047      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġperson             Ġa                  Ġchance             Ġto                 Ġlook               <emp>               Ġyou                Ġknow               Ġbecause            Ġthe                Ġway                Ġit                 Ġis                 Ġa                 
Timings          : (293.276, 293.366)  (293.366, 293.816)  (293.816, 293.936)  (293.936, 294.336)  (294.336, 294.506)  (294.506, 295.006)  (294.926, 295.316)  (295.403, 295.633)  (295.633, 295.993)  (296.053, 296.633)  (296.633, 296.703)  (296.703, 296.953)  (296.953, 297.073)  (297.073, 297.533)  (297.533, 297.613) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303      79510045196303     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>                              <emp>                              <emp>                              <emp>                              <emp>                              <emp>                              <emp>                              <emp>                             
Timings          : (297.613, 298.053)                 (298.053, 298.323)                 (298.333, 298.433)                 (298.433, 298.533)                 (298.533, 298.683)                 (298.683, 298.753)                 (298.753, 299.033)                 (-1.0, -1.0)                      
Token Types      : 0                                  0                                  0                                  0                                  0                                  0                                  0                                  0                                 
turn_ids         : 0                                  0                                  0                                  0                                  0                                  0                                  0                                  0                                 
