A                : i                   Ġthink              Ġthat               Ġthe                Ġmiddle             Ġeast               Ġis                 Ġof                 Ġall                Ġthe                Ġuh                 Ġregions            Ġof                 Ġthe                Ġworld             

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (230.685, 230.815)  (230.815, 231.425)  (231.425, 231.895)  (231.895, 232.394)  (232.559, 232.649)  (232.649, 232.805)  (232.805, 232.948)  (232.948, 233.092)  (233.092, 233.235)  (233.235, 233.675)  (233.675, 233.745)  (233.745, 234.015)  (234.015, 234.315)  (234.315, 234.405)  (234.405, 234.855) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwith               Ġfundamental        ism                 Ġright              Ġnow                <emp>               Ġthe                Ġmore               Ġnations            Ġthat               Ġjoin               Ġwith               Ġthis               Ġkind               Ġof                
Timings          : (234.855, 234.975)  (234.975, 235.3)    (235.3, 235.625)    (235.625, 235.825)  (235.825, 236.14)   (236.42, 236.808)   (237.005, 237.082)  (237.082, 237.314)  (237.314, 237.844)  (237.844, 238.017)  (238.326, 238.864)  (238.864, 239.014)  (239.014, 239.204)  (239.204, 239.574)  (239.574, 239.734) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (234.855, 234.975)  (234.975, 235.3)    (235.3, 235.625)    (235.625, 235.825)  (235.825, 236.14)   (236.42, 236.808)   (-1.0, -1.0)        (237.082, 237.314)  (237.314, 237.844)  (237.844, 238.017)  (238.326, 238.864)  (238.864, 239.014)  (239.014, 239.204)  (239.204, 239.574)  (239.574, 239.734) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82862267170826      82862267170826      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġthinking           Ġin                 Ġgovernment         Ġthe                Ġmore               Ġstronger           Ġuh                 Ġdifficulty         Ġwe                 're                 Ġgoing              Ġto                 Ġhave               Ġas                
Timings          : (239.734, 240.117)  (240.832, 241.264)  (241.264, 241.414)  (241.414, 242.029)  (242.512, 242.624)  (242.624, 242.904)  (242.904, 243.807)  (244.537, 244.816)  (244.816, 245.434)  (245.434, 245.524)  (245.524, 245.614)  (245.614, 245.754)  (245.754, 245.854)  (245.854, 246.305)  (246.797, 246.907) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (239.734, 240.117)  (240.832, 241.264)  (241.264, 241.414)  (241.414, 242.029)  (242.512, 242.624)  (242.624, 242.904)  (242.904, 243.807)  (244.537, 244.816)  (244.816, 245.434)  (245.434, 245.524)  (245.524, 245.614)  (245.614, 245.754)  (245.754, 245.854)  (245.854, 246.305)  (246.797, 246.907) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġnation             Ġin                 Ġdealing            Ġwith               Ġthe                Ġregion             Ġbecause            Ġof                 Ġour                Ġpast               Ġexperiences        Ġwith               Ġthe                Ġpal               
Timings          : (246.907, 246.993)  (246.993, 247.413)  (247.413, 247.523)  (247.523, 247.953)  (247.953, 248.093)  (248.093, 248.203)  (248.203, 248.613)  (248.613, 248.893)  (248.893, 248.983)  (248.983, 249.103)  (249.103, 249.573)  (249.573, 250.323)  (250.323, 250.413)  (250.413, 250.473)  (250.473, 250.705) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268      82859582816268     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (246.907, 246.993)  (246.993, 247.413)  (247.413, 247.523)  (247.523, 247.953)  (247.953, 248.093)  (248.093, 248.203)  (248.203, 248.613)  (248.613, 248.893)  (248.893, 248.983)  (248.983, 249.103)  (249.103, 249.573)  (249.573, 250.323)  (250.323, 250.413)  (250.413, 250.473)  (250.473, 250.705) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : est                 in                  ians                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (250.705, 250.937)  (250.937, 251.169)  (251.169, 251.401)  (-1.0, -1.0)        (252.098, 252.164)  (252.164, 252.258)  (252.258, 252.306)  (252.306, 252.436)  (252.436, 252.516)  (252.516, 252.666)  (252.666, 252.726)  (252.726, 252.816)  (252.816, 253.046)  (253.046, 253.54)   (253.54, 253.653)  
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82859582816268      82859582816268      82859582816268      82859582816268      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġthink              Ġa                  Ġlot                Ġof                 Ġit                 Ġis                 Ġis                 Ġjust               Ġrejection          Ġof                
Timings          : (250.705, 250.937)  (250.937, 251.169)  (251.169, 251.401)  (251.91, 252.098)   (252.098, 252.164)  (252.164, 252.258)  (252.258, 252.306)  (252.306, 252.436)  (252.436, 252.516)  (252.516, 252.666)  (252.666, 252.726)  (252.726, 252.816)  (252.816, 253.046)  (253.046, 253.54)   (253.54, 253.653)  
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (253.653, 253.75)   (253.75, 254.046)   (254.838, 254.893)  (254.893, 255.047)  (255.047, 255.35)   (255.35, 255.824)   (256.133, 256.383)  (256.383, 256.498)  (256.63, 256.853)   (256.853, 257.153)  (257.153, 257.373)  (257.373, 257.463)  (257.463, 257.733)  (257.733, 258.223)  (258.223, 258.713) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġcurrent            Ġyou                Ġknow               Ġpower              Ġstructure          Ġand                Ġthat               Ġpower              Ġstructure          Ġhappens            Ġto                 Ġbe                 Ġreligiously        Ġaligned           
Timings          : (253.653, 253.75)   (253.75, 254.046)   (254.838, 254.893)  (254.893, 255.047)  (255.047, 255.35)   (255.35, 255.824)   (256.133, 256.383)  (256.383, 256.498)  (256.63, 256.853)   (256.853, 257.153)  (257.153, 257.373)  (257.373, 257.463)  (257.463, 257.733)  (257.733, 258.223)  (258.223, 258.713) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (258.713, 258.963)  (259.656, 259.975)  (259.975, 260.137)  (260.137, 260.483)  (260.593, 260.653)  (260.653, 260.923)  (260.923, 261.168)  (261.48, 261.803)   (261.803, 262.093)  (262.093, 262.657)  (262.86, 262.943)   (262.943, 262.973)  (262.973, 263.103)  (263.103, 263.163)  (263.163, 263.313) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġaligned            Ġwith               Ġuh                 Ġyou                Ġknow               Ġa                  Ġreligious          Ġbased              Ġmonarchy           Ġin                 Ġa                  Ġlot                Ġof                 Ġthose             
Timings          : (258.713, 258.963)  (259.656, 259.975)  (259.975, 260.137)  (260.137, 260.483)  (260.593, 260.653)  (260.653, 260.923)  (260.923, 261.168)  (261.48, 261.803)   (261.803, 262.093)  (262.093, 262.657)  (262.86, 262.943)   (262.943, 262.973)  (262.973, 263.103)  (263.103, 263.163)  (263.163, 263.313) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (263.313, 263.797)  (264.49, 264.82)    (265.363, 265.517)  (265.728, 265.786)  (265.786, 265.844)  (265.844, 266.113)  (266.113, 266.594)  (266.594, 266.736)  (267.034, 267.254)  (267.254, 267.603)  (267.603, 267.703)  (267.703, 268.064)  (268.064, 268.164)  (268.164, 268.493)  (268.493, 268.684) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcountries          Ġand                Ġthat               Ġthey               're                 Ġbasically          Ġrejecting          Ġthat               Ġpower              Ġstructure          Ġin                 Ġfavor              Ġof                 Ġanother            Ġwhich             
Timings          : (263.313, 263.797)  (264.49, 264.82)    (265.363, 265.517)  (265.728, 265.786)  (265.786, 265.844)  (265.844, 266.113)  (266.113, 266.594)  (266.594, 266.736)  (267.034, 267.254)  (267.254, 267.603)  (267.603, 267.703)  (267.703, 268.064)  (268.064, 268.164)  (268.164, 268.493)  (268.493, 268.684) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (268.684, 268.934)  (268.934, 269.004)  (269.004, 269.094)  (269.094, 269.363)  (269.363, 269.444)  (269.444, 269.483)  (269.483, 270.254)  (270.254, 270.384)  (270.384, 270.414)  (270.414, 270.553)  (270.553, 270.624)  (270.624, 270.694)  (270.694, 270.819)  (271.007, 271.158)  (271.158, 271.433) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġis                 Ġyou                Ġknow               Ġreturn             Ġto                 Ġa                  Ġfundamentalist     Ġthing              Ġi                  Ġmean               Ġit                 's                  Ġnot                Ġto                 Ġunlike            
Timings          : (268.684, 268.934)  (268.934, 269.004)  (269.004, 269.094)  (269.094, 269.363)  (269.363, 269.444)  (269.444, 269.483)  (269.483, 270.254)  (270.254, 270.384)  (270.384, 270.414)  (270.414, 270.553)  (270.553, 270.624)  (270.624, 270.694)  (270.694, 270.819)  (271.007, 271.158)  (271.158, 271.433) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (271.433, 271.543)  (271.543, 271.754)  (271.754, 271.814)  (271.814, 271.874)  (271.874, 272.094)  (272.094, 272.485)  (273.155, 273.315)  (273.315, 273.414)  (273.414, 273.675)  (273.675, 273.792)  (273.792, 274.104)  (274.104, 274.134)  (274.134, 274.224)  (274.224, 274.5)    (274.602, 274.784) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwhat               Ġhappened           Ġin                 Ġthe                Ġunited             Ġstates             Ġover               Ġthe                Ġlast               Ġten                Ġyears              Ġi                  Ġmean               Ġbasically          Ġpeople            
Timings          : (271.433, 271.543)  (271.543, 271.754)  (271.754, 271.814)  (271.814, 271.874)  (271.874, 272.094)  (272.094, 272.485)  (273.155, 273.315)  (273.315, 273.414)  (273.414, 273.675)  (273.675, 273.792)  (273.792, 274.104)  (274.104, 274.134)  (274.134, 274.224)  (274.224, 274.5)    (274.602, 274.784) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (274.784, 275.229)  (275.38, 275.454)   (275.454, 275.682)  (275.765, 275.886)  (275.886, 276.007)  (276.455, 277.262)  (277.886, 277.944)  (277.944, 278.004)  (278.004, 278.362)  (278.906, 279.28)   (-1.0, -1.0)        (279.14, 279.354)   (279.354, 279.424)  (279.424, 279.854)  (279.854, 280.064) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82861730299915      82861730299915      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : Ġrejected           Ġyou                Ġknow               Ġthere              's                  Ġfundamentalist     Ġyou                Ġknow               Ġmovement           Ġwasn               't                  Ġquite              Ġas                 Ġsevere             Ġor                
Timings          : (274.784, 275.229)  (275.38, 275.454)   (275.454, 275.682)  (275.765, 275.886)  (275.886, 276.007)  (276.455, 277.262)  (277.886, 277.944)  (277.944, 278.004)  (278.004, 278.362)  (278.952, 279.046)  (279.046, 279.14)   (279.14, 279.354)   (279.354, 279.424)  (279.424, 279.854)  (279.854, 280.064) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (280.064, 280.309)  (280.309, 280.403)  (280.403, 280.484)  (280.484, 280.719)  (280.719, 280.954)  (280.954, 281.442)  (281.742, 281.824)  (281.824, 281.994)  (281.994, 282.344)  (282.344, 282.484)  (283.397, 283.733)  (284.66, 284.758)   (285.044, 285.368)  (285.368, 285.634)  (285.634, 285.853) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġas                 Ġyou                Ġknow               Ġfan                atically            Ġradical            Ġi                  Ġmean               Ġbecause            Ġthe                Ġuh                 Ġthe                Ġclass              Ġstructure          Ġis                
Timings          : (280.064, 280.309)  (280.309, 280.403)  (280.403, 280.484)  (280.484, 280.719)  (280.719, 280.954)  (280.954, 281.442)  (281.742, 281.824)  (281.824, 281.994)  (281.994, 282.344)  (282.344, 282.484)  (283.397, 283.733)  (284.66, 284.758)   (285.044, 285.368)  (285.368, 285.634)  (285.634, 285.853) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181      82860119687181     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (285.853, 286.248)  (286.248, 286.328)  (286.328, 286.438)  (286.438, 286.886)  (287.871, 288.312)  (288.312, 288.642)  (288.642, 288.764)  (288.764, 289.025)  (289.354, 289.44)   (289.44, 289.559)   (289.559, 289.761)  (289.761, 289.962)  (289.962, 290.482)  (290.482, 290.78)   (290.78, 291.001)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
