A                : well                Ġbr                 ad                  Ġwhat               Ġdo                 Ġyou                Ġhear               Ġin                 Ġsan                Ġj                  ose                 Ġabout              Ġro                 ss                  Ġper               
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80678276300817      80678276300817      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : 't                  Ġknow               Ġso                 Ġi                  Ġdon                't                  Ġknow               Ġyou                Ġknow               Ġhe                 Ġhe                 Ġmight              Ġdecide             Ġto                 Ġgo                
Timings          : (235.81, 235.979)   (235.979, 236.372)  (236.372, 236.54)   (236.54, 236.6)     (236.6, 236.69)     (236.69, 236.78)    (236.78, 237.05)    (237.05, 237.23)    (237.23, 237.39)    (237.39, 237.519)   (237.519, 237.69)   (237.69, 238.05)    (238.958, 239.448)  (239.448, 239.538)  (239.538, 239.748) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (235.81, 235.979)   (235.979, 236.372)  (236.372, 236.54)   (236.54, 236.6)     (236.6, 236.69)     (236.69, 236.78)    (236.78, 237.05)    (237.05, 237.23)    (237.23, 237.39)    (237.39, 237.519)   (237.519, 237.69)   (237.69, 238.05)    (238.958, 239.448)  (239.448, 239.538)  (239.538, 239.748) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwhole              Ġhog                Ġand                Ġreally             Ġgo                 Ġout                Ġand                Ġand                Ġturn               Ġinto               Ġa                  Ġpolitician         Ġand                Ġdo                 Ġall               
Timings          : (239.748, 240.008)  (240.008, 240.388)  (240.388, 240.498)  (240.498, 240.758)  (240.758, 240.948)  (240.948, 241.238)  (241.238, 241.5)    (241.847, 242.028)  (242.028, 242.198)  (242.198, 242.398)  (242.398, 242.458)  (242.458, 243.148)  (243.148, 243.288)  (243.288, 243.448)  (243.448, 243.628) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (239.748, 240.008)  (240.008, 240.388)  (240.388, 240.498)  (240.498, 240.758)  (240.758, 240.948)  (240.948, 241.238)  (241.238, 241.5)    (241.847, 242.028)  (242.028, 242.198)  (242.198, 242.398)  (242.398, 242.458)  (242.458, 243.148)  (243.148, 243.288)  (243.288, 243.448)  (243.448, 243.628) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġback               Ġslapping           Ġand                Ġand                Ġuh                 Ġhand               sh                  aking               Ġand                Ġall                Ġthat               Ġkiss               Ġa                  Ġfew               
Timings          : (243.628, 243.874)  (244.461, 244.728)  (244.728, 245.213)  (245.213, 245.533)  (245.533, 245.818)  (245.977, 246.288)  (246.288, 246.515)  (246.515, 246.741)  (246.741, 246.968)  (246.968, 247.068)  (247.068, 247.308)  (247.308, 247.578)  (247.578, 247.818)  (247.818, 247.858)  (247.858, 248.068) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906      80677739429906     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (243.628, 243.874)  (244.461, 244.728)  (244.728, 245.213)  (245.213, 245.533)  (245.533, 245.818)  (245.977, 246.288)  (246.288, 246.515)  (246.515, 246.741)  (246.741, 246.968)  (246.968, 247.068)  (247.068, 247.308)  (247.308, 247.578)  (247.578, 247.818)  (247.818, 247.858)  (247.858, 248.068) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbabies             Ġi                  Ġsuppose            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (248.068, 248.588)  (248.588, 248.658)  (248.658, 249.391)  (-1.0, -1.0)        (250.553, 250.661)  (250.661, 250.714)  (250.714, 250.791)  (250.791, 250.869)  (250.869, 251.129)  (251.129, 251.184)  (251.184, 251.239)  (251.239, 251.369)  (251.369, 251.489)  (251.489, 251.659)  (251.659, 251.699) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80677739429906      80677739429906      80677739429906      80677739429906      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġyeah               Ġwell               Ġi                  Ġdon                't                  Ġsuppose            Ġhe                 'd                  Ġhave               Ġto                 Ġdo                 Ġa                 
Timings          : (248.068, 248.588)  (248.588, 248.658)  (248.658, 249.391)  (249.521, 249.818)  (250.553, 250.661)  (250.661, 250.714)  (250.714, 250.791)  (250.791, 250.869)  (250.869, 251.129)  (251.129, 251.184)  (251.184, 251.239)  (251.239, 251.369)  (251.369, 251.489)  (251.489, 251.659)  (251.659, 251.699) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (251.699, 251.919)  (251.919, 252.079)  (252.079, 252.149)  (252.149, 252.439)  (252.439, 252.899)  (252.899, 253.199)  (253.199, 253.439)  (254.749, 255.129)  (255.129, 255.189)  (255.189, 255.429)  (255.429, 255.669)  (255.669, 255.959)  (256.469, 256.639)  (256.639, 256.729)  (256.729, 257.119) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwhole              Ġlot                Ġof                 Ġfund               Ġraising            Ġor                 Ġuh                 Ġworry              Ġa                  Ġwhole              Ġlot                Ġabout              Ġwhere              Ġthe                Ġfunding           
Timings          : (251.699, 251.919)  (251.919, 252.079)  (252.079, 252.149)  (252.149, 252.439)  (252.439, 252.899)  (252.899, 253.199)  (253.199, 253.439)  (254.749, 255.129)  (255.129, 255.189)  (255.189, 255.429)  (255.429, 255.669)  (255.669, 255.959)  (256.469, 256.639)  (256.639, 256.729)  (256.729, 257.119) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               Ġyeah               Ġit                 's                  Ġum                
Timings          : (257.119, 257.249)  (257.249, 257.539)  (257.539, 257.829)  (257.829, 258.219)  (258.258, 258.536)  (-1.0, -1.0)        (258.409, 258.599)  (258.599, 258.789)  (258.789, 259.407)  (259.64, 259.919)   (-1.0, -1.0)        (261.15, 261.573)   (261.573, 261.695)  (261.695, 261.817)  (261.817, 262.341) 
Token Types      : 0                   0                   0                   0                   3                   3                   0                   0                   0                   3                   3                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   80679886913547      80679886913547      0                   0                   0                   80679886913548      80679886913548      80677739429908      80677739429908      80677739429908      80677739429908     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġwas                Ġcoming             Ġfrom               Ġso                 Ġhe                 'd                  Ġhave               Ġthat               Ġadvantage          <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (257.119, 257.249)  (257.249, 257.539)  (257.539, 257.829)  (257.829, 258.219)  (258.219, 258.314)  (258.314, 258.409)  (258.409, 258.599)  (258.599, 258.789)  (258.789, 259.407)  (-1.0, -1.0)        (-1.0, -1.0)        (261.15, 261.573)   (261.573, 261.695)  (261.695, 261.817)  (261.817, 262.341) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      80678276300819      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġcertainly          Ġdifferent          Ġi                  Ġmean               Ġbush               Ġis                 Ġwealthy            <emp>               <emp>               Ġbut                Ġnothing            Ġlike               Ġthat               <emp>               Ġi                 
Timings          : (263.593, 263.953)  (263.953, 264.293)  (264.293, 264.323)  (264.323, 264.633)  (264.633, 264.913)  (264.913, 265.083)  (265.083, 265.706)  (266.117, 266.312)  (266.312, 266.507)  (266.566, 266.766)  (266.766, 267.106)  (267.106, 267.376)  (267.376, 268.056)  (268.382, 268.722)  (269.753, 269.883) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               Ġyeah               <ebc>              
Timings          : (263.593, 263.953)  (263.953, 264.293)  (264.293, 264.323)  (264.323, 264.633)  (264.633, 264.913)  (264.913, 265.083)  (265.083, 265.706)  (266.117, 266.312)  (266.312, 266.507)  (-1.0, -1.0)        (266.766, 267.106)  (267.106, 267.376)  (267.376, 268.056)  (268.382, 268.722)  (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80680423784464      80680423784464      80680423784464      0                   0                   0                   80680423784465      80680423784465     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   2                   2                  


A                : Ġi                  Ġmean               Ġi                  Ġdon                't                  Ġknow               Ġwhat               Ġthey               Ġput                Ġper                ot                  's                  Ġwealth             Ġat                 Ġi                 
Timings          : (269.883, 270.022)  (270.022, 270.182)  (270.182, 270.263)  (270.263, 270.337)  (270.337, 270.413)  (270.413, 270.503)  (270.503, 270.672)  (270.672, 270.763)  (270.763, 271.043)  (271.272, 271.436)  (271.436, 271.599)  (271.599, 271.763)  (271.943, 272.302)  (272.302, 272.543)  (272.543, 272.582) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (269.883, 270.022)  (270.022, 270.182)  (270.182, 270.263)  (270.263, 270.337)  (270.337, 270.413)  (270.413, 270.503)  (270.503, 270.672)  (270.672, 270.763)  (270.763, 271.043)  (271.272, 271.436)  (271.436, 271.599)  (271.599, 271.763)  (271.943, 272.302)  (272.302, 272.543)  (272.543, 272.582) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthink              Ġit                 's                  Ġprobably           Ġa                  Ġfew                Ġbillion            Ġor                 Ġsomething          Ġi                  <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (272.582, 272.802)  (272.802, 272.858)  (272.858, 272.913)  (272.913, 273.362)  (273.362, 273.413)  (273.413, 273.622)  (273.622, 274.152)  (274.152, 274.302)  (274.302, 274.772)  (274.772, 274.909)  (-1.0, -1.0)        (275.14, 275.21)    (275.21, 275.28)    (275.39, 275.525)   (275.525, 275.66)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      80677739429908      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  've                 Ġi                  've                
Timings          : (272.582, 272.802)  (272.802, 272.858)  (272.858, 272.913)  (272.913, 273.362)  (273.362, 273.413)  (273.413, 273.622)  (273.622, 274.152)  (274.152, 274.302)  (274.302, 274.772)  (274.772, 274.909)  (274.86, 275.14)    (275.14, 275.21)    (275.21, 275.28)    (275.39, 275.525)   (275.525, 275.66)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80678276300821      80678276300821      80678276300821      80678276300821      80678276300821     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (275.89, 275.983)   (275.983, 276.076)  (276.223, 276.46)   (276.46, 276.59)    (276.59, 276.73)    (276.73, 276.81)    (276.81, 277.33)    (277.33, 277.481)   (277.722, 277.831)  (277.831, 277.94)   (277.94, 278.1)     (278.1, 278.64)     (278.64, 278.73)    (278.73, 279.05)    (279.05, 279.27)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  've                 Ġheard              Ġit                 Ġin                 Ġthe                Ġbillions           Ġi                  Ġdidn               't                  Ġhear               Ġspecifics          Ġi                  Ġfigured            Ġonce              
Timings          : (275.89, 275.983)   (275.983, 276.076)  (276.223, 276.46)   (276.46, 276.59)    (276.59, 276.73)    (276.73, 276.81)    (276.81, 277.33)    (277.33, 277.481)   (277.722, 277.831)  (277.831, 277.94)   (277.94, 278.1)     (278.1, 278.64)     (278.64, 278.73)    (278.73, 279.05)    (279.05, 279.27)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (279.27, 279.37)    (279.57, 279.71)    (279.71, 279.916)   (280.319, 280.52)   (280.52, 280.59)    (280.59, 280.87)    (280.87, 281.08)    (281.08, 281.32)    (281.32, 281.4)     (281.4, 281.53)     (281.53, 281.66)    (281.66, 281.87)    (281.87, 282.19)    (282.19, 282.3)     (282.3, 282.45)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġyou                Ġknow               Ġonce               Ġit                 Ġreaches            Ġthat               Ġpoint              Ġit                 Ġdoesn              't                  Ġreally             Ġmatter             Ġhow                Ġmany              
Timings          : (279.27, 279.37)    (279.57, 279.71)    (279.71, 279.916)   (280.319, 280.52)   (280.52, 280.59)    (280.59, 280.87)    (280.87, 281.08)    (281.08, 281.32)    (281.32, 281.4)     (281.4, 281.53)     (281.53, 281.66)    (281.66, 281.87)    (281.87, 282.19)    (282.19, 282.3)     (282.3, 282.45)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821      80678276300821     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (282.45, 282.84)    (282.84, 282.9)     (282.9, 283.01)     (283.01, 283.23)    (283.23, 283.308)   (283.308, 283.452)  (283.452, 283.81)   (283.81, 283.92)    (283.92, 284.14)    (284.09, 284.49)    (-1.0, -1.0)        (285.974, 286.077)  (286.077, 286.387)  (286.545, 286.636)  (286.636, 286.727) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   80679886913550      80679886913550      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  
