A                : so                  <eot>               <emp>               <emp>               <emp>               Ġuh                 Ġi                  Ġcan                Ġstart              Ġthe                Ġnotion             Ġof                 Ġa                  Ġum                 Ġof                

B                : Ġprograms           Ġor                 Ġwhatever           Ġthat               Ġthey               Ġwish               Ġto                 Ġparticipate        Ġin                 Ġand                Ġgive               Ġthem               Ġsome               Ġtangible           Ġbenefit           
Timings          : (239.852, 240.512)  (240.512, 240.663)  (240.663, 241.023)  (241.023, 241.193)  (241.193, 241.352)  (241.352, 241.663)  (241.663, 241.773)  (241.773, 242.452)  (242.452, 242.672)  (242.672, 243.042)  (243.042, 243.242)  (243.242, 243.452)  (243.452, 243.693)  (243.693, 244.322)  (244.322, 244.87)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>              
Timings          : (245.394, 245.583)  (245.583, 246.033)  (246.033, 246.393)  (246.393, 246.49)   (246.49, 247.373)   (247.531, 247.789)  (247.789, 248.092)  (248.092, 248.732)  (248.732, 248.893)  (248.893, 249.072)  (249.072, 249.491)  (249.64, 249.941)   (-1.0, -1.0)        (250.262, 250.322)  (250.322, 250.652) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80782966128647      80782966128647      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                  

B                : Ġfor                Ġdoing              Ġso                 Ġto                 Ġinspire            Ġuh                 Ġmore               Ġinvolvement        Ġon                 Ġtheir              Ġpart               <emp>               Ġin                 Ġthe                Ġand               
Timings          : (245.394, 245.583)  (245.583, 246.033)  (246.033, 246.393)  (246.393, 246.49)   (246.49, 247.373)   (247.531, 247.789)  (247.789, 248.092)  (248.092, 248.732)  (248.732, 248.893)  (248.893, 249.072)  (249.072, 249.491)  (249.64, 249.941)   (250.106, 250.262)  (250.262, 250.322)  (250.322, 250.652) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (250.652, 250.802)  (250.802, 250.952)  (250.952, 251.022)  (251.022, 251.262)  (251.262, 251.372)  (251.372, 251.672)  (251.672, 251.762)  (251.762, 252.146)  (252.372, 252.792)  (253.184, 253.422)  (253.422, 253.702)  (253.702, 253.992)  (253.992, 254.432)  (254.432, 254.64)   (254.64, 254.83)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               's                  Ġthe                Ġway                Ġi                  Ġthink              Ġyou                Ġreally             Ġover               Ġtake               Ġover               Ġthis               Ġproblem            Ġor                 Ġget               
Timings          : (250.652, 250.802)  (250.802, 250.952)  (250.952, 251.022)  (251.022, 251.262)  (251.262, 251.372)  (251.372, 251.672)  (251.672, 251.762)  (251.762, 252.146)  (252.372, 252.792)  (253.184, 253.422)  (253.422, 253.702)  (253.702, 253.992)  (253.992, 254.432)  (254.432, 254.64)   (254.64, 254.83)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (254.83, 255.062)   (255.062, 255.132)  (255.132, 255.202)  (255.202, 255.582)  (255.582, 255.722)  (255.722, 256.001)  (256.528, 256.587)  (256.587, 256.687)  (256.687, 257.477)  (257.477, 258.167)  (258.619, 258.97)   (258.97, 259.107)   (259.107, 259.377)  (259.377, 259.557)  (259.557, 259.697) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġrid                Ġof                 Ġthe                Ġproblem            Ġof                 Ġthem               Ġyou                Ġknow               Ġconscientious      Ġobjection          Ġor                 Ġwhat               Ġhave               Ġyou                Ġif                
Timings          : (254.83, 255.062)   (255.062, 255.132)  (255.132, 255.202)  (255.202, 255.582)  (255.582, 255.722)  (255.722, 256.001)  (256.528, 256.587)  (256.587, 256.687)  (256.687, 257.477)  (257.477, 258.167)  (258.619, 258.97)   (258.97, 259.107)   (259.107, 259.377)  (259.377, 259.557)  (259.557, 259.697) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (259.697, 259.797)  (259.797, 259.987)  (259.987, 260.226)  (260.226, 260.366)  (260.366, 260.717)  (260.717, 260.827)  (260.827, 261.632)  (261.888, 262.127)  (262.127, 262.227)  (262.186, 262.7)    (-1.0, -1.0)        (262.577, 262.697)  (262.697, 262.957)  (262.957, 263.037)  (263.037, 263.376) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   80782966128648      80782966128648      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : Ġyou                Ġgive               Ġthem               Ġthe                Ġoption             Ġof                 Ġselecting          Ġwhat               Ġit                 Ġis                 Ġthat               Ġthey               Ġwant               Ġto                 Ġdo                
Timings          : (259.697, 259.797)  (259.797, 259.987)  (259.987, 260.226)  (260.226, 260.366)  (260.366, 260.717)  (260.717, 260.827)  (260.827, 261.632)  (261.888, 262.127)  (262.127, 262.227)  (262.227, 262.448)  (262.448, 262.577)  (262.577, 262.697)  (262.697, 262.957)  (262.957, 263.037)  (263.037, 263.376) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913      80781355515913     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġright              Ġand                Ġand                Ġthat               's                  Ġthat               'd                  Ġbe                 Ġkind               Ġof                 Ġan                 Ġinteresting        Ġway                Ġof                 Ġdoing             
Timings          : (263.983, 264.211)  (264.211, 264.456)  (264.701, 264.791)  (264.791, 264.961)  (264.961, 265.131)  (265.131, 265.253)  (265.253, 265.375)  (265.375, 265.496)  (265.496, 265.691)  (265.691, 265.771)  (265.771, 265.871)  (265.871, 266.72)   (266.72, 267.071)   (267.071, 267.181)  (267.181, 267.551) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġi                  <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (263.994, 264.214)  (-1.0, -1.0)        (264.701, 264.791)  (264.791, 264.961)  (264.961, 265.131)  (265.131, 265.253)  (265.253, 265.375)  (265.375, 265.496)  (265.496, 265.691)  (265.691, 265.771)  (265.771, 265.871)  (265.871, 266.72)   (266.72, 267.071)   (267.071, 267.181)  (267.181, 267.551) 
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80781355515913      80781355515913      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 Ġi                  Ġthink              Ġif                 Ġyou                're                 Ġgoing              Ġto                 Ġdo                 Ġsomething          Ġlike               Ġthat               Ġbecause            Ġit                 Ġinstead           
Timings          : (267.551, 267.641)  (267.641, 267.802)  (267.802, 268.111)  (268.111, 268.251)  (268.251, 268.316)  (268.316, 268.381)  (268.381, 268.601)  (268.601, 268.721)  (268.721, 268.911)  (268.911, 269.271)  (269.271, 269.491)  (269.491, 269.721)  (269.721, 270.141)  (270.141, 270.244)  (270.845, 271.501) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (267.551, 267.641)  (267.641, 267.802)  (267.802, 268.111)  (268.111, 268.251)  (268.251, 268.316)  (268.316, 268.381)  (268.381, 268.601)  (268.601, 268.721)  (268.721, 268.911)  (268.911, 269.271)  (269.271, 269.491)  (269.491, 269.721)  (269.721, 270.141)  (270.141, 270.244)  (270.845, 271.501) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġvoting             Ġfor                Ġa                  Ġrepresentative     Ġwho                Ġvotes              Ġfor                Ġlaws               Ġor                 Ġwhatever           Ġyou                Ġvote               Ġby                 Ġwhat              
Timings          : (271.501, 271.871)  (271.871, 272.763)  (273.471, 273.681)  (273.681, 273.741)  (273.741, 274.681)  (274.681, 275.191)  (275.688, 276.121)  (276.121, 276.241)  (276.241, 276.731)  (276.731, 276.831)  (276.831, 277.599)  (277.599, 277.928)  (277.928, 278.413)  (278.413, 278.751)  (278.751, 279.011) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (271.501, 271.871)  (271.871, 272.763)  (273.471, 273.681)  (273.681, 273.741)  (273.741, 274.681)  (274.681, 275.191)  (275.688, 276.121)  (276.121, 276.241)  (276.241, 276.731)  (276.731, 276.831)  (276.831, 277.599)  (277.599, 277.928)  (277.928, 278.413)  (278.413, 278.751)  (278.751, 279.011) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                're                 Ġwilling            Ġto                 Ġparticipate        Ġin                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyes                Ġbut               
Timings          : (279.011, 279.116)  (279.116, 279.221)  (279.221, 279.823)  (280.048, 280.151)  (280.151, 280.871)  (280.871, 281.044)  (-1.0, -1.0)        (282.355, 282.538)  (282.538, 282.74)   (282.74, 282.954)   (282.954, 283.038)  (283.038, 283.248)  (283.248, 283.308)  (283.408, 283.511)  (283.511, 283.608) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   5                   5                  
turn_ids         : 80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      80784039870474      0                   0                   0                   0                   0                   0                   80785113612299      80785113612299     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġi                  Ġthink              Ġit                 Ġhas                Ġa                  Ġlot                Ġof                
Timings          : (279.011, 279.116)  (279.116, 279.221)  (279.221, 279.823)  (280.048, 280.151)  (280.151, 280.871)  (280.871, 281.044)  (281.432, 281.715)  (282.355, 282.538)  (282.538, 282.74)   (282.74, 282.954)   (282.954, 283.038)  (283.038, 283.248)  (283.248, 283.308)  (283.308, 283.508)  (283.508, 283.598) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915     
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġi                  Ġcan                't                  Ġget                Ġone                Ġright              <emp>               Ġnow                <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (283.608, 283.89)   (283.89, 283.977)   (283.977, 284.064)  (284.064, 284.196)  (284.196, 284.428)  (284.428, 284.657)  (284.578, 284.698)  (284.657, 284.831)  (-1.0, -1.0)        (285.068, 285.143)  (285.143, 285.218)  (285.218, 285.348)  (285.348, 285.428)  (285.428, 285.638)  (285.638, 285.918) 
Token Types      : 5                   5                   5                   5                   5                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80785113612299      80785113612299      80785113612299      80785113612299      80785113612299      80785113612299      80785113612299      80785113612299      80785113612299      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġpotential          <emp>               <emp>               Ġbut                Ġi                  Ġdon                't                  Ġthink              Ġthat               Ġwe                 're                 Ġgoing              Ġto                 Ġever               Ġsee               
Timings          : (283.598, 284.128)  (283.89, 283.977)   (283.977, 284.064)  (284.128, 284.368)  (284.368, 284.458)  (284.458, 284.578)  (284.578, 284.698)  (284.698, 284.908)  (284.908, 285.068)  (285.068, 285.143)  (285.143, 285.218)  (285.218, 285.348)  (285.348, 285.428)  (285.428, 285.638)  (285.638, 285.918) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 Ġprobably           <emp>               Ġnot                <eot>               <emp>               <emp>              
Timings          : (285.918, 286.338)  (286.338, 286.558)  (286.558, 286.808)  (286.808, 286.988)  (286.988, 287.188)  (287.188, 287.328)  (287.328, 287.498)  (287.498, 287.898)  (287.827, 288.239)  (288.239, 288.859)  (288.418, 288.622)  (288.859, 289.228)  (-1.0, -1.0)        (290.294, 290.414)  (290.414, 290.974) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80784039870476      80784039870476      80784039870476      80784039870476      80784039870476      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   0                  

B                : Ġsomething          Ġlike               Ġthat               Ġget                Ġthrough            Ġin                 Ġthis               Ġcountry            Ġbecause            Ġof                 Ġthe                <yield>             Ġmismatch           Ġof                 Ġpolitical         
Timings          : (285.918, 286.338)  (286.338, 286.558)  (286.558, 286.808)  (286.808, 286.988)  (286.988, 287.188)  (287.188, 287.328)  (287.328, 287.498)  (287.498, 287.898)  (287.898, 288.298)  (288.298, 288.418)  (288.418, 288.622)  (-1.0, -1.0)        (289.546, 290.294)  (290.294, 290.414)  (290.414, 290.974) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515915      80781355515917      80781355515917      80781355515917     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġwell               Ġand                Ġand                Ġthe                Ġother              Ġthing              Ġis                
Timings          : (290.974, 291.724)  (291.724, 291.854)  (291.854, 292.094)  (292.094, 292.324)  (292.324, 292.454)  (292.454, 292.891)  (292.891, 293.327)  (293.398, 293.737)  (294.121, 294.257)  (294.257, 294.617)  (294.617, 294.797)  (294.797, 294.857)  (294.857, 295.227)  (295.227, 295.467)  (295.467, 295.762) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80780818645006      80780818645006      80780818645006      80780818645006      80780818645006      80780818645006      80780818645006      80780818645006     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġnonsense           Ġthat               Ġgoes               Ġon                 Ġin                 Ġwashing            ton                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (290.974, 291.724)  (291.724, 291.854)  (291.854, 292.094)  (292.094, 292.324)  (292.324, 292.454)  (292.454, 292.891)  (292.891, 293.327)  (-1.0, -1.0)        (294.121, 294.257)  (294.257, 294.617)  (294.617, 294.797)  (294.797, 294.857)  (294.857, 295.227)  (295.227, 295.467)  (295.467, 295.762) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80781355515917      80781355515917      80781355515917      80781355515917      80781355515917      80781355515917      80781355515917      80781355515917      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġsuch                           Ġfor                            Ġit                             Ġto                             Ġto                             Ġtruly                          Ġbe                             Ġhelp                           <eot>                          
Timings          : (295.762, 295.952)              (295.952, 296.193)              (296.193, 296.687)              (296.687, 296.867)              (296.867, 297.067)              (297.067, 297.941)              (298.3, 298.539)                (298.539, 298.918)              (-1.0, -1.0)                   
Token Types      : 1                               1                               1                               1                               1                               1                               1                               1                               1                              
