A                : ok                  ay                  Ġuh                 Ġokay               Ġso                 Ġour                Ġsubject            Ġis                 Ġnursing            Ġhomes              Ġum                 Ġdo                 Ġyou                Ġhave               Ġany               
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġmaybe              Ġmaybe              Ġwhat               Ġwe                 Ġcan                Ġdo                 Ġis                 Ġuh                 Ġof                 Ġcourse             Ġthis               Ġis                 Ġkind               Ġof                
Timings          : (225.623, 225.733)  (225.733, 226.233)  (226.233, 226.623)  (226.623, 226.753)  (226.753, 226.853)  (226.853, 227.053)  (227.053, 227.268)  (227.268, 227.597)  (227.597, 227.895)  (228.956, 229.024)  (229.024, 229.151)  (229.151, 229.331)  (229.331, 229.431)  (229.431, 229.681)  (229.681, 229.751) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (229.751, 229.821)  (229.821, 230.101)  (230.101, 230.498)  (230.859, 231.431)  (231.431, 231.644)  (232.273, 232.586)  (232.97, 233.041)   (233.041, 233.141)  (233.141, 233.191)  (233.191, 233.241)  (233.241, 233.481)  (233.481, 233.681)  (233.681, 233.961)  (233.961, 234.331)  (234.471, 234.831) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġfar                Ġflung              Ġsituation          Ġbut                Ġuh                 Ġyou                Ġknow               Ġthey               're                 Ġtalking            Ġabout              Ġwork               Ġfare               Ġnow               
Timings          : (229.751, 229.821)  (229.821, 230.101)  (230.101, 230.498)  (230.859, 231.431)  (231.431, 231.644)  (232.273, 232.586)  (232.97, 233.041)   (233.041, 233.141)  (233.141, 233.191)  (233.191, 233.241)  (233.241, 233.481)  (233.481, 233.681)  (233.681, 233.961)  (233.961, 234.331)  (234.471, 234.831) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (234.831, 235.04)   (235.251, 235.421)  (235.421, 235.711)  (235.711, 236.001)  (236.001, 236.071)  (236.071, 236.331)  (236.331, 236.411)  (236.411, 236.708)  (237.761, 237.839)  (237.839, 237.93)   (237.93, 238.06)    (238.06, 238.33)    (238.33, 238.63)    (238.63, 238.72)    (238.72, 239.03)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġin                 Ġuh                 Ġw                  isconsin            Ġi                  Ġbelieve            Ġit                 Ġis                 Ġbut                Ġis                 Ġthere              Ġsome               Ġreason             Ġi                  Ġwonder            
Timings          : (234.831, 235.04)   (235.251, 235.421)  (235.421, 235.711)  (235.711, 236.001)  (236.001, 236.071)  (236.071, 236.331)  (236.331, 236.411)  (236.411, 236.708)  (237.761, 237.839)  (237.839, 237.93)   (237.93, 238.06)    (238.06, 238.33)    (238.33, 238.63)    (238.63, 238.72)    (238.72, 239.03)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                
Timings          : (239.03, 239.21)    (239.21, 239.32)    (239.32, 239.465)   (239.465, 239.61)   (239.61, 239.73)    (239.73, 239.97)    (239.97, 240.05)    (240.05, 240.24)    (240.24, 240.61)    (240.61, 241.184)   (241.603, 241.79)   (241.952, 242.34)   (242.34, 242.77)    (242.961, 243.2)    (243.2, 243.439)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82724291346447      82724291346447     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġwhy                Ġwe                 Ġcouldn             't                  Ġhave               Ġsome               Ġof                 Ġthese              Ġpeople             Ġinvolved           Ġin                 Ġnursing            Ġhomes              <eot>               <emp>              
Timings          : (239.03, 239.21)    (239.21, 239.32)    (239.32, 239.465)   (239.465, 239.61)   (239.61, 239.73)    (239.73, 239.97)    (239.97, 240.05)    (240.05, 240.24)    (240.24, 240.61)    (240.61, 241.184)   (241.603, 241.79)   (241.952, 242.34)   (242.34, 242.77)    (-1.0, -1.0)        (243.2, 243.439)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      82722680733709      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : <ebc>               Ġis                 Ġthat               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>              
Timings          : (-1.0, -1.0)        (244.86, 245.154)   (245.154, 245.365)  (-1.0, -1.0)        (245.6, 245.786)    (245.786, 245.972)  (245.972, 246.182)  (246.182, 246.272)  (246.272, 246.392)  (246.392, 246.623)  (246.623, 247.135)  (247.473, 247.68)   (247.68, 247.887)   (-1.0, -1.0)        (248.038, 248.172) 
Token Types      : 3                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                  
turn_ids         : 82724291346447      82722143862798      82722143862798      82722143862798      0                   0                   0                   0                   0                   0                   0                   82724291346449      82724291346449      82724291346449      0                  
turn_end_types   : 0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                  

B                : <emp>               Ġso                 Ġthat               Ġthey               Ġdidn               't                  Ġhave               Ġto                 Ġbe                 Ġso                 Ġexpensive          <emp>               <emp>               Ġyou                Ġknow              
Timings          : (-1.0, -1.0)        (244.862, 245.158)  (245.158, 245.322)  (245.322, 245.484)  (245.6, 245.786)    (245.786, 245.972)  (245.972, 246.182)  (246.182, 246.272)  (246.272, 246.392)  (246.392, 246.623)  (246.623, 247.135)  (247.473, 247.68)   (247.68, 247.887)   (247.947, 248.038)  (248.038, 248.172) 
Token Types      : 0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (248.172, 248.362)  (248.362, 248.442)  (248.442, 248.552)  (248.552, 248.627)  (248.627, 248.702)  (248.702, 248.952)  (248.952, 249.362)  (249.362, 249.492)  (249.492, 249.682)  (249.682, 250.052)  (250.052, 250.552)  (251.122, 251.272)  (251.272, 251.652)  (251.652, 251.852)  (251.852, 251.992) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġif                 Ġyou                Ġif                 Ġyou                've                 Ġgot                Ġsomebody           Ġwho                Ġis                 Ġdrawing            Ġwelfare            Ġthen               Ġperhaps            Ġthat               Ġcan               
Timings          : (248.172, 248.362)  (248.362, 248.442)  (248.442, 248.552)  (248.552, 248.627)  (248.627, 248.702)  (248.702, 248.952)  (248.952, 249.362)  (249.362, 249.492)  (249.492, 249.682)  (249.682, 250.052)  (250.052, 250.552)  (251.122, 251.272)  (251.272, 251.652)  (251.652, 251.852)  (251.852, 251.992) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġand                Ġi                  Ġthink             
Timings          : (251.992, 252.102)  (252.102, 252.572)  (252.986, 253.262)  (253.262, 253.422)  (253.422, 253.622)  (253.622, 253.842)  (253.842, 254.252)  (254.252, 254.492)  (254.492, 254.622)  (254.622, 255.022)  (255.022, 255.567)  (255.811, 256.016)  (256.016, 256.132)  (256.132, 256.202)  (256.202, 256.412) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82722143862800      82722143862800      82722143862800      82722143862800     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : Ġbe                 Ġquote              Ġpart               Ġof                 Ġtheir              Ġtheir              Ġpayment            Ġfor                Ġtheir              Ġwelfare            Ġpayments           <eot>               <emp>               <emp>               <emp>              
Timings          : (251.992, 252.102)  (252.102, 252.572)  (252.986, 253.262)  (253.262, 253.422)  (253.422, 253.622)  (253.622, 253.842)  (253.842, 254.252)  (254.252, 254.492)  (254.492, 254.622)  (254.622, 255.022)  (255.022, 255.567)  (-1.0, -1.0)        (256.016, 256.132)  (256.132, 256.202)  (256.202, 256.412) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                  
turn_ids         : 82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      82725901959183      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġthat               Ġwould              Ġbe                 Ġa                  Ġgood               Ġidea               Ġtoo                Ġi                  Ġdon                't                  Ġknow               Ġif                 Ġthese              Ġpeople             Ġneed              
Timings          : (256.412, 256.532)  (256.532, 256.672)  (256.672, 256.802)  (256.802, 256.842)  (256.842, 257.042)  (257.042, 257.402)  (257.402, 257.672)  (257.672, 257.802)  (257.802, 257.927)  (257.927, 258.052)  (258.052, 258.284)  (258.774, 259.196)  (259.429, 259.602)  (259.602, 260.121)  (260.272, 260.572) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (256.412, 256.532)  (256.532, 256.672)  (256.672, 256.802)  (256.802, 256.842)  (256.842, 257.042)  (257.042, 257.402)  (257.402, 257.672)  (257.672, 257.802)  (257.802, 257.927)  (257.927, 258.052)  (258.052, 258.284)  (258.774, 259.196)  (259.429, 259.602)  (259.602, 260.121)  (260.272, 260.572) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 Ġfor                Ġself               esteem              Ġit                 Ġwould              Ġseem               Ġto                 Ġme                 Ġthat               Ġthey               Ġwould              Ġbut                Ġif                 Ġnothing           
Timings          : (260.572, 260.662)  (260.662, 260.792)  (260.792, 261.152)  (261.152, 261.512)  (261.512, 261.602)  (261.602, 261.702)  (261.702, 261.932)  (261.932, 262.042)  (262.042, 262.212)  (262.212, 262.372)  (262.372, 262.612)  (262.612, 262.911)  (263.25, 263.412)   (263.412, 263.512)  (263.512, 263.872) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (260.572, 260.662)  (260.662, 260.792)  (260.792, 261.152)  (261.152, 261.512)  (261.512, 261.602)  (261.602, 261.702)  (261.702, 261.932)  (261.932, 262.042)  (262.042, 262.212)  (262.212, 262.372)  (262.372, 262.612)  (262.612, 262.911)  (263.25, 263.412)   (263.412, 263.512)  (263.512, 263.872) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġelse               Ġyes                Ġlet                Ġthem               Ġearn               Ġsome               Ġof                 Ġtheir              Ġmoney              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (263.872, 264.072)  (264.072, 264.362)  (264.362, 264.477)  (264.477, 264.635)  (264.635, 264.832)  (264.832, 264.982)  (264.982, 265.042)  (265.042, 265.142)  (265.142, 265.413)  (-1.0, -1.0)        (265.869, 266.134)  (266.134, 266.353)  (266.353, 266.414)  (266.414, 266.474)  (266.474, 266.833) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      82722143862800      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġbecause            Ġpart               Ġof                 Ġthe                Ġproblem           
Timings          : (263.872, 264.072)  (264.072, 264.362)  (264.362, 264.477)  (264.477, 264.635)  (264.635, 264.832)  (264.832, 264.982)  (264.982, 265.042)  (265.042, 265.142)  (265.142, 265.413)  (265.788, 265.869)  (265.869, 266.134)  (266.134, 266.353)  (266.353, 266.414)  (266.414, 266.474)  (266.474, 266.833) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (266.833, 267.103)  (267.103, 267.314)  (267.314, 267.496)  (267.914, 268.034)  (268.034, 268.543)  (268.543, 268.793)  (268.793, 269.173)  (269.173, 269.483)  (269.483, 269.603)  (269.603, 269.773)  (269.773, 270.004)  (270.004, 270.053)  (270.053, 270.257)  (270.257, 270.46)   (270.46, 270.664)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnow                Ġis                 Ġthat               Ġit                 Ġcosts              Ġso                 Ġmuch               Ġmoney              Ġto                 Ġget                Ġinto               Ġa                  Ġconv               ales                cent               
Timings          : (266.833, 267.103)  (267.103, 267.314)  (267.314, 267.496)  (267.914, 268.034)  (268.034, 268.543)  (268.543, 268.793)  (268.793, 269.173)  (269.173, 269.483)  (269.483, 269.603)  (269.603, 269.773)  (269.773, 270.004)  (270.004, 270.053)  (270.053, 270.257)  (270.257, 270.46)   (270.46, 270.664)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (270.664, 270.864)  (271.904, 272.113)  (272.113, 272.267)  (272.267, 272.387)  (272.387, 272.757)  (272.757, 272.975)  (273.239, 273.471)  (273.471, 273.703)  (-1.0, -1.0)        (273.837, 273.969)  (273.969, 274.049)  (274.049, 274.129)  (274.129, 274.499)  (274.499, 275.049)  (275.049, 275.219) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82724291346451      82724291346451      82724291346451      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġhome               Ġor                 Ġor                 Ġan                 Ġaged               Ġhome               <emp>               <emp>               Ġyou                Ġknow               Ġit                 's                  Ġalmost             Ġprohibited         Ġfor               
Timings          : (270.664, 270.864)  (271.904, 272.113)  (272.113, 272.267)  (272.267, 272.387)  (272.387, 272.757)  (272.757, 272.975)  (273.239, 273.471)  (273.471, 273.703)  (273.773, 273.837)  (273.837, 273.969)  (273.969, 274.049)  (274.049, 274.129)  (274.129, 274.499)  (274.499, 275.049)  (275.049, 275.219) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713      82722680733713     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
