A                : i                   Ġguess              Ġi                  Ġguess              Ġby                 Ġwhat               Ġyou                Ġsaid               Ġyou                're                 Ġyou                Ġyou                Ġdon                't                  Ġfeel              

B                : Ġthe                Ġpurchase           Ġwas                Ġmade               Ġmade               Ġmail               Ġorder              Ġthey               Ġshould             Ġhave               Ġa                  Ġrecord             Ġof                 Ġwhere              Ġit                
Timings          : (235.412, 235.532)  (235.532, 236.122)  (236.122, 236.376)  (236.376, 236.58)   (236.663, 237.112)  (237.112, 237.342)  (237.342, 237.762)  (237.762, 237.952)  (237.952, 238.164)  (238.164, 238.393)  (238.393, 238.458)  (238.458, 239.012)  (239.012, 239.177)  (239.225, 239.442)  (239.442, 239.542) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (239.542, 239.692)  (239.692, 240.25)   (240.25, 240.665)   (240.723, 240.864)  (240.864, 241.004)  (-1.0, -1.0)        (241.182, 241.412)  (241.412, 241.482)  (241.482, 241.677)  (241.677, 241.872)  (241.872, 242.182)  (242.182, 242.252)  (242.252, 242.542)  (242.542, 243.092)  (243.092, 243.272) 
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   83050708860938      83050708860938      83050708860938      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwas                Ġshipped            Ġto                 <emp>               <emp>               Ġand                Ġsince              Ġit                 Ġwasn               't                  Ġshipped            Ġto                 Ġher                Ġaddress            Ġshe               
Timings          : (239.542, 239.692)  (239.692, 240.25)   (240.25, 240.665)   (240.723, 240.864)  (240.864, 241.004)  (241.073, 241.182)  (241.182, 241.412)  (241.412, 241.482)  (241.482, 241.677)  (241.677, 241.872)  (241.872, 242.182)  (242.182, 242.252)  (242.252, 242.542)  (242.542, 243.092)  (243.092, 243.272) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (243.272, 243.452)  (243.452, 243.889)  (243.95, 244.022)   (244.022, 244.129)  (244.182, 244.292)  (244.292, 244.422)  (244.422, 244.622)  (244.622, 244.822)  (244.822, 245.25)   (245.793, 246.203)  (246.441, 246.654)  (246.654, 246.766)  (246.766, 247.006)  (247.006, 247.494)  (247.663, 247.776) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcould              Ġprove              Ġyou                Ġknow               Ġthat               Ġit                 Ġwasn               't                  Ġher                Ġum                 Ġif                 Ġit                 Ġwas                Ġsome               Ġyou               
Timings          : (243.272, 243.452)  (243.452, 243.889)  (243.95, 244.022)   (244.022, 244.129)  (244.182, 244.292)  (244.292, 244.422)  (244.422, 244.622)  (244.622, 244.822)  (244.822, 245.25)   (245.793, 246.203)  (246.441, 246.654)  (246.654, 246.766)  (246.766, 247.006)  (247.006, 247.494)  (247.663, 247.776) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (247.776, 247.886)  (247.973, 248.256)  (248.256, 248.456)  (248.456, 248.616)  (248.616, 249.096)  (249.096, 249.256)  (249.256, 250.041)  (250.15, 250.361)   (250.361, 250.566)  (250.566, 250.728)  (250.728, 250.819)  (250.819, 251.072)  (251.284, 251.714)  (251.714, 251.956)  (251.956, 252.016) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġcoming             Ġinto               Ġthe                Ġstore              Ġand                Ġstuff              Ġthen               Ġshe                Ġwould              Ġof                 Ġhad                Ġwhoever            Ġmade               Ġthe               
Timings          : (247.776, 247.886)  (247.973, 248.256)  (248.256, 248.456)  (248.456, 248.616)  (248.616, 249.096)  (249.096, 249.256)  (249.256, 250.041)  (250.15, 250.361)   (250.361, 250.566)  (250.566, 250.728)  (250.728, 250.819)  (250.819, 251.072)  (251.284, 251.714)  (251.714, 251.956)  (251.956, 252.016) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (252.016, 252.679)  (252.724, 252.846)  (252.846, 252.992)  (252.992, 253.344)  (253.344, 253.792)  (253.792, 254.016)  (254.016, 254.266)  (254.266, 254.536)  (254.626, 254.96)   (255.412, 255.486)  (255.486, 255.631)  (256.068, 256.769)  (256.941, 257.301)  (-1.0, -1.0)        (257.643, 257.983) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83050708860939      83050708860939      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                  

B                : Ġpurchase           Ġwould              Ġhave               Ġhad                Ġsign               Ġsome               Ġkind               Ġof                 Ġum                 Ġyou                Ġknow               Ġdocument           <emp>               Ġand                Ġuh                
Timings          : (252.016, 252.679)  (252.724, 252.846)  (252.846, 252.992)  (252.992, 253.344)  (253.344, 253.792)  (253.792, 254.016)  (254.016, 254.266)  (254.266, 254.536)  (254.626, 254.96)   (255.412, 255.486)  (255.486, 255.631)  (256.068, 256.769)  (256.941, 257.301)  (257.264, 257.643)  (257.643, 257.983) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (257.983, 258.132)  (258.75, 258.897)   (258.897, 259.865)  (259.865, 260.282)  (260.794, 260.905)  (260.905, 261.125)  (261.125, 261.225)  (261.225, 261.535)  (261.535, 261.685)  (261.685, 262.185)  (262.185, 262.325)  (262.325, 262.365)  (262.365, 262.745)  (262.745, 262.885)  (262.885, 263.105) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwho                Ġthe                Ġsignature          Ġum                 Ġthey               Ġshould             Ġbe                 Ġable               Ġto                 Ġprovide            Ġyou                Ġa                  Ġcopy               Ġwith               Ġthat              
Timings          : (257.983, 258.132)  (258.75, 258.897)   (258.897, 259.865)  (259.865, 260.282)  (260.794, 260.905)  (260.905, 261.125)  (261.125, 261.225)  (261.225, 261.535)  (261.535, 261.685)  (261.685, 262.185)  (262.185, 262.325)  (262.325, 262.365)  (262.365, 262.745)  (262.745, 262.885)  (262.885, 263.105) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (263.105, 263.685)  (263.685, 263.785)  (263.785, 263.991)  (264.285, 264.477)  (264.477, 264.689)  (264.689, 264.901)  (264.983, 265.405)  (265.405, 265.508)  (265.591, 266.141)  (266.784, 266.878)  (267.148, 267.31)   (267.31, 267.477)   (267.643, 267.704)  (267.704, 267.765)  (267.852, 267.965) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsignature          Ġand                Ġif                 Ġthey               Ġcan                't                  Ġprovide            Ġa                  Ġsignature          Ġuh                 Ġyou                Ġknow               Ġthey               'll                 Ġthey              
Timings          : (263.105, 263.685)  (263.685, 263.785)  (263.785, 263.991)  (264.285, 264.477)  (264.477, 264.689)  (264.689, 264.901)  (264.983, 265.405)  (265.405, 265.508)  (265.591, 266.141)  (266.784, 266.878)  (267.148, 267.31)   (267.31, 267.477)   (267.643, 267.704)  (267.704, 267.765)  (267.852, 267.965) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġwell               Ġyou                <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (267.965, 268.125)  (268.125, 268.34)   (268.412, 268.587)  (268.587, 268.711)  (268.711, 269.572)  (269.978, 270.262)  (270.649, 270.839)  (270.839, 270.935)  (-1.0, -1.0)        (271.566, 271.684)  (271.684, 271.948)  (271.948, 272.362)  (272.479, 272.698)  (272.826, 272.98)   (272.98, 273.587)  
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   83048561377288      83048561377288      83048561377288      83048561377288      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġhave               Ġto                 Ġeat                Ġthe                Ġcharge             <eot>               Ġbut                <emp>               Ġif                 Ġthe                Ġperson             Ġhas                Ġhad                Ġtheir              Ġsocial            
Timings          : (267.965, 268.125)  (268.125, 268.34)   (268.412, 268.587)  (268.587, 268.711)  (268.711, 269.572)  (-1.0, -1.0)        (270.721, 270.965)  (270.839, 270.935)  (271.339, 271.566)  (271.566, 271.684)  (271.684, 271.948)  (271.948, 272.362)  (272.479, 272.698)  (272.826, 272.98)   (272.98, 273.587)  
Token Types      : 1                   1                   1                   1                   1                   1                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83049098248199      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (273.666, 273.897)  (274.031, 274.208)  (274.208, 274.611)  (274.611, 275.22)   (275.22, 275.809)   (276.231, 276.326)  (276.326, 276.42)   (276.42, 276.699)   (276.699, 276.961)  (276.961, 277.581)  (277.581, 277.79)   (277.79, 278.213)   (278.313, 278.598)  (279.104, 279.253)  (279.253, 279.433) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsecurity           Ġher                Ġsocial             Ġsecurity           Ġnumber             Ġi                  'd                  Ġbe                 Ġreal               Ġconcerned          Ġthat               Ġthey               Ġuh                 Ġthat               Ġshe               
Timings          : (273.666, 273.897)  (274.031, 274.208)  (274.208, 274.611)  (274.611, 275.22)   (275.22, 275.809)   (276.231, 276.326)  (276.326, 276.42)   (276.42, 276.699)   (276.699, 276.961)  (276.961, 277.581)  (277.581, 277.79)   (277.79, 278.213)   (278.313, 278.598)  (279.104, 279.253)  (279.253, 279.433) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (279.433, 279.613)  (279.613, 279.968)  (280.213, 280.432)  (280.519, 281.37)   (281.418, 281.836)  (281.836, 282.136)  (282.596, 282.751)  (282.751, 282.906)  (283.197, 283.313)  (283.313, 283.449)  (283.449, 283.528)  (283.656, 283.755)  (283.755, 283.853)  (283.853, 283.973)  (283.973, 284.093) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġnot                Ġuh                 Ġblacklist          Ġon                 Ġuh                 Ġtele               credit              Ġwhat               Ġis                 Ġit                 Ġit                 's                  Ġtele               c                  
Timings          : (279.433, 279.613)  (279.613, 279.968)  (280.213, 280.432)  (280.519, 281.37)   (281.418, 281.836)  (281.836, 282.136)  (282.596, 282.751)  (282.751, 282.906)  (283.197, 283.313)  (283.313, 283.449)  (283.449, 283.528)  (283.656, 283.755)  (283.755, 283.853)  (283.853, 283.973)  (283.973, 284.093) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (284.093, 284.213)  (284.213, 284.333)  (284.333, 284.453)  (284.453, 284.573)  (284.573, 284.693)  (284.693, 285.295)  (285.326, 285.72)   (-1.0, -1.0)        (286.828, 286.967)  (286.967, 287.117)  (287.117, 287.237)  (287.237, 287.357)  (287.357, 287.437)  (287.437, 287.727)  (287.727, 287.897) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83050708860941      83050708860941      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : red                 er                  /                   tele                credit              Ġsomething          <emp>               Ġum                 Ġbecause            Ġshe                Ġwon                't                  Ġbe                 Ġable               Ġto                
Timings          : (284.093, 284.213)  (284.213, 284.333)  (284.333, 284.453)  (284.453, 284.573)  (284.573, 284.693)  (284.693, 285.295)  (285.326, 285.72)   (286.037, 286.471)  (286.828, 286.967)  (286.967, 287.117)  (287.117, 287.237)  (287.237, 287.357)  (287.357, 287.437)  (287.437, 287.727)  (287.727, 287.897) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (287.897, 288.36)   (288.36, 288.902)   (288.902, 289.189)  (289.34, 289.657)   (289.657, 290.382)  (290.6, 291.171)    (291.246, 291.522)  (291.522, 291.876)  (292.217, 292.313)  (292.354, 292.617)  (292.617, 292.718)  (292.718, 292.819)  (292.819, 292.917)  (292.917, 293.242)  (293.366, 293.653) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcash               Ġchecks             Ġbecause            Ġmost               Ġplaces             Ġverify             Ġthrough            Ġthere              Ġshe                Ġprobably           Ġwon                't                  Ġbe                 Ġable               Ġable              
Timings          : (287.897, 288.36)   (288.36, 288.902)   (288.902, 289.189)  (289.34, 289.657)   (289.657, 290.382)  (290.6, 291.171)    (291.246, 291.522)  (291.522, 291.876)  (292.217, 292.313)  (292.354, 292.617)  (292.617, 292.718)  (292.718, 292.819)  (292.819, 292.917)  (292.917, 293.242)  (293.366, 293.653) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673      83052319473673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġwell               Ġwe                
Timings          : (293.653, 293.837)  (293.837, 294.147)  (294.147, 294.237)  (294.237, 294.647)  (294.647, 294.987)  (294.987, 295.107)  (295.107, 295.587)  (295.587, 295.877)  (295.877, 295.907)  (295.907, 296.137)  (296.137, 296.227)  (296.227, 296.843)  (297.114, 297.305)  (297.305, 297.414)  (297.414, 297.544) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
