A                : ok                  ay                  Ġhow                Ġdo                 Ġyou                Ġget                Ġyour               Ġnews               Ġmostly             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (249.609, 249.689)  (249.689, 249.859)  (249.859, 249.908)  (249.908, 250.229)  (250.229, 250.628)  (250.628, 250.987)  (251.315, 251.408)  (251.408, 251.618)  (251.618, 251.768)  (251.768, 251.919)  (251.919, 252.068)  (252.068, 252.139)  (252.139, 252.428)  (252.428, 252.529)  (252.529, 252.809) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 'm                  Ġnot                Ġa                  Ġmorning            Ġperson             Ġso                 Ġi                  Ġwould              Ġbe                 gr                  udge                Ġthe                Ġtime               Ġit                 Ġtakes             
Timings          : (249.609, 249.689)  (249.689, 249.859)  (249.859, 249.908)  (249.908, 250.229)  (250.229, 250.628)  (250.628, 250.987)  (251.315, 251.408)  (251.408, 251.618)  (251.618, 251.768)  (251.768, 251.919)  (251.919, 252.068)  (252.068, 252.139)  (252.139, 252.428)  (252.428, 252.529)  (252.529, 252.809) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (252.809, 252.908)  (252.908, 252.999)  (252.999, 253.059)  (253.059, 253.408)  (253.408, 253.469)  (253.469, 253.699)  (253.699, 253.829)  (253.829, 254.169)  (254.169, 254.638)  (255.84, 255.96)    (255.96, 256.12)    (256.12, 256.25)    (256.25, 256.55)    (256.55, 256.88)    (256.88, 256.97)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġme                 Ġin                 Ġthe                Ġmorning            Ġto                 Ġcatch              Ġmy                 Ġmorning            Ġnews               Ġi                  Ġget                Ġup                 Ġjust               Ġbarely             Ġin                
Timings          : (252.809, 252.908)  (252.908, 252.999)  (252.999, 253.059)  (253.059, 253.408)  (253.408, 253.469)  (253.469, 253.699)  (253.699, 253.829)  (253.829, 254.169)  (254.169, 254.638)  (255.84, 255.96)    (255.96, 256.12)    (256.12, 256.25)    (256.25, 256.55)    (256.55, 256.88)    (256.88, 256.97)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 <ebc>               <emp>              
Timings          : (256.97, 257.23)    (257.23, 257.3)     (257.3, 257.47)     (257.47, 257.62)    (257.62, 257.82)    (257.82, 258.09)    (258.09, 258.21)    (258.21, 258.32)    (258.32, 258.49)    (258.49, 258.6)     (258.6, 258.94)     (258.94, 259.08)    (259.015, 259.485)  (-1.0, -1.0)        (259.26, 259.51)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80061411622926      80061411622926      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                  

B                : Ġtime               Ġto                 Ġget                Ġup                 Ġget                Ġready              Ġand                Ġget                Ġoff                Ġto                 Ġwork               Ġand                Ġthen               Ġat                 Ġwork              
Timings          : (256.97, 257.23)    (257.23, 257.3)     (257.3, 257.47)     (257.47, 257.62)    (257.62, 257.82)    (257.82, 258.09)    (258.09, 258.21)    (258.21, 258.32)    (258.32, 258.49)    (258.49, 258.6)     (258.6, 258.94)     (258.94, 259.08)    (259.08, 259.17)    (259.17, 259.26)    (259.26, 259.51)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġright              Ġonce               Ġyou                Ġget                Ġto                 Ġwork              
Timings          : (259.51, 259.57)    (259.57, 259.73)    (259.73, 259.88)    (259.88, 260.18)    (260.18, 260.28)    (260.28, 260.44)    (260.44, 260.51)    (260.51, 260.88)    (260.911, 261.251)  (261.251, 261.511)  (261.511, 261.741)  (261.741, 261.821)  (261.821, 261.991)  (261.991, 262.091)  (262.091, 262.341) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġi                  Ġhave               Ġno                 Ġtime               Ġto                 Ġread               Ġthe                Ġnews               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (259.51, 259.57)    (259.57, 259.73)    (259.73, 259.88)    (259.88, 260.18)    (260.18, 260.28)    (260.28, 260.44)    (260.44, 260.51)    (260.51, 260.88)    (-1.0, -1.0)        (261.251, 261.511)  (261.511, 261.741)  (261.741, 261.821)  (261.821, 261.991)  (261.991, 262.091)  (262.091, 262.341) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      80059801010193      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġwouldn             't                  Ġeither             Ġhuh                uh                  Ġbut                Ġi                  've                 Ġalways             Ġbeen               Ġa                  Ġmorning            Ġperson             Ġto                
Timings          : (262.341, 262.471)  (262.471, 262.706)  (262.706, 262.941)  (262.941, 263.041)  (263.041, 263.226)  (263.226, 263.411)  (264.087, 264.199)  (264.199, 264.269)  (264.269, 264.339)  (264.339, 264.569)  (264.569, 264.719)  (264.719, 264.809)  (264.809, 265.079)  (265.079, 265.459)  (265.459, 265.539) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (262.341, 262.471)  (262.471, 262.706)  (262.706, 262.941)  (262.941, 263.041)  (263.041, 263.226)  (263.226, 263.411)  (263.863, 264.143)  (-1.0, -1.0)        (264.269, 264.339)  (264.339, 264.569)  (264.569, 264.719)  (264.719, 264.809)  (264.809, 265.079)  (265.079, 265.459)  (265.459, 265.539) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   80061948493840      80061948493840      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġget                Ġup                 Ġyou                Ġknow               <emp>               <emp>               Ġand                Ġbut                Ġi                  Ġcan                't                  Ġstay               Ġup                 Ġlate               Ġat                
Timings          : (265.539, 265.719)  (265.719, 265.899)  (265.899, 265.999)  (265.999, 266.229)  (266.539, 266.729)  (266.729, 266.919)  (266.862, 267.132)  (267.132, 267.262)  (267.262, 267.322)  (267.322, 267.462)  (267.462, 267.602)  (267.602, 267.752)  (267.752, 267.892)  (267.892, 268.042)  (268.042, 268.122) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (265.539, 265.719)  (265.719, 265.899)  (265.899, 265.999)  (265.999, 266.229)  (266.539, 266.729)  (266.729, 266.919)  (-1.0, -1.0)        (267.132, 267.262)  (267.262, 267.322)  (267.322, 267.462)  (267.462, 267.602)  (267.602, 267.752)  (267.752, 267.892)  (267.892, 268.042)  (268.042, 268.122) 
Token Types      : 0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   80061948493841      80061948493841      80061948493841      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġnight              Ġto                 Ġwatch              Ġthe                Ġlate               Ġnews               Ġso                 Ġi                  Ġguess              Ġthat               's                  Ġwhy                Ġi                  Ġwatch              Ġit                
Timings          : (268.122, 268.382)  (268.382, 268.472)  (268.472, 268.762)  (268.762, 268.872)  (268.872, 269.082)  (269.082, 269.332)  (269.332, 269.662)  (271.322, 271.402)  (271.402, 271.602)  (271.602, 271.697)  (271.697, 271.792)  (271.792, 271.912)  (271.912, 271.992)  (271.992, 272.242)  (272.242, 272.322) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (268.122, 268.382)  (268.382, 268.472)  (268.472, 268.762)  (268.762, 268.872)  (268.872, 269.082)  (269.082, 269.332)  (269.332, 269.662)  (271.322, 271.402)  (271.402, 271.602)  (271.602, 271.697)  (271.697, 271.792)  (271.792, 271.912)  (271.912, 271.992)  (271.992, 272.242)  (272.242, 272.322) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġat                 Ġfive               Ġo                  '                   clock               <emp>               Ġbut                Ġany                how                 Ġwell               Ġlisten             Ġi                  Ġguess              Ġthat               's                 
Timings          : (272.322, 272.412)  (272.412, 272.652)  (272.652, 272.815)  (272.815, 272.978)  (272.978, 273.142)  (274.894, 275.334)  (275.762, 276.092)  (276.112, 276.412)  (276.412, 276.712)  (277.242, 277.592)  (277.592, 277.912)  (277.912, 277.992)  (277.992, 278.212)  (278.212, 278.317)  (278.317, 278.422) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282      80059264139282     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (272.322, 272.412)  (272.412, 272.652)  (272.652, 272.815)  (272.815, 272.978)  (272.978, 273.142)  (274.894, 275.334)  (-1.0, -1.0)        (276.112, 276.412)  (276.412, 276.712)  (277.242, 277.592)  (277.592, 277.912)  (277.912, 277.992)  (277.992, 278.212)  (278.212, 278.317)  (278.317, 278.422) 
Token Types      : 0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   80061948493842      80061948493842      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġabout              Ġit                 Ġthen               <eot>               Ġit                 's                  Ġbeen               Ġnice               Ġtalking            Ġto                 Ġyou                Ġt                  ony                 <eot>               <emp>              
Timings          : (278.422, 278.692)  (278.692, 278.902)  (278.902, 279.192)  (-1.0, -1.0)        (279.956, 280.066)  (280.066, 280.176)  (280.176, 280.316)  (280.316, 280.566)  (280.566, 280.896)  (280.896, 280.996)  (280.996, 281.136)  (281.136, 281.405)  (281.405, 281.673)  (-1.0, -1.0)        (282.06, 282.12)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 80059264139282      80059264139282      80059264139282      80059264139282      80059264139284      80059264139284      80059264139284      80059264139284      80059264139284      80059264139284      80059264139284      80059264139284      80059264139284      80059264139284      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               Ġokay               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġnice               Ġtalking            Ġto                
Timings          : (278.422, 278.692)  (278.692, 278.902)  (278.902, 279.192)  (279.341, 279.811)  (-1.0, -1.0)        (280.066, 280.176)  (280.176, 280.316)  (280.316, 280.566)  (280.566, 280.896)  (280.896, 280.996)  (280.996, 281.136)  (281.136, 281.405)  (281.565, 281.76)   (281.76, 282.06)    (282.06, 282.12)   
Token Types      : 0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   80059801010195      80059801010195      0                   0                   0                   0                   0                   0                   0                   80059801010197      80059801010197      80059801010197     
turn_end_types   : 0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (282.12, 282.23)    (282.23, 282.275)   (282.275, 282.32)   (282.32, 282.7)     (282.7, 283.01)     (283.01, 283.09)    (283.09, 283.17)    (283.17, 283.56)    (283.56, 283.62)    (283.62, 283.8)     (283.8, 283.85)     (283.85, 284.16)    (284.16, 284.23)    (284.23, 284.39)    (284.39, 284.57)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġi                  'll                 Ġprobably           Ġtalk               Ġto                 Ġyou                Ġagain              Ġi                  Ġhad                Ġa                  Ġfriend             Ġwho                Ġwas                Ġin                
Timings          : (282.12, 282.23)    (282.23, 282.275)   (282.275, 282.32)   (282.32, 282.7)     (282.7, 283.01)     (283.01, 283.09)    (283.09, 283.17)    (283.17, 283.56)    (283.56, 283.62)    (283.62, 283.8)     (283.8, 283.85)     (283.85, 284.16)    (284.16, 284.23)    (284.23, 284.39)    (284.39, 284.57)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġreally            
Timings          : (284.57, 284.79)    (284.79, 284.88)    (284.88, 285.03)    (285.03, 285.25)    (285.25, 285.34)    (285.34, 285.591)   (285.817, 285.99)   (285.99, 286.26)    (286.26, 286.39)    (286.39, 286.45)    (286.45, 286.7)     (286.7, 287.07)     (287.07, 287.657)   (287.706, 287.914)  (287.914, 288.329) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80063559106580      80063559106580     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġthis               Ġand                Ġhe                 Ġsaid               Ġthat               Ġhe                 Ġgot                Ġcalls              Ġfrom               Ġthe                Ġsame               Ġcaller             Ġsometimes          <emp>               <emp>              
Timings          : (284.57, 284.79)    (284.79, 284.88)    (284.88, 285.03)    (285.03, 285.25)    (285.25, 285.34)    (285.34, 285.591)   (285.817, 285.99)   (285.99, 286.26)    (286.26, 286.39)    (286.39, 286.45)    (286.45, 286.7)     (286.7, 287.07)     (287.07, 287.657)   (287.706, 287.914)  (287.914, 288.329) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197      80059801010197     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <eint>              Ġoh                 Ġwell               Ġthat               Ġhasn               't                  Ġhappened           Ġto                 Ġme                 Ġyet                Ġso                 Ġyou                Ġnever              Ġknow               Ġit                
Timings          : (-1.0, -1.0)        (289.035, 289.235)  (289.235, 289.355)  (289.355, 289.495)  (289.495, 289.625)  (289.625, 289.755)  (289.755, 290.055)  (290.055, 290.145)  (290.145, 290.315)  (290.315, 290.76)   (291.329, 291.485)  (291.485, 291.595)  (291.595, 291.845)  (291.845, 292.025)  (292.025, 292.155) 
Token Types      : 5                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80063559106580      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286      80059264139286     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyeah               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (288.275, 288.697)  (-1.0, -1.0)        (289.235, 289.355)  (289.355, 289.495)  (289.495, 289.625)  (289.625, 289.755)  (289.755, 290.055)  (290.055, 290.145)  (290.145, 290.315)  (290.315, 290.76)   (291.329, 291.485)  (291.485, 291.595)  (291.595, 291.845)  (291.845, 292.025)  (292.025, 292.155) 
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
