A                : what                Ġdo                 Ġyou                Ġthink              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              

B                : Ġi                  Ġdon                't                  Ġknow               Ġum                 <yield>             <emp>               <emp>               <emp>               <emp>               Ġmost               Ġof                 Ġthe                Ġof                 Ġthe               
Timings          : (234.192, 234.282)  (234.282, 234.347)  (234.347, 234.413)  (234.413, 234.619)  (234.854, 235.365)  (-1.0, -1.0)        (235.968, 236.053)  (236.053, 236.138)  (236.138, 236.29)   (236.29, 236.637)   (238.467, 238.837)  (238.837, 238.927)  (238.927, 239.207)  (239.207, 239.377)  (239.377, 239.437) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 80042621141005      80042621141005      80042621141005      80042621141005      80042621141005      80042621141005      0                   0                   0                   0                   80042621141007      80042621141007      80042621141007      80042621141007      80042621141007     
turn_end_types   : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (239.437, 239.757)  (239.757, 240.327)  (240.327, 240.477)  (240.477, 240.737)  (240.737, 240.847)  (240.847, 241.125)  (241.513, 241.597)  (241.597, 241.837)  (241.927, 242.184)  (242.251, 242.357)  (242.357, 242.577)  (242.707, 242.93)   (243.221, 243.647)  (243.647, 243.917)  (243.917, 244.23)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġnext               Ġgeneration         Ġis                 Ġgoing              Ġto                 Ġbe                 Ġin                 Ġor                 Ġor                 Ġan                 Ġextremely          Ġextremely          Ġextremely          Ġlarge              Ġpart              
Timings          : (239.437, 239.757)  (239.757, 240.327)  (240.327, 240.477)  (240.477, 240.737)  (240.737, 240.847)  (240.847, 241.125)  (241.513, 241.597)  (241.597, 241.837)  (241.927, 242.184)  (242.251, 242.357)  (242.357, 242.577)  (242.707, 242.93)   (243.221, 243.647)  (243.647, 243.917)  (243.917, 244.23)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (244.486, 244.687)  (244.687, 244.777)  (244.777, 244.857)  (244.857, 245.077)  (245.077, 245.527)  (245.527, 245.647)  (245.647, 245.837)  (245.837, 245.917)  (245.917, 246.137)  (246.137, 246.287)  (246.287, 246.458)  (247.05, 247.347)   (247.347, 247.887)  (247.887, 247.987)  (248.187, 248.467) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġpart               Ġof                 Ġthe                Ġnext               Ġgeneration         Ġis                 Ġgoing              Ġto                 Ġbe                 Ġyou                Ġknow               Ġsecond             Ġgeneration         Ġfrom               Ġuh                
Timings          : (244.486, 244.687)  (244.687, 244.777)  (244.777, 244.857)  (244.857, 245.077)  (245.077, 245.527)  (245.527, 245.647)  (245.647, 245.837)  (245.837, 245.917)  (245.917, 246.137)  (246.137, 246.287)  (246.287, 246.458)  (247.05, 247.347)   (247.347, 247.887)  (247.887, 247.987)  (248.187, 248.467) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               that                's                  Ġtrue               <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (248.467, 248.947)  (248.947, 249.287)  (249.287, 249.854)  (250.057, 250.202)  (250.202, 250.347)  (250.347, 250.65)   (-1.0, -1.0)        (250.491, 250.701)  (250.701, 250.761)  (250.761, 250.931)  (250.931, 251.411)  (251.411, 251.958)  (252.342, 252.531)  (252.531, 252.621)  (252.621, 252.726) 
Token Types      : 0                   0                   0                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   80046379237389      80046379237389      80046379237389      80046379237389      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfrom               Ġimmigrant          Ġparents            <emp>               Ġand                Ġthey               're                 Ġgoing              Ġto                 Ġbe                 Ġreally             Ġstruggling         Ġand                Ġi                  Ġdon               
Timings          : (248.467, 248.947)  (248.947, 249.287)  (249.287, 249.854)  (250.057, 250.202)  (250.221, 250.371)  (250.371, 250.431)  (250.431, 250.491)  (250.491, 250.701)  (250.701, 250.761)  (250.761, 250.931)  (250.931, 251.411)  (251.411, 251.958)  (252.342, 252.531)  (252.531, 252.621)  (252.621, 252.726) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (252.726, 252.831)  (252.831, 253.146)  (253.297, 253.411)  (253.411, 253.601)  (253.601, 253.791)  (253.791, 253.901)  (253.901, 254.301)  (254.301, 254.371)  (254.371, 254.661)  (254.661, 254.771)  (254.771, 255.251)  (255.351, 255.531)  (255.531, 255.931)  (255.931, 256.051)  (256.051, 256.171) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 't                  Ġthink              Ġthat               Ġameric             a                   Ġis                 Ġcurrently          Ġthe                Ġtype               Ġof                 Ġenvironment        Ġwhere              Ġstruggling         Ġup                 Ġfrom              
Timings          : (252.726, 252.831)  (252.831, 253.146)  (253.297, 253.411)  (253.411, 253.601)  (253.601, 253.791)  (253.791, 253.901)  (253.901, 254.301)  (254.301, 254.371)  (254.371, 254.661)  (254.661, 254.771)  (254.771, 255.251)  (255.351, 255.531)  (255.531, 255.931)  (255.931, 256.051)  (256.051, 256.171) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġright              <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (256.171, 256.231)  (256.231, 256.601)  (257.375, 257.919)  (258.006, 258.575)  (258.575, 259.202)  (259.62, 259.745)   (259.745, 260.07)   (260.266, 260.58)   (260.842, 261.197)  (261.461, 261.882)  (-1.0, -1.0)        (261.935, 262.06)   (262.06, 262.14)    (262.14, 262.22)    (262.22, 262.35)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80042084270096      80042084270096      80042084270096      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  

B                : Ġthe                Ġbottom             Ġis                 Ġnecessarily        Ġconsidered         Ġto                 Ġbe                 Ġgood               <eot>               <emp>               Ġi                  Ġmean               Ġit                 's                  Ġno                
Timings          : (256.171, 256.231)  (256.231, 256.601)  (257.375, 257.919)  (258.006, 258.575)  (258.575, 259.202)  (259.62, 259.745)   (259.745, 260.07)   (260.266, 260.58)   (-1.0, -1.0)        (261.461, 261.882)  (261.842, 261.935)  (261.935, 262.06)   (262.06, 262.14)    (262.14, 262.22)    (262.22, 262.35)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                  
turn_ids         : 80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      80042621141007      0                   80042621141009      80042621141009      80042621141009      80042621141009      80042621141009     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (262.35, 262.78)    (262.78, 263.006)   (264.06, 264.226)   (264.226, 264.48)   (264.636, 264.73)   (264.73, 265.37)    (265.37, 265.49)    (265.49, 265.6)     (265.71, 265.87)    (265.87, 265.94)    (265.94, 266.16)    (266.16, 266.4)     (266.4, 266.49)     (266.49, 266.63)    (266.63, 266.74)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlonger             Ġthe                Ġthe                Ġuh                 Ġthe                Ġaccomplishment     Ġthat               Ġit                 Ġthat               Ġit                 Ġonce               Ġwas                Ġand                Ġnot                Ġthat              
Timings          : (262.35, 262.78)    (262.78, 263.006)   (264.06, 264.226)   (264.226, 264.48)   (264.636, 264.73)   (264.73, 265.37)    (265.37, 265.49)    (265.49, 265.6)     (265.71, 265.87)    (265.87, 265.94)    (265.94, 266.16)    (266.16, 266.4)     (266.4, 266.49)     (266.49, 266.63)    (266.63, 266.74)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġyeah               Ġthat               's                  Ġkind               Ġof                 Ġscary             
Timings          : (266.74, 266.91)    (266.91, 267.17)    (267.17, 267.26)    (267.26, 267.46)    (267.46, 267.84)    (267.84, 267.89)    (267.89, 267.975)   (267.975, 268.06)   (268.165, 268.658)  (269.261, 269.604)  (269.981, 270.085)  (270.085, 270.19)   (270.19, 270.419)   (270.419, 270.52)   (270.52, 271.056)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġmany               Ġpeople             Ġare                Ġreally             Ġtrying             Ġi                  Ġdon                't                  Ġthink              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (266.74, 266.91)    (266.91, 267.17)    (267.17, 267.26)    (267.26, 267.46)    (267.46, 267.84)    (267.84, 267.89)    (267.89, 267.975)   (267.975, 268.06)   (268.06, 268.31)    (-1.0, -1.0)        (269.981, 270.085)  (270.085, 270.19)   (270.19, 270.419)   (270.419, 270.52)   (270.52, 271.056)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      80042621141009      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġhum                Ġwell               Ġthat               's                  Ġtrue               Ġbut                Ġi                  Ġit                 's                  Ġjust               Ġvery               Ġvery               Ġdifferent          Ġand                Ġi                 
Timings          : (272.897, 273.24)   (274.999, 275.109)  (275.109, 275.289)  (275.289, 275.469)  (275.469, 275.869)  (276.069, 276.239)  (276.239, 276.444)  (276.444, 276.542)  (276.542, 276.64)   (276.64, 276.919)   (276.919, 277.159)  (277.159, 277.509)  (277.509, 277.939)  (277.939, 278.069)  (278.069, 278.139) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (272.897, 273.24)   (274.999, 275.109)  (275.109, 275.289)  (275.289, 275.469)  (275.469, 275.869)  (276.069, 276.239)  (276.239, 276.444)  (276.444, 276.542)  (276.542, 276.64)   (276.64, 276.919)   (276.919, 277.159)  (277.159, 277.509)  (277.509, 277.939)  (277.939, 278.069)  (278.069, 278.139) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġguess              Ġevery              Ġten                Ġyears              Ġit                 's                  Ġjust               Ġbeen               Ġvery               Ġdifferent          <emp>               Ġso                 Ġand                Ġi                  Ġdon               
Timings          : (278.139, 278.379)  (278.379, 278.679)  (278.679, 279.019)  (279.019, 279.319)  (279.319, 279.444)  (279.444, 279.569)  (279.569, 279.799)  (279.799, 280.029)  (280.029, 280.309)  (280.309, 280.765)  (280.777, 281.198)  (282.047, 282.462)  (283.478, 283.596)  (283.596, 283.74)   (283.74, 283.825)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>              
Timings          : (278.139, 278.379)  (278.379, 278.679)  (278.679, 279.019)  (279.019, 279.319)  (279.319, 279.444)  (279.444, 279.569)  (279.569, 279.799)  (279.799, 280.029)  (280.029, 280.309)  (280.309, 280.765)  (280.777, 281.198)  (-1.0, -1.0)        (283.478, 283.596)  (283.596, 283.74)   (283.74, 283.825)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80044768624654      80044768624654      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                  


A                : 't                  Ġknow               Ġwhat               's                  Ġgonna              Ġhappen             Ġum                 Ġi                  Ġknow               Ġwhat               Ġi                  'm                  Ġseeing             Ġhere               Ġat                
Timings          : (283.825, 283.911)  (283.911, 284.031)  (284.031, 284.131)  (284.131, 284.231)  (284.231, 284.516)  (284.516, 285.114)  (285.114, 285.605)  (286.869, 286.949)  (286.949, 287.078)  (287.078, 287.228)  (287.228, 287.358)  (287.358, 287.488)  (287.488, 287.928)  (287.928, 288.481)  (288.481, 288.681) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (283.825, 283.911)  (283.911, 284.031)  (284.031, 284.131)  (284.131, 284.231)  (284.231, 284.516)  (284.516, 285.114)  (285.114, 285.605)  (286.869, 286.949)  (286.949, 287.078)  (287.078, 287.228)  (287.228, 287.358)  (287.358, 287.488)  (287.488, 287.928)  (287.928, 288.481)  (288.481, 288.681) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmy                 Ġwell               Ġmy                 Ġjob                Ġis                 Ġthat               Ġpeople             Ġare                Ġhaving             Ġtheir              Ġchildren           Ġmuch               Ġlater              Ġin                 Ġlife              
Timings          : (288.681, 288.968)  (288.968, 289.127)  (289.319, 289.522)  (289.522, 290.102)  (290.578, 290.848)  (290.848, 291.168)  (291.168, 291.538)  (291.538, 291.678)  (291.678, 291.988)  (291.988, 292.148)  (292.148, 292.608)  (292.608, 292.898)  (292.898, 293.198)  (293.198, 293.398)  (293.398, 293.747) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098      80042084270098     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (288.681, 288.968)  (288.968, 289.127)  (289.319, 289.522)  (289.522, 290.102)  (290.578, 290.848)  (290.848, 291.168)  (291.168, 291.538)  (291.538, 291.678)  (291.678, 291.988)  (291.988, 292.148)  (292.148, 292.608)  (292.608, 292.898)  (292.898, 293.198)  (293.198, 293.398)  (293.398, 293.747) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : <eot>               Ġso                 Ġthat               Ġthey               're                 Ġestablishing       Ġcareers            Ġand                Ġthey               've                 Ġgot                Ġtheir              Ġhomes              Ġand                Ġthey              
Timings          : (-1.0, -1.0)        (294.461, 294.551)  (294.551, 294.741)  (294.741, 294.806)  (294.806, 294.871)  (294.871, 295.741)  (295.741, 296.555)  (297.169, 297.38)   (297.38, 297.461)   (297.461, 297.54)   (297.54, 297.79)    (297.79, 297.94)    (297.94, 298.51)    (298.51, 298.641)   (298.641, 298.72)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
