A                : the                 Ġbiggest            Ġsocial             Ġchange             Ġthat               Ġi                  've                 Ġseen               Ġin                 Ġthe                Ġlast               Ġten                Ġyears              Ġis                 Ġthat              
Timings          : (230.22, 230.325)   (230.325, 230.665)  (230.665, 230.943)  (231.297, 231.445)  (231.445, 231.615)  (231.615, 231.986)  (232.333, 232.595)  (232.595, 232.755)  (232.755, 233.091)  (233.091, 233.374)  (233.965, 234.485)  (234.625, 234.915)  (234.915, 234.995)  (234.995, 235.295)  (235.295, 235.495) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 'd                  Ġstarted            Ġout                Ġwe                 Ġgot                Ġmarried            Ġshe                Ġhad                Ġnot                Ġuh                 Ġuh                 Ġwanted             Ġto                 Ġwork               Ġuh                
Timings          : (230.22, 230.325)   (230.325, 230.665)  (230.665, 230.943)  (231.297, 231.445)  (231.445, 231.615)  (231.615, 231.986)  (232.333, 232.595)  (232.595, 232.755)  (232.755, 233.091)  (233.091, 233.374)  (233.965, 234.485)  (234.625, 234.915)  (234.915, 234.995)  (234.995, 235.295)  (235.295, 235.495) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (235.699, 235.995)  (235.995, 236.065)  (236.065, 236.185)  (236.185, 236.275)  (236.275, 236.525)  (236.525, 236.725)  (236.725, 236.905)  (236.905, 236.945)  (236.945, 237.155)  (237.155, 237.475)  (237.475, 237.615)  (237.615, 237.98)   (239.013, 239.243)  (239.243, 239.463)  (239.463, 239.643) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġafter              Ġwe                 Ġhad                Ġour                Ġfirst              Ġkid                Ġand                Ġi                  Ġsaid               Ġfine               Ġbut                Ġnow                Ġpaying             Ġfor                Ġthese             
Timings          : (235.699, 235.995)  (235.995, 236.065)  (236.065, 236.185)  (236.185, 236.275)  (236.275, 236.525)  (236.525, 236.725)  (236.725, 236.905)  (236.905, 236.945)  (236.945, 237.155)  (237.155, 237.475)  (237.475, 237.615)  (237.615, 237.98)   (239.013, 239.243)  (239.243, 239.463)  (239.463, 239.643) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġoh                 Ġyeah               <emp>               Ġup                 <emp>               Ġhere               <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               Ġup                 Ġhere              
Timings          : (239.643, 240.655)  (240.952, 241.095)  (241.095, 241.305)  (241.176, 241.313)  (241.305, 241.615)  (241.443, 241.573)  (241.615, 242.007)  (-1.0, -1.0)        (241.923, 242.093)  (242.093, 242.173)  (242.173, 242.343)  (242.343, 242.699)  (242.699, 243.056)  (242.952, 243.182)  (243.182, 243.352) 
Token Types      : 0                   5                   5                   5                   5                   5                   5                   5                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   83035676475403      83035676475403      83035676475403      83035676475403      83035676475403      83035676475403      83035676475403      0                   0                   0                   0                   0                   83031381508110      83031381508110     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġkids               <emp>               Ġshe                's                  Ġshe                's                  Ġhad                Ġto                 Ġback               Ġto                 Ġwork               Ġpart               time                <yield>             <emp>              
Timings          : (239.643, 240.655)  (240.952, 241.095)  (241.04, 241.176)   (241.176, 241.313)  (241.313, 241.443)  (241.443, 241.573)  (241.573, 241.758)  (241.758, 241.923)  (241.923, 242.093)  (242.093, 242.173)  (242.173, 242.343)  (242.343, 242.699)  (242.699, 243.056)  (-1.0, -1.0)        (243.182, 243.352) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      83031918379021      0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġin                 Ġro                 chester             Ġalmost             Ġeverybody          Ġworks              Ġfor                Ġk                  od                  ak                  Ġor                 Ġx                  er                  ox                  Ġand               
Timings          : (243.352, 243.473)  (243.473, 243.915)  (243.915, 244.358)  (244.512, 244.932)  (244.932, 245.363)  (245.363, 245.663)  (245.663, 245.803)  (245.803, 246.003)  (246.003, 246.202)  (246.202, 246.402)  (246.402, 246.512)  (246.512, 246.762)  (246.762, 247.012)  (247.012, 247.262)  (247.699, 247.983) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (243.352, 243.473)  (243.473, 243.915)  (243.915, 244.358)  (244.512, 244.932)  (244.932, 245.363)  (245.363, 245.663)  (245.663, 245.803)  (245.803, 246.003)  (246.003, 246.202)  (246.202, 246.402)  (246.402, 246.512)  (246.512, 246.762)  (246.762, 247.012)  (247.012, 247.262)  (247.699, 247.983) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġten                Ġten                Ġyears              Ġago                Ġyou                Ġwere               Ġalways             Ġassured            Ġof                 Ġhaving             Ġa                  Ġjob                <eot>               <emp>               <emp>              
Timings          : (248.115, 248.296)  (248.296, 248.512)  (248.512, 248.742)  (248.742, 248.992)  (248.992, 249.202)  (249.202, 249.443)  (249.443, 249.773)  (249.773, 250.143)  (250.143, 250.212)  (250.212, 250.643)  (250.643, 250.702)  (250.702, 251.204)  (-1.0, -1.0)        (251.654, 251.998)  (251.998, 252.218) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      83031381508110      0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 Ġyeah               Ġi                 
Timings          : (248.115, 248.296)  (248.296, 248.512)  (248.512, 248.742)  (248.742, 248.992)  (248.992, 249.202)  (249.202, 249.443)  (249.443, 249.773)  (249.773, 250.143)  (250.143, 250.212)  (250.212, 250.643)  (250.643, 250.702)  (250.702, 251.204)  (251.374, 251.654)  (251.654, 251.998)  (251.998, 252.218) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83031918379023      83031918379023      83031918379023     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               Ġand                Ġnow                Ġyou                Ġyou                Ġknow               Ġi                  Ġmy                 Ġgrandfather        Ġworked             Ġfor                Ġhis                Ġentire             Ġlife              
Timings          : (252.218, 252.508)  (252.508, 252.8)    (253.313, 253.583)  (253.583, 254.083)  (254.083, 254.313)  (254.313, 254.453)  (254.453, 254.641)  (254.641, 254.783)  (254.783, 254.993)  (254.993, 255.553)  (255.553, 255.773)  (255.773, 255.923)  (255.923, 256.123)  (256.123, 256.513)  (256.513, 256.733) 
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġremember           Ġthat               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (252.218, 252.508)  (252.508, 252.8)    (-1.0, -1.0)        (253.583, 254.083)  (254.083, 254.313)  (254.313, 254.453)  (254.453, 254.641)  (254.641, 254.783)  (254.783, 254.993)  (254.993, 255.553)  (255.553, 255.773)  (255.773, 255.923)  (255.923, 256.123)  (256.123, 256.513)  (256.513, 256.733) 
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83031918379023      83031918379023      83031918379023      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġfor                Ġk                  od                  ak                  Ġmy                 Ġfather             Ġthe                Ġsame               Ġthing              Ġbut                Ġnow                Ġeveryone           's                  Ġworried            Ġand               
Timings          : (256.733, 256.823)  (256.823, 256.966)  (256.966, 257.109)  (257.109, 257.253)  (257.253, 257.383)  (257.383, 257.753)  (257.753, 257.873)  (257.873, 258.133)  (258.133, 258.313)  (258.313, 258.443)  (258.443, 258.653)  (258.653, 258.853)  (258.853, 259.053)  (259.053, 259.543)  (259.543, 259.705) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (256.733, 256.823)  (256.823, 256.966)  (256.966, 257.109)  (257.109, 257.253)  (257.253, 257.383)  (257.383, 257.753)  (257.753, 257.873)  (257.873, 258.133)  (258.133, 258.313)  (258.313, 258.443)  (258.443, 258.653)  (258.653, 258.853)  (258.853, 259.053)  (259.053, 259.543)  (259.543, 259.705) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġuh                 Ġyou                Ġcan                't                  Ġrely               Ġon                 Ġthat               Ġkind               Ġof                 Ġthing              Ġanymore            Ġeverything         Ġsped               Ġup                
Timings          : (260.4, 260.728)    (260.728, 260.855)  (260.855, 260.993)  (260.993, 261.212)  (261.212, 261.432)  (261.432, 261.963)  (261.963, 262.073)  (262.073, 262.243)  (262.243, 262.483)  (262.483, 262.563)  (262.563, 262.763)  (262.763, 263.063)  (263.063, 263.383)  (263.383, 263.803)  (263.803, 263.973) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (260.4, 260.728)    (260.728, 260.855)  (260.855, 260.993)  (260.993, 261.212)  (261.212, 261.432)  (261.432, 261.963)  (261.963, 262.073)  (262.073, 262.243)  (262.243, 262.483)  (262.483, 262.563)  (262.563, 262.763)  (262.763, 263.063)  (263.063, 263.383)  (263.383, 263.803)  (263.803, 263.973) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġso                 Ġfast               Ġand                Ġthere              's                  Ġno                 Ġmore               Ġold                fashioned           Ġreliability        Ġin                 Ġthings             Ġanymore            Ġthe                Ġway               
Timings          : (263.973, 264.183)  (264.183, 264.613)  (264.613, 264.743)  (264.743, 264.813)  (264.813, 264.883)  (264.883, 265.063)  (265.063, 265.373)  (265.373, 265.743)  (265.743, 266.113)  (266.113, 266.903)  (266.903, 267.103)  (267.103, 267.463)  (267.463, 267.919)  (268.161, 268.27)   (268.27, 268.433)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (263.973, 264.183)  (264.183, 264.613)  (264.613, 264.743)  (264.743, 264.813)  (264.813, 264.883)  (264.883, 265.063)  (265.063, 265.373)  (265.373, 265.743)  (265.743, 266.113)  (266.113, 266.903)  (266.903, 267.103)  (267.103, 267.463)  (267.463, 267.919)  (268.161, 268.27)   (268.27, 268.433)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġpace               Ġthe                Ġpace               Ġhas                Ġchanged            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (268.433, 268.613)  (268.613, 268.733)  (268.733, 269.083)  (269.083, 269.253)  (269.253, 269.865)  (-1.0, -1.0)        (270.306, 270.459)  (270.459, 270.579)  (270.579, 270.679)  (270.679, 270.849)  (270.849, 270.929)  (270.929, 271.009)  (271.009, 271.629)  (271.629, 271.799)  (271.799, 271.889) 
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      83031381508112      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġremember           Ġwhen               Ġi                  Ġgot                Ġout                Ġof                 Ġcollege            Ġwhich              Ġwas               
Timings          : (268.433, 268.613)  (268.613, 268.733)  (268.733, 269.083)  (269.083, 269.253)  (269.253, 269.865)  (270.141, 270.306)  (270.306, 270.459)  (270.459, 270.579)  (270.579, 270.679)  (270.679, 270.849)  (270.849, 270.929)  (270.929, 271.009)  (271.009, 271.629)  (271.629, 271.799)  (271.799, 271.889) 
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (271.889, 272.279)  (272.279, 272.489)  (272.489, 272.799)  (272.799, 272.959)  (272.959, 273.049)  (273.049, 273.129)  (273.129, 273.189)  (273.189, 273.319)  (273.319, 273.389)  (273.389, 273.689)  (273.689, 273.789)  (273.789, 274.049)  (274.049, 274.5)    (275.189, 275.339)  (275.339, 275.629) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġseventy            Ġeight              Ġpeople             Ġsaid               Ġnow                Ġif                 Ġyou                Ġget                Ġa                  Ġjob                Ġwith               Ġgeneral            Ġmotors             Ġor                 Ġat                
Timings          : (271.889, 272.279)  (272.279, 272.489)  (272.489, 272.799)  (272.799, 272.959)  (272.959, 273.049)  (273.049, 273.129)  (273.129, 273.189)  (273.189, 273.319)  (273.319, 273.389)  (273.389, 273.689)  (273.689, 273.789)  (273.789, 274.049)  (274.049, 274.5)    (275.189, 275.339)  (275.339, 275.629) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               Ġnot                Ġafter             
Timings          : (275.629, 275.919)  (275.919, 276.209)  (276.693, 276.809)  (276.809, 277.103)  (277.103, 277.397)  (277.833, 277.963)  (277.963, 278.094)  (278.094, 278.544)  (278.544, 278.744)  (278.744, 279.245)  (279.483, 279.751)  (279.751, 280.02)   (-1.0, -1.0)        (281.366, 281.62)   (281.62, 281.83)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83033528991756      83033528991756      83033528991756      83031381508114      83031381508114     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : &                   t                   Ġor                 Ġib                 m                   Ġyou                're                 Ġset                Ġfor                Ġlife               <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (275.629, 275.919)  (275.919, 276.209)  (276.693, 276.809)  (276.809, 277.103)  (277.103, 277.397)  (277.833, 277.963)  (277.963, 278.094)  (278.094, 278.544)  (278.544, 278.744)  (278.744, 279.245)  (-1.0, -1.0)        (279.751, 280.02)   (-1.0, -1.0)        (281.366, 281.62)   (281.62, 281.83)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      83031918379025      0                   0                   0                   0                  
