A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġi                  Ġhave               Ġfive               <eot>               <emp>               <emp>               right              
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġchildren           Ġbut                Ġwe                 Ġdid                Ġokay               Ġwe                 Ġhad                Ġa                  Ġhouse              Ġand                Ġa                  Ġhome               Ġand                Ġbut                Ġnow               
Timings          : (238.377, 238.9)    (239.081, 239.197)  (239.197, 239.317)  (239.317, 239.497)  (239.497, 239.807)  (239.807, 239.907)  (239.907, 240.007)  (240.007, 240.057)  (240.057, 240.387)  (240.387, 240.487)  (240.487, 240.517)  (240.517, 240.747)  (240.747, 241.008)  (241.196, 241.387)  (241.387, 241.833) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (242.533, 242.637)  (242.637, 243.047)  (243.047, 243.157)  (243.157, 243.267)  (243.267, 243.617)  (243.617, 243.957)  (244.267, 244.427)  (244.427, 244.537)  (244.537, 244.662)  (244.662, 244.787)  (244.787, 244.877)  (244.877, 244.987)  (244.987, 245.097)  (245.097, 245.347)  (245.347, 245.467) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmy                 Ġwife               Ġand                Ġi                  Ġboth               Ġwork               Ġand                Ġwe                 Ġdon                't                  Ġi                  Ġdon                't                  Ġbelieve            Ġwe                
Timings          : (242.533, 242.637)  (242.637, 243.047)  (243.047, 243.157)  (243.157, 243.267)  (243.267, 243.617)  (243.617, 243.957)  (244.267, 244.427)  (244.427, 244.537)  (244.537, 244.662)  (244.662, 244.787)  (244.787, 244.877)  (244.877, 244.987)  (244.987, 245.097)  (245.097, 245.347)  (245.347, 245.467) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġreally             <emp>              
Timings          : (245.467, 245.677)  (245.677, 245.797)  (245.797, 246.087)  (246.087, 246.34)   (246.438, 246.597)  (246.597, 247.027)  (247.027, 247.324)  (248.104, 248.207)  (248.207, 248.317)  (248.317, 248.517)  (248.517, 248.687)  (248.687, 248.947)  (248.947, 249.412)  (249.703, 250.244)  (250.469, 250.63)  
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79595407671315      79595407671315     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġhave               Ġas                 Ġmuch               Ġas                 Ġmy                 Ġparents            Ġdid                Ġand                Ġwe                 Ġonly               Ġhave               Ġone                Ġchild              <eot>               Ġum                
Timings          : (245.467, 245.677)  (245.677, 245.797)  (245.797, 246.087)  (246.087, 246.34)   (246.438, 246.597)  (246.597, 247.027)  (247.027, 247.324)  (248.104, 248.207)  (248.207, 248.317)  (248.317, 248.517)  (248.517, 248.687)  (248.687, 248.947)  (248.947, 249.412)  (-1.0, -1.0)        (250.469, 250.63)  
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   3                  
turn_ids         : 79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79595944542226      79598092025873     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġwell               Ġthings             Ġcost               Ġa                  Ġlot                Ġmore               Ġi                  Ġdon                't                  Ġknow               Ġhow                Ġit                 Ġis                 Ġin                 Ġge                
Timings          : (250.658, 251.011)  (251.109, 251.372)  (251.372, 251.802)  (251.802, 251.862)  (251.862, 252.112)  (252.112, 252.372)  (252.372, 252.432)  (252.432, 252.527)  (252.527, 252.622)  (252.622, 252.692)  (252.692, 252.922)  (252.922, 253.012)  (253.012, 253.142)  (253.142, 253.312)  (253.312, 253.503) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (250.63, 250.791)   (-1.0, -1.0)        (251.372, 251.802)  (251.802, 251.862)  (251.862, 252.112)  (252.112, 252.372)  (252.372, 252.432)  (252.432, 252.527)  (252.527, 252.622)  (252.622, 252.692)  (252.692, 252.922)  (252.922, 253.012)  (253.012, 253.142)  (253.142, 253.312)  (253.312, 253.503) 
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79598092025873      79598092025873      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : org                 ia                  <emp>               Ġand                Ġi                  Ġdon                't                  Ġthink              Ġour                Ġpart               Ġof                 Ġthe                Ġcountry            Ġis                 Ġparticularly      
Timings          : (253.503, 253.695)  (253.695, 253.887)  (254.348, 254.593)  (254.648, 254.782)  (254.782, 254.862)  (254.862, 255.007)  (255.007, 255.152)  (255.152, 255.382)  (255.382, 255.562)  (255.562, 255.812)  (255.812, 255.882)  (255.882, 255.942)  (255.942, 256.402)  (256.402, 256.492)  (256.492, 257.192) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      79595407671315     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               Ġum                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (253.503, 253.695)  (253.695, 253.887)  (254.348, 254.593)  (-1.0, -1.0)        (254.782, 254.862)  (254.862, 255.007)  (255.007, 255.152)  (255.152, 255.382)  (255.382, 255.562)  (255.562, 255.812)  (255.812, 255.882)  (255.882, 255.942)  (255.942, 256.402)  (256.402, 256.492)  (256.492, 257.192) 
Token Types      : 0                   0                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   79600239509524      79600239509524      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbad                Ġcompared           Ġto                 Ġsome               <eot>               <emp>               <emp>               <emp>               <emp>               is                  Ġit                 <eint>              <emp>               <emp>               <emp>              
Timings          : (257.192, 257.592)  (257.632, 258.122)  (258.122, 258.232)  (258.232, 258.802)  (-1.0, -1.0)        (259.043, 259.204)  (259.204, 259.364)  (259.364, 259.525)  (259.525, 260.022)  (260.193, 260.389)  (260.389, 260.637)  (-1.0, -1.0)        (261.215, 261.565)  (261.565, 261.745)  (261.745, 261.925) 
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                  
turn_ids         : 79595407671315      79595407671315      79595407671315      79595407671315      79595407671315      0                   0                   0                   0                   79599702638610      79599702638610      79599702638610      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               Ġat                 l                   anta                's                  Ġhorrible           <emp>               <emp>               Ġyes                Ġhave               Ġwe                 Ġhave              
Timings          : (257.192, 257.592)  (257.632, 258.122)  (258.122, 258.232)  (258.232, 258.802)  (258.883, 259.043)  (259.043, 259.204)  (259.204, 259.364)  (259.364, 259.525)  (259.525, 260.022)  (260.193, 260.389)  (260.389, 260.637)  (260.798, 261.215)  (261.215, 261.565)  (261.565, 261.745)  (261.745, 261.925) 
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (261.925, 262.005)  (262.005, 262.325)  (262.325, 262.586)  (263.023, 263.335)  (263.335, 263.705)  (263.705, 263.925)  (263.925, 264.185)  (264.935, 265.27)   (265.27, 265.605)   (265.605, 265.825)  (266.305, 266.485)  (266.485, 266.815)  (266.815, 267.325)  (267.685, 267.835)  (267.835, 268.025) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġlot                Ġof                 Ġpeople             Ġmoving             Ġhere               Ġfrom               Ġb                  oston               Ġand                Ġand                Ġdifferent          Ġareas              Ġand                Ġfrom              
Timings          : (261.925, 262.005)  (262.005, 262.325)  (262.325, 262.586)  (263.023, 263.335)  (263.335, 263.705)  (263.705, 263.925)  (263.925, 264.185)  (264.935, 265.27)   (265.27, 265.605)   (265.605, 265.825)  (266.305, 266.485)  (266.485, 266.815)  (266.815, 267.325)  (267.685, 267.835)  (267.835, 268.025) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġreally             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (268.025, 268.505)  (268.505, 268.595)  (268.595, 268.945)  (268.945, 269.025)  (269.025, 269.105)  (269.105, 269.681)  (270.302, 270.842)  (-1.0, -1.0)        (271.079, 271.499)  (271.499, 271.709)  (271.709, 272.179)  (272.179, 272.309)  (272.309, 272.449)  (272.449, 272.949)  (272.949, 273.177) 
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   79595407671317      79595407671317      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtalking            Ġto                 Ġthem               Ġthey               're                 Ġshocked            <eot>               Ġwhat               Ġand                Ġthey               Ġyou                Ġknow               Ġthe                Ġhousing            Ġso                
Timings          : (268.025, 268.505)  (268.505, 268.595)  (268.595, 268.945)  (268.945, 269.025)  (269.025, 269.105)  (269.105, 269.681)  (-1.0, -1.0)        (270.769, 270.997)  (271.079, 271.499)  (271.499, 271.709)  (271.709, 272.179)  (272.179, 272.309)  (272.309, 272.449)  (272.449, 272.949)  (272.949, 273.177) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542228      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               Ġthat               's                  Ġwhat               Ġi                  've                 Ġheard              <eint>              <emp>               <emp>              
Timings          : (273.233, 273.735)  (274.043, 274.407)  (-1.0, -1.0)        (274.949, 275.039)  (275.039, 275.289)  (275.289, 275.539)  (275.544, 275.682)  (275.682, 275.819)  (275.819, 275.93)   (275.93, 276.055)   (276.055, 276.18)   (276.18, 276.619)   (-1.0, -1.0)        (276.789, 276.899)  (276.899, 277.029) 
Token Types      : 0                   3                   3                   0                   0                   0                   5                   5                   5                   5                   5                   5                   5                   0                   0                  
turn_ids         : 0                   79597555154963      79597555154963      0                   0                   0                   79599702638613      79599702638613      79599702638613      79599702638613      79599702638613      79599702638613      79599702638613      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : Ġcheap              Ġin                 Ġcomparison         Ġto                 Ġb                  oston               <emp>               <emp>               Ġthat               Ġthey               <emp>               Ġjump               Ġon                 Ġit                 Ġthey              
Timings          : (273.233, 273.735)  (274.115, 274.329)  (274.329, 274.949)  (274.949, 275.039)  (275.039, 275.289)  (275.289, 275.539)  (275.544, 275.682)  (275.682, 275.819)  (275.839, 275.989)  (275.989, 276.159)  (276.055, 276.18)   (276.159, 276.569)  (276.569, 276.789)  (276.789, 276.899)  (276.899, 277.029) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (277.029, 277.349)  (277.349, 277.479)  (277.479, 277.899)  (277.899, 278.029)  (278.029, 278.429)  (278.429, 278.843)  (279.073, 279.185)  (279.276, 279.489)  (279.489, 279.649)  (279.649, 279.709)  (279.709, 280.118)  (280.64, 280.839)   (280.839, 281.159)  (281.159, 281.439)  (281.439, 281.589) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsell               Ġtheir              Ġhouse              Ġthey               Ġstash              Ġaway               Ġa                  Ġgood               Ġbit                Ġof                 Ġmoney              Ġand                Ġcome               Ġdown               Ġhere              
Timings          : (277.029, 277.349)  (277.349, 277.479)  (277.479, 277.899)  (277.899, 278.029)  (278.029, 278.429)  (278.429, 278.843)  (279.073, 279.185)  (279.276, 279.489)  (279.489, 279.649)  (279.649, 279.709)  (279.709, 280.118)  (280.64, 280.839)   (280.839, 281.159)  (281.159, 281.439)  (281.439, 281.589) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (281.589, 281.679)  (281.679, 281.739)  (281.739, 282.029)  (282.029, 282.169)  (282.169, 282.199)  (282.199, 282.489)  (282.489, 282.669)  (282.669, 282.859)  (282.859, 283.032)  (283.186, 283.349)  (283.349, 283.669)  (283.669, 283.882)  (284.19, 284.29)    (284.29, 284.389)   (284.389, 284.642) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġi                  Ġwork               Ġwith               Ġa                  Ġlot                Ġof                 Ġthem               Ġthey               Ġthey               Ġthink              Ġthey               Ġthey               've                 Ġreally            
Timings          : (281.589, 281.679)  (281.679, 281.739)  (281.739, 282.029)  (282.029, 282.169)  (282.169, 282.199)  (282.199, 282.489)  (282.489, 282.669)  (282.669, 282.859)  (282.859, 283.032)  (283.186, 283.349)  (283.349, 283.669)  (283.669, 283.882)  (284.19, 284.29)    (284.29, 284.389)   (284.389, 284.642) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (284.68, 284.919)   (284.919, 285.359)  (285.359, 285.519)  (285.519, 285.619)  (285.619, 285.729)  (285.729, 285.929)  (285.929, 286.149)  (286.149, 286.339)  (286.339, 286.459)  (286.459, 286.939)  (286.939, 287.029)  (287.029, 287.429)  (287.429, 287.489)  (287.489, 287.769)  (287.769, 287.879) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdone               Ġsomething          Ġthen               Ġwhen               Ġthey               Ġget                Ġdown               Ġhere               Ġthey               Ġrealize            Ġthe                Ġcost               Ġof                 Ġliving             Ġis                
Timings          : (284.68, 284.919)   (284.919, 285.359)  (285.359, 285.519)  (285.519, 285.619)  (285.619, 285.729)  (285.729, 285.929)  (285.929, 286.149)  (286.149, 286.339)  (286.339, 286.459)  (286.459, 286.939)  (286.939, 287.029)  (287.029, 287.429)  (287.429, 287.489)  (287.489, 287.769)  (287.769, 287.879) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230      79595944542230     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġh                  m                   <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>              
Timings          : (287.879, 288.629)  (288.748, 288.997)  (288.997, 289.247)  (-1.0, -1.0)        (289.75, 289.893)   (290.643, 290.78)   (290.78, 290.94)    (290.94, 291.07)    (291.07, 291.41)    (291.41, 291.77)    (291.638, 292.079)  (-1.0, -1.0)        (292.205, 292.47)   (292.47, 292.83)    (292.83, 292.98)   
