A                : well                Ġi                  'm                  Ġare                Ġyou                Ġthere              <emp>               Ġokay               Ġi                  'm                  Ġsure               Ġthat               Ġi                  Ġprobably           Ġum                
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (234.077, 234.146)  (234.146, 234.447)  (234.447, 234.747)  (234.747, 234.956)  (234.956, 235.146)  (235.146, 236.028)  (236.693, 237.293)  (237.723, 237.783)  (237.783, 237.883)  (237.883, 238.173)  (238.173, 238.733)  (238.733, 239.143)  (239.143, 239.243)  (239.243, 239.393)  (239.393, 240.333) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġstart              Ġreading            Ġfrom               Ġtheir              Ġperspective        Ġum                 Ġyou                Ġknow               Ġtheir              Ġmajor              Ġinterest           Ġis                 Ġin                 Ġcommissions       
Timings          : (234.077, 234.146)  (234.146, 234.447)  (234.447, 234.747)  (234.747, 234.956)  (234.956, 235.146)  (235.146, 236.028)  (236.693, 237.293)  (237.723, 237.783)  (237.783, 237.883)  (237.883, 238.173)  (238.173, 238.733)  (238.733, 239.143)  (239.143, 239.243)  (239.243, 239.393)  (239.393, 240.333) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (240.333, 241.042)  (241.662, 241.792)  (241.792, 241.912)  (242.062, 242.212)  (242.212, 242.362)  (242.362, 242.602)  (242.602, 242.852)  (242.852, 243.162)  (243.162, 243.432)  (243.432, 243.492)  (243.492, 244.052)  (244.052, 244.132)  (244.132, 244.692)  (244.692, 244.852)  (244.852, 245.324) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġyou                Ġknow               Ġthere              's                  Ġvery               Ġlittle             Ġtalk               Ġabout              Ġthe                Ġquality            Ġof                 Ġplaces             Ġor                 Ġairlines          
Timings          : (240.333, 241.042)  (241.662, 241.792)  (241.792, 241.912)  (242.062, 242.212)  (242.212, 242.362)  (242.362, 242.602)  (242.602, 242.852)  (242.852, 243.162)  (243.162, 243.432)  (243.432, 243.492)  (243.492, 244.052)  (244.052, 244.132)  (244.132, 244.692)  (244.692, 244.852)  (244.852, 245.324) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (245.415, 245.542)  (245.542, 245.892)  (245.892, 246.202)  (246.202, 246.429)  (246.629, 247.042)  (247.842, 247.902)  (247.902, 247.972)  (247.972, 248.502)  (248.502, 248.662)  (248.662, 249.082)  (249.082, 249.322)  (249.322, 249.562)  (249.562, 249.692)  (249.692, 249.812)  (249.812, 249.957) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtheir              Ġmajor              Ġtalk               Ġis                 Ġabout              Ġyou                Ġknow               Ġcommissions        Ġand                Ġcommission         Ġreb                ates                Ġand                Ġhow                Ġthey              
Timings          : (245.415, 245.542)  (245.542, 245.892)  (245.892, 246.202)  (246.202, 246.429)  (246.629, 247.042)  (247.842, 247.902)  (247.902, 247.972)  (247.972, 248.502)  (248.502, 248.662)  (248.662, 249.082)  (249.082, 249.322)  (249.322, 249.562)  (249.562, 249.692)  (249.692, 249.812)  (249.812, 249.957) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (249.957, 250.066)  (250.066, 250.175)  (250.592, 251.092)  (251.092, 251.512)  (251.512, 251.632)  (251.632, 252.052)  (252.052, 252.232)  (252.232, 252.302)  (252.302, 252.572)  (252.572, 252.842)  (252.842, 253.039)  (253.039, 253.287)  (253.287, 253.442)  (253.442, 253.732)  (253.732, 253.992) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwon                't                  Ġsuggest            Ġhotels             Ġto                 Ġpeople             Ġif                 Ġthe                Ġcommission         's                  Ġnot                Ġa                  Ġthe                Ġfull               Ġten               
Timings          : (249.957, 250.066)  (250.066, 250.175)  (250.592, 251.092)  (251.092, 251.512)  (251.512, 251.632)  (251.632, 252.052)  (252.052, 252.232)  (252.232, 252.302)  (252.302, 252.572)  (252.572, 252.842)  (252.842, 253.039)  (253.039, 253.287)  (253.287, 253.442)  (253.442, 253.732)  (253.732, 253.992) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (253.992, 254.462)  (254.462, 254.582)  (254.582, 255.002)  (255.002, 255.112)  (255.112, 255.522)  (255.522, 255.702)  (255.669, 255.894)  (255.894, 256.119)  (-1.0, -1.0)        (256.856, 257.056)  (257.056, 257.146)  (257.146, 257.196)  (257.196, 257.496)  (257.496, 258.096)  (258.096, 258.196) 
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   81745038802965      81745038802965      81745038802965      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġpercent            Ġor                 Ġwhatever           Ġit                 Ġis                 Ġand                <emp>               <emp>               Ġit                 Ġgives              Ġyou                Ġa                  Ġdifferent          Ġperspective        Ġon                
Timings          : (253.992, 254.462)  (254.462, 254.582)  (254.582, 255.002)  (255.002, 255.112)  (255.112, 255.522)  (255.522, 255.702)  (255.669, 255.894)  (255.894, 256.119)  (256.726, 256.856)  (256.856, 257.056)  (257.056, 257.146)  (257.146, 257.196)  (257.196, 257.496)  (257.496, 258.096)  (258.096, 258.196) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229      81743428190229     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġum                 hum                 Ġum                 hum                 Ġwell               Ġthose              Ġtravel             Ġmagazines          Ġare                Ġthat               Ġmore               Ġor                
Timings          : (258.196, 258.306)  (258.306, 258.616)  (258.616, 258.876)  (259.254, 259.488)  (259.488, 259.722)  (259.857, 260.104)  (260.104, 260.351)  (260.93, 261.019)   (261.019, 261.164)  (261.164, 261.554)  (261.554, 262.154)  (262.154, 262.264)  (262.264, 262.529)  (262.698, 262.844)  (262.844, 263.004) 
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318     
turn_end_types   : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġwhat               Ġpeople             Ġdo                 <eot>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (258.196, 258.306)  (258.306, 258.616)  (258.616, 258.876)  (-1.0, -1.0)        (259.488, 259.722)  (259.857, 260.104)  (260.104, 260.351)  (260.93, 261.019)   (261.039, 261.302)  (-1.0, -1.0)        (261.554, 262.154)  (262.154, 262.264)  (262.264, 262.529)  (262.698, 262.844)  (262.844, 263.004) 
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 81743428190229      81743428190229      81743428190229      81743428190229      0                   0                   0                   0                   81745575673871      81745575673871      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġless               Ġshow               Ġyou                Ġdifferent          Ġcountries          Ġthat               Ġyou                Ġcould              Ġgo                 Ġto                 Ġor                 <yield>             <emp>               <emp>               <emp>              
Timings          : (263.004, 263.354)  (263.954, 264.204)  (264.204, 264.374)  (264.374, 264.754)  (264.754, 265.274)  (265.274, 265.464)  (265.464, 265.554)  (265.554, 265.704)  (265.704, 265.914)  (265.914, 266.224)  (266.224, 266.574)  (-1.0, -1.0)        (266.907, 267.037)  (267.037, 267.207)  (267.207, 267.417) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      81742891319318      0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġuh                 Ġsome               Ġof                 Ġthem               Ġthe               
Timings          : (263.004, 263.354)  (263.954, 264.204)  (264.204, 264.374)  (264.374, 264.754)  (264.754, 265.274)  (265.274, 265.464)  (265.464, 265.554)  (265.554, 265.704)  (265.704, 265.914)  (265.914, 266.224)  (266.107, 266.557)  (266.557, 266.907)  (266.907, 267.037)  (267.037, 267.207)  (267.207, 267.417) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81746649415703      81746649415703      81746649415703      81746649415703      81746649415703     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                
Timings          : (267.417, 267.747)  (267.747, 268.127)  (268.127, 268.457)  (268.457, 269.067)  (269.067, 269.257)  (269.257, 269.357)  (269.357, 269.452)  (269.452, 269.547)  (269.547, 269.757)  (269.757, 269.887)  (269.887, 270.097)  (270.097, 270.217)  (270.217, 270.427)  (270.427, 270.86)   (271.026, 271.227) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81745038802967     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġthe                Ġgeneral            Ġtravel             Ġmagazines          Ġdo                 Ġi                  Ġdon                't                  Ġtend               Ġto                 Ġread               Ġit                 Ġfor                Ġthat               <emp>              
Timings          : (267.417, 267.747)  (267.747, 268.127)  (268.127, 268.457)  (268.457, 269.067)  (269.067, 269.257)  (269.257, 269.357)  (269.357, 269.452)  (269.452, 269.547)  (269.547, 269.757)  (269.757, 269.887)  (269.887, 270.097)  (270.097, 270.217)  (270.217, 270.427)  (270.427, 270.86)   (271.026, 271.227) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (271.227, 271.428)  (-1.0, -1.0)        (271.471, 271.551)  (271.551, 271.631)  (271.631, 272.081)  (272.081, 272.161)  (272.161, 272.301)  (272.301, 272.911)  (272.911, 273.481)  (274.41, 274.683)   (274.683, 275.191)  (275.191, 275.251)  (275.251, 275.631)  (275.631, 275.751)  (275.751, 276.021) 
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81745038802967      81745038802967      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbecause            Ġi                  Ġdon                't                  Ġexpect             Ġto                 Ġbe                 Ġtraveling          Ġoverseas           Ġin                 Ġin                 Ġthe                Ġfuture             Ġfor                Ġquite             
Timings          : (271.261, 271.401)  (271.401, 271.471)  (271.471, 271.551)  (271.551, 271.631)  (271.631, 272.081)  (272.081, 272.161)  (272.161, 272.301)  (272.301, 272.911)  (272.911, 273.481)  (274.41, 274.683)   (274.683, 275.191)  (275.191, 275.251)  (275.251, 275.631)  (275.631, 275.751)  (275.751, 276.021) 
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġum                 <emp>               hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                
Timings          : (276.021, 276.511)  (276.595, 276.76)   (276.681, 276.831)  (276.76, 276.925)   (-1.0, -1.0)        (277.331, 277.562)  (277.675, 277.841)  (277.841, 278.001)  (278.001, 278.091)  (278.091, 278.711)  (278.711, 278.951)  (279.221, 279.351)  (279.351, 279.821)  (279.821, 280.131)  (280.342, 280.599) 
Token Types      : 0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   81745038802968      81745038802968      81745038802968      81745038802968      0                   0                   0                   0                   0                   0                   0                   0                   0                   81742891319320     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  
speaker_ids      : 0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġawhile             Ġbut                Ġi                  Ġi                  Ġusually            Ġjust               Ġread               Ġthrough            Ġthe                Ġsections           Ġon                 Ġon                 Ġdomestic           Ġstuff              <eot>              
Timings          : (276.021, 276.511)  (276.511, 276.681)  (276.681, 276.831)  (276.831, 276.911)  (276.911, 277.331)  (277.331, 277.562)  (277.675, 277.841)  (277.841, 278.001)  (278.001, 278.091)  (278.091, 278.711)  (278.711, 278.951)  (279.221, 279.351)  (279.351, 279.821)  (279.821, 280.131)  (-1.0, -1.0)       
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703      81746649415703     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : hum                 Ġum                 hum                 Ġokay               Ġwell               Ġi                  Ġdon                't                  Ġknow               Ġany                Ġother              Ġmagazines          Ġi                  Ġcould              Ġtalk              
Timings          : (280.599, 280.855)  (280.855, 281.107)  (281.107, 281.359)  (282.258, 283.338)  (284.061, 284.466)  (284.466, 284.596)  (284.596, 284.711)  (284.711, 284.826)  (284.826, 285.036)  (285.036, 285.456)  (285.456, 285.626)  (285.626, 286.186)  (286.186, 286.276)  (286.276, 286.446)  (286.446, 286.736) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (280.599, 280.855)  (280.855, 281.107)  (281.107, 281.359)  (282.258, 283.338)  (284.061, 284.466)  (284.466, 284.596)  (284.596, 284.711)  (284.711, 284.826)  (284.826, 285.036)  (285.036, 285.456)  (285.456, 285.626)  (285.626, 286.186)  (286.186, 286.276)  (286.276, 286.446)  (286.446, 286.736) 
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġyou                Ġabout              Ġum                 Ġi                  Ġdon                't                  Ġtake               Ġanymore            Ġthan               Ġthat               <yield>             <emp>               <emp>               <emp>              
Timings          : (286.736, 286.896)  (286.896, 287.086)  (287.086, 287.677)  (288.515, 289.095)  (290.374, 290.514)  (290.514, 290.614)  (290.614, 290.714)  (290.714, 290.944)  (290.944, 291.324)  (291.324, 291.594)  (291.594, 291.994)  (-1.0, -1.0)        (292.558, 292.648)  (292.648, 292.788)  (292.788, 292.928) 
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      81742891319320      0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 <eint>              <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġdon                't                 
Timings          : (286.736, 286.896)  (286.896, 287.086)  (287.086, 287.677)  (288.515, 289.095)  (290.374, 290.514)  (290.499, 290.879)  (-1.0, -1.0)        (290.714, 290.944)  (290.944, 291.324)  (291.324, 291.594)  (291.594, 291.994)  (292.368, 292.558)  (292.558, 292.648)  (292.648, 292.788)  (292.788, 292.928) 
